m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,8.573388203017834e-07,2962.6453703703705,557.3430736427129,2619.5705248184354
0.01,0.01,0.9936587309970014,8.487654320987657e-07,2962.6453703703705,501.31259393721825,3024.9145861104157
0.02,0.02,0.9872769935436304,8.40192043895748e-07,2962.6453703703705,484.7264843587678,2501.703960725905
0.03,0.03,0.9808542678008313,8.316186556927297e-07,2962.6453703703705,479.1312323571056,3006.4145698458833
0.04,0.04,0.9743900238483449,8.230452674897117e-07,2962.6453703703705,608.5403156481032,2852.2117330506185
0.05,0.05,0.9678837214223395,8.144718792866941e-07,2962.6453703703705,623.4712492213575,2891.9767292862357
0.06,0.06,0.9613348096444502,8.058984910836764e-07,2962.6453703703705,691.772184411968,3050.6480606808614
0.07,0.07,0.9547427267418882,7.973251028806586e-07,2962.6453703703705,430.0420446145877,3299.1298423907256
0.08,0.08,0.9481068997582622,7.887517146776405e-07,2962.6453703703705,595.7825730110293,2806.9015392355277
0.09,0.09,0.9414267442547409,7.801783264746228e-07,2962.6453703703705,510.14349300083626,3295.0077144695288
0.1,0.1,0.9347016640011662,7.716049382716049e-07,2962.6453703703705,555.8740786242377,2822.8813834719913
0.11,0.11,0.9279310506567138,7.630315500685872e-07,2962.6453703703705,647.8172093798431,3465.111625321799
0.12,0.12,0.9211142834396617,7.544581618655695e-07,2962.6453703703705,617.2638492279717,3314.3663661679384
0.13,0.13,0.9142507287858314,7.458847736625516e-07,2962.6453703703705,614.1958931695582,3289.492615376798
0.14,0.14,0.9073397399952268,7.373113854595336e-07,2962.6453703703705,642.7759945030477,3218.6669450626346
0.15,0.15,0.9003806568663714,7.287379972565157e-07,2962.6453703703705,632.6641809301296,3364.335203651729
0.16,0.16,0.89337280531784,7.201646090534981e-07,2962.6453703703705,547.0253594103857,3096.5503323359085
0.17,0.17,0.8863154969964301,7.115912208504803e-07,2962.6453703703705,588.8900959364067,3047.4408241455294
0.18,0.18,0.8792080288714119,7.030178326474626e-07,2962.6453703703705,604.7633326030572,3365.472429454516
0.19,0.19,0.8720496828142519,6.944444444444448e-07,2962.6453703703705,629.7052690275084,3671.5232317322493
0.2,0.2,0.86483972516319,6.858710562414266e-07,2962.6453703703705,638.1381770191413,3914.3465360444216
0.21,0.21,0.8575774062720013,6.772976680384088e-07,2962.6453703703705,497.1305516254394,3160.964260627125
0.22,0.22,0.8502619600422529,6.68724279835391e-07,2962.6453703703705,627.4828728695995,4241.261644303516
0.23,0.23,0.8428926034383277,6.601508916323734e-07,2962.6453703703705,697.1709265065282,4171.830634443569
0.24,0.24,0.8354685359844455,6.515775034293553e-07,2962.6453703703705,557.3227070540704,3353.5995494403373
0.25,0.25,0.8279889392428699,6.430041152263374e-07,2962.6453703703705,869.1831819306711,3838.419909387037
0.26,0.26,0.8204529762724546,6.344307270233195e-07,2962.6453703703705,756.3926867155595,3683.1849468102073
0.27,0.27,0.8128597910666385,6.258573388203017e-07,2962.6453703703705,896.7085153646987,4015.400297511746
0.28,0.28,0.8052085079699279,6.172839506172841e-07,2962.6453703703705,818.0348056134818,3755.7083951117
0.29,0.29,0.797498231071897,6.08710562414266e-07,2962.6453703703705,589.96990218995,3964.76987784397
0.3,0.3,0.7897280435776313,6.001371742112485e-07,2962.6453703703705,689.1504046737348,4498.895079713929
