m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,8.573388203017834e-07,2962.6453703703705,491.9560761582911,2724.3146851102915
0.01,0.01,1.0,8.573388203017834e-07,2962.6453703703705,472.6544243182269,3000.9894406550175
0.02,0.02,1.0,8.573388203017834e-07,2962.6453703703705,616.4168552266163,2469.8282717612137
0.03,0.03,1.0,8.573388203017834e-07,2962.6453703703705,505.82473257886636,2713.9754853891045
0.04,0.04,1.0,8.573388203017834e-07,2962.6453703703705,472.5776012968503,2673.941407129498
0.05,0.05,1.0,8.573388203017834e-07,2962.6453703703705,461.0247534359506,3174.362997557862
0.06,0.06,1.0,8.573388203017834e-07,2962.6453703703705,482.88474792642273,2868.598032917508
0.07,0.07,1.0,8.573388203017834e-07,2962.6453703703705,390.36784970133755,2772.1026974910974
0.08,0.08,1.0,8.573388203017834e-07,2962.6453703703705,531.3215772163829,3002.054135932963
0.09,0.09,1.0,8.573388203017834e-07,2962.6453703703705,486.9257766743094,2876.3817175716763
0.1,0.1,1.0,8.573388203017834e-07,2962.6453703703705,490.01570356042765,2614.420004114914
0.11,0.11,1.0,8.573388203017834e-07,2962.6453703703705,531.0929517090138,2612.2993942403914
0.12,0.12,1.0,8.573388203017834e-07,2962.6453703703705,408.20969074582115,3184.6582617614736
0.13,0.13,1.0,8.573388203017834e-07,2962.6453703703705,518.2201563493943,2680.981473038958
0.14,0.14,1.0,8.573388203017834e-07,2962.6453703703705,549.942935913294,2343.880517562883
0.15,0.15,1.0,8.573388203017834e-07,2962.6453703703705,432.44511290042175,2833.865923403047
0.16,0.16,1.0,8.573388203017834e-07,2962.6453703703705,519.0944950877754,2888.4760140908256
0.17,0.17,1.0,8.573388203017834e-07,2962.6453703703705,486.1955488908372,2983.2563747756208
0.18,0.18,1.0,8.573388203017834e-07,2962.6453703703705,480.18223996721315,2647.1499401646197
0.19,0.19,1.0,8.573388203017834e-07,2962.6453703703705,439.55265105301254,2964.891841166163
0.2,0.2,1.0,8.573388203017834e-07,2962.6453703703705,414.473994236156,2536.6410797147532
0.21,0.21,1.0,8.573388203017834e-07,2962.6453703703705,425.36809676793956,3337.3448910801467
0.22,0.22,1.0,8.573388203017834e-07,2962.6453703703705,553.2625826342622,2814.3254076628036
0.23,0.23,1.0,8.573388203017834e-07,2962.6453703703705,529.9687722317118,3222.0281580785004
0.24,0.24,1.0,8.573388203017834e-07,2962.6453703703705,467.8020971791217,2941.2724074414186
0.25,0.25,1.0,8.573388203017834e-07,2962.6453703703705,448.6464126295951,2978.333290135362
0.26,0.26,1.0,8.573388203017834e-07,2962.6453703703705,541.9416486562305,2810.655260443555
0.27,0.27,1.0,8.573388203017834e-07,2962.6453703703705,471.86314098378375,3059.9430664576053
0.28,0.28,1.0,8.573388203017834e-07,2962.6453703703705,539.4410161191212,2656.8087091349466
0.29,0.29,1.0,8.573388203017834e-07,2962.6453703703705,538.7812977293737,2422.899957047569
0.3,0.3,1.0,8.573388203017834e-07,2962.6453703703705,407.0777523917494,2727.452674493003
0.31,0.31,1.0,8.573388203017834e-07,2962.6453703703705,599.9070294934762,2716.2792026246325
0.32,0.32,1.0,8.573388203017834e-07,2962.6453703703705,526.2408136802478,2650.129747070984
0.33,0.33,1.0,8.573388203017834e-07,2962.6453703703705,461.22875712041076,2693.923718705453
0.34,0.34,1.0,8.573388203017834e-07,2962.6453703703705,410.7406778050162,2655.909428639463
0.35,0.35,1.0,8.573388203017834e-07,2962.6453703703705,522.2346953026089,2684.486141663269
0.36,0.36,1.0,8.573388203017834e-07,2962.6453703703705,564.975498927482,3293.99568949335
0.37,0.37,1.0,8.573388203017834e-07,2962.6453703703705,444.33855764864535,2995.748160073076
0.38,0.38,1.0,8.573388203017834e-07,2962.6453703703705,509.76693129195604,2956.6808502306208
0.39,0.39,1.0,8.573388203017834e-07,2962.6453703703705,487.4242915384253,2359.5599143301597
0.4,0.4,1.0,8.573388203017834e-07,2962.6453703703705,433.9170500691753,2785.85118162069
0.41,0.41,1.0,8.573388203017834e-07,2962.6453703703705,354.5328451048872,2966.5902464914825
0.42,0.42,1.0,8.573388203017834e-07,2962.6453703703705,426.1252008417482,2981.341829091523
0.43,0.43,1.0,8.573388203017834e-07,2962.6453703703705,552.6892465830073,2691.6783882753693
0.44,0.44,1.0,8.573388203017834e-07,2962.6453703703705,549.5763795280243,2867.8081942711738
0.45,0.45,1.0,8.573388203017834e-07,2962.6453703703705,594.7808408457942,2964.386759625756
0.46,0.46,1.0,8.573388203017834e-07,2962.6453703703705,529.9917149255199,2829.8427436856764
0.47,0.47,1.0,8.573388203017834e-07,2962.6453703703705,479.85176271702784,2694.5916561341
0.48,0.48,1.0,8.573388203017834e-07,2962.6453703703705,447.6444452847436,2645.3752611324066
0.49,0.49,1.0,8.573388203017834e-07,2962.6453703703705,436.41611142034543,2783.372202363393
0.5,0.5,1.0,8.573388203017834e-07,2962.6453703703705,467.69507534568896,2643.7669756837413
0.51,0.51,1.0,8.573388203017834e-07,2962.6453703703705,422.6324121888833,2400.217449010309
0.52,0.52,1.0,8.573388203017834e-07,2962.6453703703705,501.89676311846307,2763.1488996673525
0.53,0.53,1.0,8.573388203017834e-07,2962.6453703703705,400.54655052613543,2741.837553584736
0.54,0.54,1.0,8.573388203017834e-07,2962.6453703703705,430.2989272957285,3198.1627108194652
0.55,0.55,1.0,8.573388203017834e-07,2962.6453703703705,426.23616752818816,2629.3386431629265
0.56,0.56,1.0,8.573388203017834e-07,2962.6453703703705,516.3952687989862,2932.6385696787784
0.57,0.57,1.0,8.573388203017834e-07,2962.6453703703705,398.517938158477,2985.6205686003987
0.58,0.58,1.0,8.573388203017834e-07,2962.6453703703705,520.9611367469055,2881.6700782443163
0.59,0.59,1.0,8.573388203017834e-07,2962.6453703703705,488.2080919516355,3476.4216097036233
0.6,0.6,1.0,8.573388203017834e-07,2962.6453703703705,427.2183049720528,2692.565367474832
0.61,0.61,1.0,8.573388203017834e-07,2962.6453703703705,454.4012748420139,2860.140099465944
0.62,0.62,1.0,8.573388203017834e-07,2962.6453703703705,387.45457889207273,2715.682655161439
0.63,0.63,1.0,8.573388203017834e-07,2962.6453703703705,515.2015447425481,2689.7923997335893
0.64,0.64,1.0,8.573388203017834e-07,2962.6453703703705,392.4656399345041,2659.5847994751316
0.65,0.65,1.0,8.573388203017834e-07,2962.6453703703705,597.7747425691265,2777.4100732412576
0.66,0.66,1.0,8.573388203017834e-07,2962.6453703703705,532.1169451755948,2583.361227777843
0.67,0.67,1.0,8.573388203017834e-07,2962.6453703703705,544.4408118257758,3173.7900171581223
0.68,0.68,1.0,8.573388203017834e-07,2962.6453703703705,561.9986215110504,2204.012852161179
0.69,0.69,1.0,8.573388203017834e-07,2962.6453703703705,444.70180567030116,2607.68658229161
0.7,0.7,1.0,8.573388203017834e-07,2962.6453703703705,491.57800820473994,2723.838177577095
0.71,0.71,1.0,8.573388203017834e-07,2962.6453703703705,482.44522478219886,3048.841602572012
0.72,0.72,1.0,8.573388203017834e-07,2962.6453703703705,595.5173608762451,2919.366964230644
0.73,0.73,1.0,8.573388203017834e-07,2962.6453703703705,349.94461179132986,2973.0112512458577
0.74,0.74,1.0,8.573388203017834e-07,2962.6453703703705,466.86791449098786,2820.2758809124916
0.75,0.75,1.0,8.573388203017834e-07,2962.6453703703705,398.1006291842228,3166.6926856592722
0.76,0.76,1.0,8.573388203017834e-07,2962.6453703703705,413.8743589552923,2957.2494630875035
0.77,0.77,1.0,8.573388203017834e-07,2962.6453703703705,499.1583793900805,2870.5527121649575
0.78,0.78,1.0,8.573388203017834e-07,2962.6453703703705,408.7526319795532,2930.0265146273155
0.79,0.79,1.0,8.573388203017834e-07,2962.6453703703705,575.66796692121,3147.1902140030156
0.8,0.8,1.0,8.573388203017834e-07,2962.6453703703705,401.3809374070312,3087.62141761017
0.81,0.81,1.0,8.573388203017834e-07,2962.6453703703705,514.3636289689716,2839.3689622433476
0.82,0.82,1.0,8.573388203017834e-07,2962.6453703703705,482.9100727239038,2866.0408522872617
0.83,0.83,1.0,8.573388203017834e-07,2962.6453703703705,492.0780712833729,2750.665761558511
0.84,0.84,1.0,8.573388203017834e-07,2962.6453703703705,517.7686912865871,3050.8569575237075
0.85,0.85,1.0,8.573388203017834e-07,2962.6453703703705,434.5554289032436,2793.382584221016
0.86,0.86,1.0,8.573388203017834e-07,2962.6453703703705,560.1173410371196,3018.7627621167267
0.87,0.87,1.0,8.573388203017834e-07,2962.6453703703705,494.9517029949879,2570.0202702428505
0.88,0.88,1.0,8.573388203017834e-07,2962.6453703703705,603.3054730678913,2359.1430060021685
0.89,0.89,1.0,8.573388203017834e-07,2962.6453703703705,657.8125217640169,3114.3273303002334
0.9,0.9,1.0,8.573388203017834e-07,2962.6453703703705,484.8605090536838,2780.4512475689494
0.91,0.91,1.0,8.573388203017834e-07,2962.6453703703705,388.0173728378877,2852.549138211741
0.92,0.92,1.0,8.573388203017834e-07,2962.6453703703705,479.28671134541605,2828.5316494180533
0.93,0.93,1.0,8.573388203017834e-07,2962.6453703703705,611.8110596841265,2900.959153219732
0.94,0.94,1.0,8.573388203017834e-07,2962.6453703703705,495.6436088952359,2637.6609556583485
0.95,0.95,1.0,8.573388203017834e-07,2962.6453703703705,562.2603500517112,3205.653487563779
0.96,0.96,1.0,8.573388203017834e-07,2962.6453703703705,446.82988844069587,3080.4831605165214
0.97,0.97,1.0,8.573388203017834e-07,2962.6453703703705,456.27745519803483,3041.685142850757
0.98,0.98,1.0,8.573388203017834e-07,2962.6453703703705,482.9909322275137,2618.0460490358846
0.99,0.99,1.0,8.573388203017834e-07,2962.6453703703705,418.47624538624706,3033.429636824468
0.1,0.2,1.0,8.573388203017834e-07,2962.6453703703705,502.59494175560593,3215.978601761574
0.1,0.3,1.0,8.573388203017834e-07,2962.6453703703705,501.27963480183587,2900.0392535868546
0.1,0.4,1.0,8.573388203017834e-07,2962.6453703703705,593.3949287424931,2485.187195015779
0.1,0.5,1.0,8.573388203017834e-07,2962.6453703703705,747.944098524893,2692.5603502860085
0.1,0.6,1.0,8.573388203017834e-07,2962.6453703703705,429.98728470611275,2775.547723578859
0.1,0.7,1.0,8.573388203017834e-07,2962.6453703703705,356.27229943947737,2690.3449027002216
0.1,0.8,1.0,8.573388203017834e-07,2962.6453703703705,457.8331294511457,2989.2970079965435
0.1,0.9,1.0,8.573388203017834e-07,2962.6453703703705,566.680726725741,2260.486501166399
0.2,0.3,1.0,8.573388203017834e-07,2962.6453703703705,504.8425351654302,2673.4237579974188
0.2,0.4,1.0,8.573388203017834e-07,2962.6453703703705,519.4884251381336,3148.7565017880243
0.2,0.5,1.0,8.573388203017834e-07,2962.6453703703705,474.7883644946433,3255.6043479037235
0.2,0.6,1.0,8.573388203017834e-07,2962.6453703703705,538.2075486063015,2719.4859854269307
0.2,0.7,1.0,8.573388203017834e-07,2962.6453703703705,532.258025235836,2820.367127181222
0.2,0.8,1.0,8.573388203017834e-07,2962.6453703703705,485.1597547170757,2827.787625904197
0.2,0.9,1.0,8.573388203017834e-07,2962.6453703703705,506.99156776388185,2655.4631627001772
0.3,0.4,1.0,8.573388203017834e-07,2962.6453703703705,454.1906144850022,2868.4343702985866
0.3,0.5,1.0,8.573388203017834e-07,2962.6453703703705,608.0739371451946,2822.775420229745
0.3,0.6,1.0,8.573388203017834e-07,2962.6453703703705,405.12113127058,2733.215857137127
0.3,0.7,1.0,8.573388203017834e-07,2962.6453703703705,470.77822246599385,2411.6724009081863
0.3,0.8,1.0,8.573388203017834e-07,2962.6453703703705,464.38738988817084,3670.6237148001237
0.3,0.9,1.0,8.573388203017834e-07,2962.6453703703705,451.7909856218673,3014.214636069524
0.4,0.5,1.0,8.573388203017834e-07,2962.6453703703705,474.588409240166,2422.0314993416073
0.4,0.6,1.0,8.573388203017834e-07,2962.6453703703705,485.54111569891637,2763.457759634751
0.4,0.7,1.0,8.573388203017834e-07,2962.6453703703705,469.05089899123413,2856.2796993264406
0.4,0.8,1.0,8.573388203017834e-07,2962.6453703703705,401.00778130401056,2592.668323187727
0.4,0.9,1.0,8.573388203017834e-07,2962.6453703703705,514.6233482075793,2421.6177232298583
0.5,0.6,1.0,8.573388203017834e-07,2962.6453703703705,503.6110078950263,2477.0078973022237
0.5,0.7,1.0,8.573388203017834e-07,2962.6453703703705,499.12382661613486,3006.879991817908
0.5,0.8,1.0,8.573388203017834e-07,2962.6453703703705,460.16054184967123,2845.4162594681416
0.5,0.9,1.0,8.573388203017834e-07,2962.6453703703705,541.0002462802767,2573.558366627775
0.6,0.7,1.0,8.573388203017834e-07,2962.6453703703705,419.1374511688484,2506.219993019454
0.6,0.8,1.0,8.573388203017834e-07,2962.6453703703705,622.149370460887,2667.9198012088355
0.6,0.9,1.0,8.573388203017834e-07,2962.6453703703705,494.3466967236376,2769.274779885184
0.7,0.8,1.0,8.573388203017834e-07,2962.6453703703705,599.663445838082,2830.0053230990907
0.7,0.9,1.0,8.573388203017834e-07,2962.6453703703705,548.9801334573268,2294.8121118126764
0.8,0.9,1.0,8.573388203017834e-07,2962.6453703703705,583.0250831657947,3105.893596987644
0.01,0.02,1.0,8.573388203017834e-07,2962.6453703703705,571.3038010901153,2781.7157521911
0.01,0.03,1.0,8.573388203017834e-07,2962.6453703703705,523.6260871400737,2826.750193756141
0.01,0.04,1.0,8.573388203017834e-07,2962.6453703703705,466.9639269974339,3021.8276671826025
0.01,0.05,1.0,8.573388203017834e-07,2962.6453703703705,486.04978107482276,3041.125931337286
0.01,0.06,1.0,8.573388203017834e-07,2962.6453703703705,470.4798718213596,2797.4873226746054
0.01,0.07,1.0,8.573388203017834e-07,2962.6453703703705,467.01636485972614,2755.208840580645
0.01,0.08,1.0,8.573388203017834e-07,2962.6453703703705,541.8461293336678,2811.8668458627058
0.01,0.09,1.0,8.573388203017834e-07,2962.6453703703705,452.5488235147922,3039.824155577768
0.02,0.03,1.0,8.573388203017834e-07,2962.6453703703705,499.2282350869423,2799.3259187748577
0.02,0.04,1.0,8.573388203017834e-07,2962.6453703703705,532.9590851287189,3191.201987085203
0.02,0.05,1.0,8.573388203017834e-07,2962.6453703703705,453.82459848538696,2818.7121742609324
0.02,0.06,1.0,8.573388203017834e-07,2962.6453703703705,640.6241475775719,2735.4606903067975
0.02,0.07,1.0,8.573388203017834e-07,2962.6453703703705,495.7908587504723,2722.870294080809
0.02,0.08,1.0,8.573388203017834e-07,2962.6453703703705,469.0132551224239,2821.737709999852
