m,M,original_average,suppressed_database_average,suppressed_database_sum,suppressed_database_number_of_elements,epsilon_of_M,delta_of_M,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,1,8.573388203017834e-07,2983.2108990893203,2948.6474611368812,20.565528718949736,13.997909233489281
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,1,8.573388203017834e-07,2966.2793860619236,2973.838089719622,3.6340156915530315,11.192719349251547
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,1,8.573388203017834e-07,2956.682397897458,2911.810104368891,5.962972472912497,50.83526600147934
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,1,8.573388203017834e-07,2996.915973475469,2902.730441584429,34.27060310509842,59.914928785941356
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,1,8.573388203017834e-07,2919.521393315167,3150.69940200666,43.12397705520334,188.05403163628944
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,1,8.573388203017834e-07,2973.877750918903,2886.060650905969,11.232380548532547,76.58471946440159
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,1,8.573388203017834e-07,2960.8670323540564,3049.099875746978,1.7783380163141373,86.45450537660736
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,1,8.573388203017834e-07,2974.1196606987182,2829.4576014380177,11.474290328347706,133.1877689323528
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,1,8.573388203017834e-07,2958.998689557129,2868.914735373157,3.646680813241346,93.73063499721366
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,1,8.573388203017834e-07,2958.3825480758564,3009.0840941708007,4.262822294514081,46.438723800430125
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,1,8.573388203017834e-07,2947.31684242595,2881.093041330355,15.32852794442033,81.5523290400156
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,1,8.573388203017834e-07,2941.7344509037457,3114.5629045792025,20.91091946662482,151.91753420883197
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,1,8.573388203017834e-07,2966.7448856562974,3109.9178041656746,4.099515285926827,147.2724337953041
