m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,8.573388203017834e-07,2962.6453703703705,22.59670200133265,68.61322415312254
0.01,0.01,1.0063647580360118,8.659988083856399e-07,2962.6453703703705,22.586157434497135,68.58079989071629
0.02,0.02,1.0128179179349637,8.748355309201871e-07,2962.6453703703705,22.3064638216308,68.8895784844853
0.03,0.03,1.0193614715465262,8.838544539193642e-07,2962.6453703703705,23.992544977533825,71.70925595679797
0.04,0.04,1.0259974746609668,8.930612711476911e-07,2962.6453703703705,23.798405814936086,71.8460070911118
0.05,0.05,1.032728049717885,9.024619161071406e-07,2962.6453703703705,26.007226821183465,70.15567998463378
0.06,0.06,1.0395553886588504,9.120625747891314e-07,2962.6453703703705,25.56736339347226,76.07196305404246
0.07,0.07,1.046481755933204,9.218696992492294e-07,2962.6453703703705,25.94501276425452,74.36870115508296
0.08,0.08,1.053509491666951,9.318900220671559e-07,2962.6453703703705,29.236682592648453,74.29931391858894
0.09,0.09,1.0606410150054735,9.421305717602017e-07,2962.6453703703705,27.13336451138979,72.96535092249106
0.1,0.1,1.067878827641591,9.525986892242036e-07,2962.6453703703705,26.791949921446722,71.09957097196312
0.11,0.11,1.0752255175414156,9.63302045282903e-07,2962.6453703703705,28.176870354465528,76.11365477293765
0.12,0.12,1.0826837628814319,9.742486594338447e-07,2962.6453703703705,29.001151902034927,73.84875035316908
0.13,0.13,1.0902563362112878,9.85446919887107e-07,2962.6453703703705,28.7568422742803,71.65386847525195
0.14,0.14,1.097946108857996,9.969056050020738e-07,2962.6453703703705,29.789008438293518,77.80810050239822
0.15,0.15,1.1057560555884813,1.0086339062373921e-06,2962.6453703703705,27.70559135183545,74.54908994064374
0.16,0.16,1.1136892595488543,1.0206414527402187e-06,2962.6453703703705,28.394107117536844,78.10066328858444
0.17,0.17,1.1217489175003088,1.032938337712992e-06,2962.6453703703705,30.107241152101743,73.30177138543218
0.18,0.18,1.1299383453732408,1.045535146709492e-06,2962.6453703703705,31.008300622631882,82.68115197927027
0.19,0.19,1.1382609841630418,1.0584429880268933e-06,2962.6453703703705,31.57212109170196,80.03448352918508
0.2,0.2,1.146720406193046,1.0716735253772291e-06,2962.6453703703705,31.533765589188768,80.47448229645273
0.21,0.21,1.1553203217723849,1.0852390130402323e-06,2962.6453703703705,33.56687285469894,81.69445256062976
0.22,0.22,1.1640645862789334,1.099152333720235e-06,2962.6453703703705,32.04818802349502,78.19497465740527
0.23,0.23,1.172957207700318,1.1134270393529656e-06,2962.6453703703705,30.781218063092503,80.11586360962993
0.24,0.24,1.1820023546689093,1.1280773951339255e-06,2962.6453703703705,31.011517182488866,84.31992813418209
0.25,0.25,1.19120436503011,1.1431184270690443e-06,2962.6453703703705,31.417759794198215,79.49510068066125
0.26,0.26,1.2005677549869138,1.1585659733807882e-06,2962.6453703703705,34.36847932509749,85.19386460364589
0.27,0.27,1.210097228867802,1.174436740139429e-06,2962.6453703703705,34.170963047504024,82.92612040036504
0.28,0.28,1.2197976895696174,1.190748361530255e-06,2962.6453703703705,35.85700424985835,84.39862088637811
0.29,0.29,1.229674249732078,1.2075194652137793e-06,2962.6453703703705,33.74067559535864,81.822169248806
0.3,0.3,1.2397322437062515,1.2247697432882618e-06,2962.6453703703705,35.236038035631005,83.018513779748
0.31,0.31,1.2499772403855614,1.2425200294228743e-06,2962.6453703703705,36.62696867937066,89.29666638862595
0.32,0.32,1.2604150569749348,1.2607923827967401e-06,2962.6453703703705,35.85782448780644,88.10930048156595
0.33,0.33,1.2710517737815223,1.2796101795549006e-06,2962.6453703703705,40.22234275452119,87.1521773399574
0.34,0.34,1.281893750119208,1.2989982125784598e-06,2962.6453703703705,39.5464210880033,89.32654725601041
0.35,0.35,1.2929476414289993,1.3189828004642817e-06,2962.6453703703705,36.96664464616733,88.68273481407117
0.36,0.36,1.3042204177284589,1.3395919067215363e-06,2962.6453703703705,40.26920111925964,92.22879105316154
0.37,0.37,1.3157193835158085,1.3608552703202914e-06,2962.6453703703705,38.02946766763141,89.38811703282094
0.38,0.38,1.3274521992684327,1.382804548873844e-06,2962.6453703703705,38.797896828867145,96.56701337028342
0.39,0.39,1.3394269046914018,1.405473475904563e-06,2962.6453703703705,39.28672811090242,90.787750151921
0.4,0.4,1.3516519438896402,1.4288980338363059e-06,2962.6453703703705,42.10300524654733,92.89766342360261
0.41,0.41,1.3641361926578157,1.4531166445792938e-06,2962.6453703703705,41.25587724432339,93.75149330235391
0.42,0.42,1.3768889881052373,1.4781703798306612e-06,2962.6453703703705,41.79585045020221,97.1556992030332
0.43,0.43,1.3899201608595144,1.5041031935119003e-06,2962.6453703703705,45.603524189586025,91.31768763883592
0.44,0.44,1.4032400701229404,1.5309621791103266e-06,2962.6453703703705,44.206032775010655,97.3438470190833
0.45,0.45,1.4168596418901167,1.558797855094151e-06,2962.6453703703705,44.18762700006801,99.86036953006585
0.46,0.46,1.4307904106749971,1.587664482040339e-06,2962.6453703703705,44.83802967408346,103.01523484397727
0.47,0.47,1.4450445651410395,1.6176204156637414e-06,2962.6453703703705,47.113754631647346,102.15412039649308
0.48,0.48,1.4596349980807526,1.6487285005803523e-06,2962.6453703703705,46.57004648394807,103.25607031782442
0.49,0.49,1.4745753612514938,1.6810565103956534e-06,2962.6453703703705,45.378924343632576,102.64996376274742
0.5,0.5,1.4898801256447494,1.7146776406035667e-06,2962.6453703703705,46.9456069128941,102.45598109722775
0.51,0.51,1.5055646478477143,1.7496710618403741e-06,2962.6453703703705,47.67070577772245,105.86967019516632
0.52,0.52,1.5216452432511252,1.7861225422953822e-06,2962.6453703703705,48.12013587979485,104.96621179105946
0.53,0.53,1.538139266968456,1.8241251495782627e-06,2962.6453703703705,49.41604658285307,109.03819027392741
0.54,0.54,1.5550652034618422,1.8637800441343118e-06,2962.6453703703705,49.84408904437333,108.86440154004349
0.55,0.55,1.572442766023277,1.9051973784484072e-06,2962.6453703703705,49.56552237979502,109.51382652116531
0.56,0.56,1.5902930074403714,1.94849731886769e-06,2962.6453703703705,50.07929270593341,116.54999966847028
0.57,0.57,1.6086384433899386,1.9938112100041476e-06,2962.6453703703705,55.61773499608736,112.49105781867597
0.58,0.58,1.627503190356941,2.0412829054804366e-06,2962.6453703703705,53.584781267590536,114.5240493414673
0.59,0.59,1.6469131201796612,2.091070293418984e-06,2962.6453703703705,52.912027994087644,115.51710080951001
0.6,0.6,1.666896033685178,2.1433470507544583e-06,2962.6453703703705,59.26138968773818,124.11088460876488
0.61,0.61,1.6874818563161362,2.19830466744047e-06,2962.6453703703705,57.48688221293247,117.9670951686012
0.62,0.62,1.7087028591774003,2.256154790267851e-06,2962.6453703703705,58.469980106243895,125.28008838245276
0.63,0.63,1.7305939095715457,2.3171319467615765e-06,2962.6453703703705,58.9387503400789,133.37948741919416
0.64,0.64,1.7531927558727805,2.38149672306051e-06,2962.6453703703705,58.93727488432454,123.63754909256772
0.65,0.65,1.7765403525456835,2.4495394865765235e-06,2962.6453703703705,62.85005055285407,130.25139500839822
0.66,0.66,1.8006812322938008,2.5215847655934802e-06,2962.6453703703705,59.6919865705218,136.4711294968705
0.67,0.67,1.825663933783539,2.5979964251569196e-06,2962.6453703703705,63.07689504612298,138.0931436458364
0.68,0.68,1.8515414952088523,2.6791838134430738e-06,2962.6453703703705,65.43683513664415,136.77000431734677
0.69,0.69,1.8783720262447996,2.765609097747688e-06,2962.6453703703705,67.35812378414825,136.10686452284833
0.7,0.7,1.9062193738198776,2.8577960676726117e-06,2962.6453703703705,68.43563370223562,141.5491302946702
0.71,0.71,1.935153900800814,2.9563407596613224e-06,2962.6453703703705,74.85172962774782,145.23136676424224
0.72,0.72,1.9652534013766958,3.0619243582206533e-06,2962.6453703703705,68.75147210985253,152.73651540199532
0.73,0.73,1.9966041829888956,3.175328964080678e-06,2962.6453703703705,74.90401004903556,150.45700124294078
0.74,0.74,2.0293023525439127,3.2974570011607046e-06,2962.6453703703705,73.16202830980538,165.091094049123
0.75,0.75,2.063455355014828,3.4293552812071335e-06,2962.6453703703705,74.61200253783116,167.3579141903874
0.76,0.76,2.0991838262950595,3.5722450845907643e-06,2962.6453703703705,84.19879270561928,166.60784255670129
0.77,0.77,2.1366238406150826,3.7275600882686235e-06,2962.6453703703705,81.29007588664103,171.9360327524462
0.78,0.78,2.1759296578470386,3.89699463773538e-06,2962.6453703703705,87.2727542239723,179.02418919850157
0.79,0.79,2.2172771103569073,4.082565810960875e-06,2962.6453703703705,87.59192606369575,174.41572317392175
0.8,0.8,2.260867816817828,4.2866941015089165e-06,2962.6453703703705,89.72289545781166,178.0904355527854
0.81,0.81,2.3069344777758474,4.512309580535702e-06,2962.6453703703705,90.49722152926725,194.94819498459384
0.82,0.82,2.355747604326646,4.762993446121016e-06,2962.6453703703705,96.45741423631226,214.754576345628
0.83,0.83,2.40762417206322,5.043169531186959e-06,2962.6453703703705,100.70223209269543,207.40318708352086
0.84,0.84,2.462938901677292,5.358367626886144e-06,2962.6453703703705,105.31616545053697,208.5399420360489
0.85,0.85,2.5221391850786152,5.7155921353452234e-06,2962.6453703703705,106.58252713850634,226.98765058210344
0.86,0.86,2.5857651690394006,6.1238487164413065e-06,2962.6453703703705,107.07225871942536,239.27821181297566
0.87,0.87,2.6544772946958113,6.594914002321409e-06,2962.6453703703705,113.61791222781461,250.6195948631093
0.88,0.88,2.729094882687595,7.144490169181529e-06,2962.6453703703705,116.92438537128385,263.2845000577942
0.89,0.89,2.8106515474558647,7.79398927547076e-06,2962.6453703703705,119.36304274805754,259.0905318893538
0.9,0.9,2.900477097889386,8.573388203017833e-06,2962.6453703703705,142.5983895198621,299.93703136323325
0.91,0.91,3.0003227370465355,9.52598689224204e-06,2962.6453703703705,144.22701871783832,312.4305694981345
0.92,0.92,3.1125603136022213,1.0716735253772297e-05,2962.6453703703705,160.15848992615275,341.897981914673
0.93,0.93,3.2405153234437045,1.2247697432882632e-05,2962.6453703703705,170.26206880002894,398.2579132001716
0.94,0.94,3.3890583499851985,1.4288980338363045e-05,2962.6453703703705,180.16176536612255,430.49787945047495
0.95,0.95,3.565740630302793,1.7146776406035653e-05,2962.6453703703705,212.68621494921862,500.58722036217785
0.96,0.96,3.7832129232615723,2.143347050754456e-05,2962.6453703703705,232.35374102175004,592.6371875872758
0.97,0.97,4.065191390652873,2.857796067672609e-05,2962.6453703703705,304.9292285740799,673.2528147683539
0.98,0.98,4.464920175891208,4.286694101508912e-05,2962.6453703703705,382.4602979821014,1050.8333178472928
0.99,0.99,5.152297938244443,8.573388203017824e-05,2962.6453703703705,653.1218338316642,2037.4418670054463
0.1,0.2,0.0,9.525986892242036e-07,2962.6453703703705,,
0.1,0.3,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.4,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.5,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.6,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.7,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.8,,9.525986892242036e-07,2962.6453703703705,,
0.1,0.9,,9.525986892242036e-07,2962.6453703703705,,
0.2,0.3,0.6558318735740907,1.0716735253772291e-06,2962.6453703703705,48.733643383226294,129.50844402524825
0.2,0.4,0.0,1.0716735253772291e-06,2962.6453703703705,,
0.2,0.5,,1.0716735253772291e-06,2962.6453703703705,,
0.2,0.6,,1.0716735253772291e-06,2962.6453703703705,,
0.2,0.7,,1.0716735253772291e-06,2962.6453703703705,,
