m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,2962.6453703703705,52.76811121694351,-562.0627954042775,51.76260823543902,125.89640535634408,116.7156097149188,-575.300324892808
0.01,0.01,2962.6453703703705,-153.54014532067765,-173.1280604582853,-26.306753309872306,326.29337106980074,-81.42384013185733,-205.25563103688728
0.02,0.02,2962.6453703703705,61.676612583933206,-65.20303206931112,218.12492543227722,-72.01735045115038,-57.65273823011432,-127.01508089120807
0.03,0.03,2962.6453703703705,26.589895543476644,-354.2426982411089,55.75654510637344,-325.8646171110672,136.82936551760656,-162.15725149290347
0.04,0.04,2962.6453703703705,49.3181824683312,-499.33771843778777,-26.942443256121066,-204.2638519856887,208.88205838548515,-404.83272172128864
0.05,0.05,2962.6453703703705,-134.50553789078498,360.06264630722535,-174.51212470102945,327.56223582398707,-190.95197584719836,52.407216492084444
0.06,0.06,2962.6453703703705,-1.8726486646532408,-683.0313594470522,-66.94388974535775,-323.4690779603079,96.74353576347238,-448.51914373459476
0.07,0.07,2962.6453703703705,-321.09611351142075,-943.6116895744894,-241.66487428726407,126.36793933880153,-52.87545377020217,-506.8017312297866
0.08,0.08,2962.6453703703705,-122.24612607597624,-302.19009419225495,-179.16814882591132,-239.3620070689426,-60.26480709742134,119.58310007064347
0.09,0.09,2962.6453703703705,-196.27886354509417,-359.19479647616936,-83.7947302408063,-382.9770765464036,-159.03770961050884,-442.69787604431485
0.1,0.1,2962.6453703703705,-88.322755395059,-1372.266332467409,-37.623305401852406,-142.85279363118843,-10.623622646203444,-864.7072198160804
0.11,0.11,2962.6453703703705,-209.22342395174826,-1442.3643825891572,-120.78651082554529,-713.3630221905855,-116.32430509523704,-961.8106712311674
0.12,0.12,2962.6453703703705,-186.38988462259027,-517.0141639996223,-308.45873471757415,85.20383276305665,-61.3316473756953,-343.2752902063521
0.13,0.13,2962.6453703703705,-154.0393162309939,-411.91503602398416,-179.90523101347821,-466.03319472344856,-37.2312966741581,77.20488763672574
0.14,0.14,2962.6453703703705,-207.81412437718768,-1154.8580975516497,-63.132513115825304,-1007.1689464658907,-200.6209815464465,-71.21400726610409
0.15,0.15,2962.6453703703705,-383.69303177995386,-1220.5568383149953,-156.17491602781257,-48.93197979179649,-58.799995722809285,-1247.671238750288
0.16,0.16,2962.6453703703705,-201.59430758293797,-2054.9897336127897,-51.08620550287026,-496.49835934871226,-132.0924527545477,-1750.6768257805943
0.17,0.17,2962.6453703703705,-254.30189292700533,-810.9261001243322,-245.4420602064376,-165.6587991599622,-140.51847347133423,-432.41964490402916
0.18,0.18,2962.6453703703705,-400.3050426550197,-1592.5220688879785,-175.02192711251104,-1378.7021878424157,-280.19665422974197,-182.51128841620266
0.19,0.19,2962.6453703703705,-283.0007636484929,-1282.0562840521993,-252.87472773165746,-571.9970173725901,-69.37904256467436,-939.9488796892629
0.2,0.2,2962.6453703703705,-410.31724842504326,-1703.7985739499682,-419.29449713094726,-956.9338831009027,-108.86983491679564,-556.9367319422595
0.21,0.21,2962.6453703703705,-563.12753486099,-1041.7989159006443,-389.45978594534574,-291.73149772868464,-276.3581328121412,-152.31146497964437
