m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,2.0,8.573388203017834e-07,2962.6453703703705,11.296072011982522,37.2038316927054
0.01,0.01,2.0,8.573388203017834e-07,2962.6453703703705,12.007215814133197,38.68853274903409
0.02,0.02,2.0,8.573388203017834e-07,2962.6453703703705,12.601583568687147,39.54143587596271
0.03,0.03,2.0,8.573388203017834e-07,2962.6453703703705,13.846778154645177,38.041367516725025
0.04,0.04,2.0,8.573388203017834e-07,2962.6453703703705,14.276045412197309,40.10840071467066
0.05,0.05,2.0,8.573388203017834e-07,2962.6453703703705,14.78357350726931,40.08599143153171
0.06,0.06,2.0,8.573388203017834e-07,2962.6453703703705,15.644951154001923,40.868319181848435
0.07,0.07,2.0,8.573388203017834e-07,2962.6453703703705,16.57238795368655,44.10602535858502
0.08,0.08,2.0,8.573388203017834e-07,2962.6453703703705,16.73132237723047,45.71538085873617
0.09,0.09,2.0,8.573388203017834e-07,2962.6453703703705,17.61450514560774,43.556195668221726
0.1,0.1,2.0,8.573388203017834e-07,2962.6453703703705,16.949641950451216,45.382512293605686
0.11,0.11,2.0,8.573388203017834e-07,2962.6453703703705,18.71048472812069,45.06021144811524
0.12,0.12,2.0,8.573388203017834e-07,2962.6453703703705,19.037540957769977,45.914032341309365
0.13,0.13,2.0,8.573388203017834e-07,2962.6453703703705,18.69364900304226,47.17690057964169
0.14,0.14,2.0,8.573388203017834e-07,2962.6453703703705,19.044544992306204,48.8088402371897
0.15,0.15,2.0,8.573388203017834e-07,2962.6453703703705,20.92230748562042,47.88255447209337
0.16,0.16,2.0,8.573388203017834e-07,2962.6453703703705,19.369694103191218,46.89969131972611
0.17,0.17,2.0,8.573388203017834e-07,2962.6453703703705,19.815900277230785,48.99219368222547
0.18,0.18,2.0,8.573388203017834e-07,2962.6453703703705,20.411122755838072,45.786368874313574
0.19,0.19,2.0,8.573388203017834e-07,2962.6453703703705,21.457327092864617,49.18717993081188
0.2,0.2,2.0,8.573388203017834e-07,2962.6453703703705,23.310325116611267,49.242535522864735
