m,M,original_average,suppressed_database_average,suppressed_database_sum,suppressed_database_number_of_elements,epsilon_of_M,delta_of_M,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2955.958098035894,2892.8691156766777,6.687272334476347,69.77625469369286
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2968.121759799712,3010.897892696927,5.476389429341452,48.25252232655657
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2957.6308164102743,3076.3005284060578,5.0145539600962366,113.65515803568724
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2973.108559637434,2941.5736962761116,10.463189267063626,21.071674094258924
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2980.1937765524267,2933.537580281518,17.54840618205617,29.107790088852653
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2959.079603132593,2958.880501505696,3.565767237777436,3.764868864674554
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2947.627081666609,3021.5891569595733,15.018288703761755,58.94378658920277
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2950.8983402943422,3011.048207160513,11.747030076028295,48.40283679014237
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2929.2280128334237,2971.382884059026,33.41735753694684,8.737513688655326
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2944.1307117075867,2966.67213682417,18.51465866278386,4.02676645379961
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2965.302307991043,3015.914687196876,2.656937620672579,53.269316826505474
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2972.3681570296008,3005.354932573869,9.722786659230223,42.709562203498535
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2964.1371782282727,2977.76920248119,1.4918078579021312,15.123832110819421
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2970.04705175412,2970.615338850099,7.401681383749292,7.969968479728323
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2969.471463804801,2857.8132774633227,6.826093434430277,104.83209290704781
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2968.623344794732,2915.654769892845,5.977974424361491,46.99060047752573
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2955.705648526304,2974.2874059484766,6.939721844066753,11.64203557810606
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2967.7816191874404,3031.63117758638,5.136248817069827,68.98580721600956
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2960.1076359706667,2954.9739695771045,2.5377343997038224,7.671400793266002
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2969.4832464609617,3013.4740675206745,6.83787609059118,50.828697150303924
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2972.1481588147467,2953.289708653205,9.502788444376165,9.35566171716573
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2966.913502209829,2935.4860607532014,4.26813183945842,27.15930961716913
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2971.8253807768583,2914.3012884990094,9.180010406487781,48.34408187136114
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2943.631659980616,2949.3347115750057,19.01371038975458,13.310658795364816
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2977.955863763416,2892.105944202049,15.310493393045363,70.53942616832137
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2953.7221466589813,2950.7306615623143,8.923223711389255,11.914708808056275
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2970.069149123784,3011.6231329582456,7.423778753413444,48.97776258787508
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2975.99029915515,2910.682282414831,13.344928784779313,51.96308795553932
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2969.7419094395073,2905.2649713619658,7.096539069136725,57.380399008404765
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2956.2357156668286,3026.496765968528,6.409654703541946,63.851395598157524
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2969.363334258797,2973.7544205454437,6.717963888426311,11.109050175073207
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2961.4317896373555,2974.332972280748,1.2135807330150783,11.687601910377452
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2970.5044492360234,2925.349665143361,7.8590788656529185,37.29570522700942
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2976.8982051817966,2995.9207687293333,14.252834811426055,33.275398358962775
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2971.843137902889,2945.4866014432528,9.197767532518355,17.158768927117762
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2959.2162323002267,3074.1155884792342,3.4291380701438356,111.47021810886372
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2955.643391527629,2960.318609856228,7.001978842741664,2.326760514142734
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2951.9972206802186,3067.2605171906216,10.648149690151968,104.61514682025108
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2972.262478590378,2978.8976240543734,9.617108220007594,16.25225368400288
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2972.3346455898104,2967.5539093767775,9.689275219439878,4.908539006406954
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2975.4062795757654,3027.9352063491347,12.76090920539491,65.28983597876413
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2955.676922974858,2949.565424927757,6.968447395512612,13.079945442613734
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2951.806430580229,3016.6400471200545,10.838939790141467,53.994676749684004
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2947.10785492832,2971.081748805546,15.537515442050335,8.436378435175357
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2959.9744226607627,2921.311226497859,2.6709477096078444,41.334143872511504
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2954.542891448021,3030.941689485614,8.102478922349746,68.29631911524348
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2949.1253061069597,3022.732341189427,13.520064263410859,60.08697081905666
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2975.867365207066,2997.7167019302365,13.221994836695558,35.07133155986594
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2961.013612137895,2966.7656471214354,1.6317582324754767,4.120276751064921
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2954.2285008480285,2904.8328668684426,8.41686952234204,57.81250350192795
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2966.820094087422,2930.1997227433335,4.17472371705162,32.44564762703703
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2963.1794919865342,3025.9059777902544,0.5341216161637021,63.260607419883854
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2983.138300008251,2960.398021107644,20.49292963788048,2.2473492627264022
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2955.7296488450534,2965.957151420178,6.915721525317167,3.3117810498074505
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2976.022084987034,2904.693513220713,13.376714616663321,57.95185714965737
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2959.525217373942,2897.0614642666383,3.1201529964287147,65.58390610373226
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2957.6623751645043,2894.34487276069,4.982995205866246,68.3004976096804
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2957.6602592866166,2951.8463857568054,4.985111083753964,10.798984613565153
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2964.6949296283824,2961.1365163918686,2.0495592580118682,1.5088539785019748
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2962.8044323402023,2957.7514038773375,0.15906196983178233,4.893966493033076
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2959.352084424833,2817.1896047529062,3.2932859455377184,145.4557656174643
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2993.4143579349325,2897.9806599300105,30.76898756456194,64.66471044036007
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2963.9115619804015,2979.4112505552844,1.266191610031001,16.76588018491384
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2962.969631623836,2969.8422132147684,0.3242612534654654,7.1968428443979064
0.0,0.0,2962.6453703703705,2962.6453703703705,3199657,1080,2.0,8.573388203017834e-07,2967.698919810172,3051.7953972221776,5.0535494398013725,89.15002685180707
