m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,2.0,8.573388203017834e-07,2962.6453703703705,129.33692043543712,825.7319617663819
0.01,0.01,2.0086960664121003,8.659988083856399e-07,2962.6453703703705,125.32938273760166,907.5979342843177
0.02,0.02,2.0174923319015567,8.748355309201871e-07,2962.6453703703705,186.83784511925705,826.32082197681
0.03,0.03,2.0263908845731886,8.838544539193642e-07,2962.6453703703705,152.42027142576353,902.5886972289313
0.04,0.04,2.035393877584003,8.930612711476911e-07,2962.6453703703705,148.19043622336616,903.6701987712265
0.05,0.05,2.044503531868755,9.024619161071406e-07,2962.6453703703705,147.81325193637974,866.3899220185264
0.06,0.06,2.0537221390097273,9.120625747891314e-07,2962.6453703703705,186.14048928030732,878.8875611341593
0.07,0.07,2.0630520642599994,9.218696992492294e-07,2962.6453703703705,198.1197092546251,882.3167564087264
0.08,0.08,2.0724957497301446,9.318900220671559e-07,2962.6453703703705,173.38703513500852,909.8321044033867
0.09,0.09,2.0820557177490753,9.421305717602017e-07,2962.6453703703705,236.21170743684917,1009.7681302912096
0.1,0.1,2.091734574410594,9.525986892242036e-07,2962.6453703703705,224.16727436221615,1123.442204604163
0.11,0.11,2.101535013318088,9.63302045282903e-07,2962.6453703703705,187.15777446213252,1059.398701157861
0.12,0.12,2.1114598195408156,9.742486594338447e-07,2962.6453703703705,210.44201619686692,1110.7714091044984
0.13,0.13,2.121511873796272,9.85446919887107e-07,2962.6453703703705,208.15493780380328,1117.8536091453877
0.14,0.14,2.1316941568743455,9.969056050020738e-07,2962.6453703703705,223.42723115047045,1214.3099862169272
0.15,0.15,2.142009754320214,1.0086339062373921e-06,2962.6453703703705,272.3024228075631,1204.8057625085196
0.16,0.16,2.152461861394364,1.0206414527402187e-06,2962.6453703703705,289.0072078565008,1300.8716967296739
0.17,0.17,2.1630537883296337,1.032938337712992e-06,2962.6453703703705,261.2434279615016,1416.2611528985503
0.18,0.18,2.1737889659069087,1.045535146709492e-06,2962.6453703703705,273.7896073439364,1207.7064228098372
0.19,0.19,2.1846709513729072,1.0584429880268933e-06,2962.6453703703705,308.3778655020278,1202.4323871316217
0.2,0.2,2.1957034347255657,1.0716735253772291e-06,2962.6453703703705,328.50395819590096,1312.425504913436
0.21,0.21,2.206890245394767,1.0852390130402323e-06,2962.6453703703705,326.28601964856875,1270.2661428585077
0.22,0.22,2.2182353593486406,1.099152333720235e-06,2962.6453703703705,324.3603289231914,1253.889487147389
0.23,0.23,2.229742906658366,1.1134270393529656e-06,2962.6453703703705,359.3432685092639,1291.969301414781
