m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,2.0,8.573388203017834e-07,2962.6453703703705,101.242254213666,733.9017715883779
0.01,0.01,2.0,8.573388203017834e-07,2962.6453703703705,123.150364094473,863.1720568193867
0.02,0.02,2.0,8.573388203017834e-07,2962.6453703703705,125.99693206710865,946.6150778586675
0.03,0.03,2.0,8.573388203017834e-07,2962.6453703703705,157.37224065426835,822.8503221633179
0.04,0.04,2.0,8.573388203017834e-07,2962.6453703703705,129.5254456718549,961.4750750853647
0.05,0.05,2.0,8.573388203017834e-07,2962.6453703703705,160.58950122253253,927.739145494742
0.06,0.06,2.0,8.573388203017834e-07,2962.6453703703705,199.05270213768324,945.8425602780695
0.07,0.07,2.0,8.573388203017834e-07,2962.6453703703705,200.22611460409027,982.4139877185161
0.08,0.08,2.0,8.573388203017834e-07,2962.6453703703705,203.37289321968285,1048.4909976263136
0.09,0.09,2.0,8.573388203017834e-07,2962.6453703703705,184.29506233792884,976.9271808984574
0.1,0.1,2.0,8.573388203017834e-07,2962.6453703703705,189.51058084489196,1151.2618924892654
0.11,0.11,2.0,8.573388203017834e-07,2962.6453703703705,234.13552746185917,1031.5561747289348
0.12,0.12,2.0,8.573388203017834e-07,2962.6453703703705,260.9448960704751,1281.7693135134232
0.13,0.13,2.0,8.573388203017834e-07,2962.6453703703705,246.43007914696304,1301.0807652489104
0.14,0.14,2.0,8.573388203017834e-07,2962.6453703703705,301.0882482632171,1463.8874120653065
0.15,0.15,2.0,8.573388203017834e-07,2962.6453703703705,284.7239367605627,1363.4544027670393
0.16,0.16,2.0,8.573388203017834e-07,2962.6453703703705,288.59648320828876,1283.3693437272573
0.17,0.17,2.0,8.573388203017834e-07,2962.6453703703705,287.67627146498194,1351.793608429562
0.18,0.18,2.0,8.573388203017834e-07,2962.6453703703705,256.39596148334215,1377.7618797914465
0.19,0.19,2.0,8.573388203017834e-07,2962.6453703703705,277.0876996796493,1488.2982138323637
0.2,0.2,2.0,8.573388203017834e-07,2962.6453703703705,330.7944184193248,1359.9435740952104
0.21,0.21,2.0,8.573388203017834e-07,2962.6453703703705,429.5128104794516,1423.0770992875366
0.22,0.22,2.0,8.573388203017834e-07,2962.6453703703705,353.6726224314845,1564.9336831397884
0.23,0.23,2.0,8.573388203017834e-07,2962.6453703703705,340.08332849798586,1440.0458887061172
0.24,0.24,2.0,8.573388203017834e-07,2962.6453703703705,428.34170088955307,1715.9445522066069
0.25,0.25,2.0,8.573388203017834e-07,2962.6453703703705,428.43999493798225,1643.5191687357276
0.26,0.26,2.0,8.573388203017834e-07,2962.6453703703705,387.60622717408467,1865.5123661804253
0.27,0.27,2.0,8.573388203017834e-07,2962.6453703703705,497.5649481457611,1843.0421606807454
0.28,0.28,2.0,8.573388203017834e-07,2962.6453703703705,474.28413954415015,1900.4497720315105
0.29,0.29,2.0,8.573388203017834e-07,2962.6453703703705,494.84837617055456,2000.094424511
0.3,0.3,2.0,8.573388203017834e-07,2962.6453703703705,470.1348335588972,1823.3259427050014
0.31,0.31,2.0,8.573388203017834e-07,2962.6453703703705,544.3083390355324,1974.5799853707815
0.32,0.32,2.0,8.573388203017834e-07,2962.6453703703705,544.7486148561973,1865.084935405474
0.33,0.33,2.0,8.573388203017834e-07,2962.6453703703705,554.7428908395302,1988.4314206512165
0.34,0.34,2.0,8.573388203017834e-07,2962.6453703703705,628.4840751134666,2689.2191049990633
0.35,0.35,2.0,8.573388203017834e-07,2962.6453703703705,651.5485941357381,2204.647310483318
0.36,0.36,2.0,8.573388203017834e-07,2962.6453703703705,646.5427723084907,2383.3491120771478
0.37,0.37,2.0,8.573388203017834e-07,2962.6453703703705,714.7175881306016,2399.7688138903727
0.38,0.38,2.0,8.573388203017834e-07,2962.6453703703705,832.9164477135461,2273.1890681945833
0.39,0.39,2.0,8.573388203017834e-07,2962.6453703703705,764.7027309214932,2748.8305960388634
0.4,0.4,2.0,8.573388203017834e-07,2962.6453703703705,731.1971115948694,2787.067819500986
0.41,0.41,2.0,8.573388203017834e-07,2962.6453703703705,754.0536796662253,2659.866837405615
0.42,0.42,2.0,8.573388203017834e-07,2962.6453703703705,800.3774983654823,3281.9516003401054
0.43,0.43,2.0,8.573388203017834e-07,2962.6453703703705,799.0672078768914,3462.839476675528
0.44,0.44,2.0,8.573388203017834e-07,2962.6453703703705,804.3160413212031,3109.2759356708902
0.45,0.45,2.0,8.573388203017834e-07,2962.6453703703705,891.9386791856211,3521.8810615729717
0.46,0.46,2.0,8.573388203017834e-07,2962.6453703703705,857.1302322239786,3598.4855122546446
0.47,0.47,2.0,8.573388203017834e-07,2962.6453703703705,917.634265612708,2885.71183329584
0.48,0.48,2.0,8.573388203017834e-07,2962.6453703703705,1117.9289452926769,3509.4524110477373
0.49,0.49,2.0,8.573388203017834e-07,2962.6453703703705,1140.4880251798445,4372.842271946561
0.5,0.5,2.0,8.573388203017834e-07,2962.6453703703705,1118.3169056954555,4128.343046501231
0.51,0.51,2.0,8.573388203017834e-07,2962.6453703703705,1364.0792386879473,4802.602783344738
0.52,0.52,2.0,8.573388203017834e-07,2962.6453703703705,1211.512915605591,4646.245433759599
0.53,0.53,2.0,8.573388203017834e-07,2962.6453703703705,1263.9800796620646,4638.991627275819
0.54,0.54,2.0,8.573388203017834e-07,2962.6453703703705,1292.4456316749938,4787.755013640199
0.55,0.55,2.0,8.573388203017834e-07,2962.6453703703705,1367.7353804572258,5258.655465276084
0.56,0.56,2.0,8.573388203017834e-07,2962.6453703703705,1499.3268398110238,4543.116032761188
0.57,0.57,2.0,8.573388203017834e-07,2962.6453703703705,1504.3380038952703,6168.47565253698
0.58,0.58,2.0,8.573388203017834e-07,2962.6453703703705,1638.5981417234964,4755.751184500507
0.59,0.59,2.0,8.573388203017834e-07,2962.6453703703705,1607.062214077169,5295.974997999325
0.6,0.6,2.0,8.573388203017834e-07,2962.6453703703705,1857.2297197402243,6066.756140119904
0.61,0.61,2.0,8.573388203017834e-07,2962.6453703703705,1681.1313798335345,6556.676674559858
0.62,0.62,2.0,8.573388203017834e-07,2962.6453703703705,2120.8207151963043,7481.369588866341
0.63,0.63,2.0,8.573388203017834e-07,2962.6453703703705,1986.0201898795508,7398.769586769076
0.64,0.64,2.0,8.573388203017834e-07,2962.6453703703705,2128.4896207559773,7480.922281345353
0.65,0.65,2.0,8.573388203017834e-07,2962.6453703703705,1820.4525907920142,7236.131455908517
0.66,0.66,2.0,8.573388203017834e-07,2962.6453703703705,2044.519759833636,9583.670946252609
0.67,0.67,2.0,8.573388203017834e-07,2962.6453703703705,2454.505090583726,9755.377102313932
0.68,0.68,2.0,8.573388203017834e-07,2962.6453703703705,2827.0603969516887,10210.27405037838
0.69,0.69,2.0,8.573388203017834e-07,2962.6453703703705,2501.9232194238443,8920.654836854857
0.7,0.7,2.0,8.573388203017834e-07,2962.6453703703705,2938.126910036595,10074.403376832004
0.71,0.71,2.0,8.573388203017834e-07,2962.6453703703705,2844.4820227699115,10866.438446839486
0.72,0.72,2.0,8.573388203017834e-07,2962.6453703703705,3284.7251499838085,11648.73058410709
0.73,0.73,2.0,8.573388203017834e-07,2962.6453703703705,3506.358120216532,13631.771714671793
0.74,0.74,2.0,8.573388203017834e-07,2962.6453703703705,3313.5495551745307,15280.705802172139
0.75,0.75,2.0,8.573388203017834e-07,2962.6453703703705,3512.551021807719,17929.609624543224
