m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,2962.6453703703705,1.366351776236053,1.6791971649008772,1.8766470640260238,-0.28138240392089386,-0.463390352526039,2.5595437493157362
0.01,0.01,2962.6453703703705,-0.46742612271762596,-0.1677626723856065,-0.8931954064299408,-0.31022259816365505,-1.2566589080177692,0.1577099783751308
0.02,0.02,2962.6453703703705,-0.18910659124943052,-2.5487754867665373,0.13602395792926636,-1.278866629546215,-0.34770852046609235,-4.196592240646545
0.03,0.03,2962.6453703703705,-2.616551205527063,2.1540628220350015,-1.9378298763392525,-1.733450091833788,-3.125264460164109,-0.8990943565714673
0.04,0.04,2962.6453703703705,-3.036009975333748,-2.0620498717447475,-3.2555540852339373,-1.0345166307500762,-2.299911084089887,-1.9796171529282773
0.05,0.05,2962.6453703703705,-3.347426747046036,-2.3181779941535297,-3.84309314860951,-4.647920149457207,-3.3326307131931134,-0.928603546492532
0.06,0.06,2962.6453703703705,-4.181300641451918,-3.0920514344095906,-3.964393804683368,-2.4137500113571164,-3.646090114508299,-4.496153569134741
0.07,0.07,2962.6453703703705,-5.173721802856194,-4.513303313882055,-4.695869872174006,-2.091746492130987,-5.169715534628802,-6.051358909712093
0.08,0.08,2962.6453703703705,-4.883880191008277,-6.21204714069993,-4.614421623637156,-1.3197725055099454,-4.876822307448416,-6.878452278197557
0.09,0.09,2962.6453703703705,-6.757491401911281,-5.847428738468366,-7.3224643063729005,-5.7077711894433705,-5.421900753401898,-2.7430232775842427
0.1,0.1,2962.6453703703705,-4.924515565362512,-6.22500029762022,-6.036397823935705,-3.078339149848162,-4.8978030134354285,-5.177391070367641
0.11,0.11,2962.6453703703705,-7.938507549937039,-6.6958078296324075,-6.272966186775225,-5.535956486986862,-6.053905608328842,-4.232636797815857
0.12,0.12,2962.6453703703705,-8.213345519517022,-8.379264558352126,-8.612675227087761,-4.998511432594697,-6.059500496212417,-4.860719686222907
0.13,0.13,2962.6453703703705,-8.087674386437625,-8.550313044491602,-8.374727319756365,-3.9725246783266357,-6.095009857238463,-9.459015916287456
0.14,0.14,2962.6453703703705,-7.25384732067783,-11.749556550137868,-8.443756160400634,-5.195222155229139,-6.6214478248750055,-8.526668828304366
0.15,0.15,2962.6453703703705,-9.065908172337174,-10.990625824987362,-7.895286214343926,-7.217868734578893,-8.173244691450254,-6.3164565363879674
0.16,0.16,2962.6453703703705,-7.677048916256457,-11.006283054191904,-8.133139113064253,-10.792113921082823,-6.721039027832578,-5.555516556197041
0.17,0.17,2962.6453703703705,-7.8016188670078215,-8.983075250832947,-8.168316097362979,-5.519444391870131,-8.131580012989046,-7.471893625180861
0.18,0.18,2962.6453703703705,-7.968734851805692,-8.200144283417671,-7.730677359051931,-7.324788795701323,-8.424583282071698,-4.197364091804538
0.19,0.19,2962.6453703703705,-10.007945076949081,-11.487524331620122,-10.100657608327705,-6.425228288862314,-9.038703030225292,-8.793760325303438
0.2,0.2,2962.6453703703705,-11.668120133762184,-9.401878118192933,-10.684163063070006,-6.2379399775394475,-10.557986863719554,-6.508718197113772
0.21,0.21,2962.6453703703705,-14.00128953137424,-9.897695840551037,-11.74804053917914,-7.780555106969722,-13.083556840361314,-9.004680380115872
0.22,0.22,2962.6453703703705,-11.812246784171052,-14.502842400071295,-10.100849892437129,-11.91604647637429,-11.777816328764033,-13.193750383889444
0.23,0.23,2962.6453703703705,-10.364254616116831,-15.12939162918709,-11.42350549645882,-10.625396124321561,-10.12175742464494,-9.186653419554226
0.24,0.24,2962.6453703703705,-14.197795902181618,-19.863487412696784,-10.695505167829026,-10.307393409532622,-13.532749373220243,-15.988917082892769
0.25,0.25,2962.6453703703705,-14.49185508774595,-15.187174980271294,-11.398125345222905,-10.13471626787689,-12.684474833399358,-10.051484182820154
0.26,0.26,2962.6453703703705,-13.693926756411638,-20.919179231948185,-12.587223699502136,-9.859968402657898,-12.165061450021629,-13.966463403590907
0.27,0.27,2962.6453703703705,-16.74438001006323,-15.842465073672606,-14.909470793612929,-14.577537606765219,-15.069604426192923,-10.823536532601523
0.28,0.28,2962.6453703703705,-15.014980865431239,-20.50869192783332,-14.496032165634022,-13.84007278715719,-13.904128402084478,-15.584636917673826
0.29,0.29,2962.6453703703705,-15.829084434474817,-22.896215291955535,-14.466900753853503,-13.314758663369552,-14.18820376973445,-16.817698042052562
0.3,0.3,2962.6453703703705,-17.120510365587165,-20.528239854151394,-15.218120957739993,-13.904442806965811,-15.616852804109733,-15.942967430218616
0.31,0.31,2962.6453703703705,-19.03221929716458,-23.835494360908314,-17.292674339796644,-12.48080445813138,-16.555068222743778,-16.19844754490275
0.32,0.32,2962.6453703703705,-18.071224011691235,-19.807669498391007,-15.332745577989645,-17.337409282279957,-17.150793542970632,-18.510100208124378
0.33,0.33,2962.6453703703705,-19.95069024170642,-23.75845500798097,-17.8807707445717,-21.11621973380271,-17.957758389026154,-14.69946659401554
