m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.25,2.2500450006750095e-10,42.82262322623226,0.01729155565749673,0.03996365658006994
0.01,0.01,0.25,2.2500450006750095e-10,42.82262322623226,0.01722929286206836,0.04287414265362828
0.02,0.02,0.25,2.2500450006750095e-10,42.82262322623226,0.016953826641491445,0.043425448456936334
0.03,0.03,0.25,2.2500450006750095e-10,42.82262322623226,0.016114730125543035,0.04094901406261798
0.04,0.04,0.25,2.2500450006750095e-10,42.82262322623226,0.016550706440213857,0.04078534817669983
0.05,0.05,0.25,2.2500450006750095e-10,42.82262322623226,0.015497555133072709,0.04239627435182702
0.06,0.06,0.25,2.2500450006750095e-10,42.82262322623226,0.015470259779905859,0.039298879653609245
0.07,0.07,0.25,2.2500450006750095e-10,42.82262322623226,0.01699537385866539,0.036115161168458955
0.08,0.08,0.25,2.2500450006750095e-10,42.82262322623226,0.015787083982273784,0.04077325975003412
0.09,0.09,0.25,2.2500450006750095e-10,42.82262322623226,0.01656073977803095,0.04018807418317948
0.1,0.1,0.25,2.2500450006750095e-10,42.82262322623226,0.01606427658731721,0.041699160445463464
0.11,0.11,0.25,2.2500450006750095e-10,42.82262322623226,0.015449041837691923,0.039336959314149426
0.12,0.12,0.25,2.2500450006750095e-10,42.82262322623226,0.01774821164494358,0.04067540986181029
0.13,0.13,0.25,2.2500450006750095e-10,42.82262322623226,0.016721314216206665,0.042832472225999195
0.14,0.14,0.25,2.2500450006750095e-10,42.82262322623226,0.01491682496500897,0.04054213054710101
0.15,0.15,0.25,2.2500450006750095e-10,42.82262322623226,0.01592948777473569,0.040589627387498266
0.16,0.16,0.25,2.2500450006750095e-10,42.82262322623226,0.01574802724737795,0.0416525688324261
0.17,0.17,0.25,2.2500450006750095e-10,42.82262322623226,0.01567526712694179,0.04424456307609829
0.18,0.18,0.25,2.2500450006750095e-10,42.82262322623226,0.016077157174919178,0.04357416490876999
0.19,0.19,0.25,2.2500450006750095e-10,42.82262322623226,0.016765346713359733,0.04016031993541023
0.2,0.2,0.25,2.2500450006750095e-10,42.82262322623226,0.015413927938575213,0.04090254979148793
0.21,0.21,0.25,2.2500450006750095e-10,42.82262322623226,0.01516033787057053,0.04252246715858229
0.22,0.22,0.25,2.2500450006750095e-10,42.82262322623226,0.016963905869875374,0.03936288347590191
0.23,0.23,0.25,2.2500450006750095e-10,42.82262322623226,0.015808144250405574,0.04165107874837636
0.24,0.24,0.25,2.2500450006750095e-10,42.82262322623226,0.016097574977305327,0.040946995366827395
0.25,0.25,0.25,2.2500450006750095e-10,42.82262322623226,0.016227739755490744,0.03954169655447299
0.26,0.26,0.25,2.2500450006750095e-10,42.82262322623226,0.016860703343373643,0.040476740859643416
0.27,0.27,0.25,2.2500450006750095e-10,42.82262322623226,0.017147508047955257,0.0427593175973489
0.28,0.28,0.25,2.2500450006750095e-10,42.82262322623226,0.01583319449578478,0.03954418413600172
0.29,0.29,0.25,2.2500450006750095e-10,42.82262322623226,0.015768750298848076,0.043533816605813215
0.3,0.3,0.25,2.2500450006750095e-10,42.82262322623226,0.017037891903558446,0.039995253605404756
0.31,0.31,0.25,2.2500450006750095e-10,42.82262322623226,0.016095213725302614,0.03924143010747959
0.32,0.32,0.25,2.2500450006750095e-10,42.82262322623226,0.016308085067527827,0.04083611601056799
0.33,0.33,0.25,2.2500450006750095e-10,42.82262322623226,0.016430588229323605,0.04089934168345201
0.34,0.34,0.25,2.2500450006750095e-10,42.82262322623226,0.015662111868461948,0.04024068887286769
0.35,0.35,0.25,2.2500450006750095e-10,42.82262322623226,0.01621292503391443,0.042559765211378914
0.36,0.36,0.25,2.2500450006750095e-10,42.82262322623226,0.016451474734276474,0.04053323886976564
0.37,0.37,0.25,2.2500450006750095e-10,42.82262322623226,0.016097789377777075,0.03964005765263818
0.38,0.38,0.25,2.2500450006750095e-10,42.82262322623226,0.017101468712357872,0.0416140356279469
0.39,0.39,0.25,2.2500450006750095e-10,42.82262322623226,0.016082175296931824,0.04025065595294106
0.4,0.4,0.25,2.2500450006750095e-10,42.82262322623226,0.016796405766603316,0.04182004309587553
0.41,0.41,0.25,2.2500450006750095e-10,42.82262322623226,0.016227844176398477,0.04032129675406144
0.42,0.42,0.25,2.2500450006750095e-10,42.82262322623226,0.016858987855390084,0.04152906799233851
0.43,0.43,0.25,2.2500450006750095e-10,42.82262322623226,0.015661601373321746,0.03877781172005645
0.44,0.44,0.25,2.2500450006750095e-10,42.82262322623226,0.01645465889675566,0.04108286219750801
0.45,0.45,0.25,2.2500450006750095e-10,42.82262322623226,0.01490770820631748,0.03917573927105755
0.46,0.46,0.25,2.2500450006750095e-10,42.82262322623226,0.015334418719862554,0.039830242059076114
0.47,0.47,0.25,2.2500450006750095e-10,42.82262322623226,0.016670055908144705,0.04154185619767369
0.48,0.48,0.25,2.2500450006750095e-10,42.82262322623226,0.017450636762552776,0.03989112559238326
0.49,0.49,0.25,2.2500450006750095e-10,42.82262322623226,0.016112766073540685,0.04199773552327058
0.5,0.5,0.25,2.2500450006750095e-10,42.82262322623226,0.016189865223020888,0.042396400348517646
0.51,0.51,0.25,2.2500450006750095e-10,42.82262322623226,0.01677175771968892,0.039606553501912105
0.52,0.52,0.25,2.2500450006750095e-10,42.82262322623226,0.016825026717808684,0.04102605342424151
0.53,0.53,0.25,2.2500450006750095e-10,42.82262322623226,0.01662464600554084,0.040676523211238116
0.54,0.54,0.25,2.2500450006750095e-10,42.82262322623226,0.016100250175165427,0.04233256572765011
0.55,0.55,0.25,2.2500450006750095e-10,42.82262322623226,0.015233475311910227,0.0400860013325141
0.56,0.56,0.25,2.2500450006750095e-10,42.82262322623226,0.015416094231119544,0.04370259888802448
0.57,0.57,0.25,2.2500450006750095e-10,42.82262322623226,0.015488180649190908,0.04236707416781998
0.58,0.58,0.25,2.2500450006750095e-10,42.82262322623226,0.01677826513959853,0.03935491955679113
0.59,0.59,0.25,2.2500450006750095e-10,42.82262322623226,0.016294094151767864,0.04000491495223201
0.6,0.6,0.25,2.2500450006750095e-10,42.82262322623226,0.016234047952578975,0.03922216347660613
0.61,0.61,0.25,2.2500450006750095e-10,42.82262322623226,0.016161933251635986,0.03875417298954575
0.62,0.62,0.25,2.2500450006750095e-10,42.82262322623226,0.016148324743985754,0.04006878402777669
0.63,0.63,0.25,2.2500450006750095e-10,42.82262322623226,0.01719464546582323,0.039999409830289906
0.64,0.64,0.25,2.2500450006750095e-10,42.82262322623226,0.017194293299382934,0.04178183835956033
0.65,0.65,0.25,2.2500450006750095e-10,42.82262322623226,0.014967062229489087,0.042035959097616954
0.66,0.66,0.25,2.2500450006750095e-10,42.82262322623226,0.014782963171038532,0.03982582386086962
0.67,0.67,0.25,2.2500450006750095e-10,42.82262322623226,0.015770864069150976,0.038898143160781
0.68,0.68,0.25,2.2500450006750095e-10,42.82262322623226,0.016154157387669513,0.03975082045062069
0.69,0.69,0.25,2.2500450006750095e-10,42.82262322623226,0.015541138545643676,0.04248135711828274
