m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.24999999999999994,2.2500450006750095e-10,42.82262322623226,0.015987607037350218,0.041216830288901364
0.01,0.01,0.2477855577623473,2.2275445506682583e-10,42.82262322623226,0.016336933451506552,0.039646887196304735
0.02,0.02,0.24556620088507244,2.2050441006615078e-10,42.82262322623226,0.01652860897118079,0.043038265392596156
0.03,0.03,0.2433419075049566,2.182543650654759e-10,42.82262322623226,0.017381060855248067,0.040131328408584875
0.04,0.04,0.2411126556125652,2.1600432006480083e-10,42.82262322623226,0.016296789299398737,0.044572065986555484
0.05,0.05,0.23887842305094018,2.137542750641258e-10,42.82262322623226,0.01669847801352452,0.04058078003822294
0.06,0.06,0.23663918751428026,2.1150423006345087e-10,42.82262322623226,0.017221067164638997,0.04496768365317668
0.07,0.07,0.23439492654660346,2.0925418506277583e-10,42.82262322623226,0.01832614745061096,0.0440156341610805
0.08,0.08,0.2321456175403962,2.0700414006210092e-10,42.82262322623226,0.017242527080919657,0.04495535570592062
0.09,0.09,0.229891237735247,2.0475409506142587e-10,42.82262322623226,0.018135643886030037,0.04484689351831675
0.1,0.1,0.2276317642164649,2.0250405006075078e-10,42.82262322623226,0.017230512765722395,0.04518036534260895
0.11,0.11,0.22536717391368066,2.0025400506007579e-10,42.82262322623226,0.018558797947121293,0.04332532736694908
0.12,0.12,0.22309744359943545,1.9800396005940085e-10,42.82262322623226,0.018819708845438272,0.04495004471896017
0.13,0.13,0.22082254988774924,1.9575391505872575e-10,42.82262322623226,0.01694110450649873,0.04392981427308301
0.14,0.14,0.21854246923267656,1.935038700580507e-10,42.82262322623226,0.01838230702928638,0.04699277318913837
0.15,0.15,0.216257177926844,1.9125382505737582e-10,42.82262322623226,0.018846111941718972,0.04653776858554441
0.16,0.16,0.21396665209996982,1.8900378005670073e-10,42.82262322623226,0.019920306657926573,0.045577619994447476
0.17,0.17,0.21167086771737015,1.8675373505602566e-10,42.82262322623226,0.018529181763372194,0.04437325403978207
0.18,0.18,0.2093698005784441,1.8450369005535077e-10,42.82262322623226,0.019644787479373052,0.04854626963714885
0.19,0.19,0.20706342631514338,1.822536450546757e-10,42.82262322623226,0.01870248639252344,0.04839187461786292
0.2,0.2,0.20475172039042486,1.8000360005400076e-10,42.82262322623226,0.02061374350156632,0.04753246568667954
0.21,0.21,0.20243465809668282,1.7775355505332575e-10,42.82262322623226,0.020687288542348883,0.047675082520742054
0.22,0.22,0.20011221455416608,1.755035100526507e-10,42.82262322623226,0.020278523933698382,0.049838376219808224
0.23,0.23,0.19778436470937377,1.7325346505197566e-10,42.82262322623226,0.022269629142468418,0.04917034516528344
0.24,0.24,0.19545108333343392,1.7100342005130077e-10,42.82262322623226,0.01991968080671417,0.04944771549174381
0.25,0.25,0.19311234502046387,1.6875337505062563e-10,42.82262322623226,0.021077103065090783,0.05155759798148294
0.26,0.26,0.19076812418590924,1.6650333004995064e-10,42.82262322623226,0.0210904581868746,0.05219312953343831
0.27,0.27,0.18841839506486482,1.6425328504927567e-10,42.82262322623226,0.020402591486226557,0.04883947332922024
0.28,0.28,0.18606313171037664,1.6200324004860063e-10,42.82262322623226,0.021803794275443208,0.053629422447845014
0.29,0.29,0.18370230799172074,1.597531950479256e-10,42.82262322623226,0.022793336496582838,0.05182880812147886
0.3,0.3,0.1813358975926658,1.5750315004725067e-10,42.82262322623226,0.02256983261615558,0.054697440507589346
0.31,0.31,0.17896387400971187,1.5525310504657563e-10,42.82262322623226,0.022382785563282995,0.055516525795706484
0.32,0.32,0.17658621055030907,1.530030600459006e-10,42.82262322623226,0.02305696008774929,0.055302004774705336
0.33,0.33,0.1742028803310564,1.5075301504522562e-10,42.82262322623226,0.024592949696634038,0.053491231335457426
0.34,0.34,0.17181385627587667,1.4850297004455058e-10,42.82262322623226,0.02522263535313587,0.05657515645882555
0.35,0.35,0.16941911111417207,1.4625292504387556e-10,42.82262322623226,0.02413053573631295,0.05711645951756681
0.36,0.36,0.16701861737895565,1.440028800432006e-10,42.82262322623226,0.02651394837147113,0.05707979560430152
0.37,0.37,0.16461234740496086,1.4175283504252555e-10,42.82262322623226,0.02505305540735729,0.05962040969982347
0.38,0.38,0.1622002733267292,1.3950279004185054e-10,42.82262322623226,0.025591977059624668,0.05827893460914966
0.39,0.39,0.159782367076674,1.372527450411756e-10,42.82262322623226,0.025914900123466766,0.05874960867728917
0.4,0.4,0.1573586003831194,1.3500270004050055e-10,42.82262322623226,0.025556778817951552,0.0595515860401115
0.41,0.41,0.1549289447683191,1.3275265503982554e-10,42.82262322623226,0.025083773413233743,0.057450594671320986
0.42,0.42,0.15249337154644674,1.3050261003915055e-10,42.82262322623226,0.027958687999760926,0.06035422961687414
0.43,0.43,0.15005185182156497,1.282525650384755e-10,42.82262322623226,0.02675946981775995,0.06135216163287376
0.44,0.44,0.14760435648556838,1.260025200378005e-10,42.82262322623226,0.026710584609647328,0.06369583263740296
0.45,0.45,0.14515085621610022,1.2375247503712552e-10,42.82262322623226,0.027946214242769343,0.06376826252140542
0.46,0.46,0.14269132147444627,1.2150243003645048e-10,42.82262322623226,0.028947176590168523,0.06518023991952394
0.47,0.47,0.14022572250339935,1.1925238503577549e-10,42.82262322623226,0.030453258201054437,0.06802652288206
0.48,0.48,0.13775402932510028,1.1700234003510052e-10,42.82262322623226,0.029615923308483474,0.06657724242506925
0.49,0.49,0.13527621173885068,1.1475229503442544e-10,42.82262322623226,0.03025943374526247,0.06844385361705561
0.5,0.5,0.13279223931889822,1.1250225003375047e-10,42.82262322623226,0.029539535209221285,0.07128765540576375
0.51,0.51,0.1303020814121958,1.1025220503307539e-10,42.82262322623226,0.03180279450993542,0.07511432223364876
0.52,0.52,0.12780570713613162,1.0800216003240041e-10,42.82262322623226,0.03387726926317649,0.0706046655022973
0.53,0.53,0.12530308537623064,1.0575211503172544e-10,42.82262322623226,0.03087784196421562,0.07264238516464115
0.54,0.54,0.12279418478382828,1.0350207003105039e-10,42.82262322623226,0.0343492368236506,0.07481626076316578
0.55,0.55,0.12027897377371442,1.0125202503037539e-10,42.82262322623226,0.036538604171006496,0.0687274060896749
0.56,0.56,0.11775742052174641,9.900198002970042e-11,42.82262322623226,0.03463821555334992,0.07714818098732071
0.57,0.57,0.11522949296243468,9.675193502902541e-11,42.82262322623226,0.034474979878083914,0.07460856058148815
0.58,0.58,0.11269515878649454,9.450189002835036e-11,42.82262322623226,0.03720550222234856,0.07651576371568257
0.59,0.59,0.11015438543836982,9.225184502767539e-11,42.82262322623226,0.03542285529403134,0.08103392465275307
0.6,0.6,0.10760714011372241,9.000180002700038e-11,42.82262322623226,0.037880980122307346,0.07825335938246561
0.61,0.61,0.10505338975689196,8.775175502632535e-11,42.82262322623226,0.0371786495270165,0.0839076944116596
0.62,0.62,0.10249310105832164,8.550171002565039e-11,42.82262322623226,0.038541187577151394,0.0827488751473956
0.63,0.63,0.09992624045195068,8.325166502497532e-11,42.82262322623226,0.04350582535561447,0.08299742755982159
0.64,0.64,0.09735277411257505,8.100162002430031e-11,42.82262322623226,0.039732694687062545,0.08590257365541913
0.65,0.65,0.09477266795317243,7.875157502362534e-11,42.82262322623226,0.043929087812271984,0.08398629317298262
0.66,0.66,0.09218588762219261,7.65015300229503e-11,42.82262322623226,0.04342831193484969,0.0872923450110911
0.67,0.67,0.08959239850081431,7.425148502227529e-11,42.82262322623226,0.04467334907669442,0.08668379879889519
0.68,0.68,0.08699216570016496,7.200144002160027e-11,42.82262322623226,0.048162637250231684,0.09020170994412674
0.69,0.69,0.08438515405850369,6.97513950209253e-11,42.82262322623226,0.04301385460497579,0.09194992383497133
0.7,0.7,0.08177132813837003,6.750135002025028e-11,42.82262322623226,0.052593229490084964,0.09535943708575847
