m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.24999999999999994,2.2500450006750095e-10,42.82262322623226,0.0002615763472142182,0.0009127764566597224
0.01,0.01,0.2477855577623473,2.2275445506682583e-10,42.82262322623226,0.0002162625855766435,0.0009342386335173695
0.02,0.02,0.24556620088507244,2.2050441006615078e-10,42.82262322623226,0.0002333869134977208,0.0010631524205356846
0.03,0.03,0.2433419075049566,2.182543650654759e-10,42.82262322623226,0.0003111821766834497,0.0008566986749692593
0.04,0.04,0.2411126556125652,2.1600432006480083e-10,42.82262322623226,0.00023255493684757914,0.0010747321102173779
0.05,0.05,0.23887842305094018,2.137542750641258e-10,42.82262322623226,0.00024451735308327104,0.0009743161006346661
0.06,0.06,0.23663918751428026,2.1150423006345087e-10,42.82262322623226,0.00025036228475295593,0.0010800759904260075
0.07,0.07,0.23439492654660346,2.0925418506277583e-10,42.82262322623226,0.00025865811490133784,0.0009398543682469627
0.08,0.08,0.2321456175403962,2.0700414006210092e-10,42.82262322623226,0.00023643674342280265,0.0010505655272874139
0.09,0.09,0.229891237735247,2.0475409506142587e-10,42.82262322623226,0.0003047050333844032,0.0010257983870068218
0.1,0.1,0.2276317642164649,2.0250405006075078e-10,42.82262322623226,0.00026317955258512457,0.0010616552608474217
0.11,0.11,0.22536717391368066,2.0025400506007579e-10,42.82262322623226,0.0002762977697323653,0.0010878881129691958
0.12,0.12,0.22309744359943545,1.9800396005940085e-10,42.82262322623226,0.0003096909008288851,0.0011148559068242835
0.13,0.13,0.22082254988774924,1.9575391505872575e-10,42.82262322623226,0.00023690117228578818,0.0012790517886296104
0.14,0.14,0.21854246923267656,1.935038700580507e-10,42.82262322623226,0.00028638280527816306,0.0013143314662187775
0.15,0.15,0.216257177926844,1.9125382505737582e-10,42.82262322623226,0.0002967281003568832,0.0012657117079982328
0.16,0.16,0.21396665209996982,1.8900378005670073e-10,42.82262322623226,0.0003597441068516373,0.0010392470036952063
0.17,0.17,0.21167086771737015,1.8675373505602566e-10,42.82262322623226,0.0002748956523462946,0.0010839244355196188
0.18,0.18,0.2093698005784441,1.8450369005535077e-10,42.82262322623226,0.00032188693038707957,0.0014064205979216935
0.19,0.19,0.20706342631514338,1.822536450546757e-10,42.82262322623226,0.00029644585604255325,0.0013761829840704598
0.2,0.2,0.20475172039042486,1.8000360005400076e-10,42.82262322623226,0.00038929070599475645,0.0012634007466255331
0.21,0.21,0.20243465809668282,1.7775355505332575e-10,42.82262322623226,0.0004993722143717078,0.0011917171479118888
0.22,0.22,0.20011221455416608,1.755035100526507e-10,42.82262322623226,0.00035264687280047764,0.001382259840221887
0.23,0.23,0.19778436470937377,1.7325346505197566e-10,42.82262322623226,0.00044788984766322844,0.0012160878679274877
0.24,0.24,0.19545108333343392,1.7100342005130077e-10,42.82262322623226,0.00033009183346772053,0.0012903618558873686
0.25,0.25,0.19311234502046387,1.6875337505062563e-10,42.82262322623226,0.0004092673908066802,0.001313180661184157
0.26,0.26,0.19076812418590924,1.6650333004995064e-10,42.82262322623226,0.00037461950227612247,0.001631939567904725
0.27,0.27,0.18841839506486482,1.6425328504927567e-10,42.82262322623226,0.0003801273402241323,0.0014728489271259623
0.28,0.28,0.18606313171037664,1.6200324004860063e-10,42.82262322623226,0.00037059899880091115,0.0016744415375970747
0.29,0.29,0.18370230799172074,1.597531950479256e-10,42.82262322623226,0.0004947113482704186,0.0015064568985769203
0.3,0.3,0.1813358975926658,1.5750315004725067e-10,42.82262322623226,0.00044238959045399116,0.0015187644656397274
0.31,0.31,0.17896387400971187,1.5525310504657563e-10,42.82262322623226,0.0004600274275471192,0.0016987334389233655
0.32,0.32,0.17658621055030907,1.530030600459006e-10,42.82262322623226,0.00046276961707912036,0.0018310756199020758
0.33,0.33,0.1742028803310564,1.5075301504522562e-10,42.82262322623226,0.0004866953633016948,0.001588669304363618
0.34,0.34,0.17181385627587667,1.4850297004455058e-10,42.82262322623226,0.0005535967533663484,0.0018306121150802118
0.35,0.35,0.16941911111417207,1.4625292504387556e-10,42.82262322623226,0.0004932773789979265,0.0017897535510145153
0.36,0.36,0.16701861737895565,1.440028800432006e-10,42.82262322623226,0.0006128720779538648,0.0019093373868248255
0.37,0.37,0.16461234740496086,1.4175283504252555e-10,42.82262322623226,0.0005438602399974667,0.0019423201955867419
0.38,0.38,0.1622002733267292,1.3950279004185054e-10,42.82262322623226,0.000573354161156821,0.0018804834456575585
0.39,0.39,0.159782367076674,1.372527450411756e-10,42.82262322623226,0.0005832684989812085,0.0018536093122939149
0.4,0.4,0.1573586003831194,1.3500270004050055e-10,42.82262322623226,0.000607449079062649,0.001978471894228564
0.41,0.41,0.1549289447683191,1.3275265503982554e-10,42.82262322623226,0.000579855075622108,0.002061424993888314
0.42,0.42,0.15249337154644674,1.3050261003915055e-10,42.82262322623226,0.0006340462926605023,0.002240108240836604
0.43,0.43,0.15005185182156497,1.282525650384755e-10,42.82262322623226,0.0005611349635670571,0.0021646613775591858
0.44,0.44,0.14760435648556838,1.260025200378005e-10,42.82262322623226,0.0005611079204644564,0.0022777742555527974
0.45,0.45,0.14515085621610022,1.2375247503712552e-10,42.82262322623226,0.0006098561136336499,0.0026373577683716006
0.46,0.46,0.14269132147444627,1.2150243003645048e-10,42.82262322623226,0.0007729133534429846,0.0026439134057675722
0.47,0.47,0.14022572250339935,1.1925238503577549e-10,42.82262322623226,0.0007062383163412419,0.0028765864678962213
0.48,0.48,0.13775402932510028,1.1700234003510052e-10,42.82262322623226,0.0008494379709803367,0.0025389942972449814
0.49,0.49,0.13527621173885068,1.1475229503442544e-10,42.82262322623226,0.0008229224278896056,0.002772884341610113
0.5,0.5,0.13279223931889822,1.1250225003375047e-10,42.82262322623226,0.0007677699645686297,0.0027945328741283792
0.51,0.51,0.1303020814121958,1.1025220503307539e-10,42.82262322623226,0.0007754561661412697,0.0030951036868592263
0.52,0.52,0.12780570713613162,1.0800216003240041e-10,42.82262322623226,0.0011490021595857976,0.0030193974535777128
0.53,0.53,0.12530308537623064,1.0575211503172544e-10,42.82262322623226,0.0008231165182191595,0.0029940049523776947
0.54,0.54,0.12279418478382828,1.0350207003105039e-10,42.82262322623226,0.0012068972725902945,0.0033459972448901926
0.55,0.55,0.12027897377371442,1.0125202503037539e-10,42.82262322623226,0.0013297489822659886,0.003137461057336042
0.56,0.56,0.11775742052174641,9.900198002970042e-11,42.82262322623226,0.0009540408651836729,0.0033405362420653928
0.57,0.57,0.11522949296243468,9.675193502902541e-11,42.82262322623226,0.0011214922236066854,0.0036013241748693798
0.58,0.58,0.11269515878649454,9.450189002835036e-11,42.82262322623226,0.0011070623242612897,0.0033966853141938085
0.59,0.59,0.11015438543836982,9.225184502767539e-11,42.82262322623226,0.0011092930352824058,0.003989773414094584
0.6,0.6,0.10760714011372241,9.000180002700038e-11,42.82262322623226,0.001671440667113958,0.00343974838683464
0.61,0.61,0.10505338975689196,8.775175502632535e-11,42.82262322623226,0.0011241858551802335,0.0039057841563403233
0.62,0.62,0.10249310105832164,8.550171002565039e-11,42.82262322623226,0.00129877692444824,0.003911247103631707
0.63,0.63,0.09992624045195068,8.325166502497532e-11,42.82262322623226,0.0018601161730142884,0.0039024205816255825
0.64,0.64,0.09735277411257505,8.100162002430031e-11,42.82262322623226,0.0014348210004102356,0.003906654880909117
0.65,0.65,0.09477266795317243,7.875157502362534e-11,42.82262322623226,0.0017435341904742888,0.0043216520238112555
0.66,0.66,0.09218588762219261,7.65015300229503e-11,42.82262322623226,0.0016579681197194083,0.004151562184853391
0.67,0.67,0.08959239850081431,7.425148502227529e-11,42.82262322623226,0.0016635546320200602,0.0038323960810309936
0.68,0.68,0.08699216570016496,7.200144002160027e-11,42.82262322623226,0.0020802006022069466,0.004584450314727127
0.69,0.69,0.08438515405850369,6.97513950209253e-11,42.82262322623226,0.001548968118459732,0.004702010767638342
0.7,0.7,0.08177132813837003,6.750135002025028e-11,42.82262322623226,0.0022720838008601797,0.0050336538720117275
0.71,0.71,0.07915065222369187,6.525130501957527e-11,42.82262322623226,0.002140523961479943,0.00556038095712108
0.72,0.72,0.07652309031685876,6.300126001890026e-11,42.82262322623226,0.0024330691377792155,0.005992333733636259
0.73,0.73,0.0738886061357543,6.075121501822524e-11,42.82262322623226,0.0023086355425230146,0.006048840053959653
0.74,0.74,0.07124716311074951,5.850117001755026e-11,42.82262322623226,0.0032646205829861253,0.006524655813452738
0.75,0.75,0.06859872438165848,5.625112501687524e-11,42.82262322623226,0.0024826115336941852,0.006843220241683356
0.76,0.76,0.0659432527946505,5.400108001620021e-11,42.82262322623226,0.0037221375263590873,0.006935375512004517
0.77,0.77,0.0632807108991239,5.1751035015525197e-11,42.82262322623226,0.004180209335775169,0.008036479924641047
0.78,0.78,0.060611060944536714,4.950099001485021e-11,42.82262322623226,0.004131276276138,0.008883703216771179
0.79,0.79,0.057934264877194094,4.725094501417518e-11,42.82262322623226,0.004424202845262459,0.010035625588795774
0.8,0.8,0.055250284336995255,4.5000900013500165e-11,42.82262322623226,0.004528670808005239,0.008861284793941118
0.81,0.81,0.05255908065413429,4.275085501282517e-11,42.82262322623226,0.005556656094199118,0.011387240137691372
0.82,0.82,0.04986061484575672,4.050081001215016e-11,42.82262322623226,0.005792616629650702,0.00996336051952089
0.83,0.83,0.0471548476125726,3.8250765011475166e-11,42.82262322623226,0.005821792493690271,0.011615518654666873
0.84,0.84,0.04444173933542095,3.6000720010800155e-11,42.82262322623226,0.007875087805548036,0.0134894222087028
0.85,0.85,0.04172125007179035,3.375067501012514e-11,42.82262322623226,0.00860155122098648,0.015668323489709878
0.86,0.86,0.03899333955228991,3.150063000945013e-11,42.82262322623226,0.008813324352843413,0.018134113506437167
0.87,0.87,0.03625796717707224,2.925058500877513e-11,42.82262322623226,0.012659615700126836,0.01798159619956454
0.88,0.88,0.03351509201220893,2.7000540008100104e-11,42.82262322623226,0.012676798832261282,0.02166753182779987
0.89,0.89,0.03076467278601463,2.4750495007425106e-11,42.82262322623226,0.013796431026844629,0.024475293940988095
0.9,0.9,0.028006667885320094,2.2500450006750082e-11,42.82262322623226,0.017328704629830858,0.026582933561128046
0.91,0.91,0.025241035351696132,2.0250405006075075e-11,42.82262322623226,0.01922458233661083,0.029267777608794582
0.92,0.92,0.022467732877621736,1.8000360005400065e-11,42.82262322623226,0.02674433651433782,0.039961286002714286
0.93,0.93,0.019686717802602345,1.575031500472505e-11,42.82262322623226,0.033412304453666504,0.04563958420774987
0.94,0.94,0.016897947109231676,1.3500270004050068e-11,42.82262322623226,0.05837365853350703,0.058805696943346544
0.95,0.95,0.014101377419198561,1.1250225003375056e-11,42.82262322623226,0.07560546781247823,0.07196600513682799
0.96,0.96,0.011296964989239763,9.000180002700044e-12,42.82262322623226,0.1254117013817089,0.08540881709784168
0.97,0.97,0.008484665707033866,6.750135002025034e-12,42.82262322623226,0.2150585864513924,0.1343757118012858
0.98,0.98,0.005664435087037312,4.500090001350022e-12,42.82262322623226,0.4313721249055322,0.21893570337514945
0.99,0.99,0.002836228266263706,2.250045000675011e-12,42.82262322623226,1.6928784435497728,0.3953325994020969
