m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.25,2.2500450006750095e-10,42.82262322623226,0.00024483978470483345,0.000926341133505262
0.01,0.01,0.25,2.2500450006750095e-10,42.82262322623226,0.00028040792972101327,0.0009419609530956862
0.02,0.02,0.25,2.2500450006750095e-10,42.82262322623226,0.00024152942203540335,0.0009698252158219081
0.03,0.03,0.25,2.2500450006750095e-10,42.82262322623226,0.00023974063708139727,0.0009587189403368867
0.04,0.04,0.25,2.2500450006750095e-10,42.82262322623226,0.0002407239913436989,0.001074354403265054
0.05,0.05,0.25,2.2500450006750095e-10,42.82262322623226,0.00020037539767213817,0.0009632455269453477
0.06,0.06,0.25,2.2500450006750095e-10,42.82262322623226,0.00021077992995089824,0.0008889070351536847
0.07,0.07,0.25,2.2500450006750095e-10,42.82262322623226,0.0002909281387527658,0.0007710754253703611
0.08,0.08,0.25,2.2500450006750095e-10,42.82262322623226,0.00020848947763138165,0.000928211708968489
0.09,0.09,0.25,2.2500450006750095e-10,42.82262322623226,0.00022604418762254815,0.0009874010252825221
0.1,0.1,0.25,2.2500450006750095e-10,42.82262322623226,0.00023372159271558605,0.000937576433897948
0.11,0.11,0.25,2.2500450006750095e-10,42.82262322623226,0.0001977848996607572,0.0008492679387623169
0.12,0.12,0.25,2.2500450006750095e-10,42.82262322623226,0.0002925357382051526,0.0009845006290229907
0.13,0.13,0.25,2.2500450006750095e-10,42.82262322623226,0.0002392282485719429,0.0010025301558737056
0.14,0.14,0.25,2.2500450006750095e-10,42.82262322623226,0.00019299393178499115,0.0008193589055065898
0.15,0.15,0.25,2.2500450006750095e-10,42.82262322623226,0.0002476763539405094,0.000956998803142863
0.16,0.16,0.25,2.2500450006750095e-10,42.82262322623226,0.00022877697849141214,0.0009465949585051344
0.17,0.17,0.25,2.2500450006750095e-10,42.82262322623226,0.00023131003238638148,0.000983018517173611
0.18,0.18,0.25,2.2500450006750095e-10,42.82262322623226,0.00020602530473160058,0.0011643712683142113
0.19,0.19,0.25,2.2500450006750095e-10,42.82262322623226,0.0002583736870717568,0.0008983473621620957
0.2,0.2,0.25,2.2500450006750095e-10,42.82262322623226,0.00019003399229034116,0.0010176638496921452
0.21,0.21,0.25,2.2500450006750095e-10,42.82262322623226,0.00021854240570392402,0.0010280822331361773
0.22,0.22,0.25,2.2500450006750095e-10,42.82262322623226,0.0002617651751535807,0.0007938646536396753
0.23,0.23,0.25,2.2500450006750095e-10,42.82262322623226,0.00020534330044987229,0.0009498661614768355
0.24,0.24,0.25,2.2500450006750095e-10,42.82262322623226,0.0001995136623479173,0.000929319489862493
0.25,0.25,0.25,2.2500450006750095e-10,42.82262322623226,0.00025197412613192876,0.000990338259262529
0.26,0.26,0.25,2.2500450006750095e-10,42.82262322623226,0.00025427217622721196,0.0009829162620091565
0.27,0.27,0.25,2.2500450006750095e-10,42.82262322623226,0.00030809475543474874,0.0010577327043293106
0.28,0.28,0.25,2.2500450006750095e-10,42.82262322623226,0.00023945961287906445,0.0010126859214706738
0.29,0.29,0.25,2.2500450006750095e-10,42.82262322623226,0.000217625273644987,0.0010876219086367195
0.3,0.3,0.25,2.2500450006750095e-10,42.82262322623226,0.0002559446244814283,0.0009430754398182669
0.31,0.31,0.25,2.2500450006750095e-10,42.82262322623226,0.00020508201028096305,0.0009136246351443047
0.32,0.32,0.25,2.2500450006750095e-10,42.82262322623226,0.0002206903512135381,0.0009482032814075779
0.33,0.33,0.25,2.2500450006750095e-10,42.82262322623226,0.00022168872042237572,0.0009690271516909982
0.34,0.34,0.25,2.2500450006750095e-10,42.82262322623226,0.0002090643554087685,0.0008627941176745939
0.35,0.35,0.25,2.2500450006750095e-10,42.82262322623226,0.0002680800481020537,0.00109643921679858
0.36,0.36,0.25,2.2500450006750095e-10,42.82262322623226,0.0002502849152382473,0.0009740230692624336
0.37,0.37,0.25,2.2500450006750095e-10,42.82262322623226,0.00021951121439605978,0.0009214306243824996
0.38,0.38,0.25,2.2500450006750095e-10,42.82262322623226,0.00028430893880809825,0.0009441823820402322
0.39,0.39,0.25,2.2500450006750095e-10,42.82262322623226,0.0002252547878768013,0.0009568019266695228
0.4,0.4,0.25,2.2500450006750095e-10,42.82262322623226,0.00025053651618196375,0.0009029892830765358
0.41,0.41,0.25,2.2500450006750095e-10,42.82262322623226,0.00026685259259555323,0.000882607456335321
0.42,0.42,0.25,2.2500450006750095e-10,42.82262322623226,0.0002664289196059034,0.0008938592089321807
0.43,0.43,0.25,2.2500450006750095e-10,42.82262322623226,0.00021870829185578145,0.0009617264047761675
0.44,0.44,0.25,2.2500450006750095e-10,42.82262322623226,0.00027903081067573806,0.0009399202324438478
0.45,0.45,0.25,2.2500450006750095e-10,42.82262322623226,0.00021912000710661069,0.0008991188314429127
0.46,0.46,0.25,2.2500450006750095e-10,42.82262322623226,0.0001879944478580533,0.0009425462106085901
0.47,0.47,0.25,2.2500450006750095e-10,42.82262322623226,0.000262084208790009,0.000977213262495405
0.48,0.48,0.25,2.2500450006750095e-10,42.82262322623226,0.0002996245716680572,0.0008807624125631383
0.49,0.49,0.25,2.2500450006750095e-10,42.82262322623226,0.00021658536622578964,0.0010147878967959574
0.5,0.5,0.25,2.2500450006750095e-10,42.82262322623226,0.0002308348566496527,0.0010270528648739115
0.51,0.51,0.25,2.2500450006750095e-10,42.82262322623226,0.00024829642857704187,0.0008892411572574814
0.52,0.52,0.25,2.2500450006750095e-10,42.82262322623226,0.0002599693905773016,0.0009199178829114682
0.53,0.53,0.25,2.2500450006750095e-10,42.82262322623226,0.0001953609468576252,0.000943279465470923
0.54,0.54,0.25,2.2500450006750095e-10,42.82262322623226,0.0002378110874267457,0.0008782621338742351
0.55,0.55,0.25,2.2500450006750095e-10,42.82262322623226,0.00023135474064280953,0.0009108921329242257
0.56,0.56,0.25,2.2500450006750095e-10,42.82262322623226,0.00022071942908458592,0.001049226848124101
0.57,0.57,0.25,2.2500450006750095e-10,42.82262322623226,0.00021594008686570077,0.0009054945246392475
0.58,0.58,0.25,2.2500450006750095e-10,42.82262322623226,0.00024232528494363105,0.0008931414164975337
0.59,0.59,0.25,2.2500450006750095e-10,42.82262322623226,0.00023510743088219163,0.0009083369069429588
0.6,0.6,0.25,2.2500450006750095e-10,42.82262322623226,0.00021145952054189374,0.0010467976690555392
0.61,0.61,0.25,2.2500450006750095e-10,42.82262322623226,0.0002338254035350675,0.0008603875476243516
0.62,0.62,0.25,2.2500450006750095e-10,42.82262322623226,0.0002172528697963084,0.0008950191129519864
0.63,0.63,0.25,2.2500450006750095e-10,42.82262322623226,0.00028525098684250655,0.0009117441688436109
0.64,0.64,0.25,2.2500450006750095e-10,42.82262322623226,0.00025542554353875463,0.000935059723548793
0.65,0.65,0.25,2.2500450006750095e-10,42.82262322623226,0.0002129924598188633,0.0010376584103450688
0.66,0.66,0.25,2.2500450006750095e-10,42.82262322623226,0.0001809372649937439,0.0009562483609396445
0.67,0.67,0.25,2.2500450006750095e-10,42.82262322623226,0.00023582745240058675,0.0008093575459311806
0.68,0.68,0.25,2.2500450006750095e-10,42.82262322623226,0.00022338520083168938,0.0009460242147466809
0.69,0.69,0.25,2.2500450006750095e-10,42.82262322623226,0.0002155459896781123,0.0009133727567399212
0.7,0.7,0.25,2.2500450006750095e-10,42.82262322623226,0.00024990087199065167,0.000868056029999299
0.71,0.71,0.25,2.2500450006750095e-10,42.82262322623226,0.00029623359115437797,0.0009399241601131926
0.72,0.72,0.25,2.2500450006750095e-10,42.82262322623226,0.00023364869564892224,0.0008221417880568964
0.73,0.73,0.25,2.2500450006750095e-10,42.82262322623226,0.00018332941053429182,0.001011293701942281
0.74,0.74,0.25,2.2500450006750095e-10,42.82262322623226,0.00023150302890271782,0.000887327332767483
0.75,0.75,0.25,2.2500450006750095e-10,42.82262322623226,0.00025175464869520555,0.0009308133778316352
0.76,0.76,0.25,2.2500450006750095e-10,42.82262322623226,0.00022354921683726683,0.0009499868356776462
0.77,0.77,0.25,2.2500450006750095e-10,42.82262322623226,0.000280744246967944,0.0009540116152797124
0.78,0.78,0.25,2.2500450006750095e-10,42.82262322623226,0.00019024590167497448,0.0009460533099745866
0.79,0.79,0.25,2.2500450006750095e-10,42.82262322623226,0.0002569696189496616,0.001001512838107485
0.8,0.8,0.25,2.2500450006750095e-10,42.82262322623226,0.00019513880748739498,0.0010360943477647523
0.81,0.81,0.25,2.2500450006750095e-10,42.82262322623226,0.00022902589853665363,0.0008847453959131891
0.82,0.82,0.25,2.2500450006750095e-10,42.82262322623226,0.00025747551247769245,0.0009266640311178162
0.83,0.83,0.25,2.2500450006750095e-10,42.82262322623226,0.0002723836457747289,0.0008290119562866407
0.84,0.84,0.25,2.2500450006750095e-10,42.82262322623226,0.00023418187977774683,0.0009501258925674493
0.85,0.85,0.25,2.2500450006750095e-10,42.82262322623226,0.00023353840071026078,0.0010121509693696601
0.86,0.86,0.25,2.2500450006750095e-10,42.82262322623226,0.0002732122671656815,0.0008922320660041664
0.87,0.87,0.25,2.2500450006750095e-10,42.82262322623226,0.000273675049120788,0.0009606856395708961
0.88,0.88,0.25,2.2500450006750095e-10,42.82262322623226,0.0002233808958751713,0.0009269979041615071
0.89,0.89,0.25,2.2500450006750095e-10,42.82262322623226,0.00021923798965743676,0.0010216735924451043
0.9,0.9,0.25,2.2500450006750095e-10,42.82262322623226,0.0002460533217056981,0.0009516617233941667
0.91,0.91,0.25,2.2500450006750095e-10,42.82262322623226,0.0003212765008828538,0.0008564191765402934
0.92,0.92,0.25,2.2500450006750095e-10,42.82262322623226,0.00028087214977021537,0.001011870533801781
0.93,0.93,0.25,2.2500450006750095e-10,42.82262322623226,0.00022715534947034648,0.0011457812650655069
0.94,0.94,0.25,2.2500450006750095e-10,42.82262322623226,0.00021811030648864104,0.0008788132752240344
0.95,0.95,0.25,2.2500450006750095e-10,42.82262322623226,0.00018959244040900002,0.0010031997308907695
0.96,0.96,0.25,2.2500450006750095e-10,42.82262322623226,0.0002748290987663039,0.0010825190098296804
0.97,0.97,0.25,2.2500450006750095e-10,42.82262322623226,0.0002668046845987864,0.001055902230462196
0.98,0.98,0.25,2.2500450006750095e-10,42.82262322623226,0.00019299980520568025,0.0009638960892033375
0.99,0.99,0.25,2.2500450006750095e-10,42.82262322623226,0.0001735537833751172,0.000872389545161839
0.1,0.2,0.25,2.2500450006750095e-10,42.82262322623226,0.00024226816521126713,0.0009959606427887655
0.1,0.3,0.25,2.2500450006750095e-10,42.82262322623226,0.00022929604206129526,0.0010052054264530293
0.1,0.4,0.25,2.2500450006750095e-10,42.82262322623226,0.00023788311387838755,0.0008580941094310212
0.1,0.5,0.25,2.2500450006750095e-10,42.82262322623226,0.0002684514974625195,0.0010338593581297386
0.1,0.6,0.25,2.2500450006750095e-10,42.82262322623226,0.00025094055134398306,0.0009640138186683741
0.1,0.7,0.25,2.2500450006750095e-10,42.82262322623226,0.0002624258912686802,0.0010231427824911004
0.1,0.8,0.25,2.2500450006750095e-10,42.82262322623226,0.00022917071663857555,0.0009193039656667969
0.1,0.9,0.25,2.2500450006750095e-10,42.82262322623226,0.0002161825974436357,0.0009896324466109664
0.2,0.3,0.25,2.2500450006750095e-10,42.82262322623226,0.00021631341410303863,0.000959177404889162
0.2,0.4,0.25,2.2500450006750095e-10,42.82262322623226,0.00022282544245823304,0.0009580527886065518
0.2,0.5,0.25,2.2500450006750095e-10,42.82262322623226,0.00019895245582284685,0.0008681584859847807
0.2,0.6,0.25,2.2500450006750095e-10,42.82262322623226,0.0001942731732447632,0.0009974548527179057
0.2,0.7,0.25,2.2500450006750095e-10,42.82262322623226,0.0002721246200949232,0.001009663716262144
0.2,0.8,0.25,2.2500450006750095e-10,42.82262322623226,0.0002026580528170776,0.0009899821131152651
0.2,0.9,0.25,2.2500450006750095e-10,42.82262322623226,0.0001870004036364409,0.0009382893462830393
0.3,0.4,0.25,2.2500450006750095e-10,42.82262322623226,0.0002243810721910451,0.0009996935570309215
0.3,0.5,0.25,2.2500450006750095e-10,42.82262322623226,0.0002489626574984851,0.0009144518091724795
0.3,0.6,0.25,2.2500450006750095e-10,42.82262322623226,0.0002458559068854902,0.0008598885394202539
0.3,0.7,0.25,2.2500450006750095e-10,42.82262322623226,0.00026683221916335586,0.0010380065295939507
0.3,0.8,0.25,2.2500450006750095e-10,42.82262322623226,0.00021232643856179784,0.0008885505411522339
0.3,0.9,0.25,2.2500450006750095e-10,42.82262322623226,0.00020013772574860748,0.0009050373095537595
0.4,0.5,0.25,2.2500450006750095e-10,42.82262322623226,0.00026573612646510497,0.0009752768282910737
0.4,0.6,0.25,2.2500450006750095e-10,42.82262322623226,0.0002444200522406711,0.0009771476941970486
0.4,0.7,0.25,2.2500450006750095e-10,42.82262322623226,0.0001991835440960456,0.0008855987084515585
0.4,0.8,0.25,2.2500450006750095e-10,42.82262322623226,0.0002580096319882456,0.0009203921430114077
0.4,0.9,0.25,2.2500450006750095e-10,42.82262322623226,0.000267404678864371,0.0009870313840424259
0.5,0.6,0.25,2.2500450006750095e-10,42.82262322623226,0.0002350519580031358,0.0008478534047597067
0.5,0.7,0.25,2.2500450006750095e-10,42.82262322623226,0.00020643160397652082,0.001020265409480206
0.5,0.8,0.25,2.2500450006750095e-10,42.82262322623226,0.0001967587167458025,0.0009669804236875235
0.5,0.9,0.25,2.2500450006750095e-10,42.82262322623226,0.0001876364055101025,0.0009439580002084282
0.6,0.7,0.25,2.2500450006750095e-10,42.82262322623226,0.00024986184927001373,0.0010274439073909556
0.6,0.8,0.25,2.2500450006750095e-10,42.82262322623226,0.00019804588401745973,0.0009521898707626787
0.6,0.9,0.25,2.2500450006750095e-10,42.82262322623226,0.00022561121059463073,0.0009583814562985926
0.7,0.8,0.25,2.2500450006750095e-10,42.82262322623226,0.0002519099523994043,0.0009296166798491303
0.7,0.9,0.25,2.2500450006750095e-10,42.82262322623226,0.00024889944821907385,0.0009311498589360261
0.8,0.9,0.25,2.2500450006750095e-10,42.82262322623226,0.0001738382622613559,0.0009348392469154141
0.01,0.02,0.25,2.2500450006750095e-10,42.82262322623226,0.00019232109309434058,0.0009782739207609783
0.01,0.03,0.25,2.2500450006750095e-10,42.82262322623226,0.00018045863192981293,0.0009276136559343216
0.01,0.04,0.25,2.2500450006750095e-10,42.82262322623226,0.00020239690311411754,0.0009007302745193095
0.01,0.05,0.25,2.2500450006750095e-10,42.82262322623226,0.00029555283839703526,0.0008397650539601599
0.01,0.06,0.25,2.2500450006750095e-10,42.82262322623226,0.00024522720901912995,0.0009272542162581213
0.01,0.07,0.25,2.2500450006750095e-10,42.82262322623226,0.00020297943516450352,0.00101101196572339
0.01,0.08,0.25,2.2500450006750095e-10,42.82262322623226,0.00022558286342263143,0.0010099408742639216
0.01,0.09,0.25,2.2500450006750095e-10,42.82262322623226,0.0002706293609988233,0.0009843590436994316
0.02,0.03,0.25,2.2500450006750095e-10,42.82262322623226,0.00021391741905947567,0.0010764015571469473
0.02,0.04,0.25,2.2500450006750095e-10,42.82262322623226,0.00024270331082802717,0.000967200443135468
0.02,0.05,0.25,2.2500450006750095e-10,42.82262322623226,0.00024339471785499365,0.0009869173840114083
0.02,0.06,0.25,2.2500450006750095e-10,42.82262322623226,0.00022197016332880663,0.0009682485758361617
0.02,0.07,0.25,2.2500450006750095e-10,42.82262322623226,0.00027353889781916936,0.0010537425906008543
0.02,0.08,0.25,2.2500450006750095e-10,42.82262322623226,0.0003160296658046835,0.00093024128910377
0.02,0.09,0.25,2.2500450006750095e-10,42.82262322623226,0.0002653510599743561,0.0009600989228707642
0.03,0.04,0.25,2.2500450006750095e-10,42.82262322623226,0.00025230889089165474,0.0009556561520712112
0.03,0.05,0.25,2.2500450006750095e-10,42.82262322623226,0.0002047915762270731,0.000963027861567277
0.03,0.06,0.25,2.2500450006750095e-10,42.82262322623226,0.00019420392501182823,0.000865634626005699
0.03,0.07,0.25,2.2500450006750095e-10,42.82262322623226,0.00025611192230228506,0.000929848382999067
0.03,0.08,0.25,2.2500450006750095e-10,42.82262322623226,0.00022868552108804498,0.001034092939503684
0.03,0.09,0.25,2.2500450006750095e-10,42.82262322623226,0.00021645641334545147,0.0008488299889885765
0.04,0.05,0.25,2.2500450006750095e-10,42.82262322623226,0.00018172296560588132,0.0009659764069380676
0.04,0.06,0.25,2.2500450006750095e-10,42.82262322623226,0.0002521892107980721,0.0009471395708260804
0.04,0.07,0.25,2.2500450006750095e-10,42.82262322623226,0.00023411548991988178,0.0009857475069528494
0.04,0.08,0.25,2.2500450006750095e-10,42.82262322623226,0.00017104002414952357,0.0009244478227886013
0.04,0.09,0.25,2.2500450006750095e-10,42.82262322623226,0.00023487877491370842,0.000994207011821005
0.05,0.06,0.25,2.2500450006750095e-10,42.82262322623226,0.00019906056057947228,0.0009298652737710827
0.05,0.07,0.25,2.2500450006750095e-10,42.82262322623226,0.00022159077678481274,0.0008920460313747765
0.05,0.08,0.25,2.2500450006750095e-10,42.82262322623226,0.0002147660538258893,0.0009324052107345871
0.05,0.09,0.25,2.2500450006750095e-10,42.82262322623226,0.00023106296883637024,0.0009867670048455156
0.06,0.07,0.25,2.2500450006750095e-10,42.82262322623226,0.00023932453623125573,0.0009454847377440911
0.06,0.08,0.25,2.2500450006750095e-10,42.82262322623226,0.00022546303549402956,0.0008573155804129859
0.06,0.09,0.25,2.2500450006750095e-10,42.82262322623226,0.00020886417726688304,0.0010600813666336115
0.07,0.08,0.25,2.2500450006750095e-10,42.82262322623226,0.00021815213529687014,0.0008896920569219941
0.07,0.09,0.25,2.2500450006750095e-10,42.82262322623226,0.00021095510254359078,0.000998721448313068
0.08,0.09,0.25,2.2500450006750095e-10,42.82262322623226,0.00027168802595000215,0.0009268376119090518
