m,M,original_average,suppressed_database_average,suppressed_database_sum,suppressed_database_number_of_elements,epsilon_of_M,delta_of_M,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.76337768138429,42.79714973432506,0.05924554484796829,0.025473491907199275
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.814368215481025,42.8087980179263,0.008255010751234693,0.01382520830595979
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.82431175029357,42.79853836918587,0.0016885240613078167,0.02408485704638963
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.8477601590879,42.85434992138876,0.025136932855637895,0.031726695156500284
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.81931672906877,42.86817987061339,0.0033064971634928497,0.045556644381129274
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.79656117217415,42.77867553396422,0.026062054058108686,0.043947692268041294
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.8294013563964,42.81305605479926,0.006778130164143192,0.009567171432998123
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.82580226747722,42.819191637043794,0.0031790412449623773,0.0034315891884659777
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.82688649025512,42.81345882097865,0.004263264022860369,0.009164405253606844
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.84066810577769,42.81393026798825,0.018044879545428216,0.008692958244012061
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.83780719716697,42.848423634229,0.015183970934707247,0.02580040799674066
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.838599269132516,42.72100486732309,0.015976042900256004,0.10161835890917104
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.819894424945396,42.79108170431048,0.0027288012868638134,0.03154152192178117
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.82435138462278,42.85645473431981,0.001728158390520207,0.033831508087551754
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.81079397563434,42.868403651115564,0.011829250597919838,0.04578042488330425
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.881687223041276,42.77108886334626,0.05906399680901586,0.05153436288600233
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.79550051053527,42.79291514286561,0.027122715696989985,0.029708083366649873
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.82086715597601,42.81418451138366,0.0017560702562491315,0.008438714848601592
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.83707931108792,42.84400439592031,0.014456084855659412,0.021381169688048374
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.812024554299825,42.83102356948441,0.010598671932434911,0.008400343252148446
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.82204213966006,42.799363132056094,0.0005810865721969094,0.023260094176166035
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.820132281248036,42.80590010427874,0.002490944984224086,0.016723121953518216
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.82568912825915,42.819773040644264,0.003065902026889944,0.002850185587995213
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.832321564907154,42.8137071898515,0.009698338674894558,0.008916036380760772
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.82981217952091,42.82702266696841,0.007188953288647326,0.00439944073615095
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.82182555125537,42.904079996498034,0.0007976749768872082,0.08145677026577403
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.80839126333301,42.769092269465595,0.014231962899252437,0.05353095676666442
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.83193367099235,42.7687331874067,0.009310444760089354,0.053890038825556985
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.82882834632098,42.79167041063925,0.006205120088722538,0.030952815593010996
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.81194267979218,42.81860699780873,0.010680546440077876,0.004016228423530777
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.79261624448537,42.9313747873931,0.030006981746886652,0.10875156116084383
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.83397979527456,42.840088672547836,0.011356569042298759,0.017465446315576116
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.70901633916274,42.82672182253317,0.1136068870695226,0.004098596300913471
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.8360594429942,42.833763145082635,0.013436216761938624,0.011139918850375352
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.8262893368985,42.78049804598678,0.0036661106662378984,0.04212518024547762
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.812107081177075,42.76610993442219,0.010516145055184722,0.05651329181007014
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.841785100426094,42.751028781320876,0.019161874193834194,0.07159444491138345
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.81686539239789,42.84001189109964,0.005757833834373116,0.017388664867382886
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.80787710033137,42.83691407892325,0.014746125900892082,0.014290852690990619
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.82046153166762,42.74391783947991,0.0021616945646414365,0.07870538675234684
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.82928429229575,42.74861761058529,0.0066610660634935925,0.07400561564696773
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.836304601816714,42.77875654974836,0.013681375584454258,0.0438666764839013
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.83030586706964,42.88019634040869,0.007682640837380461,0.057573114176427964
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.8193918566153,42.81750892795461,0.003231369616962354,0.005114298277646867
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.862625428536255,42.76399689570588,0.040002202303995205,0.05862633052637989
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.823495611209594,42.78727014633813,0.0008723849773346615,0.03535307989412928
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.844816684299516,42.73873911971285,0.0221934580672567,0.08388410651941314
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.813782218824706,42.82455277961554,0.008841007407554002,0.0019295533832774936
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.82556047939515,42.84281749799045,0.0029372531628908405,0.020194271758192883
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,0.25,2.250045000675009e-10,42.823166416257166,42.836787187360066,0.000543190024906437,0.014163961127806601
