m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.5,2.2500450006750095e-10,42.82262322623226,5.803095787825948e-05,0.0002783836907836061
0.01,0.01,0.5039665605676084,2.2727727279545544e-10,42.82262322623226,6.25319025712896e-05,0.0003131561915235747
0.02,0.02,0.5079979177547899,2.295964286403071e-10,42.82262322623226,9.899221770678092e-05,0.000336859713962772
0.03,0.03,0.5120957059628882,2.3196340213144425e-10,42.82262322623226,0.0001163599842900615,0.000376727202162258
0.04,0.04,0.5162616161383375,2.343796875703135e-10,42.82262322623226,0.0001146796556023042,0.00033746938375095215
0.05,0.05,0.5204973982856399,2.3684684217631674e-10,42.82262322623226,0.00014451771587026615,0.00036039564036431546
0.06,0.06,0.524804864117896,2.3936648943351166e-10,42.82262322623226,0.00014114222874668395,0.00036022176360322723
0.07,0.07,0.5291858898538833,2.419403226532267e-10,42.82262322623226,0.000179559449273866,0.0004442036612382521
0.08,0.08,0.5336424191713875,2.4457010876902273e-10,42.82262322623226,0.00019555532235556038,0.000505284985537694
0.09,0.09,0.5381764663272126,2.4725769238186914e-10,42.82262322623226,0.00022599842252846657,0.00044902687167508134
0.1,0.1,0.5427901194551419,2.50005000075001e-10,42.82262322623226,0.00021491534394905366,0.00046232714773204384
0.11,0.11,0.5474855440539914,2.5281404501966395e-10,42.82262322623226,0.00020802900053749817,0.0005792555090330778
0.12,0.12,0.5522649866788762,2.556869318948873e-10,42.82262322623226,0.0002524909226490011,0.0006270290992567112
0.13,0.13,0.5571307788498734,2.586258621465528e-10,42.82262322623226,0.000321493651163651,0.0005511603268314779
0.14,0.14,0.5620853411934147,2.616331396133732e-10,42.82262322623226,0.00030938821133503027,0.0005428567779393999
0.15,0.15,0.5671311878330225,2.647111765500011e-10,42.82262322623226,0.000336255563708862,0.0006230243176420978
0.16,0.16,0.5722709310473791,2.6786250008035834e-10,42.82262322623226,0.00035551578998782547,0.0006050244631838688
0.17,0.17,0.5775072862152558,2.71089759117471e-10,42.82262322623226,0.0003774551948167388,0.0006514990826642758
0.18,0.18,0.5828430770684829,2.743957317896352e-10,42.82262322623226,0.00038882874088568865,0.0007008081072696294
0.19,0.19,0.5882812412759918,2.777833334166678e-10,42.82262322623226,0.00045328136856836163,0.0007171541497175707
0.2,0.2,0.5938248363839753,2.8125562508437606e-10,42.82262322623226,0.00042806774793730033,0.0007573546636185266
0.21,0.21,0.5994770461394302,2.8481582287025427e-10,42.82262322623226,0.0004845306281559103,0.0006923163137451514
0.22,0.22,0.605241187226804,2.884673077788472e-10,42.82262322623226,0.0004946684446984361,0.0007586746121150476
0.23,0.23,0.6111207164501729,2.9221363645129984e-10,42.82262322623226,0.0005792978989218845,0.0008825370057259253
0.24,0.24,0.6171192383963631,2.9605855272039594e-10,42.82262322623226,0.0004885283256711892,0.0006845543136670373
0.25,0.25,0.623240513617734,3.000060000900011e-10,42.82262322623226,0.0006171127289656968,0.0009942611570765553
0.26,0.26,0.6294884673770176,3.040601352263525e-10,42.82262322623226,0.0006136881206141574,0.0008203774715097176
0.27,0.27,0.6358671990006552,3.082253425582204e-10,42.82262322623226,0.000626179064017246,0.0008743829524940599
0.28,0.28,0.6423809918915998,3.125062500937512e-10,42.82262322623226,0.0006652036309831889,0.0010166040921575526
0.29,0.29,0.6490343242575735,3.16907746573945e-10,42.82262322623226,0.0007134851367374624,0.0009555727023976817
0.3,0.3,0.6558318806163518,3.214350000964299e-10,42.82262322623226,0.0007003977245149929,0.001016070317389809
0.31,0.31,0.6627785641459,3.2609347835869696e-10,42.82262322623226,0.0008118403851320419,0.001058049846214451
0.32,0.32,0.6698795099541458,3.308889706875014e-10,42.82262322623226,0.000792923676411878,0.001175888839060064
0.33,0.33,0.6771400993509752,3.358276120410461e-10,42.82262322623226,0.0008253659880545836,0.0011626506542678668
0.34,0.34,0.6845659752137845,3.4091590919318326e-10,42.82262322623226,0.0009229613698515721,0.0012449823345661395
0.35,0.35,0.6921630585477133,3.4616076933461673e-10,42.82262322623226,0.0009682192656975809,0.0011967205507093718
0.36,0.36,0.6999375663527393,3.5156953135547025e-10,42.82262322623226,0.0010444398495517682,0.0013073177963819624
0.37,0.37,0.7078960309222104,3.571500001071443e-10,42.82262322623226,0.001035607086673901,0.0014549642808181465
0.38,0.38,0.7160453207114357,3.6291048397984015e-10,42.82262322623226,0.0010556600568302108,0.0013382902577443148
0.39,0.39,0.7243926629307728,3.6885983617623097e-10,42.82262322623226,0.0010525265423621906,0.0013989784891905342
0.4,0.4,0.7329456680356207,3.750075001125015e-10,42.82262322623226,0.00104666106669478,0.0013297606734746766
0.41,0.41,0.7417123563060677,3.8136355943644206e-10,42.82262322623226,0.0011674940886719095,0.0016762763713588974
0.42,0.42,0.7507011867321132,3.8793879321982907e-10,42.82262322623226,0.001223050916989777,0.0015958160969520923
0.43,0.43,0.7599210884467501,3.9474473696052783e-10,42.82262322623226,0.0014144317325095173,0.0018637752653467591
0.44,0.44,0.7693814949793284,4.0179375012053735e-10,42.82262322623226,0.0014421007811107598,0.0016587482616674967
0.45,0.45,0.7790923816360812,4.090990910318197e-10,42.82262322623226,0.0013896961015422429,0.0016539742070772142
0.46,0.46,0.7890643063542454,4.166750001250016e-10,42.82262322623226,0.0013720260094838006,0.0017677482815512883
0.47,0.47,0.7993084544216629,4.2453679258019024e-10,42.82262322623226,0.001493838028247733,0.002034159177803222
0.48,0.48,0.8098366875061591,4.32700961668271e-10,42.82262322623226,0.0015685696663868406,0.001829360191263521
0.49,0.49,0.8206615974995355,4.411852942500018e-10,42.82262322623226,0.001672825146381589,0.0021071711138481177
0.5,0.5,0.8317965657511863,4.500090001350019e-10,42.82262322623226,0.0015366277693919116,0.001872477529120134
0.51,0.51,0.8432558283478445,4.591928572806142e-10,42.82262322623226,0.0016524429531907842,0.0021488395954367538
0.52,0.52,0.8550545481909494,4.68759375140627e-10,42.82262322623226,0.0021024251062670596,0.0022274859555828372
0.53,0.53,0.8672088947341141,4.787329788670233e-10,42.82262322623226,0.0020374071224085735,0.0024392860965915743
0.54,0.54,0.8797361323732651,4.891402175380455e-10,42.82262322623226,0.0016137972661772531,0.0021856553997527907
0.55,0.55,0.8926547186350446,5.000100001500021e-10,42.82262322623226,0.002232609546490181,0.002587817631603317
0.56,0.56,0.9059844134896071,5.113738637897746e-10,42.82262322623226,0.0023112258278832625,0.002860869573583811
0.57,0.57,0.9197464013276998,5.232662792267464e-10,42.82262322623226,0.0025086044042740697,0.0029132988589543425
0.58,0.58,0.933963427395995,5.357250001607165e-10,42.82262322623226,0.002223524366387994,0.0026739794033778584
0.59,0.59,0.9486599507877075,5.487914635792704e-10,42.82262322623226,0.0025460752299618986,0.0030423715946391273
0.6,0.6,0.9638623164485162,5.625112501687521e-10,42.82262322623226,0.0027660191163610694,0.0029698362872940614
0.61,0.61,0.9795989490944182,5.769346155576944e-10,42.82262322623226,0.0030188362969644153,0.003453605852535996
0.62,0.62,0.9959005724654699,5.921171054407919e-10,42.82262322623226,0.002842825666751526,0.0031782553105883463
0.63,0.63,1.012800457979408,6.08120270452705e-10,42.82262322623226,0.0029316510244580024,0.0033633911473824347
0.64,0.64,1.0303347076294318,6.250125001875024e-10,42.82262322623226,0.0028198037310804536,0.0032263476766218745
0.65,0.65,1.0485425769268546,6.428700001928598e-10,42.82262322623226,0.0031669914001282128,0.0038902426429365334
0.66,0.66,1.067466844867599,6.617779413750028e-10,42.82262322623226,0.0033131457835380157,0.0038733328927312853
0.67,0.67,1.087154239361446,6.818318183863665e-10,42.82262322623226,0.0033625125525444557,0.0038202475911412593
0.68,0.68,1.1076559283825544,7.031390627109405e-10,42.82262322623226,0.003723545212784303,0.004034378279243968
0.69,0.69,1.1290280893818594,7.258209679596801e-10,42.82262322623226,0.004061239611343367,0.004501096969666938
0.7,0.7,1.151332572383167,7.500150002250029e-10,42.82262322623226,0.003668426219967777,0.004264182085780987
0.71,0.71,1.174637675848032,7.758775864396581e-10,42.82262322623226,0.0042759558064879135,0.004887253351441817
