m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.5,2.2500450006750095e-10,42.82262322623226,6.502598919270704e-05,0.00028517785409320963
0.01,0.01,0.5,2.2500450006750095e-10,42.82262322623226,7.945782397517419e-05,0.00024912801034316105
0.02,0.02,0.5,2.2500450006750095e-10,42.82262322623226,9.483608011481898e-05,0.00030738262494240325
0.03,0.03,0.5,2.2500450006750095e-10,42.82262322623226,9.555875418045293e-05,0.00036729221749232213
0.04,0.04,0.5,2.2500450006750095e-10,42.82262322623226,0.00012427220324343926,0.0003774893096812997
0.05,0.05,0.5,2.2500450006750095e-10,42.82262322623226,0.00014680404021930922,0.000388570006317808
0.06,0.06,0.5,2.2500450006750095e-10,42.82262322623226,0.00016000495556911065,0.00042673311945675275
0.07,0.07,0.5,2.2500450006750095e-10,42.82262322623226,0.0001658604481304304,0.0004395189714405489
0.08,0.08,0.5,2.2500450006750095e-10,42.82262322623226,0.00017786378459551573,0.0005105871697590378
0.09,0.09,0.5,2.2500450006750095e-10,42.82262322623226,0.00021915538819474898,0.0005210542132023772
0.1,0.1,0.5,2.2500450006750095e-10,42.82262322623226,0.0002364415022896792,0.0005540545914849482
0.11,0.11,0.5,2.2500450006750095e-10,42.82262322623226,0.0002151445033666487,0.0004712032536505405
0.12,0.12,0.5,2.2500450006750095e-10,42.82262322623226,0.0002637485334084073,0.0006207165681465677
0.13,0.13,0.5,2.2500450006750095e-10,42.82262322623226,0.00030099678428302637,0.0006661372793552161
0.14,0.14,0.5,2.2500450006750095e-10,42.82262322623226,0.0003410136239284858,0.0006115185667496366
0.15,0.15,0.5,2.2500450006750095e-10,42.82262322623226,0.00034016529016119327,0.000742172331725113
0.16,0.16,0.5,2.2500450006750095e-10,42.82262322623226,0.0003592588813726582,0.0007552232924532534
0.17,0.17,0.5,2.2500450006750095e-10,42.82262322623226,0.0003715432254722407,0.0007071767476907758
0.18,0.18,0.5,2.2500450006750095e-10,42.82262322623226,0.0004061629802023839,0.0008133443728016732
0.19,0.19,0.5,2.2500450006750095e-10,42.82262322623226,0.00046565995364633263,0.0008126283868060016
0.2,0.2,0.5,2.2500450006750095e-10,42.82262322623226,0.000512503493789025,0.0007793671106918093
0.21,0.21,0.5,2.2500450006750095e-10,42.82262322623226,0.0004990992129584561,0.0008821919130870505
0.22,0.22,0.5,2.2500450006750095e-10,42.82262322623226,0.0005499775940750794,0.0009576637439165678
0.23,0.23,0.5,2.2500450006750095e-10,42.82262322623226,0.0005557389179648832,0.0010310814773332984
0.24,0.24,0.5,2.2500450006750095e-10,42.82262322623226,0.000536622178776565,0.0010117477871137684
0.25,0.25,0.5,2.2500450006750095e-10,42.82262322623226,0.0006076077043128264,0.001094217823798631
0.26,0.26,0.5,2.2500450006750095e-10,42.82262322623226,0.0006371083656345797,0.0010077808376103088
0.27,0.27,0.5,2.2500450006750095e-10,42.82262322623226,0.0006775569565541826,0.0011510646276683965
0.28,0.28,0.5,2.2500450006750095e-10,42.82262322623226,0.0007317299353173945,0.001209573224005875
0.29,0.29,0.5,2.2500450006750095e-10,42.82262322623226,0.0007798767957867727,0.0011922610520804433
0.3,0.3,0.5,2.2500450006750095e-10,42.82262322623226,0.0007147543566927657,0.001304464882305444
0.31,0.31,0.5,2.2500450006750095e-10,42.82262322623226,0.0007633958034623099,0.0012522173397171885
0.32,0.32,0.5,2.2500450006750095e-10,42.82262322623226,0.0009070186595866799,0.0015421641472961492
0.33,0.33,0.5,2.2500450006750095e-10,42.82262322623226,0.0008628137753841165,0.0014101371860148148
0.34,0.34,0.5,2.2500450006750095e-10,42.82262322623226,0.0010434965030678243,0.0014446513942008514
0.35,0.35,0.5,2.2500450006750095e-10,42.82262322623226,0.0010131932736580497,0.0015764555693008335
0.36,0.36,0.5,2.2500450006750095e-10,42.82262322623226,0.0010748591024529663,0.0015630818532540967
0.37,0.37,0.5,2.2500450006750095e-10,42.82262322623226,0.0010500113945895331,0.001666742894107474
0.38,0.38,0.5,2.2500450006750095e-10,42.82262322623226,0.0011594091249778993,0.0018078840383553797
0.39,0.39,0.5,2.2500450006750095e-10,42.82262322623226,0.0011066982029373875,0.0018182323341061
0.4,0.4,0.5,2.2500450006750095e-10,42.82262322623226,0.0010546237235981764,0.0016952016559466099
0.41,0.41,0.5,2.2500450006750095e-10,42.82262322623226,0.0012118346315340433,0.001995709113800957
0.42,0.42,0.5,2.2500450006750095e-10,42.82262322623226,0.001296699465572875,0.0018363480910888574
0.43,0.43,0.5,2.2500450006750095e-10,42.82262322623226,0.0015196026893146693,0.0021366258952451533
0.44,0.44,0.5,2.2500450006750095e-10,42.82262322623226,0.001441625120807646,0.0021627606574830525
0.45,0.45,0.5,2.2500450006750095e-10,42.82262322623226,0.0013914796841662264,0.002405414086996686
0.46,0.46,0.5,2.2500450006750095e-10,42.82262322623226,0.00159970432983632,0.002409355799448571
0.47,0.47,0.5,2.2500450006750095e-10,42.82262322623226,0.0014965555516682591,0.002205585440358071
0.48,0.48,0.5,2.2500450006750095e-10,42.82262322623226,0.0015826311916854626,0.0026079915127793234
0.49,0.49,0.5,2.2500450006750095e-10,42.82262322623226,0.001864766543028053,0.002968717212573019
0.5,0.5,0.5,2.2500450006750095e-10,42.82262322623226,0.0016724215167467863,0.002298846013774822
0.51,0.51,0.5,2.2500450006750095e-10,42.82262322623226,0.0018801551074496365,0.0027443017025639825
0.52,0.52,0.5,2.2500450006750095e-10,42.82262322623226,0.0022225167959004253,0.0034155093196034966
0.53,0.53,0.5,2.2500450006750095e-10,42.82262322623226,0.00200216852412228,0.0037023865179368104
0.54,0.54,0.5,2.2500450006750095e-10,42.82262322623226,0.0018634843285497622,0.0031937810200287457
0.55,0.55,0.5,2.2500450006750095e-10,42.82262322623226,0.0026377612752492828,0.003149036949543336
0.56,0.56,0.5,2.2500450006750095e-10,42.82262322623226,0.0023998917799677236,0.003916533617383418
0.57,0.57,0.5,2.2500450006750095e-10,42.82262322623226,0.0027073840898647174,0.003802023597275847
0.58,0.58,0.5,2.2500450006750095e-10,42.82262322623226,0.002415171403936471,0.0037288783307315833
0.59,0.59,0.5,2.2500450006750095e-10,42.82262322623226,0.002656241203136176,0.004121967924443881
0.6,0.6,0.5,2.2500450006750095e-10,42.82262322623226,0.0028706511830808635,0.0040675623924953065
0.61,0.61,0.5,2.2500450006750095e-10,42.82262322623226,0.003422670837874245,0.004568718842744515
0.62,0.62,0.5,2.2500450006750095e-10,42.82262322623226,0.003132720318922724,0.003987119017157356
0.63,0.63,0.5,2.2500450006750095e-10,42.82262322623226,0.002929479361342106,0.004461433472202778
0.64,0.64,0.5,2.2500450006750095e-10,42.82262322623226,0.003100786917314623,0.005257443724271214
0.65,0.65,0.5,2.2500450006750095e-10,42.82262322623226,0.003622790122294193,0.0054571059628716785
0.66,0.66,0.5,2.2500450006750095e-10,42.82262322623226,0.0038632034201235427,0.005673262507441724
0.67,0.67,0.5,2.2500450006750095e-10,42.82262322623226,0.003864332866465228,0.006064103911324993
0.68,0.68,0.5,2.2500450006750095e-10,42.82262322623226,0.0041253999614551925,0.006266924791448162
0.69,0.69,0.5,2.2500450006750095e-10,42.82262322623226,0.004385393089342346,0.006950883804766789
0.7,0.7,0.5,2.2500450006750095e-10,42.82262322623226,0.004318042004776537,0.007332187401099415
0.71,0.71,0.5,2.2500450006750095e-10,42.82262322623226,0.004578196287289844,0.007814212425908514
0.72,0.72,0.5,2.2500450006750095e-10,42.82262322623226,0.0050758847093182345,0.008489381104063559
0.73,0.73,0.5,2.2500450006750095e-10,42.82262322623226,0.005247706035193213,0.008518687192542732
0.74,0.74,0.5,2.2500450006750095e-10,42.82262322623226,0.0053361222395854405,0.00962588644405307
0.75,0.75,0.5,2.2500450006750095e-10,42.82262322623226,0.004882596060722768,0.0077559641056617465
0.76,0.76,0.5,2.2500450006750095e-10,42.82262322623226,0.006203698781147524,0.010240473246076921
0.77,0.77,0.5,2.2500450006750095e-10,42.82262322623226,0.00714449473336954,0.011176427016617835
0.78,0.78,0.5,2.2500450006750095e-10,42.82262322623226,0.0063050867960043975,0.011792430261775564
0.79,0.79,0.5,2.2500450006750095e-10,42.82262322623226,0.007467158892369468,0.011935216518784547
0.8,0.8,0.5,2.2500450006750095e-10,42.82262322623226,0.007080493266743326,0.013248765772607116
0.81,0.81,0.5,2.2500450006750095e-10,42.82262322623226,0.007821703445451349,0.014994948772666815
0.82,0.82,0.5,2.2500450006750095e-10,42.82262322623226,0.00952570096487577,0.017492101562798602
0.83,0.83,0.5,2.2500450006750095e-10,42.82262322623226,0.009240221709532433,0.016911765314255704
0.84,0.84,0.5,2.2500450006750095e-10,42.82262322623226,0.009767012688976,0.017576805297762985
0.85,0.85,0.5,2.2500450006750095e-10,42.82262322623226,0.012041257636515148,0.02198483454074319
0.86,0.86,0.5,2.2500450006750095e-10,42.82262322623226,0.015280808845415779,0.026148198815564933
0.87,0.87,0.5,2.2500450006750095e-10,42.82262322623226,0.014140794491368517,0.02928484346523826
0.88,0.88,0.5,2.2500450006750095e-10,42.82262322623226,0.014170967177621983,0.031167769670828543
0.89,0.89,0.5,2.2500450006750095e-10,42.82262322623226,0.01800111411734126,0.03771992281809617
0.9,0.9,0.5,2.2500450006750095e-10,42.82262322623226,0.020162411453332627,0.04885645538237538
0.91,0.91,0.5,2.2500450006750095e-10,42.82262322623226,0.022750829783949936,0.060145727503146326
0.92,0.92,0.5,2.2500450006750095e-10,42.82262322623226,0.028768528793552954,0.06232441625294583
0.93,0.93,0.5,2.2500450006750095e-10,42.82262322623226,0.03325892232299037,0.08052544935381106
0.94,0.94,0.5,2.2500450006750095e-10,42.82262322623226,0.03673709822384135,0.11884410141077145
0.95,0.95,0.5,2.2500450006750095e-10,42.82262322623226,0.05572555913664792,0.15330397922469471
0.96,0.96,0.5,2.2500450006750095e-10,42.82262322623226,0.0781516824542787,0.1909940144402702
0.97,0.97,0.5,2.2500450006750095e-10,42.82262322623226,0.09263740149610987,0.37530200576373457
0.98,0.98,0.5,2.2500450006750095e-10,42.82262322623226,0.20482491757174073,0.8358722152741456
0.99,0.99,0.5,2.2500450006750095e-10,42.82262322623226,0.7452316202760951,2.5984356539768676
0.1,0.2,0.5,2.2500450006750095e-10,42.82262322623226,0.0005428220431996406,0.0009192257923282102
0.1,0.3,0.5,2.2500450006750095e-10,42.82262322623226,0.0007812072903431529,0.0015271964884268953
