m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,42.82262322623226,-7.65672618120005e-05,1.9780210543801635e-05,0.00024638184339659946,0.0001384090753057017,-0.0008668357778202004,-0.00010626743999019722
0.01,0.01,42.82262322623226,-0.0020429684419860997,0.0029314920645552994,-0.0016470307724724999,0.0007072485823797006,-0.0013857132888905003,0.00019643736362650113
0.02,0.02,42.82262322623226,-0.0037174063382994,-0.002329618146609501,-0.003653964776713599,-0.0006226547292124997,-0.004429383051773801,-0.002483199712678401
0.03,0.03,42.82262322623226,-0.0041776422976867005,-0.0032636338463096007,-0.005020445209893599,-0.002024841870123799,-0.003945603434284,-0.004724923248782799
0.04,0.04,42.82262322623226,-0.005455518880579701,-0.0028855761725818004,-0.005758377350630801,-0.0011534010598646012,-0.0053498387399716005,-0.0027651110634486983
0.05,0.05,42.82262322623226,-0.006885715633291699,-0.004023489440275901,-0.0066773863758507,-0.0037130111263444995,-0.006974697491194601,-0.0020819754697898006
0.06,0.06,42.82262322623226,-0.0077456495441758,-0.004056237853467898,-0.007435547279748199,-0.001617636861718997,-0.0073993722424617,-0.003814433060274399
0.07,0.07,42.82262322623226,-0.009029170193131,-0.006464041753044002,-0.008890688153529898,-0.0062052469244968,-0.008206543824206701,-0.0049179632344597025
0.08,0.08,42.82262322623226,-0.0091311663951932,-0.007434973345174803,-0.0090215733160979,-0.006656217545455503,-0.009415625682936801,-0.004478282463772201
0.09,0.09,42.82262322623226,-0.010647400335409602,-0.0061668221271086,-0.010614027016011702,-0.005974363668455902,-0.010842794710404002,-0.005012917005016999
0.1,0.1,42.82262322623226,-0.0123647763571118,-0.007102230279570899,-0.0123106246136118,-0.004876548041158099,-0.0116849375297496,-0.007162056904981298
0.11,0.11,42.82262322623226,-0.0126171499035343,-0.007698999597606799,-0.012777070757191502,-0.007989005623063102,-0.0113233733684333,-0.007377809818485299
0.12,0.12,42.82262322623226,-0.0141059422018179,-0.010632359249123802,-0.0133221480667639,-0.009453211439845701,-0.0129669235153799,-0.007629181261781803
0.13,0.13,42.82262322623226,-0.0156737709674145,-0.012563274054593402,-0.015448224323040499,-0.0107282544066017,-0.014643616687001901,-0.0101622718047528
0.14,0.14,42.82262322623226,-0.015135309187408599,-0.010738632645099201,-0.014197128666424998,-0.008711859548433995,-0.0141957776154081,-0.008329883068673504
0.15,0.15,42.82262322623226,-0.016519763636623004,-0.013398598511929902,-0.0159743628283657,-0.010960528492589803,-0.015895836295382403,-0.0112876768659202
0.16,0.16,42.82262322623226,-0.0180606428924564,-0.013317927181175398,-0.017843858781479698,-0.009901098282048899,-0.0166284906346139,-0.009880459386574399
0.17,0.17,42.82262322623226,-0.018587245743483898,-0.0139803174848557,-0.017757184190362398,-0.0117134051516358,-0.017677637794054596,-0.0111320272391951
0.18,0.18,42.82262322623226,-0.0190686219404505,-0.015826734319234696,-0.019102955634626502,-0.013437419289606602,-0.0178440289822293,-0.010616220632633799
0.19,0.19,42.82262322623226,-0.0181834270875086,-0.014423316514081398,-0.0198373319382069,-0.011920941512050299,-0.0173074043451442,-0.010580022400734097
0.2,0.2,42.82262322623226,-0.020792285069325497,-0.015232949093486398,-0.0192593020667469,-0.0144549428970898,-0.0195110255327344,-0.010025015181474198
0.21,0.21,42.82262322623226,-0.020720268229242098,-0.0175476235087543,-0.019948825377792703,-0.013552263517255303,-0.019617689215441297,-0.0130856557714636
0.22,0.22,42.82262322623226,-0.022451290049792,-0.019197102792299803,-0.0222800522104192,-0.014834653301146,-0.0211507109886326,-0.015711054315141904
0.23,0.23,42.82262322623226,-0.0242346561657998,-0.017740235274355202,-0.025219750329041602,-0.0172513592373638,-0.022295559173412104,-0.013541907454874703
0.24,0.24,42.82262322623226,-0.0215563267065361,-0.0196050529273362,-0.021617823414956,-0.013527257039532399,-0.0203298931691662,-0.012979620657398602
0.25,0.25,42.82262322623226,-0.0255705025515169,-0.020949021654561698,-0.026043891237770202,-0.018689583944797004,-0.022937942928956297,-0.016363230997579498
0.26,0.26,42.82262322623226,-0.0255143104394932,-0.018576588235145297,-0.024535917213952898,-0.015718541419759702,-0.0232035977008408,-0.012501920914759799
0.27,0.27,42.82262322623226,-0.0279915244093012,-0.022131664215704398,-0.025706321317172,-0.019012044495971197,-0.0257534567338066,-0.0165786176505036
0.28,0.28,42.82262322623226,-0.0276404008782098,-0.022804597339459203,-0.0253199717943261,-0.018165663488352603,-0.0250862987477435,-0.0197754537584877
0.29,0.29,42.82262322623226,-0.0274431421498592,-0.023855076197012798,-0.0268060481597977,-0.020132422986993498,-0.0240439553625306,-0.017402114519115698
0.3,0.3,42.82262322623226,-0.029651983265059204,-0.0250800526612378,-0.027156302055038606,-0.020508889161929597,-0.0263597330289889,-0.0166544136055742
0.31,0.31,42.82262322623226,-0.029661386462293098,-0.024474340337530896,-0.0298562509089665,-0.0210280044004474,-0.0264136316052547,-0.0178172970499275
0.32,0.32,42.82262322623226,-0.031131124286346602,-0.025768362261501997,-0.029899617547487503,-0.019866413903157798,-0.0292915967403821,-0.019490051054136898
0.33,0.33,42.82262322623226,-0.0306340408801484,-0.0276206683502642,-0.028715543400654596,-0.022112683971577597,-0.0278989289231733,-0.020853181914640202
0.34,0.34,42.82262322623226,-0.033007080111225905,-0.026881430753636002,-0.0311041984147456,-0.023636242068013198,-0.030554424385972404,-0.022085136114412304
0.35,0.35,42.82262322623226,-0.033643387875823896,-0.029716538641141998,-0.0335803526137671,-0.0242014210016718,-0.0298085679529395,-0.024109027665928897
