m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,42.82262322623226,7.980417711940281e-06,1.0678504615599979e-05,-1.7288119059242535e-05,-1.7950534905400006e-05,-1.24083980105441e-06,2.313917944409997e-05
0.01,0.01,42.82262322623226,3.656749334799675e-06,-6.0280093957600013e-05,-1.6480332138212419e-06,-2.5710336756400024e-05,-6.546715146255909e-06,-6.726603231680002e-05
0.02,0.02,42.82262322623226,-6.031376967486642e-06,-6.517691936140001e-05,-1.8340810971473356e-05,-9.275637037749998e-05,-2.406121250667255e-05,-3.982758481040001e-05
0.03,0.03,42.82262322623226,-4.0612565112416724e-05,-8.424588566240002e-05,-5.017929894741673e-05,-5.9886337116500014e-05,-4.9904194272014344e-05,-6.851012988710002e-05
0.04,0.04,42.82262322623226,-5.0354012123534814e-05,-9.587024835650004e-05,-4.2106002715034814e-05,-8.655199232400002e-05,-5.498506692019389e-05,-5.851195671360002e-05
0.05,0.05,42.82262322623226,-8.409325736624695e-05,-0.0001143764331129,-6.153762985264694e-05,-8.65065039044e-05,-7.148780395978456e-05,-4.7921451835399964e-05
0.06,0.06,42.82262322623226,-0.00012029098876534417,-8.59279559082e-05,-9.966222245574414e-05,-0.00013067840951340004,-0.00010635273080672228,-6.660226502479998e-05
0.07,0.07,42.82262322623226,-0.00011266747866270117,-0.0001728386412603,-0.00012971780310480115,-0.00011755364258259998,-9.085767533183282e-05,-0.00012544663777359997
0.08,0.08,42.82262322623226,-0.0001081501406469346,-0.0001601373120385,-9.363792177273458e-05,-0.0001737493502305,-0.0001128511373070565,-9.811734495080002e-05
0.09,0.09,42.82262322623226,-0.00018185040306757845,-0.00016363344804749998,-0.00017563692129397845,-0.0001371483705365,-0.00017943306603098537,-0.00018575225873059995
0.1,0.1,42.82262322623226,-0.00015111518742614658,-0.0002358461007055,-0.00015504042537914657,-0.0001756096596948,-0.00015714628087246617,-0.000172889635185
0.11,0.11,42.82262322623226,-0.00019057256324295867,-0.00030243230577250003,-0.00016348123507505866,-0.00023657883161489997,-0.00018310947684945392,-0.00024570779685240005
0.12,0.12,42.82262322623226,-0.00020891623544910457,-0.0002545769924268,-0.00016392882605400458,-0.0002679444013167,-0.00020132267621485845,-0.00022290725679650002
0.13,0.13,42.82262322623226,-0.00030052333991466935,-0.0003392964008262,-0.0002730326212763693,-0.0002234805745433,-0.00028761321762718,-0.00029139250922469997
0.14,0.14,42.82262322623226,-0.0002361162528584129,-0.00048424855165670003,-0.0002339310644026129,-0.0002748213264668,-0.00021605769508968383,-0.00038690974238140007
0.15,0.15,42.82262322623226,-0.0002822389805402254,-0.0003589058281421,-0.0002624842156040253,-0.0003007506812906,-0.000270780078325497,-0.00027213315147430004
0.16,0.16,42.82262322623226,-0.0003061623141972145,-0.0005357075851748999,-0.0002911029612223145,-0.0003244276601793,-0.0002798159733340233,-0.00044911625830939997
0.17,0.17,42.82262322623226,-0.0003273682345084725,-0.0005126977851270999,-0.0003149636668891725,-0.0003992907594879,-0.0003200454877881606,-0.0004121610598244
0.18,0.18,42.82262322623226,-0.000401354565032984,-0.0005802334460262,-0.00035661700454838396,-0.0004164592899845,-0.00038612017744509345,-0.00044384309394709996
0.19,0.19,42.82262322623226,-0.00038508466392892426,-0.0005246815416227001,-0.0003572118977551243,-0.0004779054004827,-0.0003490175159816747,-0.00044386497519040003
0.2,0.2,42.82262322623226,-0.0004179303859165273,-0.0005765567676726999,-0.0004237976111303273,-0.0004135844044698,-0.0004086310694804118,-0.0004936336264514999
