m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,2.2500450006750095e-10,42.82262322623226,0.0037832449785191783,0.01171783164122597
0.01,0.01,1.0,2.2500450006750095e-10,42.82262322623226,0.0043328977223045795,0.011644861988035573
0.02,0.02,1.0,2.2500450006750095e-10,42.82262322623226,0.0038711913092031266,0.012719439074288118
0.03,0.03,1.0,2.2500450006750095e-10,42.82262322623226,0.004156575838474254,0.01173915227634035
0.04,0.04,1.0,2.2500450006750095e-10,42.82262322623226,0.003967746147031633,0.011476991033101725
0.05,0.05,1.0,2.2500450006750095e-10,42.82262322623226,0.004171399153691439,0.0118567375699797
0.06,0.06,1.0,2.2500450006750095e-10,42.82262322623226,0.004431601456408472,0.011636859086935715
0.07,0.07,1.0,2.2500450006750095e-10,42.82262322623226,0.004142148730081303,0.012877641713832943
0.08,0.08,1.0,2.2500450006750095e-10,42.82262322623226,0.0039947617215547095,0.012414286273458145
0.09,0.09,1.0,2.2500450006750095e-10,42.82262322623226,0.0037689415670505186,0.012851999470653951
0.1,0.1,1.0,2.2500450006750095e-10,42.82262322623226,0.004295773663575403,0.011724595085036682
0.11,0.11,1.0,2.2500450006750095e-10,42.82262322623226,0.004243310873632112,0.011945249500784343
0.12,0.12,1.0,2.2500450006750095e-10,42.82262322623226,0.004110831177794509,0.012406937554069459
0.13,0.13,1.0,2.2500450006750095e-10,42.82262322623226,0.004275239791744042,0.012392245761775071
0.14,0.14,1.0,2.2500450006750095e-10,42.82262322623226,0.004221108197854989,0.012075281989122744
0.15,0.15,1.0,2.2500450006750095e-10,42.82262322623226,0.003907594268110159,0.01242060636293283
0.16,0.16,1.0,2.2500450006750095e-10,42.82262322623226,0.0041246278273304,0.01213303711530432
0.17,0.17,1.0,2.2500450006750095e-10,42.82262322623226,0.004006798070704789,0.013751255515760405
0.18,0.18,1.0,2.2500450006750095e-10,42.82262322623226,0.003863757939462445,0.013124915132277806
0.19,0.19,1.0,2.2500450006750095e-10,42.82262322623226,0.0042438178232668804,0.012146961787674443
0.2,0.2,1.0,2.2500450006750095e-10,42.82262322623226,0.0039302277825315176,0.013076967987871427
0.21,0.21,1.0,2.2500450006750095e-10,42.82262322623226,0.003973939463733132,0.011969054383796661
0.22,0.22,1.0,2.2500450006750095e-10,42.82262322623226,0.004005777988627245,0.012474814839508299
0.23,0.23,1.0,2.2500450006750095e-10,42.82262322623226,0.003871877308693399,0.012496466612444806
0.24,0.24,1.0,2.2500450006750095e-10,42.82262322623226,0.004036401405940353,0.012345330067029422
0.25,0.25,1.0,2.2500450006750095e-10,42.82262322623226,0.00427581303322745,0.012144407883250566
0.26,0.26,1.0,2.2500450006750095e-10,42.82262322623226,0.003937026894749522,0.011698425420495866
0.27,0.27,1.0,2.2500450006750095e-10,42.82262322623226,0.004021851395000197,0.012679467759440372
0.28,0.28,1.0,2.2500450006750095e-10,42.82262322623226,0.0041573671354083646,0.012649315318668102
0.29,0.29,1.0,2.2500450006750095e-10,42.82262322623226,0.00402380678238859,0.012403616100097409
0.3,0.3,1.0,2.2500450006750095e-10,42.82262322623226,0.0041231835947410506,0.011959672050820346
0.31,0.31,1.0,2.2500450006750095e-10,42.82262322623226,0.003757812479837554,0.011795045110172197
0.32,0.32,1.0,2.2500450006750095e-10,42.82262322623226,0.00419151219403831,0.011969632711976444
0.33,0.33,1.0,2.2500450006750095e-10,42.82262322623226,0.0039464220203954455,0.011801701620424595
0.34,0.34,1.0,2.2500450006750095e-10,42.82262322623226,0.004116202648553198,0.012386819951505515
0.35,0.35,1.0,2.2500450006750095e-10,42.82262322623226,0.004331270641222318,0.011262806870776899
0.36,0.36,1.0,2.2500450006750095e-10,42.82262322623226,0.0039840026304854064,0.01217451381071443
0.37,0.37,1.0,2.2500450006750095e-10,42.82262322623226,0.0041579764578632845,0.011240124177215392
0.38,0.38,1.0,2.2500450006750095e-10,42.82262322623226,0.004284789693519286,0.012449256614575261
0.39,0.39,1.0,2.2500450006750095e-10,42.82262322623226,0.004231259161575651,0.011883110929579872
0.4,0.4,1.0,2.2500450006750095e-10,42.82262322623226,0.003937713829060882,0.011892933391267561
