m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,2.2500450006750095e-10,42.82262322623226,1.7180996062391003e-05,9.07127359614353e-05
0.01,0.01,0.9936587309970014,2.2275445506682583e-10,42.82262322623226,1.5336834013649656e-05,9.430176457032929e-05
0.02,0.02,0.9872769935436304,2.2050441006615078e-10,42.82262322623226,1.6775211965930987e-05,7.648954391057712e-05
0.03,0.03,0.9808542678008313,2.182543650654759e-10,42.82262322623226,1.4286541018225828e-05,8.75063359497818e-05
0.04,0.04,0.9743900238483449,2.1600432006480083e-10,42.82262322623226,1.4746676585063892e-05,8.954945730855723e-05
0.05,0.05,0.9678837214223395,2.137542750641258e-10,42.82262322623226,1.8333894177483134e-05,8.898037785216867e-05
0.06,0.06,0.9613348096444502,2.1150423006345087e-10,42.82262322623226,1.6482862765675125e-05,9.256777265499239e-05
0.07,0.07,0.9547427267418882,2.0925418506277583e-10,42.82262322623226,1.779070444826795e-05,9.10116906648436e-05
0.08,0.08,0.9481068997582622,2.0700414006210092e-10,42.82262322623226,1.574875526509695e-05,9.484542532791966e-05
0.09,0.09,0.9414267442547409,2.0475409506142587e-10,42.82262322623226,1.1923130066372177e-05,9.622771664960253e-05
0.1,0.1,0.9347016640011662,2.0250405006075078e-10,42.82262322623226,1.4930601473822272e-05,9.329849427350913e-05
0.11,0.11,0.9279310506567138,2.0025400506007579e-10,42.82262322623226,1.7150372745901368e-05,9.638704827183682e-05
0.12,0.12,0.9211142834396617,1.9800396005940085e-10,42.82262322623226,1.6330786484268392e-05,8.696949273096874e-05
0.13,0.13,0.9142507287858314,1.9575391505872575e-10,42.82262322623226,1.6717927689951692e-05,9.594549801555225e-05
0.14,0.14,0.9073397399952268,1.935038700580507e-10,42.82262322623226,2.3428313105762017e-05,9.221303484935724e-05
0.15,0.15,0.9003806568663714,1.9125382505737582e-10,42.82262322623226,1.6678816998227004e-05,0.00011115422490368026
0.16,0.16,0.89337280531784,1.8900378005670073e-10,42.82262322623226,1.599796821659539e-05,0.00011445757793728065
0.17,0.17,0.8863154969964301,1.8675373505602566e-10,42.82262322623226,1.9429339861488324e-05,0.00010633231117643644
0.18,0.18,0.8792080288714119,1.8450369005535077e-10,42.82262322623226,1.8911851005283673e-05,0.00011976299613809442
0.19,0.19,0.8720496828142519,1.822536450546757e-10,42.82262322623226,1.753380066532046e-05,9.828431186597147e-05
0.2,0.2,0.86483972516319,1.8000360005400076e-10,42.82262322623226,1.7758742192091604e-05,0.00011066094766532985
0.21,0.21,0.8575774062720013,1.7775355505332575e-10,42.82262322623226,2.0899080645796675e-05,0.00011451510130208382
0.22,0.22,0.8502619600422529,1.755035100526507e-10,42.82262322623226,1.9943702256386328e-05,0.000105379556002312
0.23,0.23,0.8428926034383277,1.7325346505197566e-10,42.82262322623226,2.1430340744995726e-05,0.00010935015253586712
0.24,0.24,0.8354685359844455,1.7100342005130077e-10,42.82262322623226,2.1024502966659177e-05,0.00010569818701697153
0.25,0.25,0.8279889392428699,1.6875337505062563e-10,42.82262322623226,2.0644588598549255e-05,0.00010844242411824832
0.26,0.26,0.8204529762724546,1.6650333004995064e-10,42.82262322623226,2.5453782089597726e-05,0.00010812698566355918
0.27,0.27,0.8128597910666385,1.6425328504927567e-10,42.82262322623226,2.218188471682811e-05,0.00011929076121568183
0.28,0.28,0.8052085079699279,1.6200324004860063e-10,42.82262322623226,1.993670871914788e-05,0.00011687419451781061
0.29,0.29,0.797498231071897,1.597531950479256e-10,42.82262322623226,2.3090792151625366e-05,0.00012096750054449421
0.3,0.3,0.7897280435776313,1.5750315004725067e-10,42.82262322623226,2.3582235128472023e-05,0.00012624580283690845
0.31,0.31,0.7818970071535288,1.5525310504657563e-10,42.82262322623226,2.3257218995935435e-05,0.0001341740182934033
0.32,0.32,0.77400416124728,1.530030600459006e-10,42.82262322623226,2.3079934832605336e-05,0.00013637767787386248
0.33,0.33,0.7660485223807948,1.5075301504522562e-10,42.82262322623226,2.734190492404095e-05,0.00015888993177410606
0.34,0.34,0.758029083414783,1.4850297004455058e-10,42.82262322623226,2.6350466160741186e-05,0.0001365828875764477
