m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,42.82262322623226,-9.647930052319638e-07,-1.5661755879537549e-06,2.0941103141055343e-07,-7.1564963710669136e-06,8.099518952017899e-07,1.8124792641301205e-06
0.01,0.01,42.82262322623226,-1.926888216067792e-05,-1.7810933517406775e-05,-1.323251581464692e-05,-3.37254710172683e-05,-2.1475373472638124e-05,-3.370442230217076e-06
0.02,0.02,42.82262322623226,-3.913965707993765e-05,-2.8789018194619285e-05,-3.4891258631766104e-05,-2.9130982104719273e-05,-3.667074647842762e-05,-2.6331355819329434e-05
0.03,0.03,42.82262322623226,-5.935308612357709e-05,-4.978751142449569e-05,-4.779717530032478e-05,-4.606240523129571e-05,-5.480352439580261e-05,-3.361145303333391e-05
0.04,0.04,42.82262322623226,-7.720107924765749e-05,-0.00010344298622653147,-8.604680156441855e-05,-8.683848000133147e-05,-7.570188212439118e-05,-8.765372680705773e-05
0.05,0.05,42.82262322623226,-7.750448430241605e-05,-9.790381502391668e-05,-8.50336216144291e-05,-9.922255133131668e-05,-7.923021371148063e-05,-8.307989691679602e-05
0.06,0.06,42.82262322623226,-9.629335830238399e-05,-0.00013721852345824166,-8.378177896252659e-05,-0.00010946556193814166,-9.234514628314727e-05,-0.00012565012022342664
0.07,0.07,42.82262322623226,-0.00012446210473030943,-9.563732884984825e-05,-0.00012084967106110941,-0.00012834979846414825,-0.00012311701420793329,-9.451120759681279e-05
0.08,0.08,42.82262322623226,-0.00011472341661651663,-0.00013456890204063034,-0.00011110182423581662,-0.00016598168910123034,-0.00011450863196547158,-0.00013345788738613004
0.09,0.09,42.82262322623226,-0.00017844391475926974,-0.00019529698149161384,-0.00018992933748126974,-0.00020129912096461384,-0.00017610512583258385,-0.00017733529230640001
0.1,0.1,42.82262322623226,-0.00016372493788681253,-0.00016524513641401039,-0.00015950582139071255,-0.00021283106880271038,-0.00016480096804825678,-0.0001566511007849399
0.11,0.11,42.82262322623226,-0.00018623189195198598,-0.00021450475851878502,-0.000186387117356086,-0.00017918929637118498,-0.0001886914657810895,-0.00020279086637854597
0.12,0.12,42.82262322623226,-0.00020426458378134136,-0.00020604903762084194,-0.00019435701354054136,-0.0001759639665441419,-0.00019926426695197362,-0.0002065920609450273
0.13,0.13,42.82262322623226,-0.0002736510385802275,-0.0002663413964408825,-0.0002596447659000275,-0.0002964929872744825,-0.0002705078397269671,-0.0002647636048850947
0.14,0.14,42.82262322623226,-0.0002568867344458716,-0.00030735791628047995,-0.0002462918833229716,-0.00029962284769927995,-0.0002529252063196479,-0.0002905604918548045
0.15,0.15,42.82262322623226,-0.00026837615623216384,-0.0002504398391145876,-0.0002877645292542639,-0.0002465865437006876,-0.00026229260640499763,-0.0002474959786251862
0.16,0.16,42.82262322623226,-0.00030014127307068377,-0.00033390152392265174,-0.0002950216308047838,-0.00032046735619465174,-0.00029447800556105783,-0.0003117175842836
0.17,0.17,42.82262322623226,-0.00032940395184730153,-0.00038773365802290463,-0.0003050963145188015,-0.00031518252755390454,-0.00032434369181692893,-0.00036999475413300003
0.18,0.18,42.82262322623226,-0.00036455634738462815,-0.0003520049892996125,-0.0003654251372641282,-0.0003808147512537125,-0.00035942840997442384,-0.0003439661707250426
0.19,0.19,42.82262322623226,-0.0003559084677829278,-0.0003701307658483255,-0.0003581797410891278,-0.0003865189493021255,-0.0003525377785305341,-0.0003552358123318
0.2,0.2,42.82262322623226,-0.000429422303540607,-0.0004408638275201985,-0.000427974398140107,-0.0004647954356978985,-0.00042104892377919136,-0.000421475021863
0.21,0.21,42.82262322623226,-0.000437367463215207,-0.0005418497605976175,-0.000433494648870507,-0.00044475486632161753,-0.0004332141795492942,-0.0005218056190358
0.22,0.22,42.82262322623226,-0.000499602521966103,-0.00043569317800858706,-0.0004907356100567029,-0.000516042477053587,-0.0004937482797380636,-0.0004203944608925
0.23,0.23,42.82262322623226,-0.0004409916005915332,-0.0005022523530208512,-0.0004392266663404332,-0.0005040454428009511,-0.0004267926309655104,-0.00047811436842820003
0.24,0.24,42.82262322623226,-0.0005678966741119599,-0.0005905396088267133,-0.0005491683308008598,-0.0006187498300998132,-0.0005649658932183722,-0.0005348225789774
0.25,0.25,42.82262322623226,-0.0005910740413397509,-0.0006729419407473078,-0.0005689791739092509,-0.0006732059195764078,-0.0005857114750751014,-0.0006271014067112
0.26,0.26,42.82262322623226,-0.0005705134984368601,-0.0006252193745838353,-0.0005443497426880601,-0.0005899752389822353,-0.0005592459528202095,-0.0005845166507843
0.27,0.27,42.82262322623226,-0.0005555073404380622,-0.0006305826596650616,-0.0005267274733814621,-0.0006168738086121616,-0.000543645278453804,-0.000599725256125
0.28,0.28,42.82262322623226,-0.0006925894748431272,-0.0007385727394693552,-0.0006688109895734273,-0.0006502210405532551,-0.0006838040936528705,-0.0007120362049461
0.29,0.29,42.82262322623226,-0.0007162217067990645,-0.0007880072985038899,-0.0007003159636337645,-0.00075131342087449,-0.0007095305661429398,-0.0007343715783477
0.3,0.3,42.82262322623226,-0.0007209397124474241,-0.0008235176901245727,-0.000696430859421024,-0.0007617711535090726,-0.0007060393764386927,-0.0007852858059817
0.31,0.31,42.82262322623226,-0.000770629353245378,-0.0008685741624722259,-0.0007528740182653781,-0.0007382686767364258,-0.0007607931463290248,-0.0008193875530312
0.32,0.32,42.82262322623226,-0.0008742639247127505,-0.000922347111012326,-0.0008612682589811505,-0.0009179991728026259,-0.0008674332606910751,-0.0008506214409219001
0.33,0.33,42.82262322623226,-0.0008847964979688144,-0.0010418361595521109,-0.0008702900038914144,-0.0009053950718200109,-0.000871301771399031,-0.0010059041915172998
0.34,0.34,42.82262322623226,-0.0008930001187271207,-0.0009275076591599241,-0.0008679727866658206,-0.0009796926468897242,-0.000882723565333945,-0.0008505374196005999
0.35,0.35,42.82262322623226,-0.0007288494135285431,-0.001035051430936744,-0.0007316592490426431,-0.0008276537182464439,-0.000719563780694654,-0.0009638670822105
0.36,0.36,42.82262322623226,-0.001046271984436202,-0.0011313242403887256,-0.001010834395843202,-0.0009882681416648255,-0.0010288393879085362,-0.0010833512939527
0.37,0.37,42.82262322623226,-0.0009500361450311809,-0.0011716368328104285,-0.0009675917164403808,-0.0010498408761790284,-0.000936157968986432,-0.0011094711748975
0.38,0.38,42.82262322623226,-0.0009739155898171436,-0.0012912603341994986,-0.0009468492074465436,-0.0010070362817408986,-0.00096530820341974,-0.0012081743425177
0.39,0.39,42.82262322623226,-0.001124942515423803,-0.0011572204184589787,-0.0010766931477274029,-0.0011917885159532786,-0.0011165045691573804,-0.0010853689340016
0.4,0.4,42.82262322623226,-0.0012034845583837861,-0.001330512022773737,-0.0012448326153250862,-0.001322505896395937,-0.0011882598171419,-0.0012549285337749001
0.41,0.41,42.82262322623226,-0.0010957637583718532,-0.001212314021057017,-0.001055211305698853,-0.001046422234316717,-0.001081963801093504,-0.0011320763524225
0.42,0.42,42.82262322623226,-0.0010517342875947982,-0.0012225824993911576,-0.0009718076002731982,-0.0010965236069431577,-0.0010388111099367883,-0.001142767584599
0.43,0.43,42.82262322623226,-0.0011739678328213333,-0.001375453578670534,-0.0011553649096557332,-0.001102890884953334,-0.0011543119013523368,-0.0013133203835816
0.44,0.44,42.82262322623226,-0.0013763732307534038,-0.0015715962444829833,-0.0013181269194312037,-0.0013730080792969833,-0.0013499188921325736,-0.0014997931160186
0.45,0.45,42.82262322623226,-0.0011398298555035582,-0.001376718777361713,-0.0011092552370686583,-0.0012498715258966132,-0.0011229118340458078,-0.0012780035797840998
