m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,2.0,2.2500450006750095e-10,42.82262322623226,0.0020335460065095817,0.006773104507201652
0.01,0.01,1.9913157536841377,2.2275445506682583e-10,42.82262322623226,0.0020591395710698917,0.006347207989322328
0.02,0.02,1.9825554300779649,2.2050441006615078e-10,42.82262322623226,0.002196540948708986,0.006411963466569418
0.03,0.03,1.9737176844607265,2.182543650654759e-10,42.82262322623226,0.0020382715140112567,0.006407407109650563
0.04,0.04,1.964801136140164,2.1600432006480083e-10,42.82262322623226,0.002000473219624439,0.006854644384629324
0.05,0.05,1.95580436715797,2.137542750641258e-10,42.82262322623226,0.0020478690067676554,0.0064192133193980115
0.06,0.06,1.9467259209364776,2.1150423006345087e-10,42.82262322623226,0.0020980333099943635,0.006758609352845269
0.07,0.07,1.9375643008633656,2.0925418506277583e-10,42.82262322623226,0.0021493239269412784,0.006970431784581365
0.08,0.08,1.9283179688109167,2.0700414006210092e-10,42.82262322623226,0.0020843374924214685,0.006782105272034897
0.09,0.09,1.918985343586183,2.0475409506142587e-10,42.82262322623226,0.001986037804964596,0.007244599822361138
0.1,0.1,1.9095647993081502,2.0250405006075078e-10,42.82262322623226,0.0020613600003594142,0.006641954782822623
0.11,0.11,1.9000546637077282,2.0025400506007579e-10,42.82262322623226,0.0024313691382587023,0.007160909363347215
0.12,0.12,1.8904532163461254,1.9800396005940085e-10,42.82262322623226,0.0020933657066999414,0.006832729858566566
0.13,0.13,1.8807586867468644,1.9575391505872575e-10,42.82262322623226,0.002234358742616365,0.00731507114601574
0.14,0.14,1.870969252436353,1.935038700580507e-10,42.82262322623226,0.0021879619724992382,0.0069425636106650755
0.15,0.15,1.8610830368876068,1.9125382505737582e-10,42.82262322623226,0.00222384186648884,0.0071978339203929665
0.16,0.16,1.8510981073612989,1.8900378005670073e-10,42.82262322623226,0.001973200975704273,0.007166689395928572
0.17,0.17,1.8410124726379327,1.8675373505602566e-10,42.82262322623226,0.002265252219761379,0.0073889918516794354
0.18,0.18,1.8308240806344924,1.8450369005535077e-10,42.82262322623226,0.0021589904297944,0.007628563878096074
0.19,0.19,1.820530815898414,1.822536450546757e-10,42.82262322623226,0.002363900383955439,0.006942752550310743
0.2,0.2,1.8101304969712413,1.8000360005400076e-10,42.82262322623226,0.0024896336389471116,0.007332127498436193
0.21,0.21,1.7996208736137405,1.7775355505332575e-10,42.82262322623226,0.002371658208602767,0.007558814387594112
0.22,0.22,1.7889996238836343,1.755035100526507e-10,42.82262322623226,0.0023312692300975755,0.007364584784215694
0.23,0.23,1.7782643510564888,1.7325346505197566e-10,42.82262322623226,0.002259966292763039,0.007321843502004413
0.24,0.24,1.7674125803795062,1.7100342005130077e-10,42.82262322623226,0.002122271856063634,0.0075336378255695426
0.25,0.25,1.7564417556472545,1.6875337505062563e-10,42.82262322623226,0.0023045348453910462,0.007440843667948115
0.26,0.26,1.7453492355874618,1.6650333004995064e-10,42.82262322623226,0.0022346894276727056,0.007081496666861739
0.27,0.27,1.7341322900441,1.6425328504927567e-10,42.82262322623226,0.002267175871384424,0.007911533317650552
0.28,0.28,1.722788095943956,1.6200324004860063e-10,42.82262322623226,0.0024469557842918734,0.007506884193589883
0.29,0.29,1.711313733031793,1.597531950479256e-10,42.82262322623226,0.0024513529902937706,0.0077673383896891155
0.3,0.3,1.699706179357965,1.5750315004725067e-10,42.82262322623226,0.002235545072069229,0.007560177304911477
0.31,0.31,1.6879623065010638,1.5525310504657563e-10,42.82262322623226,0.0025393207961177068,0.007912410993411726
0.32,0.32,1.6760788745066837,1.530030600459006e-10,42.82262322623226,0.002352682880213834,0.007845315321130116
0.33,0.33,1.6640525265218362,1.5075301504522562e-10,42.82262322623226,0.002384044508320386,0.008318564741635753
0.34,0.34,1.6518797831027674,1.4850297004455058e-10,42.82262322623226,0.0026203877914811784,0.008114187243979828
0.35,0.35,1.639557036172042,1.4625292504387556e-10,42.82262322623226,0.0023867990874120153,0.008195425789598546
0.36,0.36,1.6270805425986328,1.440028800432006e-10,42.82262322623226,0.0026431269181256167,0.0073831372715592635
0.37,0.37,1.6144464173724318,1.4175283504252555e-10,42.82262322623226,0.0025385912690764913,0.008237426217754872
0.38,0.38,1.6016506263420462,1.3950279004185054e-10,42.82262322623226,0.0026230057526528015,0.00816445677627982
0.39,0.39,1.5886889784819094,1.372527450411756e-10,42.82262322623226,0.002533671929835407,0.007848579123343285
0.4,0.4,1.5755571176516256,1.3500270004050055e-10,42.82262322623226,0.002700627264473496,0.008416829030473593
0.41,0.41,1.5622505138069964,1.3275265503982554e-10,42.82262322623226,0.0025402002103310367,0.007956840258590503
0.42,0.42,1.5487644536183611,1.3050261003915055e-10,42.82262322623226,0.0026852894092048276,0.00850291029514308
0.43,0.43,1.5350940304476355,1.282525650384755e-10,42.82262322623226,0.002833200466695175,0.008311572822762969
0.44,0.44,1.5212341336307065,1.260025200378005e-10,42.82262322623226,0.0024864588897124803,0.008612389155245452
0.45,0.45,1.50717943700661,1.2375247503712552e-10,42.82262322623226,0.0027988974050366976,0.008656859412944187
0.46,0.46,1.4929243866290494,1.2150243003645048e-10,42.82262322623226,0.0026881257179189504,0.008617577109698203
0.47,0.47,1.478463187589315,1.1925238503577549e-10,42.82262322623226,0.002859846505225434,0.008134774669401977
0.48,0.48,1.4637897898723569,1.1700234003510052e-10,42.82262322623226,0.0026517657533253213,0.009049923138028377
0.49,0.49,1.4488978731596076,1.1475229503442544e-10,42.82262322623226,0.0028182406783642763,0.008544172218368416
0.5,0.5,1.433780830483027,1.1250225003375047e-10,42.82262322623226,0.0026181659490357562,0.00861119948188481
0.51,0.51,1.4184317506245478,1.1025220503307539e-10,42.82262322623226,0.002906729221949092,0.00930389080128134
0.52,0.52,1.4028433991435674,1.0800216003240041e-10,42.82262322623226,0.002824398542757123,0.008830225024899064
0.53,0.53,1.3870081979021314,1.0575211503172544e-10,42.82262322623226,0.00332352848674698,0.009303663702481103
0.54,0.54,1.370918202942736,1.0350207003105039e-10,42.82262322623226,0.0028615024838424714,0.009603536096736363
