m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,2.0,2.2500450006750095e-10,42.82262322623226,3.6835009715282845e-06,2.647717660483915e-05
0.01,0.01,2.0,2.2500450006750095e-10,42.82262322623226,4.955183728889292e-06,2.338261693040819e-05
0.02,0.02,2.0,2.2500450006750095e-10,42.82262322623226,4.068686541118459e-06,2.776569572664037e-05
0.03,0.03,2.0,2.2500450006750095e-10,42.82262322623226,4.116874652836453e-06,2.6062734240931834e-05
0.04,0.04,2.0,2.2500450006750095e-10,42.82262322623226,4.59853197890602e-06,2.4191492001258493e-05
0.05,0.05,2.0,2.2500450006750095e-10,42.82262322623226,4.623936890462646e-06,2.6845515374245573e-05
0.06,0.06,2.0,2.2500450006750095e-10,42.82262322623226,3.7146892930455926e-06,2.620109350398258e-05
0.07,0.07,2.0,2.2500450006750095e-10,42.82262322623226,2.8525167830110587e-06,2.6713459216667947e-05
0.08,0.08,2.0,2.2500450006750095e-10,42.82262322623226,3.5484013001543123e-06,2.4525939694624756e-05
0.09,0.09,2.0,2.2500450006750095e-10,42.82262322623226,3.2208434263875437e-06,2.3082243760000036e-05
0.1,0.1,2.0,2.2500450006750095e-10,42.82262322623226,3.7383725842739446e-06,2.7882713270270987e-05
0.11,0.11,2.0,2.2500450006750095e-10,42.82262322623226,2.9943602508399455e-06,2.7300518482189433e-05
0.12,0.12,2.0,2.2500450006750095e-10,42.82262322623226,3.4261160369724267e-06,2.5446617938243228e-05
0.13,0.13,2.0,2.2500450006750095e-10,42.82262322623226,3.181020879234145e-06,2.395174076240789e-05
0.14,0.14,2.0,2.2500450006750095e-10,42.82262322623226,3.6083253418314414e-06,2.5039451210287993e-05
0.15,0.15,2.0,2.2500450006750095e-10,42.82262322623226,3.5786560174269365e-06,2.5820733505488336e-05
0.16,0.16,2.0,2.2500450006750095e-10,42.82262322623226,4.364911948735209e-06,2.4894229900349875e-05
0.17,0.17,2.0,2.2500450006750095e-10,42.82262322623226,3.984592687831104e-06,2.758335668995796e-05
0.18,0.18,2.0,2.2500450006750095e-10,42.82262322623226,3.7422691506023864e-06,2.5165629777099896e-05
0.19,0.19,2.0,2.2500450006750095e-10,42.82262322623226,3.633299140656861e-06,2.5386905491784056e-05
0.2,0.2,2.0,2.2500450006750095e-10,42.82262322623226,3.0934088987554126e-06,2.6477322968057643e-05
0.21,0.21,2.0,2.2500450006750095e-10,42.82262322623226,3.203764826682164e-06,2.2926905809275792e-05
0.22,0.22,2.0,2.2500450006750095e-10,42.82262322623226,3.3894308239636027e-06,2.3644790638132478e-05
0.23,0.23,2.0,2.2500450006750095e-10,42.82262322623226,3.8056915988908517e-06,2.72167432208104e-05
0.24,0.24,2.0,2.2500450006750095e-10,42.82262322623226,3.4963579971361462e-06,2.589457014705814e-05
0.25,0.25,2.0,2.2500450006750095e-10,42.82262322623226,4.132513275135671e-06,2.4919848966552257e-05
0.26,0.26,2.0,2.2500450006750095e-10,42.82262322623226,3.9961842111140966e-06,2.505467847124607e-05
0.27,0.27,2.0,2.2500450006750095e-10,42.82262322623226,3.837370613194581e-06,2.5884679795009253e-05
0.28,0.28,2.0,2.2500450006750095e-10,42.82262322623226,3.3736409067623976e-06,2.1412165846124314e-05
0.29,0.29,2.0,2.2500450006750095e-10,42.82262322623226,3.3122887284506764e-06,2.1009160473998485e-05
0.3,0.3,2.0,2.2500450006750095e-10,42.82262322623226,4.16161541137752e-06,2.5577501499159e-05
0.31,0.31,2.0,2.2500450006750095e-10,42.82262322623226,3.021786512059125e-06,2.76342689433452e-05
0.32,0.32,2.0,2.2500450006750095e-10,42.82262322623226,3.6549823906671664e-06,2.98401218986154e-05
0.33,0.33,2.0,2.2500450006750095e-10,42.82262322623226,4.179632302458905e-06,2.532813281664547e-05
0.34,0.34,2.0,2.2500450006750095e-10,42.82262322623226,3.482302182152913e-06,2.7797740916466738e-05
0.35,0.35,2.0,2.2500450006750095e-10,42.82262322623226,3.4028932648756984e-06,2.950497692062347e-05
0.36,0.36,2.0,2.2500450006750095e-10,42.82262322623226,3.7021956671815894e-06,2.465383577260179e-05
0.37,0.37,2.0,2.2500450006750095e-10,42.82262322623226,3.926823983475258e-06,2.9414797897741395e-05
0.38,0.38,2.0,2.2500450006750095e-10,42.82262322623226,4.351028270955003e-06,2.9284652511298133e-05
0.39,0.39,2.0,2.2500450006750095e-10,42.82262322623226,4.090691106560429e-06,2.571134133697308e-05
0.4,0.4,2.0,2.2500450006750095e-10,42.82262322623226,3.840774696563305e-06,2.387595341842098e-05
0.41,0.41,2.0,2.2500450006750095e-10,42.82262322623226,3.6451714628903946e-06,2.725120886506546e-05
0.42,0.42,2.0,2.2500450006750095e-10,42.82262322623226,3.814493008028003e-06,2.5617341335361867e-05
0.43,0.43,2.0,2.2500450006750095e-10,42.82262322623226,4.423620933672659e-06,2.7303826128832213e-05
0.44,0.44,2.0,2.2500450006750095e-10,42.82262322623226,4.381109583615121e-06,2.8180060766156773e-05
0.45,0.45,2.0,2.2500450006750095e-10,42.82262322623226,3.861300197330689e-06,2.432977608894513e-05
0.46,0.46,2.0,2.2500450006750095e-10,42.82262322623226,3.8118134977255238e-06,2.4391863194106387e-05
0.47,0.47,2.0,2.2500450006750095e-10,42.82262322623226,3.522369492824472e-06,2.498580357408447e-05
0.48,0.48,2.0,2.2500450006750095e-10,42.82262322623226,4.6824468323364405e-06,2.696239498939164e-05
0.49,0.49,2.0,2.2500450006750095e-10,42.82262322623226,3.5705839794330924e-06,2.8008016986392636e-05
0.5,0.5,2.0,2.2500450006750095e-10,42.82262322623226,3.409484647934438e-06,2.3881938607587917e-05
0.51,0.51,2.0,2.2500450006750095e-10,42.82262322623226,3.231181405066365e-06,2.682729810219903e-05
0.52,0.52,2.0,2.2500450006750095e-10,42.82262322623226,3.8027025984144256e-06,2.5659760388509823e-05
0.53,0.53,2.0,2.2500450006750095e-10,42.82262322623226,3.892482355803042e-06,2.501161512761949e-05
0.54,0.54,2.0,2.2500450006750095e-10,42.82262322623226,3.3962387879021434e-06,2.5047447616308893e-05
0.55,0.55,2.0,2.2500450006750095e-10,42.82262322623226,4.36471846929613e-06,2.4219632772582595e-05
0.56,0.56,2.0,2.2500450006750095e-10,42.82262322623226,3.943083079977531e-06,2.5092764159231904e-05
0.57,0.57,2.0,2.2500450006750095e-10,42.82262322623226,4.486511730353901e-06,2.8764028511481375e-05
0.58,0.58,2.0,2.2500450006750095e-10,42.82262322623226,3.8213281798979184e-06,2.840619785856112e-05
0.59,0.59,2.0,2.2500450006750095e-10,42.82262322623226,3.052524322333137e-06,2.5157616391186827e-05
0.6,0.6,2.0,2.2500450006750095e-10,42.82262322623226,4.168338893856742e-06,2.4536008132062705e-05
0.61,0.61,2.0,2.2500450006750095e-10,42.82262322623226,4.0568777949491536e-06,2.5571362577581592e-05
0.62,0.62,2.0,2.2500450006750095e-10,42.82262322623226,3.4701826900725246e-06,2.9013424414165618e-05
0.63,0.63,2.0,2.2500450006750095e-10,42.82262322623226,3.5840919723118346e-06,2.5690149753672018e-05
0.64,0.64,2.0,2.2500450006750095e-10,42.82262322623226,4.309742106739313e-06,2.4674267118613464e-05
0.65,0.65,2.0,2.2500450006750095e-10,42.82262322623226,3.5584683925112217e-06,2.367086722057842e-05
0.66,0.66,2.0,2.2500450006750095e-10,42.82262322623226,4.356045806615367e-06,2.654168951244314e-05
0.67,0.67,2.0,2.2500450006750095e-10,42.82262322623226,3.305696746501001e-06,2.546494424714639e-05
0.68,0.68,2.0,2.2500450006750095e-10,42.82262322623226,3.465046677885404e-06,2.527603989420448e-05
0.69,0.69,2.0,2.2500450006750095e-10,42.82262322623226,3.3600595134516128e-06,2.4075146357090102e-05
0.7,0.7,2.0,2.2500450006750095e-10,42.82262322623226,4.271975329340357e-06,2.5079301733886444e-05
0.71,0.71,2.0,2.2500450006750095e-10,42.82262322623226,3.063592068044659e-06,2.0391314965006772e-05
0.72,0.72,2.0,2.2500450006750095e-10,42.82262322623226,4.3110028132477426e-06,2.621879435982844e-05
0.73,0.73,2.0,2.2500450006750095e-10,42.82262322623226,3.8493454096093915e-06,2.9359250925370784e-05
0.74,0.74,2.0,2.2500450006750095e-10,42.82262322623226,2.839580808448831e-06,2.3294469070460108e-05
0.75,0.75,2.0,2.2500450006750095e-10,42.82262322623226,3.0213199664702545e-06,2.2737369254100078e-05
0.76,0.76,2.0,2.2500450006750095e-10,42.82262322623226,3.5670859119070087e-06,2.717949200749764e-05
0.77,0.77,2.0,2.2500450006750095e-10,42.82262322623226,3.439170144094763e-06,2.651990721967703e-05
