m,M,original_average,suppressed_database_average,suppressed_database_sum,suppressed_database_number_of_elements,epsilon_of_M,delta_of_M,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.821136989969666,42.81936364351218,0.0014862362625933656,0.003259582720076537
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.827319959480825,42.82488048339207,0.00469673324856501,0.002257257159811843
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82221688715364,42.83112854813704,0.0004063390786228638,0.00850532190477793
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82534615950066,42.82776508658424,0.0027229332684015617,0.005141860351983496
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.818907663724346,42.819174659157156,0.0037155625079137167,0.003448567075103881
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.822400380052535,42.81549118080614,0.0002228461797244563,0.007132045426118339
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.81874465925411,42.820696552266234,0.0038785669781518095,0.0019266739660253052
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.822380460110224,42.805982740099886,0.00024276612203522063,0.01664048613237412
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.81838507923325,42.815626052796574,0.004238146999007597,0.006997173435685511
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82070750544784,42.818634551136256,0.001915720784417374,0.0039886750960036466
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82512495011919,42.83107973211538,0.0025017238869295966,0.008456505883117416
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82286933130511,42.82387421954978,0.0002461050728470582,0.0012509933175195442
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.823416265641896,42.83175070607327,0.0007930394096362647,0.009127479841012587
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.821155404299844,42.82311559880668,0.0014678219324153474,0.0004923725744205854
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82448601799874,42.83870690430866,0.0018627917664773008,0.016083678076398655
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.819154126453306,42.8315692910134,0.0034690997789539324,0.008946064781142127
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82283981894629,42.812205576117066,0.00021659271403251523,0.010417650115194022
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82661815869978,42.811262362611195,0.003994932467520584,0.011360863621064254
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82110230525012,42.824547282005376,0.0015209209821378522,0.0019240557731166064
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.821982300674655,42.82024591984177,0.0006409255576045325,0.002377306390492606
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.81768933349707,42.81609605783692,0.004933892735188294,0.0065271683953369575
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.821741239136934,42.813414986262785,0.0008819870953260533,0.009208239969474619
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82285788276932,42.8044896550651,0.00023465653706011835,0.018133571167162188
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82479290933006,42.815454322668444,0.0021696830977973036,0.007168903563815832
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.820743004307474,42.81210594867724,0.0018802219247859853,0.010517277555017301
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82150180973413,42.82239462504855,0.0011214164981296904,0.00022860118370715554
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82319534648373,42.8195238819729,0.0005721202514692436,0.003099344259361203
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82173095772301,42.81757984587831,0.0008922685092471738,0.005043380353946247
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.822640719733485,42.82506979623433,1.7493501225374075e-05,0.002446570002071269
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82298651152754,42.82949469675712,0.00036328529527906994,0.00687147052486381
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82369063220991,42.819160415473256,0.0010674059776505374,0.003462810759003787
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82221943643868,42.811735044564124,0.0004037897935802448,0.010888181668136099
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82223264689099,42.821467461119404,0.000390579341271291,0.0011557651128555335
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82172369041607,42.81725385850094,0.0008995358161882905,0.00536936773131913
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82668245876466,42.825956190462236,0.004059232532398482,0.0033329642299761986
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.823673722367914,42.81323937703425,0.001050496135654555,0.009383849198009386
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.823050058133376,42.80889622824499,0.00042683190111603153,0.01372699798726984
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.81992651398638,42.819933165864114,0.0026967122458785298,0.0026900603681454527
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82476476523806,42.82804368495043,0.0021415390057981654,0.005420458718170096
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82464290395961,42.832591467457085,0.0020196777273469024,0.009968241224825647
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.822014819807386,42.818756457869775,0.0006084064248739196,0.003866768362485118
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82100422665685,42.83286832198144,0.001618999575413227,0.010245095749176869
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.820664396827546,42.816020697296246,0.0019588294047139243,0.006602528936014096
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.813604088352385,42.8280610300752,0.009019137879874961,0.005437803842937683
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.823201747270375,42.81504263832569,0.0005785210381148431,0.007580587906566905
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82208122846125,42.82154888130928,0.0005419977710090507,0.0010743449229764224
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.824945722940804,42.82846910351194,0.0023224967085440085,0.005845877279682554
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82525846420213,42.81827727021438,0.0026352379698693085,0.004345956017878905
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82539928884246,42.81702272908207,0.0027760626102022457,0.00560049715019062
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82604120195807,42.82655864602609,0.0034179757258101517,0.0039354197938337165
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82152012085624,42.83179671281407,0.0011031053760177656,0.009173486581808277
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.823262067051424,42.81611800364198,0.0006388408191639883,0.006505222590277526
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82536450899887,42.8138184558502,0.0027412827666069006,0.008804770382056404
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82046533172833,42.80387876972232,0.0021578945039308906,0.01874445650994261
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.824122239017704,42.810020866692376,0.00149901278544462,0.012602359539883423
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.82214842596945,42.825741418505096,0.00047480026280766197,0.0031181922728364952
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.823357616161516,42.816469182799466,0.0007343899292564515,0.006154043432793799
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.81905165561852,42.82220675154942,0.0035715706137366965,0.0004164746828365651
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2,2.250045000675009e-10,42.8254929573137,42.8318154977905,0.0028697310814393973,0.009192271558241316
