m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,2.0,2.2500450006750095e-10,42.82262322623226,0.0022003374473799652,0.0066411396793734385
0.01,0.01,2.0,2.2500450006750095e-10,42.82262322623226,0.005866242882279408,0.008708809783259256
0.02,0.02,2.0,2.2500450006750095e-10,42.82262322623226,0.008446823924150564,0.01041965632827214
0.03,0.03,2.0,2.2500450006750095e-10,42.82262322623226,0.009647610180931621,0.012044772048331523
0.04,0.04,2.0,2.2500450006750095e-10,42.82262322623226,0.010769143722871747,0.012582149235860384
0.05,0.05,2.0,2.2500450006750095e-10,42.82262322623226,0.012455715871215503,0.014161709311568174
0.06,0.06,2.0,2.2500450006750095e-10,42.82262322623226,0.01323183911578613,0.015285929120805704
0.07,0.07,2.0,2.2500450006750095e-10,42.82262322623226,0.014090409355317562,0.01639296044928953
0.08,0.08,2.0,2.2500450006750095e-10,42.82262322623226,0.015793790441571247,0.017240452800474558
0.09,0.09,2.0,2.2500450006750095e-10,42.82262322623226,0.01786805167177923,0.01922538859748289
0.1,0.1,2.0,2.2500450006750095e-10,42.82262322623226,0.018084833540302298,0.019555388300248795
0.11,0.11,2.0,2.2500450006750095e-10,42.82262322623226,0.017950497887288593,0.019488888796323565
0.12,0.12,2.0,2.2500450006750095e-10,42.82262322623226,0.020243127138709058,0.02084033086227423
0.13,0.13,2.0,2.2500450006750095e-10,42.82262322623226,0.02136145798381817,0.022118981247163817
0.14,0.14,2.0,2.2500450006750095e-10,42.82262322623226,0.021090357621287453,0.022903956328301958
0.15,0.15,2.0,2.2500450006750095e-10,42.82262322623226,0.022698936825732714,0.023993842774774846
0.16,0.16,2.0,2.2500450006750095e-10,42.82262322623226,0.024781628372830055,0.025511160623147504
0.17,0.17,2.0,2.2500450006750095e-10,42.82262322623226,0.02447441970447278,0.0263128324531212
0.18,0.18,2.0,2.2500450006750095e-10,42.82262322623226,0.025379307464295408,0.026496800559700703
0.19,0.19,2.0,2.2500450006750095e-10,42.82262322623226,0.026174833153780584,0.027004411011466146
0.2,0.2,2.0,2.2500450006750095e-10,42.82262322623226,0.026689741874050613,0.027100006221189757
0.21,0.21,2.0,2.2500450006750095e-10,42.82262322623226,0.026818008382414733,0.02785219767517829
0.22,0.22,2.0,2.2500450006750095e-10,42.82262322623226,0.028864255421082008,0.03002244026562846
0.23,0.23,2.0,2.2500450006750095e-10,42.82262322623226,0.03076008116083851,0.03181536315459888
0.24,0.24,2.0,2.2500450006750095e-10,42.82262322623226,0.02858843243080031,0.029924113067643303
0.25,0.25,2.0,2.2500450006750095e-10,42.82262322623226,0.032190424376628474,0.03238548143238877
0.26,0.26,2.0,2.2500450006750095e-10,42.82262322623226,0.030662108695792823,0.0323025580950425
0.27,0.27,2.0,2.2500450006750095e-10,42.82262322623226,0.03338023213677344,0.034484106349415455
0.28,0.28,2.0,2.2500450006750095e-10,42.82262322623226,0.03273531886145003,0.034315264892470526
0.29,0.29,2.0,2.2500450006750095e-10,42.82262322623226,0.03356204567828695,0.03545146641435962
0.3,0.3,2.0,2.2500450006750095e-10,42.82262322623226,0.03372489333420499,0.03495975755016565
0.31,0.31,2.0,2.2500450006750095e-10,42.82262322623226,0.03646308944501759,0.036924800257535924
0.32,0.32,2.0,2.2500450006750095e-10,42.82262322623226,0.037198362655493214,0.03878310285087715
0.33,0.33,2.0,2.2500450006750095e-10,42.82262322623226,0.036337637606063865,0.03618814192714167
0.34,0.34,2.0,2.2500450006750095e-10,42.82262322623226,0.03896004313490226,0.04027707284982257
0.35,0.35,2.0,2.2500450006750095e-10,42.82262322623226,0.03998458355922962,0.040873565991751605
0.36,0.36,2.0,2.2500450006750095e-10,42.82262322623226,0.03901248187782529,0.04007233610559044
0.37,0.37,2.0,2.2500450006750095e-10,42.82262322623226,0.043534446191516495,0.04444962217320838
0.38,0.38,2.0,2.2500450006750095e-10,42.82262322623226,0.042316165050014905,0.042482255286170056
0.39,0.39,2.0,2.2500450006750095e-10,42.82262322623226,0.04467988849440606,0.045013507565271726
0.4,0.4,2.0,2.2500450006750095e-10,42.82262322623226,0.04408263173614466,0.04481817778574431
0.41,0.41,2.0,2.2500450006750095e-10,42.82262322623226,0.044690003581676595,0.04485434822698275
0.42,0.42,2.0,2.2500450006750095e-10,42.82262322623226,0.04469013120927349,0.04465689228893166
0.43,0.43,2.0,2.2500450006750095e-10,42.82262322623226,0.048821644510364096,0.050187190548305664
