m,M,original_average,suppressed_database_average,suppressed_database_sum,suppressed_database_number_of_elements,epsilon_of_M,delta_of_M,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.82410720854738,42.81536013850082,0.0014839823151220344,0.007263087731438134
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.82287000341952,42.81770770988959,0.0002467771872574076,0.004915516342670401
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.82510741331318,42.82754257935396,0.002484187080916911,0.004919353121699999
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.823590726296686,42.81420313072843,0.0009675000644264742,0.008420095503829828
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.822450439667186,42.800300834429564,0.00017278656507357937,0.022322391802696018
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.820314135999844,42.837814189754866,0.002309090232415656,0.015190963522606182
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.82214674113909,42.823652575660496,0.0004764850931664455,0.0010293494282365145
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.822939672900084,42.817413423658735,0.0003164466678242661,0.005209802573524769
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.82191104878222,42.82702830242878,0.0007121774500404854,0.004405076196519531
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.820289897406816,42.830365655048084,0.002333328825443459,0.007742428815824098
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.821934965972545,42.81820836248009,0.0006882602597144682,0.004414863752167264
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.82341150764632,42.82627303125919,0.0007882814140600658,0.003649805026931574
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.821469646273634,42.8138017839768,0.001153579958625528,0.00882144225546
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.8181864569104,42.82584637382822,0.00443676932186321,0.0032231475959605405
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.82292712496316,42.82884996164843,0.000303898730898311,0.00622673541617047
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.82426269601843,42.819196442736434,0.0016394697861699115,0.0034267834958257026
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.82019845741842,42.817103373044546,0.0024247688138387957,0.0055198531877138635
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.817052122590944,42.81951086479437,0.005571103641315744,0.00311236143789273
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.82497804052505,42.83463270931738,0.0023548142927936055,0.012009483085122952
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.81999546355595,42.827746793226474,0.002627762676311818,0.005123566994214457
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.82471562562489,42.82424501435351,0.002092399392630284,0.0016217881212483576
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.82281164270843,42.81935684567126,0.0001884164761705165,0.0032663805610013696
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.82324438989051,42.823703040636744,0.0006211636582520441,0.0010798144044841251
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.8179362831146,42.818788903045125,0.004686943117661713,0.003834323187135169
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.823047828685446,42.818059174105976,0.000424602453186651,0.004564052126283968
0.0,0.0,42.82262322623226,42.82262322623226,2854813,66666,2.0,2.250045000675009e-10,42.82099426880319,42.83895425039556,0.001628957429069544,0.0163310241632999
