m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,42.82262322623226,-0.0001575991172681002,0.00028376468591759935,-8.997598276399947e-06,0.0005826330986808993,-0.00018899553587369998,-0.00013672011991260058
0.01,0.01,42.82262322623226,-0.0036499613385899002,-0.001988259725021,-0.0034690187993945,-0.0019912951384361997,-0.0036653913696748004,-0.0023236984047968
0.02,0.02,42.82262322623226,-0.0063675081911622,-0.0037473362897526997,-0.0062030367313639,-0.004021121095254699,-0.0062931957425235,-0.0035872028407881998
0.03,0.03,42.82262322623226,-0.007547199514633601,-0.005216852845764601,-0.007452553951346801,-0.005592108881721299,-0.007557707900340401,-0.0052460642000169005
0.04,0.04,42.82262322623226,-0.0086942764532087,-0.006194303194612801,-0.0087492922417076,-0.005781633249894,-0.0086510427176518,-0.005784930186489001
0.05,0.05,42.82262322623226,-0.0103455041287583,-0.0072758715262319995,-0.010413902494035699,-0.0071211094530585,-0.010434814278232,-0.007272050514142699
0.06,0.06,42.82262322623226,-0.0112126001557455,-0.0087034242323001,-0.011026334001769599,-0.00792488861247,-0.0110923740383331,-0.008999420756604301
0.07,0.07,42.82262322623226,-0.0121458629700068,-0.0091139913213246,-0.012438932943059899,-0.0082064693464898,-0.0119213039130165,-0.0098401714790575
0.08,0.08,42.82262322623226,-0.013734922284866198,-0.0106680489129936,-0.0135957321871408,-0.010313808559006002,-0.0136173105561372,-0.0098773673083937
0.09,0.09,42.82262322623226,-0.015882252284517402,-0.0127578044225003,-0.015726680516011202,-0.0121237335177815,-0.0156174678093052,-0.012414100998863198
0.1,0.1,42.82262322623226,-0.0160096226470176,-0.012711900534750801,-0.0159099113543298,-0.012338723379369601,-0.0159571052693968,-0.012863409272878702
0.11,0.11,42.82262322623226,-0.016107938564413497,-0.012958585601855,-0.0160814081271628,-0.012624255157494902,-0.0158764657322244,-0.0128306077305303
0.12,0.12,42.82262322623226,-0.0181468102489443,-0.0141441281717116,-0.0181002377420267,-0.0143462328498372,-0.0182029127559896,-0.0139858623148357
0.13,0.13,42.82262322623226,-0.0193298766355516,-0.015639158409847,-0.0192871848978767,-0.015889175385106,-0.0190724518992201,-0.014909620947253198
0.14,0.14,42.82262322623226,-0.0190158804509638,-0.016326237986031198,-0.0192609590937771,-0.015613159494121898,-0.0187536457476499,-0.0157628625314541
0.15,0.15,42.82262322623226,-0.0206118369501925,-0.017256547864519703,-0.020460709184207098,-0.017149104267616802,-0.0204806260384137,-0.0164335588146399
0.16,0.16,42.82262322623226,-0.022679910901878098,-0.0186494134301295,-0.0225621875189339,-0.0190196883289911,-0.022576075898346,-0.0187777192427865
0.17,0.17,42.82262322623226,-0.0222622541978489,-0.0195566377422767,-0.0223220467425074,-0.0192901454176597,-0.0222890521631137,-0.0184198108893878
0.18,0.18,42.82262322623226,-0.0233403451109933,-0.0197667628396807,-0.0231994544462582,-0.0193649089613491,-0.0230883300846942,-0.0187232335205436
0.19,0.19,42.82262322623226,-0.0241791480157913,-0.0203736507528574,-0.0239096851912678,-0.020350367925871,-0.0240181263623325,-0.0200061514695283
0.2,0.2,42.82262322623226,-0.0248213329803047,-0.020575537511657103,-0.0249351944641003,-0.0206194147000893,-0.0243494107335602,-0.019820678605823
0.21,0.21,42.82262322623226,-0.024854747004863703,-0.021453257161076898,-0.0248519461557326,-0.0212511676292085,-0.0247871778108808,-0.0209696067515905
0.22,0.22,42.82262322623226,-0.0268917275565458,-0.0234819758938285,-0.026794880590240797,-0.0233257575300022,-0.0265858924731759,-0.0227762348531648
0.23,0.23,42.82262322623226,-0.0288058321419718,-0.024830019656494198,-0.028623291522162697,-0.0240368098728144,-0.028489396199859,-0.024229908336307997
0.24,0.24,42.82262322623226,-0.0266339689717045,-0.0230278242746617,-0.0266783643188277,-0.022846550003002997,-0.0262356374506683,-0.0223454398774805
0.25,0.25,42.82262322623226,-0.030105569511560997,-0.026013338938269102,-0.029795072711567002,-0.026302413890343396,-0.029854197191835997,-0.024966218465667902
0.26,0.26,42.82262322623226,-0.0285939559890926,-0.025488407701224895,-0.0287202092800637,-0.025794447980627598,-0.028328850532255898,-0.025052677671908597
0.27,0.27,42.82262322623226,-0.0313274674318856,-0.0276193875368644,-0.031225790267350104,-0.026876518437895198,-0.031171577118839403,-0.0271065731718875
0.28,0.28,42.82262322623226,-0.0307478889253322,-0.028013366305670397,-0.030800814691528698,-0.0275985929479034,-0.0303888246815881,-0.026865683187141796
0.29,0.29,42.82262322623226,-0.0314659230779394,-0.029169176950256705,-0.0316219365314382,-0.028742429773118805,-0.031149298070482896,-0.027727530514907305
0.3,0.3,42.82262322623226,-0.0317404111069986,-0.0285092018789165,-0.0315879613126707,-0.0288225568224426,-0.0313164148579283,-0.0274629514857803
0.31,0.31,42.82262322623226,-0.0344835267608326,-0.030340674694923304,-0.0344538525197604,-0.030478522334169804,-0.0340409089126325,-0.028734845881497804
0.32,0.32,42.82262322623226,-0.0351500839529316,-0.032009293280209294,-0.0352197998071651,-0.0312740632623104,-0.0347536796652003,-0.0307782840669181
0.33,0.33,42.82262322623226,-0.0342835734352626,-0.029490001059987198,-0.0341633944104003,-0.0307005421861858,-0.033970232988881105,-0.027806131323413
0.34,0.34,42.82262322623226,-0.0370769065284978,-0.0332396524304366,-0.037026578909652004,-0.032626601903015806,-0.036499742907027,-0.0328345573299189
0.35,0.35,42.82262322623226,-0.0379586042954468,-0.0335330020955665,-0.0380854208181252,-0.0332695368098083,-0.037485228139075996,-0.0331160144672317
0.36,0.36,42.82262322623226,-0.037047868009807604,-0.0334784867318094,-0.0375115957865266,-0.033756134753622505,-0.036466636280833305,-0.0319522266736591
0.37,0.37,42.82262322623226,-0.0413504089229169,-0.0376002135119809,-0.041086829129017,-0.0363879799276254,-0.040732936727943994,-0.0365921862962547
0.38,0.38,42.82262322623226,-0.040262504624919496,-0.03552155668608,-0.0398118882529891,-0.0359294653492471,-0.039767852307714596,-0.0341936011435796
0.39,0.39,42.82262322623226,-0.0425334774391898,-0.0381519750868805,-0.0421425284124317,-0.038024506901041304,-0.0421808329583606,-0.0367706723377176
0.4,0.4,42.82262322623226,-0.041984815675020604,-0.0380259487611906,-0.0422794062338356,-0.038461371933258395,-0.0413563018610559,-0.0364997996465212
0.41,0.41,42.82262322623226,-0.042514673001367395,-0.037950501345856,-0.041987845915127796,-0.037938958746551704,-0.0421266009747978,-0.0363392261864659
0.42,0.42,42.82262322623226,-0.0427110264236798,-0.0380150675931115,-0.0428504518669265,-0.0394798593785051,-0.0420906483900844,-0.0360757263147836
