m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.25,2.2500450006750095e-10,4.165871658716587,0.0012068371735477611,0.0031284578600295526
0.01,0.01,0.25,2.2500450006750095e-10,4.165871658716587,0.0013321574709242209,0.0029428145512122067
0.02,0.02,0.25,2.2500450006750095e-10,4.165871658716587,0.0012454450956276783,0.002974843174364979
0.03,0.03,0.25,2.2500450006750095e-10,4.165871658716587,0.0012298230491567636,0.0031233734317771696
0.04,0.04,0.25,2.2500450006750095e-10,4.165871658716587,0.0012313216018337734,0.003011458663944378
0.05,0.05,0.25,2.2500450006750095e-10,4.165871658716587,0.0012979841352006556,0.0030728126314028864
0.06,0.06,0.25,2.2500450006750095e-10,4.165871658716587,0.0012679399076317424,0.003119394763293874
0.07,0.07,0.25,2.2500450006750095e-10,4.165871658716587,0.0012343469362074018,0.003046959841734642
0.08,0.08,0.25,2.2500450006750095e-10,4.165871658716587,0.0012745863794356928,0.002987255059450316
0.09,0.09,0.25,2.2500450006750095e-10,4.165871658716587,0.0012151796386583663,0.0029882808851249224
0.1,0.1,0.25,2.2500450006750095e-10,4.165871658716587,0.0012779831232647876,0.002876020104887189
0.11,0.11,0.25,2.2500450006750095e-10,4.165871658716587,0.0011788698372367321,0.0029109394899183554
0.12,0.12,0.25,2.2500450006750095e-10,4.165871658716587,0.0012992964046968005,0.0032186904313410755
0.13,0.13,0.25,2.2500450006750095e-10,4.165871658716587,0.0011610630620789806,0.002891989923310305
0.14,0.14,0.25,2.2500450006750095e-10,4.165871658716587,0.001253309288796583,0.003012925540772098
0.15,0.15,0.25,2.2500450006750095e-10,4.165871658716587,0.0011797756186073727,0.0029301319660411363
0.16,0.16,0.25,2.2500450006750095e-10,4.165871658716587,0.00123523610683376,0.003034641098841245
0.17,0.17,0.25,2.2500450006750095e-10,4.165871658716587,0.0012758558273010686,0.0032155541771490075
0.18,0.18,0.25,2.2500450006750095e-10,4.165871658716587,0.0011798424844833805,0.0031710770770770756
0.19,0.19,0.25,2.2500450006750095e-10,4.165871658716587,0.001215564134123877,0.003269238626649795
0.2,0.2,0.25,2.2500450006750095e-10,4.165871658716587,0.0011871682674983396,0.003078878284362741
0.21,0.21,0.25,2.2500450006750095e-10,4.165871658716587,0.0012850935242752328,0.002986185241881939
0.22,0.22,0.25,2.2500450006750095e-10,4.165871658716587,0.0012987746343321492,0.003135652877091417
0.23,0.23,0.25,2.2500450006750095e-10,4.165871658716587,0.0012408846252105494,0.0031337876025971773
0.24,0.24,0.25,2.2500450006750095e-10,4.165871658716587,0.0012170663912837512,0.002979936635539733
0.25,0.25,0.25,2.2500450006750095e-10,4.165871658716587,0.0012283653871590517,0.0030293591926490357
0.26,0.26,0.25,2.2500450006750095e-10,4.165871658716587,0.0012381185085632413,0.0030680628085715663
0.27,0.27,0.25,2.2500450006750095e-10,4.165871658716587,0.0012443889118579961,0.0032865472054738076
0.28,0.28,0.25,2.2500450006750095e-10,4.165871658716587,0.0011989294865654668,0.0030948283024217708
0.29,0.29,0.25,2.2500450006750095e-10,4.165871658716587,0.0011811553138848705,0.0030516760732593228
0.3,0.3,0.25,2.2500450006750095e-10,4.165871658716587,0.0011994348764444158,0.003039722594893579
0.31,0.31,0.25,2.2500450006750095e-10,4.165871658716587,0.0012163113462043853,0.0030026840223358027
