m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.24999999999999994,2.2500450006750095e-10,4.165871658716587,1.1494277225186801e-06,5.543103307918965e-06
0.01,0.01,0.2477855577623473,2.2275445506682583e-10,4.165871658716587,1.6277207781668535e-06,5.240926825649931e-06
0.02,0.02,0.24556620088507244,2.2050441006615078e-10,4.165871658716587,1.2387433122145938e-06,5.112257781474965e-06
0.03,0.03,0.2433419075049566,2.182543650654759e-10,4.165871658716587,1.3119999288091965e-06,5.061603648349186e-06
0.04,0.04,0.2411126556125652,2.1600432006480083e-10,4.165871658716587,1.6069194831829655e-06,5.931539585336673e-06
0.05,0.05,0.23887842305094018,2.137542750641258e-10,4.165871658716587,1.2656777943780828e-06,5.970204596154159e-06
0.06,0.06,0.23663918751428026,2.1150423006345087e-10,4.165871658716587,1.4083547402679475e-06,5.936931560777614e-06
0.07,0.07,0.23439492654660346,2.0925418506277583e-10,4.165871658716587,1.716723606628391e-06,5.9838342923421264e-06
0.08,0.08,0.2321456175403962,2.0700414006210092e-10,4.165871658716587,1.4480112320228473e-06,5.205309478809825e-06
0.09,0.09,0.229891237735247,2.0475409506142587e-10,4.165871658716587,1.8276900435499652e-06,5.956599950893663e-06
0.1,0.1,0.2276317642164649,2.0250405006075078e-10,4.165871658716587,1.8135196251878376e-06,5.827833688253529e-06
0.11,0.11,0.22536717391368066,2.0025400506007579e-10,4.165871658716587,1.5920467904157207e-06,5.837807651774446e-06
0.12,0.12,0.22309744359943545,1.9800396005940085e-10,4.165871658716587,1.89926473461049e-06,6.55718522639424e-06
0.13,0.13,0.22082254988774924,1.9575391505872575e-10,4.165871658716587,1.657982075474965e-06,6.395618187011618e-06
0.14,0.14,0.21854246923267656,1.935038700580507e-10,4.165871658716587,2.064610452007507e-06,6.742627476821882e-06
0.15,0.15,0.216257177926844,1.9125382505737582e-10,4.165871658716587,1.4345900765488473e-06,7.526495722217017e-06
0.16,0.16,0.21396665209996982,1.8900378005670073e-10,4.165871658716587,1.7468605784467047e-06,6.651934554388944e-06
0.17,0.17,0.21167086771737015,1.8675373505602566e-10,4.165871658716587,2.1089532353326497e-06,7.56058176194037e-06
0.18,0.18,0.2093698005784441,1.8450369005535077e-10,4.165871658716587,1.7392894114313473e-06,8.388623385848164e-06
0.19,0.19,0.20706342631514338,1.822536450546757e-10,4.165871658716587,1.9278199447731093e-06,7.511751808027358e-06
0.2,0.2,0.20475172039042486,1.8000360005400076e-10,4.165871658716587,2.032259654242136e-06,7.166303603259773e-06
0.21,0.21,0.20243465809668282,1.7775355505332575e-10,4.165871658716587,2.1245847624985695e-06,6.7889181127364485e-06
0.22,0.22,0.20011221455416608,1.755035100526507e-10,4.165871658716587,2.1077147077456277e-06,8.496473331544542e-06
0.23,0.23,0.19778436470937377,1.7325346505197566e-10,4.165871658716587,1.912936780653825e-06,7.598286869276563e-06
0.24,0.24,0.19545108333343392,1.7100342005130077e-10,4.165871658716587,2.283777223998017e-06,8.496317988449504e-06
