m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.25,2.2500450006750095e-10,4.165871658716587,1.3379642130890257e-06,5.442043761927675e-06
0.01,0.01,0.25,2.2500450006750095e-10,4.165871658716587,1.2568256987746398e-06,4.783627335266657e-06
0.02,0.02,0.25,2.2500450006750095e-10,4.165871658716587,1.3662008011592399e-06,5.125222203652463e-06
0.03,0.03,0.25,2.2500450006750095e-10,4.165871658716587,1.4476254990736965e-06,6.23924082198492e-06
0.04,0.04,0.25,2.2500450006750095e-10,4.165871658716587,1.463397005811899e-06,5.433826120477511e-06
0.05,0.05,0.25,2.2500450006750095e-10,4.165871658716587,1.0819930569125448e-06,5.016031165134566e-06
0.06,0.06,0.25,2.2500450006750095e-10,4.165871658716587,1.2030899803906264e-06,5.443164927928861e-06
0.07,0.07,0.25,2.2500450006750095e-10,4.165871658716587,1.097174119309209e-06,5.348358156779015e-06
0.08,0.08,0.25,2.2500450006750095e-10,4.165871658716587,1.290585302102783e-06,5.4495332302564855e-06
0.09,0.09,0.25,2.2500450006750095e-10,4.165871658716587,1.2707437205511486e-06,5.262213610119647e-06
0.1,0.1,0.25,2.2500450006750095e-10,4.165871658716587,1.2497962467017761e-06,4.709911538223647e-06
0.11,0.11,0.25,2.2500450006750095e-10,4.165871658716587,1.4631554639911928e-06,5.044251747093604e-06
0.12,0.12,0.25,2.2500450006750095e-10,4.165871658716587,1.2995798574437348e-06,4.703649294680309e-06
0.13,0.13,0.25,2.2500450006750095e-10,4.165871658716587,1.3118019170077825e-06,5.208566452819992e-06
0.14,0.14,0.25,2.2500450006750095e-10,4.165871658716587,1.0493365089736416e-06,5.111194633391884e-06
0.15,0.15,0.25,2.2500450006750095e-10,4.165871658716587,1.0742970606476447e-06,4.45686916585927e-06
0.16,0.16,0.25,2.2500450006750095e-10,4.165871658716587,1.2623571209211484e-06,5.689945144965467e-06
0.17,0.17,0.25,2.2500450006750095e-10,4.165871658716587,1.0643093621358965e-06,6.6162078045031175e-06
0.18,0.18,0.25,2.2500450006750095e-10,4.165871658716587,1.1984564202364252e-06,5.225651234366433e-06
0.19,0.19,0.25,2.2500450006750095e-10,4.165871658716587,1.2728860108238145e-06,4.583065893402854e-06
0.2,0.2,0.25,2.2500450006750095e-10,4.165871658716587,1.3379380099237922e-06,5.189827858560649e-06
0.21,0.21,0.25,2.2500450006750095e-10,4.165871658716587,1.321480615474325e-06,5.9682688799557636e-06
0.22,0.22,0.25,2.2500450006750095e-10,4.165871658716587,1.254164807857296e-06,5.444180684479371e-06
0.23,0.23,0.25,2.2500450006750095e-10,4.165871658716587,1.7340836185803068e-06,5.346050526334638e-06
0.24,0.24,0.25,2.2500450006750095e-10,4.165871658716587,1.0296322178485347e-06,5.043149875794275e-06
0.25,0.25,0.25,2.2500450006750095e-10,4.165871658716587,1.078863540566344e-06,5.272779597968535e-06
0.26,0.26,0.25,2.2500450006750095e-10,4.165871658716587,1.3230921626597233e-06,4.907415709573874e-06
0.27,0.27,0.25,2.2500450006750095e-10,4.165871658716587,1.5007888056939727e-06,5.134435155466135e-06
0.28,0.28,0.25,2.2500450006750095e-10,4.165871658716587,1.3384430017048894e-06,5.421948505063038e-06
0.29,0.29,0.25,2.2500450006750095e-10,4.165871658716587,1.0303745469174742e-06,4.763180715028586e-06
0.3,0.3,0.25,2.2500450006750095e-10,4.165871658716587,1.4016411490897016e-06,5.098487905595234e-06
0.31,0.31,0.25,2.2500450006750095e-10,4.165871658716587,1.1253855537838033e-06,6.498296229485243e-06
0.32,0.32,0.25,2.2500450006750095e-10,4.165871658716587,1.4837613210410695e-06,5.892055600062575e-06
0.33,0.33,0.25,2.2500450006750095e-10,4.165871658716587,1.2133266122657755e-06,4.847004290023408e-06
0.34,0.34,0.25,2.2500450006750095e-10,4.165871658716587,1.1114905805966326e-06,4.884105384371859e-06
0.35,0.35,0.25,2.2500450006750095e-10,4.165871658716587,1.408297386688684e-06,4.841563831769747e-06
0.36,0.36,0.25,2.2500450006750095e-10,4.165871658716587,1.1375171657991242e-06,5.3755926359019574e-06
0.37,0.37,0.25,2.2500450006750095e-10,4.165871658716587,1.4668651151920995e-06,5.580563104628474e-06
0.38,0.38,0.25,2.2500450006750095e-10,4.165871658716587,1.373390344969506e-06,5.842596139852976e-06
0.39,0.39,0.25,2.2500450006750095e-10,4.165871658716587,1.3558199905601623e-06,5.165763279921285e-06
0.4,0.4,0.25,2.2500450006750095e-10,4.165871658716587,1.4261740532583736e-06,5.2658275925464936e-06
0.41,0.41,0.25,2.2500450006750095e-10,4.165871658716587,1.1229766839045504e-06,5.241648614520318e-06
0.42,0.42,0.25,2.2500450006750095e-10,4.165871658716587,1.0246226995793237e-06,5.875647818608795e-06
0.43,0.43,0.25,2.2500450006750095e-10,4.165871658716587,1.420478174799428e-06,5.289464499269377e-06
0.44,0.44,0.25,2.2500450006750095e-10,4.165871658716587,1.4958006722004989e-06,5.9768843758292386e-06
0.45,0.45,0.25,2.2500450006750095e-10,4.165871658716587,1.2015596312818575e-06,5.465544146242818e-06
0.46,0.46,0.25,2.2500450006750095e-10,4.165871658716587,1.0942699662497114e-06,5.958816624086083e-06
0.47,0.47,0.25,2.2500450006750095e-10,4.165871658716587,1.0946461006638523e-06,4.859564717453284e-06
0.48,0.48,0.25,2.2500450006750095e-10,4.165871658716587,1.5534230419334338e-06,5.251599531187245e-06
0.49,0.49,0.25,2.2500450006750095e-10,4.165871658716587,1.2188031867436945e-06,5.0190181753011855e-06
0.5,0.5,0.25,2.2500450006750095e-10,4.165871658716587,1.6735688348329948e-06,5.2894217006523645e-06
0.51,0.51,0.25,2.2500450006750095e-10,4.165871658716587,1.3487988552148504e-06,5.204265763342993e-06
0.52,0.52,0.25,2.2500450006750095e-10,4.165871658716587,1.4788762561921047e-06,5.29872840411117e-06
0.53,0.53,0.25,2.2500450006750095e-10,4.165871658716587,1.2596174393824058e-06,5.795651958855321e-06
0.54,0.54,0.25,2.2500450006750095e-10,4.165871658716587,1.3941506346490883e-06,5.0386865698992115e-06
0.55,0.55,0.25,2.2500450006750095e-10,4.165871658716587,1.1308476448154122e-06,5.216411131315e-06
0.56,0.56,0.25,2.2500450006750095e-10,4.165871658716587,1.2560213059017445e-06,4.990656109824038e-06
0.57,0.57,0.25,2.2500450006750095e-10,4.165871658716587,1.2881976123805065e-06,5.6157083025106695e-06
0.58,0.58,0.25,2.2500450006750095e-10,4.165871658716587,1.6572913137524231e-06,5.553774285641082e-06
0.59,0.59,0.25,2.2500450006750095e-10,4.165871658716587,9.981386918277368e-07,5.0619569674635255e-06
0.6,0.6,0.25,2.2500450006750095e-10,4.165871658716587,1.5013574470136561e-06,5.401226167830345e-06
0.61,0.61,0.25,2.2500450006750095e-10,4.165871658716587,1.3342179086554036e-06,4.8876611130197965e-06
0.62,0.62,0.25,2.2500450006750095e-10,4.165871658716587,1.3189840642232684e-06,5.482589240469566e-06
0.63,0.63,0.25,2.2500450006750095e-10,4.165871658716587,1.0817704177128476e-06,5.2729086470049065e-06
