m,M,original_average,suppressed_database_average,suppressed_database_sum,suppressed_database_number_of_elements,epsilon_of_M,delta_of_M,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.165783910573237,4.160834683224382,8.774814335055225e-05,0.0050369754922048315
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.165781801548181,4.167490210257268,8.985716840648195e-05,0.0016185515406812456
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.165873736019664,4.163277882987952,2.0773030771081835e-06,0.0025937757286351726
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.165687067276066,4.1721047207869155,0.00018459144052140886,0.006233062070328366
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.164587029979916,4.160642131495531,0.0012846287366707898,0.005229527221056074
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.167672041863859,4.164904517704277,0.0018003831472714893,0.0009671410123104351
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.16696810218429,4.1593687007293925,0.00109644346770299,0.006502957987194691
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.165773488417652,4.161450417440392,9.817029893532947e-05,0.0044212412761952535
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.16444149407396,4.167086264569991,0.0014301646426275738,0.0012146058534039383
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.162829168957504,4.170307148057864,0.0030424897590828337,0.004435489341276799
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.166188155581866,4.162852940763505,0.00031649686527845944,0.0030187179530818398
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.166250833952642,4.1727254068639565,0.00037917523605468517,0.006853748147369387
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.1668571499439535,4.164446511036569,0.000985491227366353,0.0014251476800177798
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.166807656061549,4.1711503026851355,0.0009359973449614145,0.00527864396854838
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.16554185139246,4.165433729577382,0.00032980732412735136,0.000437929139205373
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.165428165261496,4.159917438909523,0.0004434934550907599,0.005954219807064121
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.165383334441052,4.166075392517979,0.0004883242755351347,0.00020373380139204755
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.165603511681403,4.169922463639575,0.00026814703518418526,0.004050804922988149
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.166359974583247,4.163282705620616,0.0004883158666597609,0.0025889530959712914
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.16805803710063,4.16110488033455,0.0021863783840432305,0.004766778382037096
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.166588613308882,4.1652757909329345,0.0007169545922947052,0.000595867783652615
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.166556517579082,4.1615418120718,0.0006848588624945862,0.004329846644787416
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.163815649454437,4.1700780012240815,0.0020560092621497716,0.004206342507494298
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.163363032158718,4.1667672160849705,0.00250862655786932,0.0008955573683833151
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.165964359570161,4.158946155928721,9.270085357382385e-05,0.0069255027878663
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.169387039405072,4.168033773551739,0.0035153806884844485,0.0021621148351522734
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.165314784138156,4.1603235001959895,0.0005568745784314544,0.005548158520597646
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.165665303927979,4.162448049633835,0.00020635478860775436,0.003423609082751966
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.168386811576213,4.1682077517414555,0.002515152859626113,0.0023360930248683687
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.167655973520267,4.172497950774765,0.0017843148036797984,0.006626292058177441
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.164754169051725,4.164303904098441,0.0011174896648622479,0.0015677546181462887
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.163381185672032,4.167839187306031,0.002490473044555408,0.0019675285894438233
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.166015527043638,4.162409165590745,0.0001438683270507113,0.0034624931258422365
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.165953517300586,4.1634784942069185,8.185858399922807e-05,0.002393164509668644
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.166690120504017,4.165166151492811,0.0008184617874302802,0.0007055072237758253
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.163168095646951,4.164896436905303,0.002703563069636594,0.0009752218112843991
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.163119580904395,4.166286974546559,0.002752077812192333,0.00041531582997222927
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.166256829753374,4.160637411266483,0.00038517103678703535,0.00523424745010459
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.165203205653285,4.171080276758528,0.0006684530633025432,0.005208618041940838
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.165816957960876,4.169370350894855,5.470075571079036e-05,0.003498692178268037
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.1666768881361875,4.171208559602795,0.0008052294196003729,0.005336900886208085
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.165239027556269,4.168363151172247,0.0006326311603181978,0.0024914924556602713
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.164723293861908,4.159028030963959,0.0011483648546795067,0.006843627752628478
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.165821295646358,4.1652225228544495,5.0363070228875984e-05,0.0006491358621376619
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.1668825897650015,4.1675963159446345,0.0010109310484143208,0.001724657228047377
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.164077278526484,4.166329021021836,0.0017943801901028067,0.0004573623052488429
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.166195256837276,4.164190652173594,0.0003235981206888283,0.0016810065429933019
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.165594147560066,4.164143531576305,0.00027751115652119296,0.001728127140282254
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.167741049222084,4.1604923282071935,0.0018693905054965043,0.005379330509393654
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.166891777718059,4.165797204325306,0.0010201190014722528,7.445439128073161e-05
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.165184248643784,4.164912708559002,0.0006874100728033739,0.0009589501575852921
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.165799864680522,4.171729220378425,7.179403606549783e-05,0.005857561661837707
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.16574041131073,4.164400114491573,0.0001312474058572377,0.0014715442250139432
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.163493925083948,4.165532909715188,0.0023777336326391563,0.00033874900139885256
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,0.25,2.250045000675009e-10,4.166153222616413,4.174651435752225,0.0002815638998256986,0.008779777035638148
