m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.25,2.2500450006750095e-10,4.165871658716587,0.0011512520523083438,0.0030095391572384465
0.01,0.01,0.25,2.2500450006750095e-10,4.165871658716587,0.0015370313550976532,0.0031747310035209024
0.02,0.02,0.25,2.2500450006750095e-10,4.165871658716587,0.0016752036217418259,0.0034372111788912962
0.03,0.03,0.25,2.2500450006750095e-10,4.165871658716587,0.002008844162412686,0.003419511903063052
0.04,0.04,0.25,2.2500450006750095e-10,4.165871658716587,0.0021664009724264126,0.0035969830822938746
0.05,0.05,0.25,2.2500450006750095e-10,4.165871658716587,0.0022053699313025186,0.003669247236756826
0.06,0.06,0.25,2.2500450006750095e-10,4.165871658716587,0.002377149304761369,0.0037398086687630487
0.07,0.07,0.25,2.2500450006750095e-10,4.165871658716587,0.00247283409549134,0.004107725522412699
0.08,0.08,0.25,2.2500450006750095e-10,4.165871658716587,0.0026976545170938897,0.004203493331393716
0.09,0.09,0.25,2.2500450006750095e-10,4.165871658716587,0.002963261552665546,0.004213784936020296
0.1,0.1,0.25,2.2500450006750095e-10,4.165871658716587,0.0030228072732815486,0.004266250233536393
0.11,0.11,0.25,2.2500450006750095e-10,4.165871658716587,0.003398711372780765,0.004380374161830428
0.12,0.12,0.25,2.2500450006750095e-10,4.165871658716587,0.003246961418337662,0.004809112616302178
0.13,0.13,0.25,2.2500450006750095e-10,4.165871658716587,0.0033829132487904587,0.0046217518040933886
0.14,0.14,0.25,2.2500450006750095e-10,4.165871658716587,0.0036052848077248053,0.004896938059719966
0.15,0.15,0.25,2.2500450006750095e-10,4.165871658716587,0.0037746203911325224,0.0047512301161208035
0.16,0.16,0.25,2.2500450006750095e-10,4.165871658716587,0.003598820465228382,0.004982109585084313
0.17,0.17,0.25,2.2500450006750095e-10,4.165871658716587,0.0038356447092339004,0.0052638661034878995
0.18,0.18,0.25,2.2500450006750095e-10,4.165871658716587,0.004202200895267028,0.0054197143970920346
0.19,0.19,0.25,2.2500450006750095e-10,4.165871658716587,0.0041156461907614315,0.005298731254525734
0.2,0.2,0.25,2.2500450006750095e-10,4.165871658716587,0.004184803795196163,0.005195728502223302
0.21,0.21,0.25,2.2500450006750095e-10,4.165871658716587,0.004261776677044814,0.005456137826588197
0.22,0.22,0.25,2.2500450006750095e-10,4.165871658716587,0.004606849102635063,0.005904110096752305
0.23,0.23,0.25,2.2500450006750095e-10,4.165871658716587,0.004603933933125651,0.005691453075641489
0.24,0.24,0.25,2.2500450006750095e-10,4.165871658716587,0.004950062780921581,0.006344056415933327
0.25,0.25,0.25,2.2500450006750095e-10,4.165871658716587,0.004976265726788266,0.006289858775521424
0.26,0.26,0.25,2.2500450006750095e-10,4.165871658716587,0.004710714527921992,0.006095056174312122
0.27,0.27,0.25,2.2500450006750095e-10,4.165871658716587,0.005218611156317717,0.0062980950689687275
0.28,0.28,0.25,2.2500450006750095e-10,4.165871658716587,0.005376041051184499,0.006418214411029724
0.29,0.29,0.25,2.2500450006750095e-10,4.165871658716587,0.005342372978294128,0.00653955501900186
0.3,0.3,0.25,2.2500450006750095e-10,4.165871658716587,0.0052805728501111844,0.006411497598516446
0.31,0.31,0.25,2.2500450006750095e-10,4.165871658716587,0.005523617624335992,0.006725210390809594
0.32,0.32,0.25,2.2500450006750095e-10,4.165871658716587,0.005686989904891595,0.006639071036170546
