m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.24999999999999994,2.2500450006750095e-10,4.165871658716587,1.4773359057392922e-06,5.656444018670195e-06
0.01,0.01,0.252231843108818,2.2727727279545544e-10,4.165871658716587,1.4745921611842719e-06,5.4899885598324424e-06
0.02,0.02,0.2545041109790552,2.295964286403071e-10,4.165871658716587,2.127319005219031e-06,6.147826537803605e-06
0.03,0.03,0.2568179179810562,2.3196340213144425e-10,4.165871658716587,2.2782430280201343e-06,6.715329919037455e-06
0.04,0.04,0.2591744200495381,2.343796875703135e-10,4.165871658716587,2.304138142728461e-06,7.242784670300594e-06
0.05,0.05,0.26157481665031834,2.3684684217631674e-10,4.165871658716587,2.8858842678679415e-06,7.522337672963925e-06
0.06,0.06,0.2640203528603893,2.3936648943351166e-10,4.165871658716587,3.673182344520738e-06,7.3281033249563425e-06
0.07,0.07,0.26651232156907717,2.419403226532267e-10,4.165871658716587,3.4907788595081446e-06,8.019908225037135e-06
0.08,0.08,0.2690520658086282,2.4457010876902273e-10,4.165871658716587,4.993480005380014e-06,8.866806334100087e-06
0.09,0.09,0.27164098122324504,2.4725769238186914e-10,4.165871658716587,4.370338098383131e-06,8.918867711144358e-06
0.1,0.1,0.27428051868631076,2.50005000075001e-10,4.165871658716587,5.24448087264609e-06,1.030525971671235e-05
0.11,0.11,0.2769721870763485,2.5281404501966395e-10,4.165871658716587,5.4165359057572625e-06,1.0524902604646223e-05
0.12,0.12,0.2797175562231261,2.556869318948873e-10,4.165871658716587,5.5557717148914665e-06,1.0410654091102494e-05
0.13,0.13,0.2825182600362664,2.586258621465528e-10,4.165871658716587,6.2737041839446884e-06,1.0987715001854503e-05
0.14,0.14,0.28537599982977657,2.616331396133732e-10,4.165871658716587,8.158152453710477e-06,1.1321302762219465e-05
0.15,0.15,0.2882925478570475,2.647111765500011e-10,4.165871658716587,7.362971184761827e-06,1.260168654347511e-05
0.16,0.16,0.2912697510721274,2.6786250008035834e-10,4.165871658716587,7.614341160010884e-06,1.3396787770625457e-05
0.17,0.17,0.29430953513446373,2.71089759117471e-10,4.165871658716587,7.686022775344579e-06,1.251192869216861e-05
0.18,0.18,0.29741390867581596,2.743957317896352e-10,4.165871658716587,9.715552097023e-06,1.3890829024413814e-05
0.19,0.19,0.3005849678497158,2.777833334166678e-10,4.165871658716587,9.197899886098518e-06,1.3396384207577945e-05
0.2,0.2,0.30382490118569716,2.8125562508437606e-10,4.165871658716587,9.500446676155145e-06,1.3381493240749942e-05
0.21,0.21,0.30713599477254494,2.8481582287025427e-10,4.165871658716587,9.893769146434831e-06,1.329437032563761e-05
0.22,0.22,0.31052063779706046,2.884673077788472e-10,4.165871658716587,1.1450997851546702e-05,1.6680839194076784e-05
0.23,0.23,0.3139813284673266,2.9221363645129984e-10,4.165871658716587,1.1922222706159834e-05,1.6945911302829366e-05
0.24,0.24,0.3175206803522031,2.9605855272039594e-10,4.165871658716587,1.303428107551247e-05,1.7766368959496167e-05
0.25,0.25,0.3211414291718321,3.000060000900011e-10,4.165871658716587,1.358275445160511e-05,1.6932070277276077e-05
0.26,0.26,0.3248464400773246,3.040601352263525e-10,4.165871658716587,1.1904635572116182e-05,1.5944994357941417e-05
0.27,0.27,0.3286387154615538,3.082253425582204e-10,4.165871658716587,1.3657951435692431e-05,1.8068616880461945e-05
0.28,0.28,0.33252140334718094,3.125062500937512e-10,4.165871658716587,1.5485652780920754e-05,1.972987024799562e-05
0.29,0.29,0.336497806402695,3.16907746573945e-10,4.165871658716587,1.5031625764214127e-05,1.9032970872161806e-05
0.3,0.3,0.34057139164247785,3.214350000964299e-10,4.165871658716587,1.5531499425414142e-05,1.9349530123915432e-05
0.31,0.31,0.34474580087270945,3.2609347835869696e-10,4.165871658716587,1.5623718120003952e-05,2.143765714702807e-05
0.32,0.32,0.349024861951473,3.308889706875014e-10,4.165871658716587,1.7883764478432155e-05,2.2624223124164827e-05
0.33,0.33,0.35341260093871385,3.358276120410461e-10,4.165871658716587,1.658352334754649e-05,2.4066525523396897e-05
0.34,0.34,0.357913255219926,3.4091590919318326e-10,4.165871658716587,2.0096138134678455e-05,2.69672502466754e-05
0.35,0.35,0.36253128769667475,3.4616076933461673e-10,4.165871658716587,2.1587797061085508e-05,2.7222049870758366e-05
0.36,0.36,0.36727140214746473,3.5156953135547025e-10,4.165871658716587,1.9885658708340772e-05,2.4771994688914007e-05
0.37,0.37,0.3721385598742083,3.571500001071443e-10,4.165871658716587,2.4326919116704113e-05,3.0276344615936332e-05
0.38,0.38,0.377137997762821,3.6291048397984015e-10,4.165871658716587,2.932115898535998e-05,3.0860452198284215e-05
0.39,0.39,0.38227524790151096,3.6885983617623097e-10,4.165871658716587,2.620188502534435e-05,3.1054136315312836e-05
0.4,0.4,0.38755615891737866,3.750075001125015e-10,4.165871658716587,2.30668327998819e-05,2.861309957905461e-05
0.41,0.41,0.39298691921135254,3.8136355943644206e-10,4.165871658716587,2.8129062456259922e-05,3.4277548691697916e-05
