m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,4.165871658716587,5.558512123939995e-05,0.00011891870279110003,-9.671023415580007e-05,-3.412555080109991e-05,4.407692844490005e-05,-3.940963602880017e-05
0.01,0.01,4.165871658716587,-0.00020487388417340002,-0.0002319164523086996,-0.0002270685745731,-9.072809438639973e-05,-0.00023180858801760012,-0.0002837002546434999
0.02,0.02,4.165871658716587,-0.0004297585261142001,-0.0004623680045262998,-0.0005096069716889,-0.00032077913144879996,-0.00041669628377939997,-0.0002927393990239998
0.03,0.03,4.165871658716587,-0.0007790211132558999,-0.0002961384712859001,-0.0007503836546588999,-0.00033870339688130005,-0.0007471959091836999,-0.00045795266359209986
0.04,0.04,4.165871658716587,-0.0009350793705927001,-0.0005855244183495,-0.0007280679288801,-0.0004881668899766999,-0.0007637073955167001,-0.00032060473023440023
0.05,0.05,4.165871658716587,-0.0009073857961019,-0.0005964346053539999,-0.0009375731846721,-0.0005293794842764999,-0.0009681925876411999,-0.0004439974091288998
0.06,0.06,4.165871658716587,-0.0011092093971295997,-0.0006204139054692003,-0.0012240235477909997,-0.00043563896283519993,-0.0010116891980168998,-0.0006086544402641001
0.07,0.07,4.165871658716587,-0.0012384871592839,-0.0010607656806779996,-0.0013751729157324003,-0.0008285682255774998,-0.0011214151194254998,-0.0010097741925119996
0.08,0.08,4.165871658716587,-0.0014230681376582,-0.0012162382719433998,-0.0015570599187165,-0.0011617999565367004,-0.0013969843725632,-0.0010378886685820997
0.09,0.09,4.165871658716587,-0.0017480819140072003,-0.0012255040508952998,-0.0016998371376908,-0.0010400945338543003,-0.0016040544043788001,-0.0009837420166765995
0.1,0.1,4.165871658716587,-0.0017448241500168,-0.0013902301286492,-0.0016608557394868,-0.0011970689086810002,-0.001678118180342,-0.0009469044206124998
0.11,0.11,4.165871658716587,-0.002219841535544,-0.0014694346719121001,-0.0020159086474633,-0.0016082794750797002,-0.0020511471979325997,-0.0012079616177947
0.12,0.12,4.165871658716587,-0.0019476650136407998,-0.0015904221849610996,-0.0019601286536239998,-0.0012804199562889002,-0.0017780687444911999,-0.0013220673926000997
0.13,0.13,4.165871658716587,-0.0022218501867115005,-0.0017297618807830002,-0.0021183709251814,-0.0013530020273766997,-0.0018752138694486,-0.0011180364823873
0.14,0.14,4.165871658716587,-0.0023519755189283,-0.0018840125189478999,-0.0023048191783943003,-0.0013740173777708003,-0.0020799588256784,-0.0014170170113779
0.15,0.15,4.165871658716587,-0.0025948447725252,-0.0018210981500797001,-0.0024698750697182,-0.0018399397208214,-0.0023659664195368,-0.0012399970147607998
0.16,0.16,4.165871658716587,-0.0023635843583945998,-0.0019474684862431,-0.0023660566650428997,-0.0015651291334104005,-0.0021401699752882997,-0.0017149526329213998
0.17,0.17,4.165871658716587,-0.0025597888819329,-0.0020483119263387996,-0.0025356488350339,-0.0016492152731353996,-0.0023586949277041,-0.0016126334423798997
