m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,4.165871658716587,-2.0044896821891375e-07,7.298668822629126e-07,2.148326288781502e-08,-1.0851935836209898e-07,-6.279077751442615e-08,3.4016033532315614e-07
0.01,0.01,4.165871658716587,-2.530129649435574e-07,-9.953079415162839e-07,-1.7001701513644648e-07,-8.714640579299232e-08,-7.647454941916731e-08,-7.30410854906745e-07
0.02,0.02,4.165871658716587,-5.510705087448569e-07,-8.723024886839095e-07,-5.367675887511967e-07,-5.644054467604862e-07,-5.067410980975335e-07,-1.126931295852154e-06
0.03,0.03,4.165871658716587,-1.0633497443350175e-06,-7.224431129585073e-07,-6.732287187671452e-07,1.8683221842792468e-07,-8.209679429100025e-07,-2.502008642827679e-07
0.04,0.04,4.165871658716587,-1.09101305600462e-06,-1.5014727816880044e-06,-1.275178501135458e-06,-2.296703398322469e-06,-9.243176049675116e-07,-7.101388064505027e-07
0.05,0.05,4.165871658716587,-1.700935154418928e-06,-2.224102236267586e-06,-2.219928223101492e-06,-2.6071423691262094e-06,-1.4734006717012276e-06,-1.5934016405470934e-06
0.06,0.06,4.165871658716587,-2.263485623936424e-06,-2.6692566350080853e-06,-2.0906765611479116e-06,-2.031795446659298e-06,-2.0235212894241448e-06,-2.7303321895311647e-06
0.07,0.07,4.165871658716587,-2.676365703352416e-06,-4.5829974400918735e-06,-2.846591916888199e-06,-2.9252782731976484e-06,-2.461260046811875e-06,-3.830125871827858e-06
0.08,0.08,4.165871658716587,-3.047563694110086e-06,-4.342643043206086e-06,-3.03246196905275e-06,-3.1014943707973777e-06,-3.119586385499965e-06,-3.5563580832178256e-06
0.09,0.09,4.165871658716587,-2.6915030826953e-06,-4.297236463952385e-06,-2.6417476048848343e-06,-3.9090806856341106e-06,-2.3900741064157967e-06,-3.921901781913695e-06
