m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.5,2.2500450006750095e-10,4.165871658716587,0.0006249583025484764,0.0016658640442172511
0.01,0.01,0.49605754532553353,2.2275445506682583e-10,4.165871658716587,0.00060389408297128,0.00164940068917584
0.02,0.02,0.4920994861619237,2.2050441006615078e-10,4.165871658716587,0.0005931497718398848,0.001773825848399415
0.03,0.03,0.48812569849099385,2.182543650654759e-10,4.165871658716587,0.0006291423579105668,0.001801255785331291
0.04,0.04,0.4841360568101951,2.1600432006480083e-10,4.165871658716587,0.0006266838567678743,0.0017550264395017744
0.05,0.05,0.48013043410882683,2.137542750641258e-10,4.165871658716587,0.000667663544929459,0.0017907925710794377
0.06,0.06,0.4761087018437724,2.1150423006345087e-10,4.165871658716587,0.0006412136906877706,0.0017727458885016124
0.07,0.07,0.4720707299147485,2.0925418506277583e-10,4.165871658716587,0.0006574146978122748,0.0018045860566022062
0.08,0.08,0.4680163866390518,2.0700414006210092e-10,4.165871658716587,0.0006317177206539863,0.001768639406584713
0.09,0.09,0.46394553872579114,2.0475409506142587e-10,4.165871658716587,0.0006668036398043907,0.0017539334652018398
0.1,0.1,0.45985805124959506,2.0250405006075078e-10,4.165871658716587,0.0006908249678006619,0.0018431256230566646
0.11,0.11,0.45575378762377566,2.0025400506007579e-10,4.165871658716587,0.0006782622810222989,0.0018931067752339192
0.12,0.12,0.45163260957294576,1.9800396005940085e-10,4.165871658716587,0.0006583857952041185,0.001873889853688242
0.13,0.13,0.44749437710506174,1.9575391505872575e-10,4.165871658716587,0.0006425035213600907,0.0018166857068967275
0.14,0.14,0.44333894848289374,1.935038700580507e-10,4.165871658716587,0.0007418278433275809,0.001897230525906899
0.15,0.15,0.43916618019489273,1.9125382505737582e-10,4.165871658716587,0.000736385377093816,0.002055204030854574
0.16,0.16,0.43497592692545334,1.8900378005670073e-10,4.165871658716587,0.0007241925399183842,0.001839769419482094
0.17,0.17,0.43076804152454756,1.8675373505602566e-10,4.165871658716587,0.000780651119397806,0.001981210740029045
0.18,0.18,0.4265423749767188,1.8450369005535077e-10,4.165871658716587,0.0007686492291220493,0.00179148893561897
0.19,0.19,0.4222987763694164,1.822536450546757e-10,4.165871658716587,0.0007018193591418704,0.0018486728015897427
0.2,0.2,0.4180370928606561,1.8000360005400076e-10,4.165871658716587,0.0007246392447642869,0.0019483691359252866
