m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.5,2.2500450006750095e-10,4.165871658716587,0.0005915324889271645,0.0017098827429930417
0.01,0.01,0.5039665605676084,2.2727727279545544e-10,4.165871658716587,0.000959757157365532,0.0018664015538590898
0.02,0.02,0.5079979177547899,2.295964286403071e-10,4.165871658716587,0.001347879892474424,0.002008667626468288
0.03,0.03,0.5120957059628882,2.3196340213144425e-10,4.165871658716587,0.001597954939511455,0.0020998117250861804
0.04,0.04,0.5162616161383375,2.343796875703135e-10,4.165871658716587,0.0017359527984103593,0.0022807120458660643
0.05,0.05,0.5204973982856399,2.3684684217631674e-10,4.165871658716587,0.0019807225226590075,0.002441426678581637
0.06,0.06,0.524804864117896,2.3936648943351166e-10,4.165871658716587,0.002126583805221454,0.002657954967594737
0.07,0.07,0.5291858898538833,2.419403226532267e-10,4.165871658716587,0.00227715131194733,0.00293509703810982
0.08,0.08,0.5336424191713875,2.4457010876902273e-10,4.165871658716587,0.0023760657772113926,0.002835828312577908
0.09,0.09,0.5381764663272126,2.4725769238186914e-10,4.165871658716587,0.0027086168351394394,0.0030554104040085247
0.1,0.1,0.5427901194551419,2.50005000075001e-10,4.165871658716587,0.0027593447627327914,0.0032631657220066296
0.11,0.11,0.5474855440539914,2.5281404501966395e-10,4.165871658716587,0.003049682845897319,0.003444989547084031
0.12,0.12,0.5522649866788762,2.556869318948873e-10,4.165871658716587,0.003021957507892196,0.0035712981207133366
0.13,0.13,0.5571307788498734,2.586258621465528e-10,4.165871658716587,0.003094951939603952,0.00336790632957732
0.14,0.14,0.5620853411934147,2.616331396133732e-10,4.165871658716587,0.0034337028042990686,0.003710893928596329
0.15,0.15,0.5671311878330225,2.647111765500011e-10,4.165871658716587,0.0034899902290729478,0.0040424944364838514
0.16,0.16,0.5722709310473791,2.6786250008035834e-10,4.165871658716587,0.003363151216168008,0.0037947555507074036
0.17,0.17,0.5775072862152558,2.71089759117471e-10,4.165871658716587,0.0036084022338173723,0.004015793426076829
0.18,0.18,0.5828430770684829,2.743957317896352e-10,4.165871658716587,0.003887307387528619,0.004202329884430869
0.19,0.19,0.5882812412759918,2.777833334166678e-10,4.165871658716587,0.0038272652412806494,0.004281788361542541
0.2,0.2,0.5938248363839753,2.8125562508437606e-10,4.165871658716587,0.004007186872894103,0.004190809057660706
0.21,0.21,0.5994770461394302,2.8481582287025427e-10,4.165871658716587,0.00417089368417227,0.00464111837798268
0.22,0.22,0.605241187226804,2.884673077788472e-10,4.165871658716587,0.0044047172650665,0.00479787230857883
0.23,0.23,0.6111207164501729,2.9221363645129984e-10,4.165871658716587,0.004368057229498601,0.004665532627713333
0.24,0.24,0.6171192383963631,2.9605855272039594e-10,4.165871658716587,0.004679487401099172,0.004806587468325093
0.25,0.25,0.623240513617734,3.000060000900011e-10,4.165871658716587,0.004647170745178071,0.004847968085642476
0.26,0.26,0.6294884673770176,3.040601352263525e-10,4.165871658716587,0.004470636353551615,0.004787419039586826
0.27,0.27,0.6358671990006552,3.082253425582204e-10,4.165871658716587,0.00498098467361266,0.005256292952334876
0.28,0.28,0.6423809918915998,3.125062500937512e-10,4.165871658716587,0.005035437969312305,0.005255366794662823
0.29,0.29,0.6490343242575735,3.16907746573945e-10,4.165871658716587,0.004904467207584272,0.005341427429878324
0.3,0.3,0.6558318806163518,3.214350000964299e-10,4.165871658716587,0.005046812012663729,0.005358590961602266
0.31,0.31,0.6627785641459,3.2609347835869696e-10,4.165871658716587,0.005334740023263027,0.005682697787598809
0.32,0.32,0.6698795099541458,3.308889706875014e-10,4.165871658716587,0.00541623981894546,0.005760044779194462
0.33,0.33,0.6771400993509752,3.358276120410461e-10,4.165871658716587,0.005582555999184979,0.005964754236390876
0.34,0.34,0.6845659752137845,3.4091590919318326e-10,4.165871658716587,0.005805514822210002,0.005900490126402152
0.35,0.35,0.6921630585477133,3.4616076933461673e-10,4.165871658716587,0.005643521247797931,0.005896008726122808
0.36,0.36,0.6999375663527393,3.5156953135547025e-10,4.165871658716587,0.0061611121532334605,0.006246161366371002
0.37,0.37,0.7078960309222104,3.571500001071443e-10,4.165871658716587,0.0062128087466114725,0.006352634248081834
0.38,0.38,0.7160453207114357,3.6291048397984015e-10,4.165871658716587,0.006906345815014037,0.00712395203783446
0.39,0.39,0.7243926629307728,3.6885983617623097e-10,4.165871658716587,0.006631453123492576,0.007000809538717036
0.4,0.4,0.7329456680356207,3.750075001125015e-10,4.165871658716587,0.006522585290913126,0.006895746034603721
0.41,0.41,0.7417123563060677,3.8136355943644206e-10,4.165871658716587,0.006922743513161749,0.007120427549687715
0.42,0.42,0.7507011867321132,3.8793879321982907e-10,4.165871658716587,0.0071587570286001136,0.007225722203839018
0.43,0.43,0.7599210884467501,3.9474473696052783e-10,4.165871658716587,0.006956054314533798,0.007251696806577108
0.44,0.44,0.7693814949793284,4.0179375012053735e-10,4.165871658716587,0.007082696789860362,0.0072896531474800795
0.45,0.45,0.7790923816360812,4.090990910318197e-10,4.165871658716587,0.007338759870413925,0.0076161383085141645
0.46,0.46,0.7890643063542454,4.166750001250016e-10,4.165871658716587,0.007205915644231236,0.007518304807426771
0.47,0.47,0.7993084544216629,4.2453679258019024e-10,4.165871658716587,0.007757549148058121,0.008176617988211487
