m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,0.5,2.2500450006750095e-10,4.165871658716587,3.819191311602708e-07,1.6593948698311628e-06
0.01,0.01,0.5,2.2500450006750095e-10,4.165871658716587,6.273573373641657e-07,1.9627571511643513e-06
0.02,0.02,0.5,2.2500450006750095e-10,4.165871658716587,1.0039054573458787e-06,2.3593583449160097e-06
0.03,0.03,0.5,2.2500450006750095e-10,4.165871658716587,1.2622032987790055e-06,2.8707678326907265e-06
0.04,0.04,0.5,2.2500450006750095e-10,4.165871658716587,1.927064278107948e-06,3.3715800914470326e-06
0.05,0.05,0.5,2.2500450006750095e-10,4.165871658716587,2.3237927174386286e-06,3.5504547874777365e-06
0.06,0.06,0.5,2.2500450006750095e-10,4.165871658716587,2.5397344792398914e-06,3.857732745412698e-06
0.07,0.07,0.5,2.2500450006750095e-10,4.165871658716587,2.903200789622121e-06,4.45670765238349e-06
0.08,0.08,0.5,2.2500450006750095e-10,4.165871658716587,3.3947376780517016e-06,5.164041165213317e-06
0.09,0.09,0.5,2.2500450006750095e-10,4.165871658716587,3.975279009245707e-06,5.73480928979621e-06
0.1,0.1,0.5,2.2500450006750095e-10,4.165871658716587,4.250658040735556e-06,5.949259715973563e-06
0.11,0.11,0.5,2.2500450006750095e-10,4.165871658716587,4.861359979176944e-06,7.564254812846582e-06
0.12,0.12,0.5,2.2500450006750095e-10,4.165871658716587,5.3553120910900296e-06,7.303568367494305e-06
0.13,0.13,0.5,2.2500450006750095e-10,4.165871658716587,5.8986841963542535e-06,8.74429308974966e-06
0.14,0.14,0.5,2.2500450006750095e-10,4.165871658716587,7.420869548864869e-06,9.83155518631721e-06
0.15,0.15,0.5,2.2500450006750095e-10,4.165871658716587,7.2707072442947956e-06,8.833206751948068e-06
0.16,0.16,0.5,2.2500450006750095e-10,4.165871658716587,6.284751148878648e-06,9.010872549971605e-06
0.17,0.17,0.5,2.2500450006750095e-10,4.165871658716587,7.1107577654049535e-06,8.725385492784268e-06
0.18,0.18,0.5,2.2500450006750095e-10,4.165871658716587,9.207254031698826e-06,1.0780616282081052e-05
0.19,0.19,0.5,2.2500450006750095e-10,4.165871658716587,8.052179029581462e-06,9.648120419713012e-06
0.2,0.2,0.5,2.2500450006750095e-10,4.165871658716587,8.54863521956366e-06,1.0166555151029436e-05
0.21,0.21,0.5,2.2500450006750095e-10,4.165871658716587,9.20956597549799e-06,1.1036443577822132e-05
0.22,0.22,0.5,2.2500450006750095e-10,4.165871658716587,1.0675498409021998e-05,1.3825969903197567e-05
0.23,0.23,0.5,2.2500450006750095e-10,4.165871658716587,1.15471144358949e-05,1.4170119156302214e-05
0.24,0.24,0.5,2.2500450006750095e-10,4.165871658716587,1.2527418435709885e-05,1.541707498542657e-05
0.25,0.25,0.5,2.2500450006750095e-10,4.165871658716587,1.2604588131997601e-05,1.5445263155573838e-05
0.26,0.26,0.5,2.2500450006750095e-10,4.165871658716587,1.1695627408258345e-05,1.2416700889277595e-05
