m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,2.2500450006750095e-10,4.165871658716587,0.00031913435532141145,0.0009209336131723055
0.01,0.01,1.0,2.2500450006750095e-10,4.165871658716587,0.0003025724163464805,0.0009277668151170548
0.02,0.02,1.0,2.2500450006750095e-10,4.165871658716587,0.00029169988656965984,0.0009387501642604192
0.03,0.03,1.0,2.2500450006750095e-10,4.165871658716587,0.0003262474323531013,0.0009845127451516796
0.04,0.04,1.0,2.2500450006750095e-10,4.165871658716587,0.0003106690927402287,0.0008968352284865091
0.05,0.05,1.0,2.2500450006750095e-10,4.165871658716587,0.00030134512962130523,0.0009059589593606638
0.06,0.06,1.0,2.2500450006750095e-10,4.165871658716587,0.00031400491076897196,0.0008748477579036411
0.07,0.07,1.0,2.2500450006750095e-10,4.165871658716587,0.00030716948500426964,0.000888341863511366
0.08,0.08,1.0,2.2500450006750095e-10,4.165871658716587,0.0003075775043704443,0.0009673851162585976
0.09,0.09,1.0,2.2500450006750095e-10,4.165871658716587,0.00030941835163082667,0.000957288739218578
0.1,0.1,1.0,2.2500450006750095e-10,4.165871658716587,0.00032589892733279235,0.0009150542978092382
0.11,0.11,1.0,2.2500450006750095e-10,4.165871658716587,0.0003065586369898039,0.000979266261761321
0.12,0.12,1.0,2.2500450006750095e-10,4.165871658716587,0.0003088530162134173,0.000943142422701289
0.13,0.13,1.0,2.2500450006750095e-10,4.165871658716587,0.00033795168313366196,0.0009046784711920069
0.14,0.14,1.0,2.2500450006750095e-10,4.165871658716587,0.00029134015954054604,0.00093487803160005
0.15,0.15,1.0,2.2500450006750095e-10,4.165871658716587,0.0003103510053753542,0.00098723575118556
0.16,0.16,1.0,2.2500450006750095e-10,4.165871658716587,0.000290228710341113,0.0009433178866016351
0.17,0.17,1.0,2.2500450006750095e-10,4.165871658716587,0.0003174540370618413,0.0009371812310419152
0.18,0.18,1.0,2.2500450006750095e-10,4.165871658716587,0.0002974363341200128,0.0009398439605074262
0.19,0.19,1.0,2.2500450006750095e-10,4.165871658716587,0.0003321804887931581,0.0008780566819572009
0.2,0.2,1.0,2.2500450006750095e-10,4.165871658716587,0.00031844649359997134,0.0009150477807115056
0.21,0.21,1.0,2.2500450006750095e-10,4.165871658716587,0.0003124493150908645,0.000912287619113389
0.22,0.22,1.0,2.2500450006750095e-10,4.165871658716587,0.0003186714062119975,0.0009270981920491224
0.23,0.23,1.0,2.2500450006750095e-10,4.165871658716587,0.00031979614181420503,0.0009021296382514379
0.24,0.24,1.0,2.2500450006750095e-10,4.165871658716587,0.00033517774801001285,0.0009792724230847404
0.25,0.25,1.0,2.2500450006750095e-10,4.165871658716587,0.0002891545180851054,0.0009474999998362285
0.26,0.26,1.0,2.2500450006750095e-10,4.165871658716587,0.0003098304951855653,0.0009016195656865413
0.27,0.27,1.0,2.2500450006750095e-10,4.165871658716587,0.0002973656626592458,0.0009538770926686553
0.28,0.28,1.0,2.2500450006750095e-10,4.165871658716587,0.0002848532976023197,0.00096031392672751
0.29,0.29,1.0,2.2500450006750095e-10,4.165871658716587,0.0003191135046115807,0.0009315135367714955
0.3,0.3,1.0,2.2500450006750095e-10,4.165871658716587,0.00030702141502653824,0.0009192179779200735
0.31,0.31,1.0,2.2500450006750095e-10,4.165871658716587,0.00032196018047839025,0.0009126927529019983
0.32,0.32,1.0,2.2500450006750095e-10,4.165871658716587,0.0002975581352205339,0.0009653536488183292
0.33,0.33,1.0,2.2500450006750095e-10,4.165871658716587,0.00031291423762221625,0.0009332741276599386
0.34,0.34,1.0,2.2500450006750095e-10,4.165871658716587,0.0003223329518289244,0.0009232745656457908
0.35,0.35,1.0,2.2500450006750095e-10,4.165871658716587,0.0003072598944304321,0.0009434647227104395
0.36,0.36,1.0,2.2500450006750095e-10,4.165871658716587,0.0002982925249995709,0.0009004119004046931
0.37,0.37,1.0,2.2500450006750095e-10,4.165871658716587,0.00031522949037975854,0.0009263981228733797
0.38,0.38,1.0,2.2500450006750095e-10,4.165871658716587,0.0003365709872670717,0.0009090894177969808
0.39,0.39,1.0,2.2500450006750095e-10,4.165871658716587,0.0003074693952302372,0.0009065342984074327
0.4,0.4,1.0,2.2500450006750095e-10,4.165871658716587,0.00031222803301812795,0.000937485761869592
0.41,0.41,1.0,2.2500450006750095e-10,4.165871658716587,0.0003049544742796506,0.0008900357348145658
0.42,0.42,1.0,2.2500450006750095e-10,4.165871658716587,0.00031566764498792385,0.0009031314977534847
0.43,0.43,1.0,2.2500450006750095e-10,4.165871658716587,0.0003246107115010126,0.0008481082566118747
0.44,0.44,1.0,2.2500450006750095e-10,4.165871658716587,0.0003039228602481412,0.0009366162115708291
0.45,0.45,1.0,2.2500450006750095e-10,4.165871658716587,0.0003052287863869001,0.0009071648301296964
0.46,0.46,1.0,2.2500450006750095e-10,4.165871658716587,0.0003094585494894311,0.0009319909724045559
0.47,0.47,1.0,2.2500450006750095e-10,4.165871658716587,0.0003046053165343192,0.0008644213612026572
0.48,0.48,1.0,2.2500450006750095e-10,4.165871658716587,0.00030928806560632973,0.0009040215346273595
0.49,0.49,1.0,2.2500450006750095e-10,4.165871658716587,0.0002975689850656256,0.0008981814434115396
0.5,0.5,1.0,2.2500450006750095e-10,4.165871658716587,0.0003046392572998915,0.0009265613434547096
0.51,0.51,1.0,2.2500450006750095e-10,4.165871658716587,0.0003099358414646538,0.0008979514658204071
0.52,0.52,1.0,2.2500450006750095e-10,4.165871658716587,0.0002919596274931635,0.0009130590322367614
0.53,0.53,1.0,2.2500450006750095e-10,4.165871658716587,0.000280672443658144,0.000899412943703318
0.54,0.54,1.0,2.2500450006750095e-10,4.165871658716587,0.0003046110974319287,0.0009163489910354982
0.55,0.55,1.0,2.2500450006750095e-10,4.165871658716587,0.00032315561454208464,0.0009180807028324054
0.56,0.56,1.0,2.2500450006750095e-10,4.165871658716587,0.00030983143859357476,0.0009689246458736971
0.57,0.57,1.0,2.2500450006750095e-10,4.165871658716587,0.00029807175766513437,0.0009066832456547793
0.58,0.58,1.0,2.2500450006750095e-10,4.165871658716587,0.0003106088491070498,0.0009246088169410971
0.59,0.59,1.0,2.2500450006750095e-10,4.165871658716587,0.00030049307158197715,0.0008940337778177945
0.6,0.6,1.0,2.2500450006750095e-10,4.165871658716587,0.00031871281963018205,0.0009099647153789246
0.61,0.61,1.0,2.2500450006750095e-10,4.165871658716587,0.0003285160254979971,0.0008861980574466912
0.62,0.62,1.0,2.2500450006750095e-10,4.165871658716587,0.0003301942138994711,0.0009353995603875748
0.63,0.63,1.0,2.2500450006750095e-10,4.165871658716587,0.00031826665650350525,0.0008729512955686208
0.64,0.64,1.0,2.2500450006750095e-10,4.165871658716587,0.00033163833807297216,0.000908184214337993
0.65,0.65,1.0,2.2500450006750095e-10,4.165871658716587,0.00031754402025930515,0.000954432020675144
0.66,0.66,1.0,2.2500450006750095e-10,4.165871658716587,0.00029890427242825623,0.0009206965220459545
0.67,0.67,1.0,2.2500450006750095e-10,4.165871658716587,0.0003083158198349043,0.0009436025919099383
0.68,0.68,1.0,2.2500450006750095e-10,4.165871658716587,0.0002926096897113144,0.0009117429245139323
0.69,0.69,1.0,2.2500450006750095e-10,4.165871658716587,0.00030870589903679677,0.0009342050879362934
0.7,0.7,1.0,2.2500450006750095e-10,4.165871658716587,0.00028426871075634707,0.0008750689001302518
0.71,0.71,1.0,2.2500450006750095e-10,4.165871658716587,0.00031816520320529306,0.000910076722440964
0.72,0.72,1.0,2.2500450006750095e-10,4.165871658716587,0.0003194908904851825,0.0009109145800261622
