m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,2.2500450006750095e-10,4.165871658716587,8.950372953000085e-08,5.233649475622857e-07
0.01,0.01,0.9936587309970014,2.2275445506682583e-10,4.165871658716587,9.655126599417372e-08,4.5190846101463456e-07
0.02,0.02,0.9872769935436304,2.2050441006615078e-10,4.165871658716587,7.412237592725069e-08,5.234191437679066e-07
0.03,0.03,0.9808542678008313,2.182543650654759e-10,4.165871658716587,7.272282999492151e-08,4.852349601041302e-07
0.04,0.04,0.9743900238483449,2.1600432006480083e-10,4.165871658716587,7.737776405199825e-08,4.594035950392987e-07
0.05,0.05,0.9678837214223395,2.137542750641258e-10,4.165871658716587,8.555374569945081e-08,5.382314500122055e-07
0.06,0.06,0.9613348096444502,2.1150423006345087e-10,4.165871658716587,9.024620030058557e-08,4.682078156697864e-07
0.07,0.07,0.9547427267418882,2.0925418506277583e-10,4.165871658716587,9.523259286384685e-08,4.800131105719111e-07
0.08,0.08,0.9481068997582622,2.0700414006210092e-10,4.165871658716587,8.392331411911485e-08,5.265430692199919e-07
0.09,0.09,0.9414267442547409,2.0475409506142587e-10,4.165871658716587,8.237170890401633e-08,5.16509851102326e-07
0.1,0.1,0.9347016640011662,2.0250405006075078e-10,4.165871658716587,1.0416159417378563e-07,5.646447290695473e-07
0.11,0.11,0.9279310506567138,2.0025400506007579e-10,4.165871658716587,1.0227686288084138e-07,5.531567861082729e-07
0.12,0.12,0.9211142834396617,1.9800396005940085e-10,4.165871658716587,9.089150035322655e-08,5.436298432578084e-07
0.13,0.13,0.9142507287858314,1.9575391505872575e-10,4.165871658716587,1.0765589476536392e-07,5.971569325237066e-07
0.14,0.14,0.9073397399952268,1.935038700580507e-10,4.165871658716587,8.818643460767976e-08,5.865534835216784e-07
0.15,0.15,0.9003806568663714,1.9125382505737582e-10,4.165871658716587,8.119540855971222e-08,6.920880346449155e-07
0.16,0.16,0.89337280531784,1.8900378005670073e-10,4.165871658716587,1.1498875978597279e-07,5.564480284633107e-07
0.17,0.17,0.8863154969964301,1.8675373505602566e-10,4.165871658716587,1.0168757605888625e-07,5.350284849251779e-07
0.18,0.18,0.8792080288714119,1.8450369005535077e-10,4.165871658716587,9.375508397271553e-08,5.132581301241271e-07
0.19,0.19,0.8720496828142519,1.822536450546757e-10,4.165871658716587,8.182555339024927e-08,5.762686852367408e-07
0.2,0.2,0.86483972516319,1.8000360005400076e-10,4.165871658716587,1.4366545950119718e-07,6.668633547812665e-07
0.21,0.21,0.8575774062720013,1.7775355505332575e-10,4.165871658716587,1.1221605503025737e-07,6.062906851409572e-07
0.22,0.22,0.8502619600422529,1.755035100526507e-10,4.165871658716587,1.0474888417928017e-07,6.539534317287803e-07
0.23,0.23,0.8428926034383277,1.7325346505197566e-10,4.165871658716587,1.1765559877909331e-07,6.961777367722386e-07
0.24,0.24,0.8354685359844455,1.7100342005130077e-10,4.165871658716587,1.2041307675257071e-07,6.461728947530637e-07
0.25,0.25,0.8279889392428699,1.6875337505062563e-10,4.165871658716587,1.0766786424216515e-07,6.836537555224623e-07
0.26,0.26,0.8204529762724546,1.6650333004995064e-10,4.165871658716587,1.143349577071913e-07,7.342093151345286e-07
0.27,0.27,0.8128597910666385,1.6425328504927567e-10,4.165871658716587,1.1912572715823499e-07,7.968577106917467e-07
0.28,0.28,0.8052085079699279,1.6200324004860063e-10,4.165871658716587,1.085035135045762e-07,6.503040784102238e-07
0.29,0.29,0.797498231071897,1.597531950479256e-10,4.165871658716587,1.2169888333146192e-07,6.760761048566278e-07
0.3,0.3,0.7897280435776313,1.5750315004725067e-10,4.165871658716587,1.2004107009092194e-07,7.278733651258612e-07
0.31,0.31,0.7818970071535288,1.5525310504657563e-10,4.165871658716587,1.0063264857337798e-07,6.460925561271622e-07
0.32,0.32,0.77400416124728,1.530030600459006e-10,4.165871658716587,1.1330147968458428e-07,6.99622239822386e-07
0.33,0.33,0.7660485223807948,1.5075301504522562e-10,4.165871658716587,1.1036502634144136e-07,7.47991858455115e-07
0.34,0.34,0.758029083414783,1.4850297004455058e-10,4.165871658716587,1.439337459314063e-07,7.244881518934824e-07
0.35,0.35,0.7499448127836005,1.4625292504387556e-10,4.165871658716587,1.6313826177694336e-07,8.648389226417193e-07
0.36,0.36,0.7417946536989195,1.440028800432006e-10,4.165871658716587,1.5716926635670027e-07,7.420212197952639e-07
0.37,0.37,0.7335775233206772,1.4175283504252555e-10,4.165871658716587,1.285038026636896e-07,8.344023513662509e-07
0.38,0.38,0.7252923118936785,1.3950279004185054e-10,4.165871658716587,1.3783974235221902e-07,8.790083746141424e-07
0.39,0.39,0.7169378818481357,1.372527450411756e-10,4.165871658716587,1.3165569611298181e-07,8.47673954079636e-07
0.4,0.4,0.7085130668623149,1.3500270004050055e-10,4.165871658716587,1.8888009032904492e-07,9.863705236624648e-07
0.41,0.41,0.7000166708853597,1.3275265503982554e-10,4.165871658716587,1.402749415964769e-07,9.298849310296429e-07
0.42,0.42,0.6914474671182481,1.3050261003915055e-10,4.165871658716587,1.738451247687775e-07,9.715117901813774e-07
0.43,0.43,0.6828041969507084,1.282525650384755e-10,4.165871658716587,1.6373905397218526e-07,9.025054604128043e-07
0.44,0.44,0.6740855688517897,1.260025200378005e-10,4.165871658716587,1.925166564160307e-07,1.0347562226829564e-06
0.45,0.45,0.6652902572116409,1.2375247503712552e-10,4.165871658716587,1.7793485351032767e-07,1.0437210709936603e-06
0.46,0.46,0.6564169011319041,1.2150243003645048e-10,4.165871658716587,1.4526461922170933e-07,1.0856602947771699e-06
0.47,0.47,0.6474641031619576,1.1925238503577549e-10,4.165871658716587,1.845444463396368e-07,1.1804655671152785e-06
0.48,0.48,0.6384304279780763,1.1700234003510052e-10,4.165871658716587,2.1269590903413696e-07,1.0154299803839668e-06
0.49,0.49,0.6293144010023839,1.1475229503442544e-10,4.165871658716587,1.951787539489445e-07,1.0518886821108792e-06
0.5,0.5,0.6201145069582774,1.1250225003375047e-10,4.165871658716587,2.186738439687369e-07,1.1728274738059443e-06
0.51,0.51,0.6108291883587842,1.1025220503307539e-10,4.165871658716587,1.9088180727676703e-07,1.0444879691584132e-06
0.52,0.52,0.6014568439240734,1.0800216003240041e-10,4.165871658716587,2.2800857758418972e-07,1.2127820360545075e-06
0.53,0.53,0.5919958269241085,1.0575211503172544e-10,4.165871658716587,2.518327295554961e-07,1.1397822914495986e-06
0.54,0.54,0.5824444434421473,1.0350207003105039e-10,4.165871658716587,2.50966759077114e-07,1.2248532468571153e-06
0.55,0.55,0.5728009505545074,1.0125202503037539e-10,4.165871658716587,2.0330270777494052e-07,1.2632506942801554e-06
0.56,0.56,0.563063554421708,9.900198002970042e-11,4.165871658716587,2.60279326033686e-07,1.121427036109903e-06
0.57,0.57,0.5532304082857555,9.675193502902541e-11,4.165871658716587,3.0159023579570603e-07,1.3502759653251257e-06
0.58,0.58,0.5432996103679851,9.450189002835036e-11,4.165871658716587,3.237670417356147e-07,1.4503316648583205e-06
0.59,0.59,0.5332692016614697,9.225184502767539e-11,4.165871658716587,2.7307646061890223e-07,1.4651033169624004e-06
0.6,0.6,0.5231371636115855,9.000180002700038e-11,4.165871658716587,3.6512263405599566e-07,1.5079346894337157e-06
0.61,0.61,0.5129014156778685,8.775175502632535e-11,4.165871658716587,2.984125532221619e-07,1.4762914548896881e-06
0.62,0.62,0.5025598127697941,8.550171002565039e-11,4.165871658716587,3.1563429651946063e-07,1.6046275131258452e-06
0.63,0.63,0.49211014254857327,8.325166502497532e-11,4.165871658716587,3.6150578299688585e-07,1.6129480200350667e-06
0.64,0.64,0.48155012258647906,8.100162002430031e-11,4.165871658716587,3.0337861616479086e-07,1.945969684362033e-06
0.65,0.65,0.47087739737457307,7.875157502362534e-11,4.165871658716587,3.0798165232840277e-07,1.5944359779067648e-06
0.66,0.66,0.46008953516903,7.65015300229503e-11,4.165871658716587,4.0159557457903843e-07,2.0236765469226307e-06
0.67,0.67,0.44918402466548485,7.425148502227529e-11,4.165871658716587,3.4962120212222563e-07,2.079009146289546e-06
0.68,0.68,0.43815827149003633,7.200144002160027e-11,4.165871658716587,3.3106085948784883e-07,1.8654085704677908e-06
0.69,0.69,0.4270095944946357,6.97513950209253e-11,4.165871658716587,4.1549861241947414e-07,1.9528572878724098e-06
0.7,0.7,0.4157352218436286,6.750135002025028e-11,4.165871658716587,4.0805673320143235e-07,2.1323845412963517e-06
0.71,0.71,0.40433228687716244,6.525130501957527e-11,4.165871658716587,4.322603854807619e-07,2.587696902087716e-06
0.72,0.72,0.3927978237360112,6.300126001890026e-11,4.165871658716587,5.30686112376489e-07,2.3053256446295725e-06
