m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,2.2500450006750095e-10,4.165871658716587,9.339132698957955e-08,4.857377778228694e-07
0.01,0.01,1.0,2.2500450006750095e-10,4.165871658716587,7.269529173196036e-08,4.957605228319124e-07
0.02,0.02,1.0,2.2500450006750095e-10,4.165871658716587,7.562126211436035e-08,5.057328709353226e-07
0.03,0.03,1.0,2.2500450006750095e-10,4.165871658716587,6.563642035787279e-08,5.151540062219054e-07
0.04,0.04,1.0,2.2500450006750095e-10,4.165871658716587,7.811950095852234e-08,4.745300383748551e-07
0.05,0.05,1.0,2.2500450006750095e-10,4.165871658716587,9.645812632254973e-08,4.676551295691404e-07
0.06,0.06,1.0,2.2500450006750095e-10,4.165871658716587,9.493067902260657e-08,4.3423207724535925e-07
0.07,0.07,1.0,2.2500450006750095e-10,4.165871658716587,8.034528318415263e-08,4.5880833460988125e-07
0.08,0.08,1.0,2.2500450006750095e-10,4.165871658716587,7.420388285878897e-08,5.175494958249931e-07
0.09,0.09,1.0,2.2500450006750095e-10,4.165871658716587,9.13211029740666e-08,4.131267523534445e-07
0.1,0.1,1.0,2.2500450006750095e-10,4.165871658716587,8.714958265461373e-08,4.724608848394568e-07
0.11,0.11,1.0,2.2500450006750095e-10,4.165871658716587,8.805007018464613e-08,4.809152403668163e-07
0.12,0.12,1.0,2.2500450006750095e-10,4.165871658716587,8.165787395528376e-08,5.054727022016009e-07
0.13,0.13,1.0,2.2500450006750095e-10,4.165871658716587,7.724103223326146e-08,4.946028224218115e-07
0.14,0.14,1.0,2.2500450006750095e-10,4.165871658716587,7.323198479628871e-08,5.232096053212352e-07
0.15,0.15,1.0,2.2500450006750095e-10,4.165871658716587,7.878428031374706e-08,4.6071927898857225e-07
0.16,0.16,1.0,2.2500450006750095e-10,4.165871658716587,9.932175964593085e-08,5.380542503190589e-07
0.17,0.17,1.0,2.2500450006750095e-10,4.165871658716587,8.58768787768061e-08,4.995218211163023e-07
0.18,0.18,1.0,2.2500450006750095e-10,4.165871658716587,8.34445552126995e-08,5.332975554605706e-07
0.19,0.19,1.0,2.2500450006750095e-10,4.165871658716587,8.27057870723884e-08,5.017271061024624e-07
0.2,0.2,1.0,2.2500450006750095e-10,4.165871658716587,8.996494029394822e-08,5.100108776549892e-07
0.21,0.21,1.0,2.2500450006750095e-10,4.165871658716587,9.757606344922825e-08,4.6082313003134143e-07
0.22,0.22,1.0,2.2500450006750095e-10,4.165871658716587,8.025701753969828e-08,4.3938615060984194e-07
0.23,0.23,1.0,2.2500450006750095e-10,4.165871658716587,8.742142267067281e-08,5.202409324984571e-07
0.24,0.24,1.0,2.2500450006750095e-10,4.165871658716587,7.393866688855628e-08,4.629751396453109e-07
0.25,0.25,1.0,2.2500450006750095e-10,4.165871658716587,9.08602678708271e-08,4.744767957871944e-07
0.26,0.26,1.0,2.2500450006750095e-10,4.165871658716587,9.102804495636545e-08,4.925182856159805e-07
0.27,0.27,1.0,2.2500450006750095e-10,4.165871658716587,8.14910145331149e-08,5.3601547980917e-07
0.28,0.28,1.0,2.2500450006750095e-10,4.165871658716587,8.514433800411309e-08,5.073755611178722e-07
0.29,0.29,1.0,2.2500450006750095e-10,4.165871658716587,8.70334231254958e-08,5.178600169715524e-07
0.3,0.3,1.0,2.2500450006750095e-10,4.165871658716587,7.05432712357153e-08,4.3620050807462407e-07
0.31,0.31,1.0,2.2500450006750095e-10,4.165871658716587,8.24535167931205e-08,4.5398919388892173e-07
0.32,0.32,1.0,2.2500450006750095e-10,4.165871658716587,8.465055074223253e-08,4.763475401002246e-07
0.33,0.33,1.0,2.2500450006750095e-10,4.165871658716587,9.176547068188507e-08,5.02443250883008e-07
0.34,0.34,1.0,2.2500450006750095e-10,4.165871658716587,7.717259606286691e-08,5.033542997802078e-07
0.35,0.35,1.0,2.2500450006750095e-10,4.165871658716587,7.264947496643188e-08,4.4153456052429315e-07
0.36,0.36,1.0,2.2500450006750095e-10,4.165871658716587,8.494510537603929e-08,5.360085946595019e-07
0.37,0.37,1.0,2.2500450006750095e-10,4.165871658716587,9.649091265579629e-08,4.832546276252017e-07
0.38,0.38,1.0,2.2500450006750095e-10,4.165871658716587,8.627462808279249e-08,4.6676541772975847e-07
0.39,0.39,1.0,2.2500450006750095e-10,4.165871658716587,6.949057402088864e-08,4.974535902322186e-07
0.4,0.4,1.0,2.2500450006750095e-10,4.165871658716587,8.999429991679981e-08,4.5598321470119997e-07
0.41,0.41,1.0,2.2500450006750095e-10,4.165871658716587,8.49055555514444e-08,4.896951511246792e-07
0.42,0.42,1.0,2.2500450006750095e-10,4.165871658716587,1.0204810462245789e-07,4.0391838693662775e-07
0.43,0.43,1.0,2.2500450006750095e-10,4.165871658716587,8.642246090862476e-08,4.887842679546358e-07
0.44,0.44,1.0,2.2500450006750095e-10,4.165871658716587,7.705411197180069e-08,5.135184148571685e-07
0.45,0.45,1.0,2.2500450006750095e-10,4.165871658716587,7.907765867371091e-08,4.251124401267269e-07
0.46,0.46,1.0,2.2500450006750095e-10,4.165871658716587,8.729523433678985e-08,4.767934839195339e-07
0.47,0.47,1.0,2.2500450006750095e-10,4.165871658716587,1.0222694812816931e-07,5.052131186637467e-07
0.48,0.48,1.0,2.2500450006750095e-10,4.165871658716587,8.275255173971183e-08,4.3914323405588155e-07
0.49,0.49,1.0,2.2500450006750095e-10,4.165871658716587,8.585002270295815e-08,4.82686680534601e-07
0.5,0.5,1.0,2.2500450006750095e-10,4.165871658716587,7.868039257347445e-08,5.015529666747093e-07
0.51,0.51,1.0,2.2500450006750095e-10,4.165871658716587,7.479630132080651e-08,5.049845303475247e-07
0.52,0.52,1.0,2.2500450006750095e-10,4.165871658716587,7.272582969215947e-08,4.870429928281526e-07
0.53,0.53,1.0,2.2500450006750095e-10,4.165871658716587,7.944265068188378e-08,4.951569555852958e-07
0.54,0.54,1.0,2.2500450006750095e-10,4.165871658716587,7.254267621485511e-08,5.110588205604179e-07
0.55,0.55,1.0,2.2500450006750095e-10,4.165871658716587,6.825863659651986e-08,5.117756945838678e-07
0.56,0.56,1.0,2.2500450006750095e-10,4.165871658716587,8.343173531013674e-08,5.461945036066781e-07
