m,M,original_average,suppressed_database_average,suppressed_database_sum,suppressed_database_number_of_elements,epsilon_of_M,delta_of_M,average_laplace,average_gaussian,AE_laplace,AE_gaussian
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.165835629917023,4.166743303294533,3.60287995642139e-05,0.0008716445779457516
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.166112173566022,4.167410214924674,0.00024051484943488077,0.0015385562080867388
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.165749276650583,4.1638630463491575,0.000122382066003901,0.002008612367429663
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.164701069655631,4.166785573219443,0.0011705890609565728,0.0009139145028562723
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.166006488967615,4.166041329140583,0.0001348302510280064,0.0001696704239959601
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.165975557511015,4.167698413455669,0.00010389879442751493,0.0018267547390822259
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.166058909755737,4.167768729788713,0.00018725103914984942,0.0018970710721255557
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.165413880870768,4.166184808249769,0.00045777784581879644,0.00031314953318162253
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.1656306375861885,4.164121317008661,0.00024102113039869977,0.0017503417079263173
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.1653425407450495,4.164706006591792,0.0005291179715376515,0.0011656521247953577
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.1657154919243755,4.167338643746786,0.00015616679221164276,0.0014669850301984866
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.166290552662117,4.165604465374102,0.0004188939455298524,0.00026719334248515025
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.165472493499048,4.167249178093973,0.00039916521753902146,0.0013775193773861716
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.164862570591108,4.164326751712097,0.001009088125479174,0.0015449070044901703
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.16633960789796,4.1667070621391185,0.00046794918137305075,0.0008354034225313001
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.165714702366621,4.166092684588333,0.000156956349965931,0.00022102587174543942
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.166461515722124,4.165618647809297,0.0005898570055364871,0.00025301090729001885
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.1662207552681,4.16570857069139,0.0003490965515124955,0.00016308802519748866
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.166336464464108,4.165524784770288,0.00046480574752116866,0.0003468739462988424
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.166130973053851,4.167167415434535,0.0002593143372635609,0.0012957567179476825
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.165875556539036,4.1675045104676,3.89782244880621e-06,0.0016328517510126872
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.165847506240679,4.164689664503796,2.4152475908145732e-05,0.001181994212791082
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.165202131762565,4.166350870636258,0.0006695269540220039,0.00047921191967059684
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.165961446120952,4.166825870177829,8.978740436482724e-05,0.0009542114612415276
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.165638503437616,4.166971165270279,0.0002331552789707203,0.0010995065536922866
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.165901968202642,4.165045465200909,3.0309486055202228e-05,0.0008261935156781419
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.165738671269228,4.164529844632777,0.00013298744735923407,0.0013418140838101777
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.1653003742621,4.166153759164802,0.0005712844544873974,0.0002821004482145284
0.0,0.0,4.165871658716587,4.165871658716587,277722,66666,1,2.250045000675009e-10,4.1656193076877805,4.165507965095562,0.00025235102880660776,0.0003636936210247299
