m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,2.2500450006750095e-10,4.165871658716587,0.00030692595150561886,0.0009178960978704165
0.01,0.01,1.0,2.2500450006750095e-10,4.165871658716587,0.00083345797615085,0.001183166687413431
0.02,0.02,1.0,2.2500450006750095e-10,4.165871658716587,0.001226160560674657,0.0014778825778653441
0.03,0.03,1.0,2.2500450006750095e-10,4.165871658716587,0.0014318641759705972,0.0016740516426767336
0.04,0.04,1.0,2.2500450006750095e-10,4.165871658716587,0.0016117152155229685,0.0017775153503587174
0.05,0.05,1.0,2.2500450006750095e-10,4.165871658716587,0.0018924437187147962,0.0020217724495759236
0.06,0.06,1.0,2.2500450006750095e-10,4.165871658716587,0.0020740045391108362,0.002293107780650578
0.07,0.07,1.0,2.2500450006750095e-10,4.165871658716587,0.002339948330113426,0.002444931982485917
0.08,0.08,1.0,2.2500450006750095e-10,4.165871658716587,0.0023520226108093194,0.0026639490075552443
0.09,0.09,1.0,2.2500450006750095e-10,4.165871658716587,0.0025259697201134817,0.002736063913958633
0.1,0.1,1.0,2.2500450006750095e-10,4.165871658716587,0.0025352436410073036,0.0028189414368088687
0.11,0.11,1.0,2.2500450006750095e-10,4.165871658716587,0.002804034529740484,0.002940763452644836
0.12,0.12,1.0,2.2500450006750095e-10,4.165871658716587,0.0029091233587171406,0.003137102898022851
0.13,0.13,1.0,2.2500450006750095e-10,4.165871658716587,0.0029970211703265405,0.003221408316932395
0.14,0.14,1.0,2.2500450006750095e-10,4.165871658716587,0.003115122846886903,0.0032771053431197325
0.15,0.15,1.0,2.2500450006750095e-10,4.165871658716587,0.0034762132432554545,0.0035952712157092037
0.16,0.16,1.0,2.2500450006750095e-10,4.165871658716587,0.003484200105080911,0.0035857260612514193
0.17,0.17,1.0,2.2500450006750095e-10,4.165871658716587,0.003692521107497315,0.0038111717034050746
0.18,0.18,1.0,2.2500450006750095e-10,4.165871658716587,0.0037523063292007742,0.0037974743872091904
