m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,2.2500450006750095e-10,4.165871658716587,1.0899660198376647e-07,5.02390024662413e-07
0.01,0.01,1.0063647580360118,2.2727727279545544e-10,4.165871658716587,4.40476636317056e-07,7.436363365744413e-07
0.02,0.02,1.0128179179349637,2.295964286403071e-10,4.165871658716587,8.79578306798807e-07,1.3351703484371418e-06
0.03,0.03,1.0193614715465262,2.3196340213144425e-10,4.165871658716587,1.2377063618072668e-06,1.550466419409351e-06
0.04,0.04,1.0259974746609668,2.343796875703135e-10,4.165871658716587,1.4549860111010699e-06,1.737896701354203e-06
0.05,0.05,1.032728049717885,2.3684684217631674e-10,4.165871658716587,2.0393267263288706e-06,2.543869958064026e-06
0.06,0.06,1.0395553886588504,2.3936648943351166e-10,4.165871658716587,2.5614131291892045e-06,2.940258384136864e-06
0.07,0.07,1.046481755933204,2.419403226532267e-10,4.165871658716587,2.7457471245523105e-06,3.3454393708522927e-06
0.08,0.08,1.053509491666951,2.4457010876902273e-10,4.165871658716587,2.9604403078917256e-06,3.329279308471212e-06
0.09,0.09,1.0606410150054735,2.4725769238186914e-10,4.165871658716587,3.352486565142913e-06,3.8017938618457224e-06
0.1,0.1,1.067878827641591,2.50005000075001e-10,4.165871658716587,3.6393634509612977e-06,4.3432240928434076e-06
0.11,0.11,1.0752255175414156,2.5281404501966395e-10,4.165871658716587,4.0943057869126995e-06,4.8889194572368165e-06
0.12,0.12,1.0826837628814319,2.556869318948873e-10,4.165871658716587,4.887583042452977e-06,5.2475677715249415e-06
0.13,0.13,1.0902563362112878,2.586258621465528e-10,4.165871658716587,5.344419651389524e-06,5.6926737035334695e-06
0.14,0.14,1.097946108857996,2.616331396133732e-10,4.165871658716587,5.936693558505766e-06,6.1424461878884975e-06
0.15,0.15,1.1057560555884813,2.647111765500011e-10,4.165871658716587,6.5968189669002856e-06,6.763841799760305e-06
0.16,0.16,1.1136892595488543,2.6786250008035834e-10,4.165871658716587,6.908103171276833e-06,7.953416514343013e-06
0.17,0.17,1.1217489175003088,2.71089759117471e-10,4.165871658716587,7.241766653198678e-06,7.649278079916047e-06
0.18,0.18,1.1299383453732408,2.743957317896352e-10,4.165871658716587,8.505313315577263e-06,9.22737349660098e-06
0.19,0.19,1.1382609841630418,2.777833334166678e-10,4.165871658716587,8.370917547078484e-06,8.228157340272133e-06
0.2,0.2,1.146720406193046,2.8125562508437606e-10,4.165871658716587,8.530626643297737e-06,8.856927134873993e-06
0.21,0.21,1.1553203217723849,2.8481582287025427e-10,4.165871658716587,9.2572071151909e-06,1.0072766468338631e-05
0.22,0.22,1.1640645862789334,2.884673077788472e-10,4.165871658716587,9.494443965594335e-06,1.0135488376904983e-05
0.23,0.23,1.172957207700318,2.9221363645129984e-10,4.165871658716587,1.048313009937549e-05,1.1355309746735504e-05
0.24,0.24,1.1820023546689093,2.9605855272039594e-10,4.165871658716587,1.2080148191440298e-05,1.3205334653556522e-05
