m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,1.0,2.2500450006750095e-10,4.165871658716587,8.803304666688012e-08,5.197491136199678e-07
0.01,0.01,1.0,2.2500450006750095e-10,4.165871658716587,4.431654564451335e-07,7.836335845913178e-07
0.02,0.02,1.0,2.2500450006750095e-10,4.165871658716587,7.816305018478085e-07,1.2096351077278027e-06
0.03,0.03,1.0,2.2500450006750095e-10,4.165871658716587,1.0409104022101117e-06,1.6261043315244194e-06
0.04,0.04,1.0,2.2500450006750095e-10,4.165871658716587,1.6747558314518298e-06,2.03706851341752e-06
0.05,0.05,1.0,2.2500450006750095e-10,4.165871658716587,1.865959962771828e-06,2.5237404326989536e-06
0.06,0.06,1.0,2.2500450006750095e-10,4.165871658716587,2.226874272113927e-06,2.800785027874014e-06
0.07,0.07,1.0,2.2500450006750095e-10,4.165871658716587,2.7130449224701315e-06,3.462635989566501e-06
0.08,0.08,1.0,2.2500450006750095e-10,4.165871658716587,3.3042338200492638e-06,3.794568469799015e-06
0.09,0.09,1.0,2.2500450006750095e-10,4.165871658716587,3.810380290719526e-06,4.206230690290464e-06
0.1,0.1,1.0,2.2500450006750095e-10,4.165871658716587,3.860226016807256e-06,4.830300129720023e-06
0.11,0.11,1.0,2.2500450006750095e-10,4.165871658716587,4.711891239362411e-06,5.069963068189333e-06
0.12,0.12,1.0,2.2500450006750095e-10,4.165871658716587,5.28932829543295e-06,5.6970238075983546e-06
0.13,0.13,1.0,2.2500450006750095e-10,4.165871658716587,5.683152876135099e-06,6.351968071640034e-06
0.14,0.14,1.0,2.2500450006750095e-10,4.165871658716587,7.113271297660324e-06,8.259303263742716e-06
0.15,0.15,1.0,2.2500450006750095e-10,4.165871658716587,6.761137267231909e-06,7.392037812415528e-06
0.16,0.16,1.0,2.2500450006750095e-10,4.165871658716587,6.308286469859476e-06,6.970172625584191e-06
0.17,0.17,1.0,2.2500450006750095e-10,4.165871658716587,6.5924032061369624e-06,7.543065578690281e-06
0.18,0.18,1.0,2.2500450006750095e-10,4.165871658716587,8.57717511010992e-06,8.757007948224262e-06
0.19,0.19,1.0,2.2500450006750095e-10,4.165871658716587,8.23694654340537e-06,8.331110538499715e-06
0.2,0.2,1.0,2.2500450006750095e-10,4.165871658716587,8.189526133349635e-06,9.335383620553377e-06
0.21,0.21,1.0,2.2500450006750095e-10,4.165871658716587,9.118722957869546e-06,9.603933043291009e-06
0.22,0.22,1.0,2.2500450006750095e-10,4.165871658716587,1.0609590797066037e-05,1.13600479472465e-05
0.23,0.23,1.0,2.2500450006750095e-10,4.165871658716587,1.1453507083474906e-05,1.202617612045873e-05
0.24,0.24,1.0,2.2500450006750095e-10,4.165871658716587,1.2474976235243261e-05,1.3152685526168796e-05
0.25,0.25,1.0,2.2500450006750095e-10,4.165871658716587,1.258660983047363e-05,1.2982497216453915e-05
0.26,0.26,1.0,2.2500450006750095e-10,4.165871658716587,1.131095529083551e-05,1.164364738040771e-05
0.27,0.27,1.0,2.2500450006750095e-10,4.165871658716587,1.2679904820958686e-05,1.3383298411715815e-05
0.28,0.28,1.0,2.2500450006750095e-10,4.165871658716587,1.4889243382601754e-05,1.619354529290128e-05
0.29,0.29,1.0,2.2500450006750095e-10,4.165871658716587,1.3803665381530433e-05,1.4561102544408196e-05
0.3,0.3,1.0,2.2500450006750095e-10,4.165871658716587,1.4652435214512427e-05,1.5206082561985904e-05
0.31,0.31,1.0,2.2500450006750095e-10,4.165871658716587,1.5313169066256496e-05,1.6233240407161228e-05
0.32,0.32,1.0,2.2500450006750095e-10,4.165871658716587,1.7742011751881536e-05,1.916289671682464e-05
0.33,0.33,1.0,2.2500450006750095e-10,4.165871658716587,1.5987080302521846e-05,1.7662553131969055e-05
0.34,0.34,1.0,2.2500450006750095e-10,4.165871658716587,1.9538135488296948e-05,2.073219314346472e-05
0.35,0.35,1.0,2.2500450006750095e-10,4.165871658716587,1.9043030347993003e-05,1.972776791518743e-05
0.36,0.36,1.0,2.2500450006750095e-10,4.165871658716587,1.965907754375702e-05,2.0734075304831437e-05
0.37,0.37,1.0,2.2500450006750095e-10,4.165871658716587,2.3217632871700265e-05,2.3520700954420482e-05
0.38,0.38,1.0,2.2500450006750095e-10,4.165871658716587,2.7525252344840107e-05,2.97121801414858e-05
0.39,0.39,1.0,2.2500450006750095e-10,4.165871658716587,2.6186439462143667e-05,2.6876003169285565e-05
0.4,0.4,1.0,2.2500450006750095e-10,4.165871658716587,2.1908233057033258e-05,2.377545694610531e-05
0.41,0.41,1.0,2.2500450006750095e-10,4.165871658716587,2.6950803811992835e-05,2.9187579672825694e-05
0.42,0.42,1.0,2.2500450006750095e-10,4.165871658716587,3.183374121135344e-05,3.290998066925246e-05
0.43,0.43,1.0,2.2500450006750095e-10,4.165871658716587,2.811947920638917e-05,2.9813596552255606e-05
0.44,0.44,1.0,2.2500450006750095e-10,4.165871658716587,2.9558867523322673e-05,3.11579590333205e-05
0.45,0.45,1.0,2.2500450006750095e-10,4.165871658716587,3.186075183271055e-05,3.2775480456462705e-05
0.46,0.46,1.0,2.2500450006750095e-10,4.165871658716587,3.256190521358471e-05,3.369008326510481e-05
0.47,0.47,1.0,2.2500450006750095e-10,4.165871658716587,3.2987694165528784e-05,3.656830918632741e-05
0.48,0.48,1.0,2.2500450006750095e-10,4.165871658716587,3.454729470854705e-05,3.568178831827451e-05
0.49,0.49,1.0,2.2500450006750095e-10,4.165871658716587,3.736927035715433e-05,3.8965764389373274e-05
0.5,0.5,1.0,2.2500450006750095e-10,4.165871658716587,3.58395280412859e-05,3.637320772253817e-05
0.51,0.51,1.0,2.2500450006750095e-10,4.165871658716587,3.673388253242943e-05,3.823164118448482e-05
0.52,0.52,1.0,2.2500450006750095e-10,4.165871658716587,3.3625429079099566e-05,3.393407658709969e-05
0.53,0.53,1.0,2.2500450006750095e-10,4.165871658716587,4.23146342633163e-05,4.4884836315951956e-05
0.54,0.54,1.0,2.2500450006750095e-10,4.165871658716587,3.771856815588073e-05,3.834945545269737e-05
0.55,0.55,1.0,2.2500450006750095e-10,4.165871658716587,4.5078705986994686e-05,4.631991626887405e-05
0.56,0.56,1.0,2.2500450006750095e-10,4.165871658716587,4.6002469572575374e-05,4.892463279704443e-05
0.57,0.57,1.0,2.2500450006750095e-10,4.165871658716587,4.9706155639995624e-05,5.339891658058087e-05
0.58,0.58,1.0,2.2500450006750095e-10,4.165871658716587,5.417809759249519e-05,5.496980251653824e-05
0.59,0.59,1.0,2.2500450006750095e-10,4.165871658716587,4.7622078079315114e-05,4.8575086668588486e-05
0.6,0.6,1.0,2.2500450006750095e-10,4.165871658716587,5.209774697412255e-05,5.392471494170335e-05
0.61,0.61,1.0,2.2500450006750095e-10,4.165871658716587,5.6079102959432886e-05,5.8121202589054874e-05
0.62,0.62,1.0,2.2500450006750095e-10,4.165871658716587,5.447863022246611e-05,5.993575446336569e-05
0.63,0.63,1.0,2.2500450006750095e-10,4.165871658716587,5.8570954091347854e-05,5.851717148947194e-05
0.64,0.64,1.0,2.2500450006750095e-10,4.165871658716587,7.087228284418007e-05,7.21740680326661e-05
0.65,0.65,1.0,2.2500450006750095e-10,4.165871658716587,7.228511728520382e-05,7.258135992178629e-05
0.66,0.66,1.0,2.2500450006750095e-10,4.165871658716587,6.650948406729381e-05,7.252066088756625e-05
0.67,0.67,1.0,2.2500450006750095e-10,4.165871658716587,8.862863024015862e-05,9.102432198293398e-05
0.68,0.68,1.0,2.2500450006750095e-10,4.165871658716587,7.276186003295078e-05,7.716920630630645e-05
