m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,4.165871658716587,1.2208403815800015e-05,3.037515301900005e-06,-1.707884785979996e-05,1.5375003059500008e-05,1.4141767243299993e-05,-1.1668909115800053e-05
0.01,0.01,4.165871658716587,-0.0005308855598043999,-0.00025539987229639995,-0.0005525989558733001,-0.0003050388020938001,-0.0004873901313718,-0.0002676647407650999
0.02,0.02,4.165871658716587,-0.0009344606741050001,-0.0005391324136048999,-0.0009405136072308002,-0.0006020878250788999,-0.0009221564165217001,-0.0005111800675082
0.03,0.03,4.165871658716587,-0.0011056167436174,-0.0006895388975251,-0.0010981720966749,-0.0007256781522556001,-0.0011248576786723002,-0.000729420629503
0.04,0.04,4.165871658716587,-0.0013010461227827,-0.0008806801218722,-0.0012434374016489999,-0.0009081265502627,-0.0013028648719126,-0.0008486987389975001
0.05,0.05,4.165871658716587,-0.0015910985890934,-0.0011158134902153002,-0.0016070093026184001,-0.0010923412089425,-0.0015756997509701,-0.0010380770995089001
0.06,0.06,4.165871658716587,-0.0017599996283418997,-0.0014182600227469,-0.0017523380621428998,-0.0013325022514855001,-0.0017453921345000998,-0.0013719894742343
0.07,0.07,4.165871658716587,-0.0020327788451092,-0.0015565901189746,-0.0020220841706225,-0.0015562821152308,-0.0020119800508754,-0.0014970852119113999
0.08,0.08,4.165871658716587,-0.0020444451064389,-0.0016965638912967,-0.0020908725416766,-0.0015270917023689,-0.0020329712069602998,-0.001750813291149
0.09,0.09,4.165871658716587,-0.0022165513684826,-0.0017787751747401002,-0.0022386217330147,-0.0017339107316659001,-0.0021992748008609004,-0.0017862036132472
0.1,0.1,4.165871658716587,-0.0022093447136746,-0.0019038871389995997,-0.0022180924258392,-0.0018166027621603,-0.0021929974092941003,-0.0018243071949284998
0.11,0.11,4.165871658716587,-0.0024974758927506,-0.0019614971908835,-0.0024972874701118,-0.0019422040237216,-0.0024724401020357,-0.0019396030763998999
0.12,0.12,4.165871658716587,-0.0026002703425037,-0.0021939604753216,-0.0025912109101136,-0.0021644362264597,-0.0025707196959647,-0.0021606320625370996
0.13,0.13,4.165871658716587,-0.0026590694871929,-0.0023167298457403,-0.0026586664156043,-0.0022080160707893,-0.0026583942016796002,-0.0021845170651071
