m,M,original_average,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_M_minus_MoSChangeEpsDelta,difference_gaussian_M_minus_MoSChangeEpsDelta,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.0,0.0,4.165871658716587,6.143819405688532e-09,2.7664285186707982e-08,-2.2794481420389794e-08,2.336619147593768e-08,9.44542837231269e-09,2.527301661064304e-08
0.01,0.01,4.165871658716587,-3.3951981811367954e-07,-4.760353171768662e-07,-3.651422150454058e-07,-2.7222346656903807e-07,-3.1830297339115597e-07,-4.955397261676349e-07
0.02,0.02,4.165871658716587,-8.536122735588047e-07,-7.905468376224676e-07,-8.001122782371174e-07,-8.446029898286101e-07,-8.589559261932435e-07,-7.576950524630927e-07
0.03,0.03,4.165871658716587,-1.162477775689429e-06,-1.0417648753982953e-06,-1.1435972662134108e-06,-9.881099818250143e-07,-1.1838640412883634e-06,-1.1188863528785017e-06
0.04,0.04,4.165871658716587,-1.4391126787354314e-06,-1.4399458729536644e-06,-1.3529801116734754e-06,-1.275147728039849e-06,-1.463740814111028e-06,-1.4432912512287196e-06
0.05,0.05,4.165871658716587,-1.917485648202155e-06,-1.829184240905121e-06,-1.962310434623636e-06,-2.0286969488644565e-06,-1.9089481942079387e-06,-1.806125800092485e-06
0.06,0.06,4.165871658716587,-2.3691511716559378e-06,-2.4282124455916902e-06,-2.47210701279184e-06,-2.492233815275988e-06,-2.368211087752717e-06,-2.40802919878278e-06
0.07,0.07,4.165871658716587,-2.753675681345011e-06,-2.7038722655837825e-06,-2.6606715970182286e-06,-2.872963416458599e-06,-2.743518616015246e-06,-2.696335109405565e-06
0.08,0.08,4.165871658716587,-2.752134170698343e-06,-2.776295794746943e-06,-2.878389276857653e-06,-2.849766706841451e-06,-2.750261887613301e-06,-2.729265327156712e-06
0.09,0.09,4.165871658716587,-3.253153652668435e-06,-3.86200698282768e-06,-3.247226803551843e-06,-3.2332430757137636e-06,-3.2760417053554883e-06,-3.914047917857312e-06
0.1,0.1,4.165871658716587,-3.5308645380015444e-06,-3.5188928263510065e-06,-3.5390109991465406e-06,-3.83583259001756e-06,-3.5270553956425157e-06,-3.4616396001073073e-06
0.11,0.11,4.165871658716587,-4.179744240762291e-06,-4.5272233673172395e-06,-4.0152245544213e-06,-4.383133848761336e-06,-4.15654861037285e-06,-4.479852189684448e-06
0.12,0.12,4.165871658716587,-4.877161073354182e-06,-5.1940758941346435e-06,-4.813129959054187e-06,-4.752093362922849e-06,-4.860722656399745e-06,-5.145920459478928e-06
0.13,0.13,4.165871658716587,-5.328280110377402e-06,-5.3882449908236416e-06,-5.2480555522083975e-06,-5.170619990898071e-06,-5.316988314793164e-06,-5.313141770935333e-06
0.14,0.14,4.165871658716587,-5.93000744524135e-06,-6.366438682534281e-06,-5.859901193871772e-06,-5.6244580109242316e-06,-5.9186133752676636e-06,-6.297873375976869e-06
0.15,0.15,4.165871658716587,-6.5305628616476105e-06,-6.853673259249194e-06,-6.515595024101864e-06,-6.251344047658901e-06,-6.53059139588632e-06,-6.674082976705683e-06
0.16,0.16,4.165871658716587,-6.8775718542783865e-06,-7.0912222719516694e-06,-6.835183382743457e-06,-7.454776501322424e-06,-6.835502883025789e-06,-7.033414256508948e-06
0.17,0.17,4.165871658716587,-7.158011421924462e-06,-7.4671337101199735e-06,-7.159797621040684e-06,-7.095225630048454e-06,-7.138292878023569e-06,-7.4861576750623885e-06
0.18,0.18,4.165871658716587,-8.154228634290606e-06,-8.442775958325018e-06,-8.423728928079386e-06,-8.73082731896651e-06,-8.142057937815767e-06,-8.426064005835361e-06
0.19,0.19,4.165871658716587,-8.070867573753575e-06,-8.673589373439287e-06,-8.292140087218221e-06,-7.716590187830553e-06,-8.067819480223587e-06,-8.608887840644126e-06
0.2,0.2,4.165871658716587,-8.525378861319215e-06,-9.208983223964012e-06,-8.457649434136865e-06,-8.404501857207651e-06,-8.45469061097889e-06,-8.994545146849087e-06
0.21,0.21,4.165871658716587,-9.231927887975976e-06,-9.841432601064103e-06,-9.175283335635825e-06,-9.58280700461192e-06,-9.201635612500794e-06,-9.725101379649858e-06
0.22,0.22,4.165871658716587,-9.515934386043707e-06,-9.581143756866293e-06,-9.409128545688975e-06,-9.597028194837061e-06,-9.496500921769788e-06,-9.465650507205436e-06
0.23,0.23,4.165871658716587,-1.0622339494609867e-05,-1.1368461084380746e-05,-1.0392722625094055e-05,-1.0828555422307958e-05,-1.0595091370112207e-05,-1.1199037672036054e-05
0.24,0.24,4.165871658716587,-1.2008781952380397e-05,-1.2276569611706924e-05,-1.1981636531416022e-05,-1.2599257545277913e-05,-1.1986880535652102e-05,-1.223647382523247e-05
0.25,0.25,4.165871658716587,-1.0916950263509453e-05,-1.1256556123612583e-05,-1.087999159593338e-05,-1.0400143528204787e-05,-1.087948421808488e-05,-1.1098620881439855e-05
0.26,0.26,4.165871658716587,-1.2348998995874035e-05,-1.3208226938806486e-05,-1.2108644565525635e-05,-1.1985574536423978e-05,-1.232319961260567e-05,-1.292931421281394e-05
0.27,0.27,4.165871658716587,-1.4509811130362158e-05,-1.4149288589702038e-05,-1.4124259588508764e-05,-1.4438349417608142e-05,-1.446787545269555e-05,-1.384690019061316e-05
0.28,0.28,4.165871658716587,-1.4799920117743628e-05,-1.5855948944405903e-05,-1.5028476737742849e-05,-1.6040912912563486e-05,-1.4759624002067906e-05,-1.5725536547453893e-05
0.29,0.29,4.165871658716587,-1.3521890060575378e-05,-1.370518113427693e-05,-1.3369772499812918e-05,-1.328016601573884e-05,-1.3493824799308014e-05,-1.3516477246344344e-05
0.3,0.3,4.165871658716587,-1.526090192432892e-05,-1.5695818735217028e-05,-1.561494104754186e-05,-1.5878537095882105e-05,-1.5217702158385487e-05,-1.542738270171995e-05
