m,M,epsilon_of_M,delta_of_M,original_average,stat_AE_laplace,stat_AE_gaussian
0.0,0.0,2.0,2.2500450006750095e-10,4.165871658716587,0.00014379187604582276,0.0004958879724868748
0.01,0.01,1.9913157536841377,2.2275445506682583e-10,4.165871658716587,0.00015921878552746982,0.0004844771506791368
0.02,0.02,1.9825554300779649,2.2050441006615078e-10,4.165871658716587,0.0001646226147721599,0.0005030649575125352
0.03,0.03,1.9737176844607265,2.182543650654759e-10,4.165871658716587,0.00016118000683589884,0.0005194489745541109
0.04,0.04,1.964801136140164,2.1600432006480083e-10,4.165871658716587,0.0001569492646128765,0.0005323734952818349
0.05,0.05,1.95580436715797,2.137542750641258e-10,4.165871658716587,0.00016320673762403715,0.0005067342905965209
0.06,0.06,1.9467259209364776,2.1150423006345087e-10,4.165871658716587,0.0001467351971561399,0.000513721603070099
0.07,0.07,1.9375643008633656,2.0925418506277583e-10,4.165871658716587,0.00016201196402469443,0.0005205142068770368
0.08,0.08,1.9283179688109167,2.0700414006210092e-10,4.165871658716587,0.00016625003656969993,0.0005098214654128927
0.09,0.09,1.918985343586183,2.0475409506142587e-10,4.165871658716587,0.00016267158735113618,0.000489943224826062
0.1,0.1,1.9095647993081502,2.0250405006075078e-10,4.165871658716587,0.0001628664862191922,0.0004979435907828602
0.11,0.11,1.9000546637077282,2.0025400506007579e-10,4.165871658716587,0.00015514228865377256,0.0005367012769101489
0.12,0.12,1.8904532163461254,1.9800396005940085e-10,4.165871658716587,0.00016624294469587042,0.0005164503912410439
0.13,0.13,1.8807586867468644,1.9575391505872575e-10,4.165871658716587,0.0001620795228779741,0.0005589247188975701
0.14,0.14,1.870969252436353,1.935038700580507e-10,4.165871658716587,0.00016220794617820823,0.0005175420432392368
0.15,0.15,1.8610830368876068,1.9125382505737582e-10,4.165871658716587,0.00016041489123341002,0.0005271163124390696
0.16,0.16,1.8510981073612989,1.8900378005670073e-10,4.165871658716587,0.00017647685349237642,0.0005323920965263067
0.17,0.17,1.8410124726379327,1.8675373505602566e-10,4.165871658716587,0.00017627307786266755,0.0005453580694678734
0.18,0.18,1.8308240806344924,1.8450369005535077e-10,4.165871658716587,0.000161646375536197,0.0005196510332577393
