Epsilon;m;M;DiffEvol;HypValue;Difference
0;0.01;0.02;1.0000000;1.0000000;-3.82098919171625e-9
0;0.01;0.03;2.0000001;2.0000000;9.10764810235776e-8
0;0.01;0.04;2.9999999;3.0000000;-1.43708139166421e-7
0;0.01;0.05;3.9999999;4.0000000;-1.32062036861669e-7
0;0.01;0.06;4.9999995;5.0000000;-5.46274399937374e-7
0;0.01;0.07;5.9999998;6.0000000;-2.28860462136993e-7
0;0.01;0.08;6.9999999;7.0000000;-1.29194354769879e-7
0;0.01;0.09;7.9999997;8.0000000;-3.14830708170177e-7
0;0.01;0.1;8.9999981;9.0000000;-1.85789341955456e-6
0;0.01;0.11;9.9999998;10.000000;-2.06114821210690e-7
0;0.01;0.12;10.999999;11.000000;-9.49801590266475e-7
0;0.01;0.13;11.999999;12.000000;-1.21977022971009e-6
0;0.01;0.14;12.999998;13.000000;-1.59026226143055e-6
0;0.01;0.15;13.999998;14.000000;-1.77844571780383e-6
0;0.01;0.16;15.000000;15.000000;-4.87348961186740e-7
0;0.01;0.17;16.000000;16.000000;-1.69091132207200e-7
0;0.01;0.18;16.999998;17.000000;-2.33314188236022e-6
0;0.01;0.19;17.999999;18.000000;-5.77593731065917e-7
0;0.01;0.2;19.000000;19.000000;-1.81789790332232e-7
0;0.01;0.21;20.000000;20.000000;-4.39908149019175e-7
0;0.01;0.22;20.999998;21.000000;-2.06206710728907e-6
0;0.01;0.23;21.999998;22.000000;-1.58898856739143e-6
0;0.01;0.24;22.999997;23.000000;-3.15456316357654e-6
0;0.01;0.25;23.999998;24.000000;-1.85970214516828e-6
0;0.01;0.26;24.999996;25.000000;-4.06432909727528e-6
0;0.01;0.27;25.999997;26.000000;-2.86580176478424e-6
0;0.01;0.28;26.999996;27.000000;-4.00290512914125e-6
0;0.01;0.29;27.999997;28.000000;-3.40413783561644e-6
0;0.01;0.3;28.999996;29.000000;-3.68597747524291e-6
0;0.01;0.31;29.999996;30.000000;-3.89409343171110e-6
0;0.01;0.32;30.999996;31.000000;-3.70697677709586e-6
0;0.01;0.33;31.999997;32.000000;-3.19800123094183e-6
0;0.01;0.34;32.999998;33.000000;-1.59271143473916e-6
0;0.01;0.35;33.999998;34.000000;-2.04366737222017e-6
0;0.01;0.36;34.999993;35.000000;-6.87115210951106e-6
0;0.01;0.37;35.999990;36.000000;-9.63569170409073e-6
0;0.01;0.38;36.999996;37.000000;-4.36831380312697e-6
0;0.01;0.39;37.999994;38.000000;-5.80114971882040e-6
0;0.01;0.4;38.999996;39.000000;-3.67288584612879e-6
0;0.01;0.41;39.999997;40.000000;-3.19740423293524e-6
0;0.01;0.42;40.999994;41.000000;-5.79256282406959e-6
0;0.01;0.43;41.999997;42.000000;-3.32345208420293e-6
0;0.01;0.44;42.999997;43.000000;-2.57323453922709e-6
0;0.01;0.45;43.999995;44.000000;-4.97328042570189e-6
0;0.01;0.46;44.999994;45.000000;-6.27862483071340e-6
0;0.01;0.47;45.999997;46.000000;-3.00095037886194e-6
0;0.01;0.48;46.999993;47.000000;-6.68829252958858e-6
0;0.01;0.49;47.999999;48.000000;-1.47456049148786e-6
0;0.01;0.5;48.999996;49.000000;-3.48849935960516e-6
0;0.01;0.51;49.999995;50.000000;-4.57022865418821e-6
0;0.01;0.52;50.999993;51.000000;-6.87545190913852e-6
0;0.01;0.53;51.999990;52.000000;-9.70786975074134e-6
0;0.01;0.54;52.999995;53.000000;-5.50979233082671e-6
0;0.01;0.55;53.999990;54.000000;-9.57130719569932e-6
0;0.01;0.56;54.999998;55.000000;-1.91351374212445e-6
0;0.01;0.57;55.999998;56.000000;-1.69124759707984e-6
0;0.01;0.58;56.999989;57.000000;-0.0000106219407243202
0;0.01;0.59;57.999994;58.000000;-5.83366174566891e-6
0;0.01;0.6;58.999997;59.000000;-3.12876528596462e-6
0;0.01;0.61;59.999992;60.000000;-7.57637170067937e-6
0;0.01;0.62;60.999988;61.000000;-0.0000115983198725189
0;0.01;0.63;61.999995;62.000000;-5.33886974807274e-6
0;0.01;0.64;62.999991;63.000000;-9.28248405074328e-6
0;0.01;0.65;63.999987;64.000000;-0.0000127373504099637
0;0.01;0.66;64.999992;65.000000;-7.70847839248745e-6
0;0.01;0.67;65.999995;66.000000;-5.54031937838317e-6
0;0.01;0.68;66.999997;67.000000;-3.02465204526925e-6
0;0.01;0.69;67.999992;68.000000;-8.27662198332746e-6
0;0.01;0.7;68.999993;69.000000;-7.40191143222546e-6
0;0.01;0.71;69.999988;70.000000;-0.0000122857066600091
0;0.01;0.72;70.999993;71.000000;-7.12392808566165e-6
0;0.01;0.73;71.999989;72.000000;-0.0000114366992391979
0;0.01;0.74;72.999994;73.000000;-5.75673270475363e-6
0;0.01;0.75;73.999997;74.000000;-3.15750341428611e-6
0;0.01;0.76;74.999992;75.000000;-8.50313966793692e-6
0;0.01;0.77;75.999988;76.000000;-0.0000115715466648680
0;0.01;0.78;76.999988;77.000000;-0.0000116883144869462
0;0.01;0.79;77.999993;78.000000;-6.67162642287167e-6
0;0.01;0.8;78.999983;79.000000;-0.0000173714244766643
0;0.01;0.81;79.999986;80.000000;-0.0000138841401309264
0;0.01;0.82;80.999992;81.000000;-7.54054278218064e-6
0;0.01;0.83;81.999990;82.000000;-0.0000103188124569442
0;0.01;0.84;82.999988;83.000000;-0.0000118456027564662
0;0.01;0.85;83.999991;84.000000;-8.75866410865456e-6
0;0.01;0.86;84.999992;85.000000;-7.94324449771011e-6
0;0.01;0.87;85.999990;86.000000;-9.80109794568307e-6
0;0.01;0.88;86.999996;87.000000;-4.11093409979912e-6
0;0.01;0.89;87.999979;88.000000;-0.0000211028023500148
0;0.01;0.9;88.999991;89.000000;-9.43482257298456e-6
0;0.01;0.91;89.999984;90.000000;-0.0000164482555078393
0;0.01;0.92;90.999983;91.000000;-0.0000171179013932488
0;0.01;0.93;91.999985;92.000000;-0.0000147715061586950
0;0.01;0.94;92.999996;93.000000;-4.32113768056297e-6
0;0.01;0.95;93.999987;94.000000;-0.0000133204901402451
0;0.01;0.96;94.999995;95.000000;-5.13971042437333e-6
0;0.01;0.97;95.999990;96.000000;-0.0000100348223810443
0;0.01;0.98;96.999987;97.000000;-0.0000133550277894301
0;0.01;0.99;97.999995;98.000000;-5.19079247851550e-6
0;0.02;0.03;0.50000009;0.50000000;9.23073455449952e-8
0;0.02;0.04;0.99999991;1.0000000;-8.78198600506863e-8
0;0.02;0.05;1.5000000;1.5000000;3.67283461422119e-8
0;0.02;0.06;1.9999998;2.0000000;-2.22823851814269e-7
0;0.02;0.07;2.4999999;2.5000000;-7.49450297377052e-8
0;0.02;0.08;2.9999998;3.0000000;-2.23362827789231e-7
0;0.02;0.09;3.5000001;3.5000000;6.18412676622881e-8
0;0.02;0.1;3.9999999;4.0000000;-5.39260032184075e-8
0;0.02;0.11;4.4999996;4.5000000;-4.14048015429103e-7
0;0.02;0.12;4.9999996;5.0000000;-3.88298175835189e-7
0;0.02;0.13;5.5000001;5.5000000;7.85140983339261e-8
0;0.02;0.14;5.9999995;6.0000000;-5.18505736124553e-7
0;0.02;0.15;6.4999999;6.5000000;-1.21220466553495e-7
0;0.02;0.16;6.9999988;7.0000000;-1.23967153253801e-6
0;0.02;0.17;7.4999998;7.5000000;-2.13703883034100e-7
0;0.02;0.18;8.0000000;8.0000000;-7.48993045363022e-9
0;0.02;0.19;8.4999998;8.5000000;-1.92847089408588e-7
0;0.02;0.2;8.9999992;9.0000000;-8.07900477184376e-7
0;0.02;0.21;9.5000000;9.5000000;2.28175487393401e-8
0;0.02;0.22;9.9999994;10.000000;-5.98707245558217e-7
0;0.02;0.23;10.499999;10.500000;-6.10543864354440e-7
0;0.02;0.24;10.999999;11.000000;-8.50543052877129e-7
0;0.02;0.25;11.499999;11.500000;-6.24975807994588e-7
0;0.02;0.26;11.999999;12.000000;-8.28901653093794e-7
0;0.02;0.27;12.499999;12.500000;-6.23554530676529e-7
