m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.0,0.0,-0.019499999999999962,-0.0050000000000000044,-0.0020000000000000018,-0.0024999999999999467,-0.024499999999999966,-0.014500000000000013,-0.011499999999999955,-0.0034999999999999476,-0.011499999999999955,0.024500000000000022,0.014499999999999957,-0.014499999999999957
0.01,0.01,-0.041000000000000036,-0.014500000000000013,-0.026499999999999968,-0.01200000000000001,-0.052000000000000046,-0.013000000000000012,-0.03700000000000003,0.0035000000000000586,-0.04200000000000004,-0.019000000000000017,-0.021499999999999964,-0.0035000000000000586
0.02,0.02,-0.09099999999999997,-0.03249999999999997,-0.09049999999999991,-0.04749999999999999,-0.07899999999999996,-0.034499999999999975,-0.08799999999999997,-0.03149999999999997,-0.08499999999999996,-0.014999999999999958,-0.05899999999999994,-0.025499999999999967
0.03,0.03,-0.12449999999999994,-0.024499999999999966,-0.09399999999999997,-0.04799999999999993,-0.11449999999999994,-0.033999999999999975,-0.07699999999999996,-0.06099999999999994,-0.138,-0.01799999999999996,-0.07699999999999996,-0.031000000000000028
0.04,0.04,-0.16349999999999998,-0.0635,-0.09599999999999997,-0.05999999999999994,-0.14800000000000002,-0.04249999999999998,-0.10350000000000004,-0.07250000000000001,-0.135,-0.05049999999999999,-0.09099999999999997,-0.03599999999999992
0.05,0.05,-0.1885,-0.065,-0.12449999999999994,-0.07799999999999996,-0.1875,-0.046999999999999986,-0.09750000000000003,-0.04899999999999993,-0.17399999999999993,-0.05199999999999999,-0.122,-0.05800000000000005
0.06,0.06,-0.2230000000000001,-0.07150000000000001,-0.14849999999999997,-0.07800000000000001,-0.1945,-0.0605,-0.13949999999999996,-0.08300000000000002,-0.21200000000000008,-0.0605,-0.139,-0.04199999999999998
0.07,0.07,-0.25,-0.0615,-0.15349999999999997,-0.10200000000000004,-0.23050000000000004,-0.03749999999999998,-0.15149999999999997,-0.09050000000000002,-0.22899999999999998,-0.068,-0.129,-0.06350000000000006
0.08,0.08,-0.25849999999999995,-0.09600000000000003,-0.1835,-0.07900000000000007,-0.243,-0.063,-0.15600000000000003,-0.08500000000000008,-0.239,-0.07200000000000001,-0.13049999999999995,-0.04049999999999998
0.09,0.09,-0.26749999999999996,-0.07499999999999996,-0.1825,-0.1225,-0.26149999999999995,-0.046999999999999986,-0.1815,-0.09400000000000003,-0.256,-0.05449999999999999,-0.14200000000000002,-0.10049999999999998
