m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.0,0.0,0.5,9.432016056618942e-10,0.9855,0.7225,0.9305,0.861
0.01,0.01,0.4960575453255336,9.337695896052756e-10,0.9855,0.724,0.9265,0.8855
0.02,0.02,0.4920994861619237,9.243375735486561e-10,0.988,0.718,0.9215,0.868
0.03,0.03,0.48812569849099385,9.14905557492037e-10,0.9825,0.7225,0.928,0.8745
0.04,0.04,0.4841360568101951,9.054735414354184e-10,0.982,0.713,0.929,0.86
0.05,0.05,0.4801304341088269,8.960415253787996e-10,0.9775,0.7045,0.9255,0.865
0.06,0.06,0.47610870184377246,8.866095093221807e-10,0.9765,0.709,0.916,0.8495
0.07,0.07,0.4720707299147485,8.771774932655611e-10,0.979,0.717,0.912,0.851
0.08,0.08,0.4680163866390518,8.677454772089425e-10,0.9865,0.7255,0.9205,0.8625
0.09,0.09,0.4639455387257911,8.583134611523236e-10,0.982,0.7045,0.9235,0.8485
0.1,0.1,0.45985805124959506,8.488814450957049e-10,0.9745,0.714,0.904,0.833
0.11,0.11,0.45575378762377566,8.394494290390862e-10,0.981,0.6825,0.919,0.8385
0.12,0.12,0.4516326095729458,8.300174129824674e-10,0.9785,0.6885,0.907,0.8375
0.13,0.13,0.44749437710506174,8.205853969258479e-10,0.973,0.6855,0.9005,0.8185
0.14,0.14,0.44333894848289374,8.111533808692291e-10,0.964,0.6885,0.9045,0.8355
0.15,0.15,0.43916618019489273,8.017213648126102e-10,0.9645,0.68,0.897,0.82
0.16,0.16,0.43497592692545334,7.922893487559912e-10,0.975,0.6735,0.9025,0.821
0.17,0.17,0.43076804152454756,7.828573326993724e-10,0.973,0.6695,0.91,0.812
0.18,0.18,0.42654237497671876,7.734253166427532e-10,0.97,0.666,0.8915,0.8165
0.19,0.19,0.4222987763694164,7.639933005861343e-10,0.9645,0.6735,0.89,0.8175
0.2,0.2,0.4180370928606561,7.545612845295155e-10,0.9705,0.6805,0.8835,0.7835
0.21,0.21,0.4137571696459893,7.451292684728968e-10,0.968,0.66,0.886,0.806
0.22,0.22,0.4094588499247607,7.356972524162777e-10,0.9645,0.6495,0.879,0.803
0.23,0.23,0.40514197486564013,7.262652363596585e-10,0.957,0.6325,0.8765,0.807
0.24,0.24,0.40080638357140336,7.168332203030395e-10,0.9685,0.6625,0.872,0.788
