m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.0,0.0,0.5,9.432016056618942e-10,0.987,0.7285,0.9295,0.8615
0.01,0.01,0.5,9.432016056618942e-10,0.987,0.729,0.9375,0.8745
0.02,0.02,0.5,9.432016056618942e-10,0.981,0.7345,0.923,0.885
0.03,0.03,0.5,9.432016056618942e-10,0.9825,0.72,0.9275,0.876
0.04,0.04,0.5,9.432016056618942e-10,0.985,0.743,0.929,0.8735
0.05,0.05,0.5,9.432016056618942e-10,0.9835,0.7265,0.9185,0.884
0.06,0.06,0.5,9.432016056618942e-10,0.987,0.7385,0.934,0.8615
0.07,0.07,0.5,9.432016056618942e-10,0.984,0.74,0.9345,0.858
0.08,0.08,0.5,9.432016056618942e-10,0.9855,0.7245,0.9325,0.8685
0.09,0.09,0.5,9.432016056618942e-10,0.9865,0.7405,0.931,0.866
0.1,0.1,0.5,9.432016056618942e-10,0.984,0.7365,0.9195,0.8775
0.11,0.11,0.5,9.432016056618942e-10,0.983,0.7365,0.931,0.8785
0.12,0.12,0.5,9.432016056618942e-10,0.9865,0.738,0.925,0.881
0.13,0.13,0.5,9.432016056618942e-10,0.9825,0.7245,0.9235,0.889
0.14,0.14,0.5,9.432016056618942e-10,0.9835,0.716,0.9315,0.8785
0.15,0.15,0.5,9.432016056618942e-10,0.986,0.7315,0.935,0.8775
0.16,0.16,0.5,9.432016056618942e-10,0.9875,0.739,0.934,0.8755
0.17,0.17,0.5,9.432016056618942e-10,0.9815,0.7315,0.93,0.8825
0.18,0.18,0.5,9.432016056618942e-10,0.985,0.7025,0.9275,0.87
0.19,0.19,0.5,9.432016056618942e-10,0.981,0.742,0.9235,0.876
0.2,0.2,0.5,9.432016056618942e-10,0.986,0.732,0.926,0.88
0.21,0.21,0.5,9.432016056618942e-10,0.9855,0.73,0.9245,0.874
0.22,0.22,0.5,9.432016056618942e-10,0.9875,0.73,0.921,0.8665
0.23,0.23,0.5,9.432016056618942e-10,0.978,0.7135,0.9225,0.8685
0.24,0.24,0.5,9.432016056618942e-10,0.988,0.7275,0.93,0.871
0.25,0.25,0.5,9.432016056618942e-10,0.9795,0.747,0.9435,0.882
0.26,0.26,0.5,9.432016056618942e-10,0.984,0.721,0.9335,0.8775
0.27,0.27,0.5,9.432016056618942e-10,0.985,0.7385,0.9245,0.866
0.28,0.28,0.5,9.432016056618942e-10,0.979,0.7325,0.932,0.8765
0.29,0.29,0.5,9.432016056618942e-10,0.9885,0.745,0.9345,0.8825
0.3,0.3,0.5,9.432016056618942e-10,0.9845,0.732,0.931,0.885
0.31,0.31,0.5,9.432016056618942e-10,0.987,0.7345,0.922,0.8795
0.32,0.32,0.5,9.432016056618942e-10,0.9845,0.75,0.942,0.859
0.33,0.33,0.5,9.432016056618942e-10,0.985,0.721,0.9265,0.8825
0.34,0.34,0.5,9.432016056618942e-10,0.9885,0.73,0.93,0.8775
0.35,0.35,0.5,9.432016056618942e-10,0.986,0.7335,0.927,0.8785
0.36,0.36,0.5,9.432016056618942e-10,0.981,0.754,0.9255,0.879
0.37,0.37,0.5,9.432016056618942e-10,0.9885,0.7315,0.9325,0.886
0.38,0.38,0.5,9.432016056618942e-10,0.983,0.735,0.932,0.871
0.39,0.39,0.5,9.432016056618942e-10,0.9865,0.729,0.927,0.8805
0.4,0.4,0.5,9.432016056618942e-10,0.987,0.729,0.9265,0.861
0.41,0.41,0.5,9.432016056618942e-10,0.9835,0.728,0.93,0.8595
0.42,0.42,0.5,9.432016056618942e-10,0.985,0.713,0.9105,0.876
0.43,0.43,0.5,9.432016056618942e-10,0.9825,0.7065,0.935,0.882
0.44,0.44,0.5,9.432016056618942e-10,0.9845,0.7335,0.936,0.8835
0.45,0.45,0.5,9.432016056618942e-10,0.985,0.723,0.9335,0.8765
0.46,0.46,0.5,9.432016056618942e-10,0.9815,0.715,0.933,0.8615
0.47,0.47,0.5,9.432016056618942e-10,0.9835,0.7275,0.9315,0.8735
0.48,0.48,0.5,9.432016056618942e-10,0.991,0.7335,0.934,0.869
0.49,0.49,0.5,9.432016056618942e-10,0.982,0.737,0.929,0.88
0.5,0.5,0.5,9.432016056618942e-10,0.9845,0.735,0.921,0.872
0.51,0.51,0.5,9.432016056618942e-10,0.9875,0.723,0.935,0.876
0.52,0.52,0.5,9.432016056618942e-10,0.9865,0.747,0.9305,0.8625
0.53,0.53,0.5,9.432016056618942e-10,0.984,0.732,0.9225,0.861
0.54,0.54,0.5,9.432016056618942e-10,0.984,0.751,0.929,0.876
0.55,0.55,0.5,9.432016056618942e-10,0.982,0.7095,0.9375,0.8765
0.56,0.56,0.5,9.432016056618942e-10,0.9855,0.722,0.9345,0.8745
0.57,0.57,0.5,9.432016056618942e-10,0.9865,0.7325,0.926,0.882
0.58,0.58,0.5,9.432016056618942e-10,0.983,0.7145,0.924,0.8845
0.59,0.59,0.5,9.432016056618942e-10,0.985,0.7355,0.939,0.8745
0.6,0.6,0.5,9.432016056618942e-10,0.9885,0.7395,0.93,0.8655
0.61,0.61,0.5,9.432016056618942e-10,0.9835,0.7325,0.924,0.884
0.62,0.62,0.5,9.432016056618942e-10,0.9875,0.743,0.936,0.8715
0.63,0.63,0.5,9.432016056618942e-10,0.9835,0.7375,0.9255,0.8735
0.64,0.64,0.5,9.432016056618942e-10,0.985,0.7365,0.924,0.8705
0.65,0.65,0.5,9.432016056618942e-10,0.985,0.7155,0.927,0.8805
0.66,0.66,0.5,9.432016056618942e-10,0.985,0.7485,0.923,0.8685
0.67,0.67,0.5,9.432016056618942e-10,0.98,0.721,0.939,0.8735
0.68,0.68,0.5,9.432016056618942e-10,0.985,0.732,0.9295,0.875
0.69,0.69,0.5,9.432016056618942e-10,0.9835,0.7315,0.9405,0.866
0.7,0.7,0.5,9.432016056618942e-10,0.984,0.725,0.9235,0.862
0.71,0.71,0.5,9.432016056618942e-10,0.992,0.7395,0.944,0.866
0.72,0.72,0.5,9.432016056618942e-10,0.9835,0.7375,0.9325,0.877
0.73,0.73,0.5,9.432016056618942e-10,0.9825,0.708,0.93,0.878
0.74,0.74,0.5,9.432016056618942e-10,0.9875,0.7245,0.926,0.875
0.75,0.75,0.5,9.432016056618942e-10,0.9905,0.734,0.928,0.8765
0.76,0.76,0.5,9.432016056618942e-10,0.9895,0.7185,0.9225,0.865
0.77,0.77,0.5,9.432016056618942e-10,0.983,0.736,0.9285,0.8725
0.78,0.78,0.5,9.432016056618942e-10,0.9855,0.7285,0.9365,0.857
0.79,0.79,0.5,9.432016056618942e-10,0.984,0.7155,0.9195,0.879
0.8,0.8,0.5,9.432016056618942e-10,0.989,0.7165,0.921,0.8685
0.81,0.81,0.5,9.432016056618942e-10,0.981,0.72,0.923,0.8785
0.82,0.82,0.5,9.432016056618942e-10,0.986,0.7375,0.9375,0.873
0.83,0.83,0.5,9.432016056618942e-10,0.9835,0.7065,0.934,0.8705
0.84,0.84,0.5,9.432016056618942e-10,0.9855,0.7235,0.93,0.8855
0.85,0.85,0.5,9.432016056618942e-10,0.9805,0.7115,0.9275,0.868
0.86,0.86,0.5,9.432016056618942e-10,0.9875,0.7265,0.935,0.874
0.87,0.87,0.5,9.432016056618942e-10,0.987,0.7315,0.9275,0.8775
0.88,0.88,0.5,9.432016056618942e-10,0.9825,0.7475,0.932,0.8865
0.89,0.89,0.5,9.432016056618942e-10,0.984,0.749,0.925,0.875
0.9,0.9,0.5,9.432016056618942e-10,0.9855,0.7375,0.924,0.8755
0.91,0.91,0.5,9.432016056618942e-10,0.989,0.7145,0.924,0.885
0.92,0.92,0.5,9.432016056618942e-10,0.987,0.725,0.9275,0.863
0.93,0.93,0.5,9.432016056618942e-10,0.9845,0.747,0.926,0.8795
0.94,0.94,0.5,9.432016056618942e-10,0.985,0.7305,0.932,0.854
0.95,0.95,0.5,9.432016056618942e-10,0.9865,0.714,0.9265,0.8675
0.96,0.96,0.5,9.432016056618942e-10,0.982,0.7365,0.9285,0.867
0.97,0.97,0.5,9.432016056618942e-10,0.9805,0.725,0.934,0.869
0.98,0.98,0.5,9.432016056618942e-10,0.9825,0.7315,0.928,0.858
0.99,0.99,0.5,9.432016056618942e-10,0.985,0.7295,0.9335,0.878
0.1,0.2,0.5,9.432016056618942e-10,0.9855,0.733,0.9375,0.871
0.1,0.3,0.5,9.432016056618942e-10,0.984,0.7335,0.9325,0.8795
0.1,0.4,0.5,9.432016056618942e-10,0.9835,0.744,0.9325,0.873
0.1,0.5,0.5,9.432016056618942e-10,0.9875,0.7175,0.9225,0.889
0.1,0.6,0.5,9.432016056618942e-10,0.983,0.7435,0.9275,0.8705
0.1,0.7,0.5,9.432016056618942e-10,0.9825,0.74,0.926,0.87
0.1,0.8,0.5,9.432016056618942e-10,0.985,0.7195,0.9305,0.879
0.1,0.9,0.5,9.432016056618942e-10,0.9855,0.725,0.9365,0.8715
0.2,0.3,0.5,9.432016056618942e-10,0.9835,0.7215,0.923,0.869
0.2,0.4,0.5,9.432016056618942e-10,0.9865,0.718,0.932,0.8865
0.2,0.5,0.5,9.432016056618942e-10,0.9875,0.737,0.9345,0.8755
0.2,0.6,0.5,9.432016056618942e-10,0.992,0.7165,0.9305,0.8655
0.2,0.7,0.5,9.432016056618942e-10,0.986,0.728,0.932,0.892
0.2,0.8,0.5,9.432016056618942e-10,0.9855,0.718,0.934,0.874
0.2,0.9,0.5,9.432016056618942e-10,0.9865,0.722,0.929,0.882
0.3,0.4,0.5,9.432016056618942e-10,0.986,0.7305,0.925,0.877
0.3,0.5,0.5,9.432016056618942e-10,0.9825,0.713,0.9395,0.886
0.3,0.6,0.5,9.432016056618942e-10,0.9855,0.7195,0.9285,0.872
0.3,0.7,0.5,9.432016056618942e-10,0.9845,0.727,0.9305,0.8615
0.3,0.8,0.5,9.432016056618942e-10,0.981,0.73,0.9365,0.8845
0.3,0.9,0.5,9.432016056618942e-10,0.987,0.7295,0.9355,0.876
