m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.0,0.0,0.5,9.432016056618942e-10,0.9865,0.7315,0.929,0.8605
0.01,0.01,0.5,9.432016056618942e-10,0.9415,0.688,0.882,0.8355
0.02,0.02,0.5,9.432016056618942e-10,0.883,0.6655,0.831,0.7865
0.03,0.03,0.5,9.432016056618942e-10,0.848,0.648,0.787,0.74
0.04,0.04,0.5,9.432016056618942e-10,0.7855,0.6075,0.7375,0.712
0.05,0.05,0.5,9.432016056618942e-10,0.738,0.6,0.709,0.662
0.06,0.06,0.5,9.432016056618942e-10,0.7,0.5775,0.679,0.6445
0.07,0.07,0.5,9.432016056618942e-10,0.683,0.5535,0.6475,0.6165
0.08,0.08,0.5,9.432016056618942e-10,0.6685,0.559,0.635,0.5995
0.09,0.09,0.5,9.432016056618942e-10,0.638,0.542,0.608,0.5885
0.1,0.1,0.5,9.432016056618942e-10,0.6125,0.5085,0.5855,0.5455
0.11,0.11,0.5,9.432016056618942e-10,0.59,0.495,0.5775,0.531
0.12,0.12,0.5,9.432016056618942e-10,0.539,0.472,0.532,0.512
0.13,0.13,0.5,9.432016056618942e-10,0.549,0.464,0.5175,0.5265
0.14,0.14,0.5,9.432016056618942e-10,0.537,0.469,0.515,0.4965
0.15,0.15,0.5,9.432016056618942e-10,0.5255,0.4685,0.513,0.495
0.16,0.16,0.5,9.432016056618942e-10,0.509,0.434,0.48,0.486
0.17,0.17,0.5,9.432016056618942e-10,0.493,0.4305,0.4615,0.4665
0.18,0.18,0.5,9.432016056618942e-10,0.4895,0.441,0.4805,0.4655
0.19,0.19,0.5,9.432016056618942e-10,0.4755,0.424,0.464,0.4575
0.2,0.2,0.5,9.432016056618942e-10,0.4725,0.421,0.462,0.4525
0.21,0.21,0.5,9.432016056618942e-10,0.462,0.409,0.454,0.4455
0.22,0.22,0.5,9.432016056618942e-10,0.4385,0.387,0.427,0.405
0.23,0.23,0.5,9.432016056618942e-10,0.4275,0.391,0.4165,0.404
0.24,0.24,0.5,9.432016056618942e-10,0.4205,0.3875,0.409,0.4095
0.25,0.25,0.5,9.432016056618942e-10,0.42,0.368,0.392,0.401
0.26,0.26,0.5,9.432016056618942e-10,0.402,0.361,0.3915,0.3875
0.27,0.27,0.5,9.432016056618942e-10,0.391,0.355,0.386,0.3675
0.28,0.28,0.5,9.432016056618942e-10,0.378,0.353,0.385,0.36
0.29,0.29,0.5,9.432016056618942e-10,0.3725,0.3485,0.37,0.37
0.3,0.3,0.5,9.432016056618942e-10,0.3825,0.3455,0.3775,0.3685
0.31,0.31,0.5,9.432016056618942e-10,0.3855,0.347,0.3845,0.371
0.32,0.32,0.5,9.432016056618942e-10,0.369,0.338,0.3595,0.35
0.33,0.33,0.5,9.432016056618942e-10,0.3595,0.339,0.3595,0.3535
0.34,0.34,0.5,9.432016056618942e-10,0.355,0.3315,0.355,0.341
0.35,0.35,0.5,9.432016056618942e-10,0.3565,0.3215,0.354,0.339
0.36,0.36,0.5,9.432016056618942e-10,0.332,0.305,0.3275,0.317
0.37,0.37,0.5,9.432016056618942e-10,0.342,0.311,0.3295,0.3235
0.38,0.38,0.5,9.432016056618942e-10,0.3235,0.303,0.327,0.3165
0.39,0.39,0.5,9.432016056618942e-10,0.3115,0.2925,0.324,0.3065
0.4,0.4,0.5,9.432016056618942e-10,0.3365,0.308,0.329,0.331
0.41,0.41,0.5,9.432016056618942e-10,0.3225,0.2865,0.3175,0.312
0.42,0.42,0.5,9.432016056618942e-10,0.2995,0.274,0.3025,0.2915
0.43,0.43,0.5,9.432016056618942e-10,0.303,0.278,0.2995,0.2955
0.44,0.44,0.5,9.432016056618942e-10,0.298,0.2725,0.3025,0.297
0.45,0.45,0.5,9.432016056618942e-10,0.31,0.289,0.297,0.2945
0.46,0.46,0.5,9.432016056618942e-10,0.289,0.271,0.2815,0.2775
0.47,0.47,0.5,9.432016056618942e-10,0.279,0.256,0.2655,0.276
0.48,0.48,0.5,9.432016056618942e-10,0.2905,0.2535,0.278,0.276
0.49,0.49,0.5,9.432016056618942e-10,0.2955,0.2775,0.28,0.278
0.5,0.5,0.5,9.432016056618942e-10,0.287,0.2715,0.2895,0.2735
0.51,0.51,0.5,9.432016056618942e-10,0.264,0.2485,0.258,0.2445
0.52,0.52,0.5,9.432016056618942e-10,0.2755,0.256,0.269,0.272
0.53,0.53,0.5,9.432016056618942e-10,0.264,0.254,0.266,0.247
0.54,0.54,0.5,9.432016056618942e-10,0.2655,0.235,0.244,0.2515
0.55,0.55,0.5,9.432016056618942e-10,0.263,0.2345,0.254,0.241
0.56,0.56,0.5,9.432016056618942e-10,0.2505,0.2405,0.2545,0.247
0.57,0.57,0.5,9.432016056618942e-10,0.261,0.2335,0.2505,0.237
0.58,0.58,0.5,9.432016056618942e-10,0.258,0.2365,0.252,0.2525
0.59,0.59,0.5,9.432016056618942e-10,0.2365,0.2245,0.2375,0.229
0.6,0.6,0.5,9.432016056618942e-10,0.2305,0.2165,0.2355,0.224
0.61,0.61,0.5,9.432016056618942e-10,0.227,0.209,0.2315,0.216
0.62,0.62,0.5,9.432016056618942e-10,0.2305,0.2155,0.2345,0.21
0.63,0.63,0.5,9.432016056618942e-10,0.2245,0.201,0.2175,0.214
0.64,0.64,0.5,9.432016056618942e-10,0.2235,0.2105,0.2235,0.2265
0.65,0.65,0.5,9.432016056618942e-10,0.2025,0.1905,0.198,0.197
0.66,0.66,0.5,9.432016056618942e-10,0.212,0.2085,0.2135,0.2115
0.67,0.67,0.5,9.432016056618942e-10,0.2155,0.203,0.209,0.2015
0.68,0.68,0.5,9.432016056618942e-10,0.2155,0.1975,0.204,0.205
0.69,0.69,0.5,9.432016056618942e-10,0.196,0.191,0.1935,0.193
