m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.0,0.0,1.0,9.432016056618942e-10,1.0,0.9365,0.995,0.99
0.01,0.01,0.9936587309970014,9.337695896052756e-10,1.0,0.928,0.9975,0.99
0.02,0.02,0.9872769935436305,9.243375735486561e-10,0.9995,0.9315,0.9965,0.993
0.03,0.03,0.9808542678008313,9.14905557492037e-10,1.0,0.9365,0.997,0.992
0.04,0.04,0.9743900238483449,9.054735414354184e-10,1.0,0.9305,0.994,0.984
0.05,0.05,0.9678837214223394,8.960415253787996e-10,0.9995,0.926,0.9945,0.9895
0.06,0.06,0.9613348096444502,8.866095093221807e-10,1.0,0.928,0.993,0.988
0.07,0.07,0.954742726741888,8.771774932655611e-10,1.0,0.9325,0.9945,0.9905
0.08,0.08,0.9481068997582621,8.677454772089425e-10,1.0,0.927,0.995,0.989
0.09,0.09,0.9414267442547409,8.583134611523236e-10,0.999,0.9295,0.995,0.9885
0.1,0.1,0.934701664001166,8.488814450957049e-10,1.0,0.925,0.993,0.986
0.11,0.11,0.9279310506567137,8.394494290390862e-10,0.999,0.927,0.9905,0.9855
0.12,0.12,0.9211142834396617,8.300174129824674e-10,1.0,0.9195,0.9935,0.9905
0.13,0.13,0.9142507287858312,8.205853969258479e-10,0.9995,0.919,0.9935,0.988
0.14,0.14,0.9073397399952267,8.111533808692291e-10,1.0,0.9125,0.9885,0.9865
0.15,0.15,0.9003806568663714,8.017213648126102e-10,1.0,0.917,0.9925,0.984
0.16,0.16,0.89337280531784,7.922893487559912e-10,1.0,0.906,0.9925,0.989
0.17,0.17,0.88631549699643,7.828573326993724e-10,1.0,0.908,0.993,0.985
0.18,0.18,0.879208028871412,7.734253166427532e-10,0.9975,0.9085,0.991,0.982
0.19,0.19,0.8720496828142519,7.639933005861343e-10,0.999,0.9145,0.9905,0.9815
0.2,0.2,0.86483972516319,7.545612845295155e-10,0.9995,0.905,0.992,0.981
0.21,0.21,0.8575774062720014,7.451292684728968e-10,0.9995,0.9105,0.9925,0.9835
0.22,0.22,0.8502619600422529,7.356972524162777e-10,1.0,0.9015,0.9825,0.9825
0.23,0.23,0.8428926034383277,7.262652363596585e-10,1.0,0.891,0.9905,0.9765
0.24,0.24,0.8354685359844454,7.168332203030395e-10,0.999,0.8915,0.9865,0.982
0.25,0.25,0.8279889392428699,7.074012042464207e-10,0.999,0.889,0.987,0.979
0.26,0.26,0.8204529762724545,6.979691881898018e-10,0.999,0.8865,0.987,0.9745
0.27,0.27,0.8128597910666385,6.88537172133183e-10,0.9995,0.884,0.986,0.979
0.28,0.28,0.8052085079699279,6.791051560765638e-10,0.9985,0.8845,0.985,0.978
0.29,0.29,0.797498231071897,6.696731400199447e-10,0.9995,0.8945,0.985,0.9785
0.3,0.3,0.7897280435776312,6.602411239633259e-10,0.998,0.89,0.9855,0.9715
0.31,0.31,0.7818970071535286,6.508091079067071e-10,0.9985,0.8775,0.9845,0.9705
0.32,0.32,0.77400416124728,6.413770918500884e-10,0.999,0.865,0.9805,0.9665
0.33,0.33,0.7660485223807948,6.319450757934689e-10,0.999,0.878,0.984,0.9685
0.34,0.34,0.758029083414783,6.225130597368502e-10,0.998,0.861,0.986,0.969
0.35,0.35,0.7499448127836004,6.130810436802313e-10,0.9995,0.8675,0.9855,0.974
0.36,0.36,0.7417946536989195,6.036490276236127e-10,0.998,0.8585,0.989,0.96
0.37,0.37,0.7335775233206772,5.942170115669935e-10,1.0,0.8585,0.979,0.968
0.38,0.38,0.7252923118936785,5.847849955103744e-10,0.9975,0.8445,0.9755,0.9635
0.39,0.39,0.7169378818481357,5.753529794537554e-10,0.998,0.855,0.9765,0.9615
0.4,0.4,0.7085130668623149,5.659209633971366e-10,0.9985,0.8495,0.9805,0.96
0.41,0.41,0.7000166708853597,5.564889473405177e-10,0.9965,0.837,0.975,0.9505
0.42,0.42,0.6914474671182481,5.470569312838987e-10,0.998,0.846,0.9725,0.955
0.43,0.43,0.6828041969507085,5.376249152272798e-10,0.9955,0.831,0.9765,0.952
0.44,0.44,0.6740855688517898,5.281928991706607e-10,0.9965,0.817,0.976,0.9485
0.45,0.45,0.6652902572116409,5.187608831140418e-10,0.9965,0.8175,0.971,0.952
0.46,0.46,0.6564169011319041,5.093288670574231e-10,0.997,0.809,0.966,0.9455
0.47,0.47,0.6474641031619576,4.99896851000804e-10,0.9955,0.8255,0.9695,0.9405
0.48,0.48,0.6384304279780763,4.904648349441852e-10,0.9965,0.814,0.963,0.937
0.49,0.49,0.6293144010023839,4.810328188875658e-10,0.9945,0.803,0.966,0.935
0.5,0.5,0.6201145069582774,4.716008028309471e-10,0.993,0.802,0.9665,0.932
0.51,0.51,0.6108291883587842,4.6216878677432804e-10,0.995,0.802,0.964,0.929
0.52,0.52,0.6014568439240734,4.527367707177092e-10,0.9925,0.79,0.9595,0.9225
0.53,0.53,0.5919958269241085,4.4330475466109035e-10,0.9925,0.7785,0.968,0.911
0.54,0.54,0.5824444434421473,4.3387273860447116e-10,0.99,0.7895,0.955,0.921
0.55,0.55,0.5728009505545073,4.2444072254785245e-10,0.9935,0.777,0.9555,0.9055
0.56,0.56,0.563063554421708,4.1500870649123327e-10,0.99,0.763,0.949,0.9035
0.57,0.57,0.5532304082857555,4.0557669043461455e-10,0.991,0.7645,0.9525,0.911
0.58,0.58,0.543299610367985,3.961446743779958e-10,0.995,0.7315,0.9395,0.9025
0.59,0.59,0.5332692016614697,3.867126583213766e-10,0.988,0.7595,0.9505,0.8965
0.6,0.6,0.5231371636115855,3.772806422647577e-10,0.989,0.7605,0.941,0.8915
0.61,0.61,0.5129014156778685,3.6784862620813885e-10,0.9805,0.746,0.9465,0.8965
0.62,0.62,0.5025598127697941,3.584166101515198e-10,0.9885,0.722,0.9305,0.8895
0.63,0.63,0.49211014254857327,3.489845940949009e-10,0.9865,0.709,0.9275,0.866
0.64,0.64,0.48155012258647906,3.395525780382819e-10,0.982,0.704,0.916,0.8485
0.65,0.65,0.470877397374573,3.3012056198166295e-10,0.9865,0.696,0.9165,0.847
0.66,0.66,0.46008953516903,3.206885459250442e-10,0.981,0.683,0.9245,0.845
0.67,0.67,0.4491840246654848,3.112565298684251e-10,0.9815,0.695,0.9125,0.836
0.68,0.68,0.43815827149003633,3.0182451381180613e-10,0.9755,0.672,0.889,0.8285
0.69,0.69,0.4270095944946357,2.923924977551873e-10,0.97,0.687,0.898,0.818
0.7,0.7,0.4157352218436286,2.8296048169856833e-10,0.9685,0.6685,0.888,0.819
0.71,0.71,0.40433228687716233,2.7352846564194936e-10,0.957,0.6395,0.8815,0.814
0.72,0.72,0.39279782373601113,2.6409644958533033e-10,0.964,0.6295,0.867,0.792
0.73,0.73,0.3811287627311192,2.5466443352871156e-10,0.9605,0.6295,0.8585,0.758
0.74,0.74,0.3693219254397696,2.452324174720926e-10,0.962,0.619,0.8465,0.7525
0.75,0.75,0.35737401950878844,2.3580040141547356e-10,0.947,0.6195,0.833,0.7135
0.76,0.76,0.34528163314351795,2.263683853588546e-10,0.9335,0.595,0.82,0.7285
0.77,0.77,0.333041229259485,2.1693636930223558e-10,0.925,0.5845,0.812,0.699
0.78,0.78,0.3206491392716836,2.0750435324561663e-10,0.9225,0.5615,0.8145,0.691
0.79,0.79,0.30810155649418186,1.980723371889978e-10,0.9175,0.5645,0.7805,0.6655
0.8,0.8,0.2953945291203476,1.8864032113237886e-10,0.9115,0.5465,0.775,0.6595
0.81,0.81,0.2825239527513005,1.7920830507575986e-10,0.894,0.5335,0.7495,0.6425
0.82,0.82,0.2694855624372465,1.6977628901914096e-10,0.871,0.502,0.724,0.612
0.83,0.83,0.25627492419307796,1.603442729625221e-10,0.8725,0.5115,0.704,0.5865
0.84,0.84,0.2428874259460127,1.5091225690590317e-10,0.8715,0.47,0.684,0.5595
0.85,0.85,0.2293182678690199,1.4148024084928417e-10,0.845,0.45,0.6565,0.539
0.86,0.86,0.21556245204933774,1.3204822479266517e-10,0.824,0.4565,0.595,0.527
0.87,0.87,0.20161477143643658,1.226162087360463e-10,0.7805,0.4275,0.599,0.4785
0.88,0.88,0.1874697980082618,1.131841926794273e-10,0.7785,0.373,0.554,0.4775
0.89,0.89,0.17312187008846106,1.0375217662280832e-10,0.729,0.385,0.5115,0.424
0.9,0.9,0.1585650787404291,9.432016056618943e-11,0.7,0.3455,0.4905,0.385
0.91,0.91,0.14379325315634003,8.488814450957043e-11,0.671,0.3655,0.4345,0.3565
0.92,0.92,0.12879994495075112,7.545612845295153e-11,0.593,0.3185,0.3805,0.3195
0.93,0.93,0.11357841125871503,6.602411239633256e-11,0.5605,0.2955,0.3375,0.2915
0.94,0.94,0.0981215965275241,5.659209633971372e-11,0.514,0.262,0.2935,0.252
0.95,0.95,0.08242211287901122,4.716008028309475e-11,0.442,0.2405,0.2535,0.22
0.96,0.96,0.06647221890559728,3.7728064226475805e-11,0.3655,0.208,0.1865,0.1805
0.97,0.97,0.05026379674774627,2.829604816985686e-11,0.274,0.1785,0.1445,0.147
0.98,0.98,0.033788327282916586,1.8864032113237902e-11,0.2025,0.1465,0.105,0.0975
0.99,0.99,0.017036863236176657,9.432016056618951e-12,0.1135,0.1065,0.0575,0.064
0.1,0.2,1.8648397251631903,8.488814450957049e-10,1.0,0.998,1.0,1.0
0.1,0.3,2.789728043577632,8.488814450957049e-10,1.0,1.0,1.0,1.0
0.1,0.4,3.708513066862316,8.488814450957049e-10,1.0,1.0,1.0,1.0
0.1,0.5,4.620114506958276,8.488814450957049e-10,1.0,1.0,1.0,1.0
0.1,0.6,5.523137163611584,8.488814450957049e-10,1.0,1.0,1.0,1.0
