m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.0,0.0,1.0,9.432016056618942e-10,0.9995,0.937,0.993,0.9885
0.01,0.01,1.0,9.432016056618942e-10,1.0,0.9335,0.995,0.9915
0.02,0.02,1.0,9.432016056618942e-10,0.9995,0.9295,0.996,0.994
0.03,0.03,1.0,9.432016056618942e-10,1.0,0.933,0.997,0.987
0.04,0.04,1.0,9.432016056618942e-10,1.0,0.936,0.997,0.994
0.05,0.05,1.0,9.432016056618942e-10,1.0,0.944,0.996,0.9885
0.06,0.06,1.0,9.432016056618942e-10,1.0,0.9335,0.9955,0.987
0.07,0.07,1.0,9.432016056618942e-10,1.0,0.9335,0.9955,0.9885
0.08,0.08,1.0,9.432016056618942e-10,1.0,0.932,0.997,0.9895
0.09,0.09,1.0,9.432016056618942e-10,1.0,0.938,0.9955,0.9945
0.1,0.1,1.0,9.432016056618942e-10,1.0,0.931,0.9955,0.99
0.11,0.11,1.0,9.432016056618942e-10,1.0,0.935,0.995,0.987
0.12,0.12,1.0,9.432016056618942e-10,1.0,0.934,0.9945,0.9905
0.13,0.13,1.0,9.432016056618942e-10,1.0,0.934,0.997,0.9945
0.14,0.14,1.0,9.432016056618942e-10,1.0,0.9425,0.997,0.985
0.15,0.15,1.0,9.432016056618942e-10,0.9995,0.9345,0.994,0.992
0.16,0.16,1.0,9.432016056618942e-10,1.0,0.944,0.9955,0.9905
0.17,0.17,1.0,9.432016056618942e-10,0.9995,0.938,0.993,0.993
0.18,0.18,1.0,9.432016056618942e-10,1.0,0.9335,0.997,0.9895
0.19,0.19,1.0,9.432016056618942e-10,1.0,0.9305,0.994,0.9955
0.2,0.2,1.0,9.432016056618942e-10,1.0,0.9415,0.9965,0.9935
0.21,0.21,1.0,9.432016056618942e-10,1.0,0.9375,0.9965,0.9905
0.22,0.22,1.0,9.432016056618942e-10,0.999,0.9365,0.9955,0.991
0.23,0.23,1.0,9.432016056618942e-10,1.0,0.9375,0.9965,0.986
0.24,0.24,1.0,9.432016056618942e-10,1.0,0.9245,0.9965,0.989
0.25,0.25,1.0,9.432016056618942e-10,0.9995,0.935,0.9975,0.992
0.26,0.26,1.0,9.432016056618942e-10,0.9995,0.9355,0.995,0.9895
0.27,0.27,1.0,9.432016056618942e-10,1.0,0.928,0.996,0.992
0.28,0.28,1.0,9.432016056618942e-10,1.0,0.9255,0.9935,0.991
0.29,0.29,1.0,9.432016056618942e-10,1.0,0.9365,0.994,0.9915
0.3,0.3,1.0,9.432016056618942e-10,1.0,0.9295,0.995,0.99
0.31,0.31,1.0,9.432016056618942e-10,1.0,0.935,0.994,0.989
0.32,0.32,1.0,9.432016056618942e-10,1.0,0.939,0.9965,0.9905
0.33,0.33,1.0,9.432016056618942e-10,1.0,0.9405,0.9965,0.994
0.34,0.34,1.0,9.432016056618942e-10,0.9995,0.9305,0.996,0.99
0.35,0.35,1.0,9.432016056618942e-10,1.0,0.933,0.994,0.9955
0.36,0.36,1.0,9.432016056618942e-10,0.9995,0.933,0.997,0.9905
0.37,0.37,1.0,9.432016056618942e-10,1.0,0.9315,0.9965,0.988
0.38,0.38,1.0,9.432016056618942e-10,0.9995,0.926,0.9955,0.992
0.39,0.39,1.0,9.432016056618942e-10,1.0,0.934,0.993,0.994
0.4,0.4,1.0,9.432016056618942e-10,0.9995,0.938,0.9945,0.993
0.41,0.41,1.0,9.432016056618942e-10,1.0,0.9335,0.998,0.989
0.42,0.42,1.0,9.432016056618942e-10,0.9995,0.9365,0.996,0.989
0.43,0.43,1.0,9.432016056618942e-10,1.0,0.929,0.9945,0.988
0.44,0.44,1.0,9.432016056618942e-10,1.0,0.94,0.9965,0.991
0.45,0.45,1.0,9.432016056618942e-10,1.0,0.9445,0.996,0.995
0.46,0.46,1.0,9.432016056618942e-10,1.0,0.94,0.9955,0.989
0.47,0.47,1.0,9.432016056618942e-10,1.0,0.936,0.9985,0.992
0.48,0.48,1.0,9.432016056618942e-10,1.0,0.926,0.995,0.9875
0.49,0.49,1.0,9.432016056618942e-10,1.0,0.942,0.993,0.9905
0.5,0.5,1.0,9.432016056618942e-10,1.0,0.9315,0.9935,0.9925
0.51,0.51,1.0,9.432016056618942e-10,1.0,0.9455,0.9925,0.99
0.52,0.52,1.0,9.432016056618942e-10,1.0,0.9385,0.9955,0.9925
0.53,0.53,1.0,9.432016056618942e-10,1.0,0.939,0.9945,0.9915
0.54,0.54,1.0,9.432016056618942e-10,0.999,0.934,0.9955,0.994
0.55,0.55,1.0,9.432016056618942e-10,1.0,0.9365,0.9975,0.9925
0.56,0.56,1.0,9.432016056618942e-10,1.0,0.9315,0.9975,0.994
0.57,0.57,1.0,9.432016056618942e-10,1.0,0.9505,0.9945,0.9905
0.58,0.58,1.0,9.432016056618942e-10,1.0,0.936,0.9975,0.994
0.59,0.59,1.0,9.432016056618942e-10,1.0,0.9315,0.996,0.9895
0.6,0.6,1.0,9.432016056618942e-10,1.0,0.9405,0.9975,0.9895
0.61,0.61,1.0,9.432016056618942e-10,1.0,0.939,0.993,0.989
0.62,0.62,1.0,9.432016056618942e-10,1.0,0.9475,0.996,0.992
0.63,0.63,1.0,9.432016056618942e-10,0.9995,0.935,0.9955,0.995
0.64,0.64,1.0,9.432016056618942e-10,0.9995,0.9345,0.994,0.988
0.65,0.65,1.0,9.432016056618942e-10,1.0,0.9395,0.9945,0.9905
0.66,0.66,1.0,9.432016056618942e-10,1.0,0.947,0.997,0.991
0.67,0.67,1.0,9.432016056618942e-10,1.0,0.9365,0.995,0.9915
0.68,0.68,1.0,9.432016056618942e-10,1.0,0.932,0.997,0.99
0.69,0.69,1.0,9.432016056618942e-10,0.9985,0.9345,0.9945,0.9905
0.7,0.7,1.0,9.432016056618942e-10,0.9995,0.934,0.9945,0.9915
0.71,0.71,1.0,9.432016056618942e-10,0.9995,0.93,0.995,0.992
0.72,0.72,1.0,9.432016056618942e-10,1.0,0.935,0.994,0.9905
0.73,0.73,1.0,9.432016056618942e-10,0.9995,0.945,0.997,0.991
0.74,0.74,1.0,9.432016056618942e-10,0.9995,0.934,0.9945,0.9925
0.75,0.75,1.0,9.432016056618942e-10,1.0,0.9335,0.9965,0.994
0.76,0.76,1.0,9.432016056618942e-10,1.0,0.9325,0.997,0.992
0.77,0.77,1.0,9.432016056618942e-10,1.0,0.936,0.9965,0.9895
0.78,0.78,1.0,9.432016056618942e-10,1.0,0.934,0.995,0.99
0.79,0.79,1.0,9.432016056618942e-10,1.0,0.9325,0.996,0.9925
0.8,0.8,1.0,9.432016056618942e-10,1.0,0.9375,0.9935,0.987
0.81,0.81,1.0,9.432016056618942e-10,1.0,0.938,0.995,0.9845
0.82,0.82,1.0,9.432016056618942e-10,1.0,0.93,0.9905,0.991
0.83,0.83,1.0,9.432016056618942e-10,1.0,0.939,0.996,0.991
0.84,0.84,1.0,9.432016056618942e-10,0.9995,0.927,0.9985,0.9935
0.85,0.85,1.0,9.432016056618942e-10,0.9995,0.944,0.9975,0.991
0.86,0.86,1.0,9.432016056618942e-10,1.0,0.931,0.996,0.9905
0.87,0.87,1.0,9.432016056618942e-10,1.0,0.928,0.9965,0.9925
0.88,0.88,1.0,9.432016056618942e-10,1.0,0.943,0.994,0.989
0.89,0.89,1.0,9.432016056618942e-10,0.9995,0.945,0.994,0.989
0.9,0.9,1.0,9.432016056618942e-10,1.0,0.948,0.995,0.989
0.91,0.91,1.0,9.432016056618942e-10,1.0,0.945,0.9965,0.9905
0.92,0.92,1.0,9.432016056618942e-10,1.0,0.939,0.996,0.993
0.93,0.93,1.0,9.432016056618942e-10,0.9995,0.9405,0.9965,0.9905
0.94,0.94,1.0,9.432016056618942e-10,1.0,0.933,0.998,0.991
0.95,0.95,1.0,9.432016056618942e-10,1.0,0.9325,0.996,0.9905
0.96,0.96,1.0,9.432016056618942e-10,0.999,0.9295,0.996,0.986
0.97,0.97,1.0,9.432016056618942e-10,1.0,0.9465,0.9925,0.993
0.98,0.98,1.0,9.432016056618942e-10,0.9995,0.938,0.997,0.99
0.99,0.99,1.0,9.432016056618942e-10,0.9995,0.9335,0.996,0.99
0.1,0.2,1.0,9.432016056618942e-10,1.0,0.934,0.995,0.991
0.1,0.3,1.0,9.432016056618942e-10,0.9995,0.9275,0.9955,0.987
0.1,0.4,1.0,9.432016056618942e-10,1.0,0.9375,0.994,0.991
0.1,0.5,1.0,9.432016056618942e-10,1.0,0.9395,0.9925,0.992
0.1,0.6,1.0,9.432016056618942e-10,1.0,0.936,0.9975,0.987
0.1,0.7,1.0,9.432016056618942e-10,0.999,0.9355,0.994,0.991
0.1,0.8,1.0,9.432016056618942e-10,1.0,0.9345,0.9955,0.9905
0.1,0.9,1.0,9.432016056618942e-10,1.0,0.9335,0.9975,0.993
0.2,0.3,1.0,9.432016056618942e-10,1.0,0.9415,0.9945,0.991
0.2,0.4,1.0,9.432016056618942e-10,0.9995,0.9335,0.996,0.9915
0.2,0.5,1.0,9.432016056618942e-10,0.9995,0.9435,0.9965,0.9925
0.2,0.6,1.0,9.432016056618942e-10,1.0,0.9315,0.9955,0.9945
0.2,0.7,1.0,9.432016056618942e-10,1.0,0.9365,0.9975,0.9945
0.2,0.8,1.0,9.432016056618942e-10,0.9995,0.9285,0.9955,0.9885
0.2,0.9,1.0,9.432016056618942e-10,1.0,0.94,0.9975,0.992
0.3,0.4,1.0,9.432016056618942e-10,0.9995,0.933,0.9965,0.9905
0.3,0.5,1.0,9.432016056618942e-10,1.0,0.933,0.996,0.9915
0.3,0.6,1.0,9.432016056618942e-10,0.9995,0.937,0.993,0.9885
0.3,0.7,1.0,9.432016056618942e-10,1.0,0.929,0.9965,0.9895
0.3,0.8,1.0,9.432016056618942e-10,1.0,0.933,0.998,0.9945
0.3,0.9,1.0,9.432016056618942e-10,1.0,0.9325,0.9935,0.989
0.4,0.5,1.0,9.432016056618942e-10,0.9995,0.939,0.997,0.9915
0.4,0.6,1.0,9.432016056618942e-10,1.0,0.939,0.996,0.9885
0.4,0.7,1.0,9.432016056618942e-10,1.0,0.9335,0.9965,0.9925
0.4,0.8,1.0,9.432016056618942e-10,1.0,0.94,0.996,0.991
0.4,0.9,1.0,9.432016056618942e-10,1.0,0.9415,0.9965,0.9885
0.5,0.6,1.0,9.432016056618942e-10,0.9995,0.941,0.9955,0.991
0.5,0.7,1.0,9.432016056618942e-10,0.9985,0.9305,0.9915,0.994
0.5,0.8,1.0,9.432016056618942e-10,0.9995,0.943,0.9965,0.9935
0.5,0.9,1.0,9.432016056618942e-10,1.0,0.935,0.996,0.9885
0.6,0.7,1.0,9.432016056618942e-10,1.0,0.934,0.9965,0.9895
0.6,0.8,1.0,9.432016056618942e-10,1.0,0.9295,0.9945,0.9885
0.6,0.9,1.0,9.432016056618942e-10,1.0,0.938,0.996,0.9925
0.7,0.8,1.0,9.432016056618942e-10,0.9995,0.9335,0.9955,0.989
0.7,0.9,1.0,9.432016056618942e-10,1.0,0.9415,0.9935,0.9905
0.8,0.9,1.0,9.432016056618942e-10,1.0,0.9355,0.996,0.989
