m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.0,0.0,1.0,9.432016056618942e-10,0.9995,0.9305,0.9955,0.989
0.01,0.01,1.0063647580360118,9.527288946079735e-10,0.9765,0.879,0.9665,0.95
0.02,0.02,1.0128179179349637,9.624506180223406e-10,0.925,0.834,0.9075,0.8915
0.03,0.03,1.0193614715465262,9.723727893421588e-10,0.8735,0.7935,0.867,0.8495
0.04,0.04,1.0259974746609668,9.825016725644732e-10,0.8055,0.7465,0.795,0.789
0.05,0.05,1.032728049717885,9.92843795433573e-10,0.763,0.712,0.7635,0.755
0.06,0.06,1.0395553886588504,1.0034059634701004e-09,0.7405,0.6855,0.729,0.7175
0.07,0.07,1.046481755933204,1.0141952749052624e-09,0.7275,0.6775,0.7165,0.702
0.08,0.08,1.053509491666951,1.0252191365890157e-09,0.681,0.6375,0.674,0.666
0.09,0.09,1.0606410150054733,1.0364852809471368e-09,0.6365,0.6025,0.6335,0.6235
0.1,0.1,1.067878827641591,1.0480017840687711e-09,0.6265,0.595,0.614,0.6035
0.11,0.11,1.0752255175414156,1.0597770850133643e-09,0.6015,0.5665,0.599,0.6075
0.12,0.12,1.0826837628814319,1.0718200064339708e-09,0.5905,0.5765,0.6005,0.6025
0.13,0.13,1.0902563362112878,1.084139776622867e-09,0.5695,0.5415,0.5545,0.555
0.14,0.14,1.0979461088579963,1.096746053095226e-09,0.558,0.5315,0.5585,0.5605
0.15,0.15,1.1057560555884811,1.1096489478375227e-09,0.552,0.5215,0.5515,0.5385
0.16,0.16,1.1136892595488546,1.122859054359398e-09,0.5355,0.5115,0.5275,0.525
0.17,0.17,1.1217489175003088,1.1363874767010773e-09,0.5,0.4895,0.4945,0.5005
0.18,0.18,1.1299383453732408,1.1502458605632856e-09,0.4995,0.4735,0.4955,0.497
0.19,0.19,1.1382609841630418,1.1644464267430794e-09,0.4875,0.457,0.485,0.4785
0.2,0.2,1.1467204061930463,1.1790020070773678e-09,0.4605,0.4655,0.46,0.4645
0.21,0.21,1.1553203217723849,1.193926083116322e-09,0.454,0.4345,0.4475,0.452
0.22,0.22,1.1640645862789334,1.209232827771659e-09,0.428,0.4225,0.4395,0.4295
0.23,0.23,1.172957207700318,1.2249371502102522e-09,0.4655,0.4495,0.454,0.456
0.24,0.24,1.1820023546689093,1.2410547442919664e-09,0.4435,0.4255,0.4415,0.442
0.25,0.25,1.1912043650301103,1.2576021408825257e-09,0.43,0.421,0.4255,0.422
0.26,0.26,1.2005677549869136,1.2745967644079646e-09,0.4045,0.4065,0.413,0.41
0.27,0.27,1.210097228867802,1.2920569940573896e-09,0.3915,0.3855,0.3935,0.385
0.28,0.28,1.2197976895696174,1.3100022300859646e-09,0.404,0.401,0.399,0.401
0.29,0.29,1.229674249732078,1.3284529657209785e-09,0.4,0.3955,0.396,0.3855
0.3,0.3,1.2397322437062512,1.3474308652312782e-09,0.3915,0.392,0.3915,0.379
0.31,0.31,1.2499772403855614,1.3669588487853542e-09,0.366,0.3655,0.3645,0.3815
0.32,0.32,1.2604150569749348,1.3870611847969038e-09,0.374,0.369,0.3715,0.3655
0.33,0.33,1.2710517737815223,1.4077635905401404e-09,0.3735,0.362,0.3705,0.3655
0.34,0.34,1.281893750119208,1.4290933419119613e-09,0.363,0.348,0.364,0.366
0.35,0.35,1.2929476414289993,1.4510793933259914e-09,0.348,0.344,0.3475,0.354
0.36,0.36,1.3042204177284589,1.4737525088467094e-09,0.34,0.341,0.3475,0.344
0.37,0.37,1.3157193835158085,1.4971454058125309e-09,0.3205,0.313,0.3195,0.324
0.38,0.38,1.3274521992684325,1.5212929123578938e-09,0.339,0.323,0.3385,0.3335
0.39,0.39,1.3394269046914016,1.546232140429335e-09,0.335,0.333,0.3325,0.339
0.4,0.4,1.3516519438896397,1.572002676103157e-09,0.3215,0.309,0.313,0.32
0.41,0.41,1.364136192657816,1.598646789257448e-09,0.3105,0.3135,0.312,0.308
0.42,0.42,1.3768889881052373,1.6262096649343007e-09,0.3195,0.3115,0.3215,0.3225
0.43,0.43,1.3899201608595144,1.6547396590559546e-09,0.3195,0.3065,0.323,0.3185
0.44,0.44,1.4032400701229404,1.6842885815390964e-09,0.305,0.297,0.3045,0.3075
0.45,0.45,1.4168596418901167,1.714912010294353e-09,0.3065,0.3085,0.307,0.3035
0.46,0.46,1.4307904106749971,1.7466696401146193e-09,0.3115,0.3045,0.3145,0.3125
0.47,0.47,1.4450445651410395,1.7796256710601779e-09,0.282,0.2795,0.2755,0.28
0.48,0.48,1.4596349980807526,1.8138492416574884e-09,0.2905,0.288,0.2825,0.284
0.49,0.49,1.4745753612514936,1.8494149130625379e-09,0.295,0.2875,0.2845,0.2885
0.5,0.5,1.4898801256447494,1.8864032113237885e-09,0.2835,0.286,0.2845,0.2855
0.51,0.51,1.505564647847714,1.924901236044681e-09,0.2685,0.266,0.2645,0.266
0.52,0.52,1.5216452432511254,1.9650033451289463e-09,0.2615,0.2485,0.262,0.2605
0.53,0.53,1.538139266968456,2.0068119269402007e-09,0.2725,0.265,0.276,0.2695
0.54,0.54,1.5550652034618424,2.0504382731780314e-09,0.2445,0.2435,0.25,0.243
0.55,0.55,1.5724427660232765,2.096003568137544e-09,0.268,0.2705,0.2665,0.268
0.56,0.56,1.5902930074403716,2.1436400128679416e-09,0.2655,0.2605,0.2675,0.2735
0.57,0.57,1.6086384433899386,2.1934921061904513e-09,0.245,0.2365,0.2485,0.243
0.58,0.58,1.6275031903569406,2.245718108718796e-09,0.2385,0.251,0.242,0.2355
0.59,0.59,1.6469131201796612,2.300491721126571e-09,0.2425,0.2525,0.241,0.245
0.6,0.6,1.666896033685178,2.3580040141547357e-09,0.2375,0.239,0.2415,0.235
