m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.0,0.0,0.0004999999999999449,-0.0,0.0010000000000000009,0.0034999999999999476,0.0004999999999999449,-0.0020000000000000018,0.0040000000000000036,0.0030000000000000027,-0.0,0.000500000000000056,-0.0010000000000000009,0.0020000000000000018
0.01,0.01,-0.020499999999999963,-0.0605,-0.03149999999999997,-0.05500000000000005,-0.019499999999999962,-0.05149999999999999,-0.03400000000000003,-0.04200000000000004,-0.020499999999999963,-0.05500000000000005,-0.03400000000000003,-0.05349999999999999
0.02,0.02,-0.08500000000000008,-0.10299999999999998,-0.09199999999999997,-0.10950000000000004,-0.07850000000000001,-0.09750000000000003,-0.09150000000000003,-0.10599999999999998,-0.08500000000000008,-0.10499999999999998,-0.09250000000000003,-0.10850000000000004
0.03,0.03,-0.137,-0.15150000000000008,-0.13849999999999996,-0.15049999999999997,-0.13049999999999995,-0.14350000000000007,-0.13949999999999996,-0.14500000000000002,-0.137,-0.15500000000000003,-0.13849999999999996,-0.15549999999999997
0.04,0.04,-0.17049999999999998,-0.1905,-0.1855,-0.18999999999999995,-0.1905,-0.20350000000000001,-0.19399999999999995,-0.21699999999999997,-0.17049999999999998,-0.18499999999999994,-0.1825,-0.17999999999999994
0.05,0.05,-0.24050000000000005,-0.24349999999999994,-0.258,-0.259,-0.22199999999999998,-0.236,-0.22650000000000003,-0.2290000000000001,-0.2400000000000001,-0.22550000000000003,-0.25650000000000006,-0.26
0.06,0.06,-0.268,-0.256,-0.266,-0.28200000000000003,-0.25249999999999995,-0.25149999999999995,-0.26450000000000007,-0.26049999999999995,-0.268,-0.25050000000000006,-0.26349999999999996,-0.28300000000000003
0.07,0.07,-0.27749999999999997,-0.27149999999999996,-0.2835000000000001,-0.279,-0.28500000000000003,-0.255,-0.2825000000000001,-0.28400000000000003,-0.27749999999999997,-0.27049999999999996,-0.2825000000000001,-0.281
0.08,0.08,-0.33099999999999996,-0.3125,-0.3325,-0.3315,-0.32099999999999995,-0.28700000000000003,-0.32699999999999996,-0.3245,-0.33099999999999996,-0.3075,-0.3305,-0.33099999999999996
0.09,0.09,-0.366,-0.32899999999999996,-0.3640000000000001,-0.37650000000000006,-0.346,-0.31799999999999995,-0.3345,-0.36150000000000004,-0.365,-0.3205,-0.36350000000000005,-0.37050000000000005
