m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.0,0.0,2.0,9.432016056618942e-10,1.0,0.9995,1.0,1.0
0.01,0.01,2.0,9.432016056618942e-10,0.987,0.958,0.983,0.9825
0.02,0.02,2.0,9.432016056618942e-10,0.9305,0.9,0.9335,0.926
0.03,0.03,2.0,9.432016056618942e-10,0.871,0.85,0.869,0.8655
0.04,0.04,2.0,9.432016056618942e-10,0.8275,0.803,0.823,0.826
0.05,0.05,2.0,9.432016056618942e-10,0.787,0.764,0.7835,0.7775
0.06,0.06,2.0,9.432016056618942e-10,0.747,0.735,0.749,0.7435
0.07,0.07,2.0,9.432016056618942e-10,0.716,0.702,0.7085,0.7065
0.08,0.08,2.0,9.432016056618942e-10,0.683,0.665,0.6815,0.683
0.09,0.09,2.0,9.432016056618942e-10,0.6525,0.647,0.6565,0.6555
0.1,0.1,2.0,9.432016056618942e-10,0.6555,0.635,0.661,0.6555
0.11,0.11,2.0,9.432016056618942e-10,0.6115,0.5985,0.609,0.613
0.12,0.12,2.0,9.432016056618942e-10,0.6035,0.595,0.601,0.6015
0.13,0.13,2.0,9.432016056618942e-10,0.569,0.551,0.5625,0.564
0.14,0.14,2.0,9.432016056618942e-10,0.543,0.531,0.5335,0.535
0.15,0.15,2.0,9.432016056618942e-10,0.536,0.514,0.5355,0.5355
0.16,0.16,2.0,9.432016056618942e-10,0.5365,0.5315,0.5365,0.533
0.17,0.17,2.0,9.432016056618942e-10,0.493,0.4865,0.489,0.492
0.18,0.18,2.0,9.432016056618942e-10,0.4805,0.4775,0.4835,0.4835
0.19,0.19,2.0,9.432016056618942e-10,0.472,0.4635,0.475,0.471
0.2,0.2,2.0,9.432016056618942e-10,0.4625,0.453,0.464,0.46
0.21,0.21,2.0,9.432016056618942e-10,0.451,0.4515,0.454,0.454
0.22,0.22,2.0,9.432016056618942e-10,0.4455,0.4415,0.451,0.45
0.23,0.23,2.0,9.432016056618942e-10,0.4475,0.4425,0.4455,0.4485
0.24,0.24,2.0,9.432016056618942e-10,0.439,0.4365,0.4435,0.436
0.25,0.25,2.0,9.432016056618942e-10,0.408,0.406,0.414,0.41
0.26,0.26,2.0,9.432016056618942e-10,0.3945,0.3885,0.396,0.393
0.27,0.27,2.0,9.432016056618942e-10,0.4095,0.4015,0.4085,0.406
0.28,0.28,2.0,9.432016056618942e-10,0.4095,0.4065,0.407,0.4125
0.29,0.29,2.0,9.432016056618942e-10,0.4075,0.394,0.3945,0.396
0.3,0.3,2.0,9.432016056618942e-10,0.383,0.371,0.385,0.3795
0.31,0.31,2.0,9.432016056618942e-10,0.3655,0.361,0.363,0.362
0.32,0.32,2.0,9.432016056618942e-10,0.383,0.375,0.378,0.378
0.33,0.33,2.0,9.432016056618942e-10,0.365,0.37,0.3695,0.368
0.34,0.34,2.0,9.432016056618942e-10,0.3835,0.379,0.3865,0.3845
0.35,0.35,2.0,9.432016056618942e-10,0.349,0.3435,0.3525,0.345
0.36,0.36,2.0,9.432016056618942e-10,0.355,0.3365,0.3535,0.3545
0.37,0.37,2.0,9.432016056618942e-10,0.3415,0.3475,0.347,0.342
0.38,0.38,2.0,9.432016056618942e-10,0.3365,0.3245,0.332,0.3315
0.39,0.39,2.0,9.432016056618942e-10,0.342,0.3365,0.34,0.345
0.4,0.4,2.0,9.432016056618942e-10,0.3465,0.328,0.3475,0.344
0.41,0.41,2.0,9.432016056618942e-10,0.3155,0.3135,0.316,0.3105
0.42,0.42,2.0,9.432016056618942e-10,0.3295,0.324,0.327,0.323
0.43,0.43,2.0,9.432016056618942e-10,0.2915,0.2875,0.294,0.2945
0.44,0.44,2.0,9.432016056618942e-10,0.3105,0.3075,0.3125,0.306
0.45,0.45,2.0,9.432016056618942e-10,0.294,0.294,0.2925,0.2945
0.46,0.46,2.0,9.432016056618942e-10,0.292,0.286,0.2865,0.2885
0.47,0.47,2.0,9.432016056618942e-10,0.3005,0.2955,0.302,0.305
0.48,0.48,2.0,9.432016056618942e-10,0.291,0.291,0.2885,0.2825
0.49,0.49,2.0,9.432016056618942e-10,0.2815,0.288,0.2885,0.288
0.5,0.5,2.0,9.432016056618942e-10,0.2745,0.2835,0.285,0.283
0.51,0.51,2.0,9.432016056618942e-10,0.277,0.2775,0.2775,0.2785
0.52,0.52,2.0,9.432016056618942e-10,0.2805,0.277,0.279,0.279
0.53,0.53,2.0,9.432016056618942e-10,0.2795,0.27,0.28,0.2775
0.54,0.54,2.0,9.432016056618942e-10,0.266,0.266,0.266,0.273
0.55,0.55,2.0,9.432016056618942e-10,0.242,0.237,0.24,0.242
0.56,0.56,2.0,9.432016056618942e-10,0.2635,0.258,0.2645,0.264
0.57,0.57,2.0,9.432016056618942e-10,0.267,0.264,0.2625,0.2645
0.58,0.58,2.0,9.432016056618942e-10,0.252,0.2505,0.255,0.25
