m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.0,0.0,0.24999999999999997,9.432016056618942e-10,1.0,1.0,1.0,1.0
0.01,0.01,0.2477855577623473,9.337695896052756e-10,1.0,1.0,1.0,1.0
0.02,0.02,0.24556620088507242,9.243375735486561e-10,1.0,1.0,1.0,1.0
0.03,0.03,0.24334190750495657,9.14905557492037e-10,1.0,1.0,1.0,1.0
0.04,0.04,0.24111265561256523,9.054735414354184e-10,1.0,1.0,1.0,1.0
0.05,0.05,0.23887842305094018,8.960415253787996e-10,1.0,1.0,1.0,1.0
0.06,0.06,0.23663918751428026,8.866095093221807e-10,1.0,1.0,1.0,1.0
0.07,0.07,0.23439492654660343,8.771774932655611e-10,1.0,1.0,1.0,1.0
0.08,0.08,0.2321456175403962,8.677454772089425e-10,1.0,1.0,1.0,1.0
0.09,0.09,0.229891237735247,8.583134611523236e-10,1.0,1.0,1.0,1.0
0.1,0.1,0.2276317642164649,8.488814450957049e-10,1.0,1.0,1.0,1.0
0.11,0.11,0.2253671739136807,8.394494290390862e-10,1.0,1.0,1.0,1.0
0.12,0.12,0.22309744359943548,8.300174129824674e-10,1.0,1.0,1.0,1.0
0.13,0.13,0.22082254988774924,8.205853969258479e-10,1.0,1.0,1.0,1.0
0.14,0.14,0.21854246923267656,8.111533808692291e-10,1.0,1.0,1.0,1.0
0.15,0.15,0.21625717792684404,8.017213648126102e-10,1.0,1.0,1.0,1.0
0.16,0.16,0.2139666520999698,7.922893487559912e-10,1.0,1.0,1.0,1.0
0.17,0.17,0.21167086771737015,7.828573326993724e-10,1.0,1.0,1.0,1.0
0.18,0.18,0.2093698005784441,7.734253166427532e-10,1.0,1.0,1.0,1.0
0.19,0.19,0.20706342631514338,7.639933005861343e-10,1.0,1.0,1.0,1.0
0.2,0.2,0.2047517203904249,7.545612845295155e-10,1.0,1.0,1.0,1.0
0.21,0.21,0.20243465809668282,7.451292684728968e-10,1.0,1.0,1.0,1.0
0.22,0.22,0.20011221455416608,7.356972524162777e-10,1.0,1.0,1.0,1.0
0.23,0.23,0.19778436470937377,7.262652363596585e-10,1.0,1.0,1.0,1.0
0.24,0.24,0.19545108333343392,7.168332203030395e-10,1.0,1.0,1.0,1.0
0.25,0.25,0.19311234502046387,7.074012042464207e-10,1.0,1.0,1.0,1.0
0.26,0.26,0.19076812418590924,6.979691881898018e-10,1.0,1.0,1.0,1.0
0.27,0.27,0.18841839506486482,6.88537172133183e-10,1.0,1.0,1.0,1.0
0.28,0.28,0.18606313171037664,6.791051560765638e-10,1.0,1.0,1.0,1.0
0.29,0.29,0.18370230799172077,6.696731400199447e-10,1.0,1.0,1.0,1.0
0.3,0.3,0.1813358975926658,6.602411239633259e-10,1.0,1.0,1.0,1.0
0.31,0.31,0.17896387400971184,6.508091079067071e-10,1.0,1.0,1.0,1.0
0.32,0.32,0.17658621055030907,6.413770918500884e-10,1.0,1.0,1.0,1.0
0.33,0.33,0.17420288033105638,6.319450757934689e-10,1.0,1.0,1.0,1.0
0.34,0.34,0.17181385627587667,6.225130597368502e-10,1.0,1.0,1.0,1.0
0.35,0.35,0.1694191111141721,6.130810436802313e-10,1.0,1.0,1.0,1.0
0.36,0.36,0.16701861737895565,6.036490276236127e-10,1.0,1.0,1.0,1.0
0.37,0.37,0.1646123474049608,5.942170115669935e-10,1.0,1.0,1.0,1.0
0.38,0.38,0.1622002733267292,5.847849955103744e-10,1.0,1.0,1.0,1.0
0.39,0.39,0.159782367076674,5.753529794537554e-10,1.0,1.0,1.0,1.0
0.4,0.4,0.1573586003831194,5.659209633971366e-10,1.0,1.0,1.0,1.0
0.41,0.41,0.1549289447683191,5.564889473405177e-10,1.0,1.0,1.0,1.0
0.42,0.42,0.15249337154644674,5.470569312838987e-10,1.0,1.0,1.0,1.0
0.43,0.43,0.1500518518215649,5.376249152272798e-10,1.0,1.0,1.0,1.0
0.44,0.44,0.1476043564855684,5.281928991706607e-10,1.0,1.0,1.0,1.0
0.45,0.45,0.14515085621610022,5.187608831140418e-10,1.0,1.0,1.0,1.0
0.46,0.46,0.14269132147444627,5.093288670574231e-10,1.0,1.0,1.0,1.0
0.47,0.47,0.14022572250339935,4.99896851000804e-10,1.0,1.0,1.0,1.0
0.48,0.48,0.1377540293251003,4.904648349441852e-10,1.0,1.0,1.0,1.0
0.49,0.49,0.13527621173885068,4.810328188875658e-10,1.0,1.0,1.0,1.0
0.5,0.5,0.13279223931889825,4.716008028309471e-10,1.0,1.0,1.0,1.0
0.51,0.51,0.13030208141219576,4.6216878677432804e-10,1.0,1.0,1.0,1.0
0.52,0.52,0.12780570713613162,4.527367707177092e-10,1.0,1.0,1.0,1.0
0.53,0.53,0.12530308537623067,4.4330475466109035e-10,1.0,1.0,1.0,1.0
0.54,0.54,0.12279418478382828,4.3387273860447116e-10,1.0,1.0,1.0,1.0
0.55,0.55,0.12027897377371442,4.2444072254785245e-10,1.0,1.0,1.0,1.0
0.56,0.56,0.11775742052174641,4.1500870649123327e-10,1.0,1.0,1.0,1.0
0.57,0.57,0.11522949296243468,4.0557669043461455e-10,1.0,1.0,1.0,1.0
