m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.0,0.0,0.5,9.432016056618942e-10,1.0,1.0,1.0,1.0
0.01,0.01,0.5039665605676084,9.527288946079735e-10,1.0,1.0,1.0,1.0
0.02,0.02,0.5079979177547899,9.624506180223406e-10,1.0,1.0,1.0,1.0
0.03,0.03,0.5120957059628883,9.723727893421588e-10,1.0,1.0,1.0,1.0
0.04,0.04,0.5162616161383375,9.825016725644732e-10,1.0,1.0,1.0,1.0
0.05,0.05,0.5204973982856399,9.92843795433573e-10,1.0,1.0,1.0,1.0
0.06,0.06,0.524804864117896,1.0034059634701004e-09,1.0,1.0,1.0,1.0
0.07,0.07,0.5291858898538833,1.0141952749052624e-09,1.0,1.0,1.0,1.0
0.08,0.08,0.5336424191713875,1.0252191365890157e-09,1.0,1.0,1.0,1.0
0.09,0.09,0.5381764663272125,1.0364852809471368e-09,1.0,1.0,1.0,1.0
0.1,0.1,0.5427901194551419,1.0480017840687711e-09,1.0,1.0,1.0,1.0
0.11,0.11,0.5474855440539914,1.0597770850133643e-09,1.0,1.0,1.0,1.0
0.12,0.12,0.5522649866788762,1.0718200064339708e-09,1.0,1.0,1.0,1.0
0.13,0.13,0.5571307788498734,1.084139776622867e-09,1.0,1.0,1.0,1.0
0.14,0.14,0.5620853411934147,1.096746053095226e-09,1.0,1.0,1.0,1.0
0.15,0.15,0.5671311878330225,1.1096489478375227e-09,1.0,1.0,1.0,1.0
0.16,0.16,0.5722709310473791,1.122859054359398e-09,1.0,1.0,1.0,1.0
0.17,0.17,0.5775072862152558,1.1363874767010773e-09,1.0,1.0,1.0,1.0
0.18,0.18,0.5828430770684829,1.1502458605632856e-09,1.0,1.0,1.0,1.0
0.19,0.19,0.5882812412759917,1.1644464267430794e-09,1.0,1.0,1.0,1.0
0.2,0.2,0.5938248363839753,1.1790020070773678e-09,1.0,1.0,1.0,1.0
0.21,0.21,0.5994770461394302,1.193926083116322e-09,1.0,1.0,1.0,1.0
0.22,0.22,0.605241187226804,1.209232827771659e-09,1.0,1.0,1.0,1.0
0.23,0.23,0.6111207164501729,1.2249371502102522e-09,1.0,1.0,1.0,1.0
0.24,0.24,0.6171192383963631,1.2410547442919664e-09,1.0,1.0,1.0,1.0
0.25,0.25,0.623240513617734,1.2576021408825257e-09,1.0,1.0,1.0,1.0
0.26,0.26,0.6294884673770176,1.2745967644079646e-09,1.0,1.0,1.0,1.0
0.27,0.27,0.6358671990006552,1.2920569940573896e-09,1.0,1.0,1.0,1.0
0.28,0.28,0.6423809918915998,1.3100022300859646e-09,1.0,1.0,1.0,1.0
0.29,0.29,0.6490343242575735,1.3284529657209785e-09,1.0,1.0,1.0,1.0
0.3,0.3,0.6558318806163518,1.3474308652312782e-09,1.0,1.0,1.0,1.0
0.31,0.31,0.6627785641459,1.3669588487853542e-09,1.0,1.0,1.0,1.0
0.32,0.32,0.6698795099541458,1.3870611847969038e-09,1.0,1.0,1.0,1.0
0.33,0.33,0.6771400993509752,1.4077635905401404e-09,1.0,1.0,1.0,1.0
0.34,0.34,0.6845659752137845,1.4290933419119613e-09,1.0,1.0,1.0,1.0
0.35,0.35,0.6921630585477133,1.4510793933259914e-09,1.0,1.0,1.0,1.0
0.36,0.36,0.6999375663527393,1.4737525088467094e-09,1.0,1.0,1.0,1.0
0.37,0.37,0.7078960309222104,1.4971454058125309e-09,1.0,1.0,1.0,1.0
0.38,0.38,0.7160453207114356,1.5212929123578938e-09,1.0,1.0,1.0,1.0
0.39,0.39,0.7243926629307728,1.546232140429335e-09,1.0,1.0,1.0,1.0
0.4,0.4,0.7329456680356207,1.572002676103157e-09,1.0,1.0,1.0,1.0
0.41,0.41,0.7417123563060676,1.598646789257448e-09,1.0,1.0,1.0,1.0
0.42,0.42,0.7507011867321132,1.6262096649343007e-09,1.0,1.0,1.0,1.0
0.43,0.43,0.7599210884467502,1.6547396590559546e-09,1.0,1.0,1.0,1.0
0.44,0.44,0.7693814949793283,1.6842885815390964e-09,1.0,1.0,1.0,1.0
0.45,0.45,0.7790923816360812,1.714912010294353e-09,1.0,1.0,1.0,1.0
0.46,0.46,0.7890643063542452,1.7466696401146193e-09,1.0,1.0,1.0,1.0
0.47,0.47,0.7993084544216629,1.7796256710601779e-09,1.0,1.0,1.0,1.0
0.48,0.48,0.8098366875061592,1.8138492416574884e-09,1.0,1.0,1.0,1.0
0.49,0.49,0.8206615974995355,1.8494149130625379e-09,1.0,1.0,1.0,1.0
0.5,0.5,0.8317965657511865,1.8864032113237885e-09,1.0,1.0,1.0,1.0
0.51,0.51,0.8432558283478445,1.924901236044681e-09,1.0,1.0,1.0,1.0
0.52,0.52,0.8550545481909494,1.9650033451289463e-09,1.0,1.0,1.0,1.0
0.53,0.53,0.8672088947341142,2.0068119269402007e-09,1.0,1.0,1.0,1.0
0.54,0.54,0.8797361323732651,2.0504382731780314e-09,1.0,1.0,1.0,1.0
0.55,0.55,0.8926547186350446,2.096003568137544e-09,1.0,1.0,1.0,1.0
0.56,0.56,0.9059844134896071,2.1436400128679416e-09,1.0,1.0,1.0,1.0
0.57,0.57,0.9197464013276998,2.1934921061904513e-09,1.0,1.0,1.0,1.0
0.58,0.58,0.9339634273959949,2.245718108718796e-09,1.0,1.0,1.0,1.0
0.59,0.59,0.9486599507877075,2.300491721126571e-09,1.0,1.0,1.0,1.0
0.6,0.6,0.9638623164485162,2.3580040141547357e-09,1.0,1.0,1.0,1.0
0.61,0.61,0.9795989490944182,2.418465655543318e-09,1.0,1.0,1.0,1.0
0.62,0.62,0.9959005724654698,2.4821094885839328e-09,1.0,1.0,1.0,1.0
0.63,0.63,1.012800457979408,2.549193528815929e-09,1.0,1.0,1.0,1.0
0.64,0.64,1.0303347076294318,2.620004460171929e-09,1.0,1.0,1.0,1.0
0.65,0.65,1.0485425769268546,2.6948617304625565e-09,1.0,1.0,1.0,1.0
0.66,0.66,1.067466844867599,2.7741223695938075e-09,1.0,1.0,1.0,1.0
0.67,0.67,1.087154239361446,2.8581866838239225e-09,1.0,1.0,1.0,1.0
0.68,0.68,1.1076559283825544,2.9475050176934193e-09,1.0,1.0,1.0,1.0
0.69,0.69,1.1290280893818594,3.0425858247157868e-09,1.0,1.0,1.0,1.0
0.7,0.7,1.151332572383167,3.144005352206314e-09,1.0,1.0,1.0,1.0
0.71,0.71,1.174637675848032,3.2524193298686015e-09,1.0,1.0,1.0,1.0
0.72,0.72,1.1990190590869703,3.3685771630781927e-09,1.0,1.0,1.0,1.0
0.73,0.73,1.2245608210535006,3.4933392802292386e-09,1.0,1.0,1.0,1.0
0.74,0.74,1.2513567832473245,3.627698483314977e-09,1.0,1.0,1.0,1.0
0.75,0.75,1.279512024820788,3.772806422647577e-09,1.0,1.0,1.0,1.0
0.76,0.76,1.3091447317397615,3.930006690257893e-09,1.0,1.0,1.0,1.0
0.77,0.77,1.3403884402961195,4.100876546356063e-09,1.0,1.0,1.0,1.0
0.78,0.78,1.3733947802821322,4.287280025735883e-09,1.0,1.0,1.0,1.0
0.79,0.79,1.4083368574706785,4.491436217437592e-09,1.0,1.0,1.0,1.0
0.8,0.8,1.4454134627977873,4.716008028309473e-09,1.0,1.0,1.0,1.0
0.81,0.81,1.484854363020298,4.9642189771678656e-09,1.0,1.0,1.0,1.0
0.82,0.82,1.5269270241871216,5.240008920343855e-09,1.0,1.0,1.0,1.0
0.83,0.83,1.5719452600623416,5.548244739187613e-09,1.0,1.0,1.0,1.0
0.84,0.84,1.6202805068592918,5.895010035386838e-09,1.0,1.0,1.0,1.0
0.85,0.85,1.6723767431240653,6.288010704412628e-09,1.0,1.0,1.0,1.0
0.86,0.86,1.7287705667477342,6.7371543261563854e-09,1.0,1.0,1.0,1.0
0.87,0.87,1.790118727408753,7.255396966629954e-09,1.0,1.0,1.0,1.0
0.88,0.88,1.8572367041933644,7.860013380515785e-09,1.0,1.0,1.0,1.0
0.89,0.89,1.9311541118777813,8.574560051471766e-09,1.0,1.0,1.0,1.0
0.9,0.9,2.0131965930227986,9.432016056618946e-09,1.0,1.0,1.0,1.0
0.91,0.91,2.105111008564644,1.0480017840687717e-08,1.0,1.0,1.0,1.0
0.92,0.92,2.209264679503782,1.1790020070773682e-08,1.0,1.0,1.0,1.0
0.93,0.93,2.328978378063511,1.3474308652312787e-08,1.0,1.0,1.0,1.0
0.94,0.94,2.4691177568309195,1.5720026761031554e-08,1.0,1.0,1.0,1.0
0.95,0.95,2.6372289029188076,1.8864032113237872e-08,1.0,1.0,1.0,1.0
0.96,0.96,2.8459571932510883,2.358004014154734e-08,1.0,1.0,1.0,1.0
0.97,0.97,3.1190131619132098,3.144005352206311e-08,1.0,1.0,1.0,1.0
0.98,0.98,3.509635064032687,4.716008028309468e-08,1.0,1.0,1.0,1.0
