m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.0,0.0,0.25,2.2500450006750097e-10,0.946,0.7285,0.8795,0.804
0.01,0.01,0.25,2.2500450006750097e-10,0.898,0.7145,0.855,0.7935
0.02,0.02,0.25,2.2500450006750097e-10,0.86,0.6925,0.821,0.767
0.03,0.03,0.25,2.2500450006750097e-10,0.8375,0.691,0.8065,0.7685
0.04,0.04,0.25,2.2500450006750097e-10,0.8005,0.6855,0.786,0.726
0.05,0.05,0.25,2.2500450006750097e-10,0.793,0.685,0.785,0.736
0.06,0.06,0.25,2.2500450006750097e-10,0.7665,0.6605,0.7385,0.712
0.07,0.07,0.25,2.2500450006750097e-10,0.737,0.6465,0.7285,0.7065
0.08,0.08,0.25,2.2500450006750097e-10,0.73,0.6445,0.7205,0.6885
0.09,0.09,0.25,2.2500450006750097e-10,0.7325,0.64,0.711,0.694
0.1,0.1,0.25,2.2500450006750097e-10,0.72,0.6215,0.691,0.6665
0.11,0.11,0.25,2.2500450006750097e-10,0.7225,0.6425,0.6865,0.669
0.12,0.12,0.25,2.2500450006750097e-10,0.697,0.6255,0.681,0.6475
0.13,0.13,0.25,2.2500450006750097e-10,0.679,0.595,0.6715,0.635
0.14,0.14,0.25,2.2500450006750097e-10,0.6585,0.602,0.652,0.631
0.15,0.15,0.25,2.2500450006750097e-10,0.675,0.592,0.6505,0.63
0.16,0.16,0.25,2.2500450006750097e-10,0.673,0.607,0.64,0.632
0.17,0.17,0.25,2.2500450006750097e-10,0.645,0.5955,0.6235,0.615
0.18,0.18,0.25,2.2500450006750097e-10,0.651,0.5805,0.6355,0.6095
0.19,0.19,0.25,2.2500450006750097e-10,0.652,0.565,0.6155,0.606
0.2,0.2,0.25,2.2500450006750097e-10,0.6105,0.5595,0.603,0.581
0.21,0.21,0.25,2.2500450006750097e-10,0.636,0.561,0.617,0.598
0.22,0.22,0.25,2.2500450006750097e-10,0.6075,0.5485,0.5925,0.577
0.23,0.23,0.25,2.2500450006750097e-10,0.5985,0.5315,0.5825,0.565
0.24,0.24,0.25,2.2500450006750097e-10,0.6135,0.538,0.588,0.56
0.25,0.25,0.25,2.2500450006750097e-10,0.597,0.5415,0.589,0.579
0.26,0.26,0.25,2.2500450006750097e-10,0.579,0.543,0.571,0.557
0.27,0.27,0.25,2.2500450006750097e-10,0.5905,0.548,0.577,0.554
0.28,0.28,0.25,2.2500450006750097e-10,0.579,0.5185,0.5635,0.5335
0.29,0.29,0.25,2.2500450006750097e-10,0.585,0.543,0.569,0.5525
0.3,0.3,0.25,2.2500450006750097e-10,0.574,0.5305,0.56,0.538
0.31,0.31,0.25,2.2500450006750097e-10,0.558,0.5015,0.5375,0.504
0.32,0.32,0.25,2.2500450006750097e-10,0.544,0.5035,0.5435,0.519
0.33,0.33,0.25,2.2500450006750097e-10,0.548,0.4915,0.5255,0.527
0.34,0.34,0.25,2.2500450006750097e-10,0.5575,0.4895,0.5355,0.534
0.35,0.35,0.25,2.2500450006750097e-10,0.523,0.4855,0.5125,0.5075
0.36,0.36,0.25,2.2500450006750097e-10,0.509,0.4645,0.488,0.4675
0.37,0.37,0.25,2.2500450006750097e-10,0.5325,0.494,0.5155,0.489
0.38,0.38,0.25,2.2500450006750097e-10,0.53,0.4975,0.5155,0.4975
0.39,0.39,0.25,2.2500450006750097e-10,0.512,0.486,0.521,0.505
0.4,0.4,0.25,2.2500450006750097e-10,0.521,0.4545,0.5085,0.4885
0.41,0.41,0.25,2.2500450006750097e-10,0.486,0.4535,0.4755,0.4605
0.42,0.42,0.25,2.2500450006750097e-10,0.519,0.4475,0.489,0.488
0.43,0.43,0.25,2.2500450006750097e-10,0.4985,0.4655,0.47,0.466
0.44,0.44,0.25,2.2500450006750097e-10,0.4905,0.4435,0.457,0.464
0.45,0.45,0.25,2.2500450006750097e-10,0.48,0.436,0.4685,0.4565
0.46,0.46,0.25,2.2500450006750097e-10,0.481,0.432,0.4695,0.4615
0.47,0.47,0.25,2.2500450006750097e-10,0.461,0.416,0.4455,0.436
0.48,0.48,0.25,2.2500450006750097e-10,0.478,0.437,0.4495,0.4665
0.49,0.49,0.25,2.2500450006750097e-10,0.465,0.418,0.4415,0.428
0.5,0.5,0.25,2.2500450006750097e-10,0.456,0.4125,0.428,0.4345
0.51,0.51,0.25,2.2500450006750097e-10,0.466,0.425,0.441,0.4415
0.52,0.52,0.25,2.2500450006750097e-10,0.4645,0.421,0.437,0.443
0.53,0.53,0.25,2.2500450006750097e-10,0.453,0.424,0.4355,0.424
0.54,0.54,0.25,2.2500450006750097e-10,0.449,0.396,0.4525,0.4225
0.55,0.55,0.25,2.2500450006750097e-10,0.4295,0.3825,0.419,0.399
0.56,0.56,0.25,2.2500450006750097e-10,0.442,0.405,0.431,0.4165
0.57,0.57,0.25,2.2500450006750097e-10,0.428,0.3855,0.4145,0.404
0.58,0.58,0.25,2.2500450006750097e-10,0.435,0.3995,0.4265,0.3955
0.59,0.59,0.25,2.2500450006750097e-10,0.417,0.376,0.399,0.396
0.6,0.6,0.25,2.2500450006750097e-10,0.4185,0.3715,0.409,0.386
0.61,0.61,0.25,2.2500450006750097e-10,0.4065,0.3615,0.388,0.3835
0.62,0.62,0.25,2.2500450006750097e-10,0.408,0.375,0.383,0.372
0.63,0.63,0.25,2.2500450006750097e-10,0.4035,0.3445,0.379,0.3605
0.64,0.64,0.25,2.2500450006750097e-10,0.377,0.3455,0.357,0.3365
0.65,0.65,0.25,2.2500450006750097e-10,0.3765,0.342,0.349,0.359
0.66,0.66,0.25,2.2500450006750097e-10,0.3775,0.3365,0.362,0.3535
