m,M,difference_laplace_error_M_minus_MoS,difference_gaussian_error_M_minus_MoS,difference_exponential_error_M_minus_MoS,difference_exponential_mechanism_error_M_minus_MoS,difference_laplace_error_M_minus_MoSChangeEpsDelta,difference_gaussian_error_M_minus_MoSChangeEpsDelta,difference_exponential_error_M_minus_MoSChangeEpsDelta,difference_exponential_mechanism_error_M_minus_MoSChangeEpsDelta,difference_laplace_error_MChangeEpsDelta_minus_MoS,difference_gaussian_error_MChangeEpsDelta_minus_MoS,difference_exponential_error_MChangeEpsDelta_minus_MoS,difference_exponential_mechanism_error_MChangeEpsDelta_minus_MoS
0.0,0.0,-0.0020000000000000018,-0.023499999999999965,0.007000000000000006,0.0010000000000000009,0.00649999999999995,-0.018000000000000016,0.0040000000000000036,0.007499999999999951,-0.010000000000000009,-0.0,0.009499999999999953,-0.0030000000000000027
0.01,0.01,-0.03699999999999992,0.01550000000000007,-0.03049999999999997,-0.041999999999999926,-0.04599999999999993,-0.021499999999999964,-0.027000000000000024,-0.045499999999999985,-0.03649999999999998,0.010000000000000009,-0.03199999999999992,-0.014000000000000012
0.02,0.02,-0.09049999999999991,-0.0050000000000000044,-0.045499999999999985,-0.031500000000000083,-0.07099999999999995,-0.014000000000000012,-0.04749999999999999,-0.028000000000000025,-0.07199999999999995,-0.006500000000000061,-0.061999999999999944,-0.027000000000000024
0.03,0.03,-0.12050000000000005,-0.03400000000000003,-0.09099999999999997,-0.08099999999999996,-0.11450000000000005,-0.025500000000000078,-0.09299999999999997,-0.05399999999999994,-0.09800000000000009,-0.01849999999999996,-0.0774999999999999,-0.056499999999999995
0.04,0.04,-0.13549999999999995,-0.035499999999999976,-0.13749999999999996,-0.056499999999999995,-0.14500000000000002,-0.028999999999999915,-0.126,-0.0655,-0.13349999999999995,-0.015499999999999958,-0.10999999999999999,-0.07500000000000007
0.05,0.05,-0.16049999999999998,-0.035499999999999976,-0.12549999999999994,-0.09300000000000008,-0.14549999999999996,-0.013000000000000012,-0.12149999999999994,-0.06700000000000006,-0.14700000000000002,-0.03149999999999997,-0.12349999999999994,-0.09400000000000008
0.06,0.06,-0.1635000000000001,-0.07899999999999996,-0.13949999999999996,-0.10849999999999993,-0.15650000000000008,-0.05349999999999999,-0.14100000000000001,-0.09249999999999992,-0.15200000000000002,-0.051999999999999935,-0.127,-0.09199999999999997
0.07,0.07,-0.19799999999999995,-0.05049999999999999,-0.18299999999999994,-0.12250000000000005,-0.18699999999999994,-0.03949999999999998,-0.15849999999999997,-0.12050000000000005,-0.1885,-0.05349999999999999,-0.1755,-0.08700000000000008
0.08,0.08,-0.20350000000000001,-0.08499999999999996,-0.13949999999999996,-0.14300000000000002,-0.20699999999999996,-0.05449999999999999,-0.14749999999999996,-0.13549999999999995,-0.1945,-0.0595,-0.1479999999999999,-0.10950000000000004
0.09,0.09,-0.22050000000000003,-0.056499999999999995,-0.1905,-0.15700000000000003,-0.2015,-0.06999999999999995,-0.16749999999999998,-0.127,-0.20650000000000002,-0.04749999999999999,-0.19499999999999995,-0.127
0.1,0.1,-0.21499999999999997,-0.08250000000000002,-0.1745,-0.16300000000000003,-0.20950000000000002,-0.061999999999999944,-0.16999999999999993,-0.14800000000000002,-0.20299999999999996,-0.07100000000000006,-0.1685000000000001,-0.12
0.11,0.11,-0.2360000000000001,-0.10750000000000004,-0.2044999999999999,-0.14450000000000007,-0.23550000000000004,-0.10399999999999998,-0.20999999999999996,-0.13550000000000006,-0.2220000000000001,-0.049000000000000044,-0.1805,-0.12250000000000005
0.12,0.12,-0.2320000000000001,-0.09450000000000003,-0.21750000000000003,-0.16849999999999998,-0.21950000000000003,-0.08799999999999997,-0.20599999999999996,-0.12450000000000006,-0.2230000000000001,-0.06900000000000006,-0.19300000000000006,-0.139
0.13,0.13,-0.27549999999999997,-0.09999999999999998,-0.21350000000000002,-0.17400000000000004,-0.246,-0.09049999999999991,-0.20850000000000002,-0.16200000000000003,-0.24449999999999994,-0.09499999999999997,-0.19700000000000006,-0.13349999999999995
0.14,0.14,-0.26549999999999996,-0.125,-0.237,-0.16500000000000004,-0.274,-0.13250000000000006,-0.25050000000000006,-0.17400000000000004,-0.249,-0.07550000000000001,-0.20450000000000002,-0.12850000000000006
0.15,0.15,-0.2775000000000001,-0.132,-0.23649999999999993,-0.19799999999999995,-0.25450000000000006,-0.10599999999999998,-0.22399999999999998,-0.1755,-0.259,-0.08250000000000002,-0.2015,-0.15649999999999997
0.16,0.16,-0.2835000000000001,-0.125,-0.236,-0.18700000000000006,-0.267,-0.11349999999999993,-0.21299999999999997,-0.18000000000000005,-0.276,-0.09200000000000008,-0.21550000000000002,-0.14300000000000002
0.17,0.17,-0.274,-0.11299999999999999,-0.24550000000000005,-0.21550000000000002,-0.28600000000000003,-0.10099999999999998,-0.24950000000000006,-0.19300000000000006,-0.242,-0.09450000000000003,-0.21400000000000008,-0.15549999999999997
0.18,0.18,-0.2945,-0.15100000000000002,-0.27449999999999997,-0.20350000000000001,-0.29300000000000004,-0.132,-0.277,-0.19999999999999996,-0.266,-0.09250000000000003,-0.22099999999999997,-0.15149999999999997
0.19,0.19,-0.30999999999999994,-0.123,-0.25649999999999995,-0.21099999999999997,-0.3065,-0.13349999999999995,-0.263,-0.19999999999999996,-0.26749999999999996,-0.09150000000000003,-0.20650000000000002,-0.15900000000000003
0.2,0.2,-0.32799999999999996,-0.15500000000000003,-0.27249999999999996,-0.23250000000000004,-0.29600000000000004,-0.12750000000000006,-0.25950000000000006,-0.21150000000000002,-0.2925,-0.13549999999999995,-0.22449999999999992,-0.18200000000000005
0.21,0.21,-0.3155,-0.14849999999999997,-0.29400000000000004,-0.24249999999999994,-0.3265,-0.13149999999999995,-0.278,-0.21099999999999997,-0.29399999999999993,-0.10199999999999998,-0.274,-0.17500000000000004
0.22,0.22,-0.3415,-0.18100000000000005,-0.28700000000000003,-0.22249999999999992,-0.32100000000000006,-0.13650000000000007,-0.25649999999999995,-0.21199999999999997,-0.29300000000000004,-0.11299999999999999,-0.252,-0.15400000000000003
0.23,0.23,-0.31399999999999995,-0.15149999999999997,-0.2825,-0.24250000000000005,-0.3295,-0.15449999999999997,-0.2769999999999999,-0.238,-0.2729999999999999,-0.12349999999999994,-0.24250000000000005,-0.1775
0.24,0.24,-0.3354999999999999,-0.19400000000000006,-0.3095,-0.22350000000000003,-0.33199999999999996,-0.14650000000000007,-0.2945,-0.20950000000000002,-0.2869999999999999,-0.14350000000000007,-0.24749999999999994,-0.16500000000000004
0.25,0.25,-0.346,-0.1925,-0.30599999999999994,-0.27249999999999996,-0.3285,-0.1755,-0.2825,-0.21499999999999997,-0.30299999999999994,-0.136,-0.266,-0.2005
0.26,0.26,-0.34650000000000003,-0.1855,-0.3255,-0.255,-0.3570000000000001,-0.16549999999999998,-0.32599999999999996,-0.2380000000000001,-0.3115,-0.11250000000000004,-0.264,-0.17049999999999998
0.27,0.27,-0.355,-0.16900000000000004,-0.3265,-0.26449999999999996,-0.344,-0.16100000000000003,-0.3065,-0.25150000000000006,-0.30799999999999994,-0.13550000000000006,-0.25850000000000006,-0.18699999999999994
0.28,0.28,-0.3610000000000001,-0.16649999999999998,-0.34299999999999997,-0.25649999999999995,-0.3570000000000001,-0.1469999999999999,-0.31600000000000006,-0.22950000000000004,-0.31400000000000006,-0.15250000000000008,-0.2689999999999999,-0.1825
