m,M,epsilon_of_M,delta_of_M,correct_empirical_probability_laplace,correct_empirical_probability_gaussian,correct_empirical_probability_exponential,correct_empirical_probability_exponential_mechanism
0.0,0.0,0.5,2.2500450006750097e-10,0.9955,0.8565,0.977,0.9495
0.01,0.01,0.4960575453255336,2.2275445506682583e-10,0.995,0.858,0.9765,0.952
0.02,0.02,0.4920994861619237,2.2050441006615078e-10,0.992,0.865,0.9695,0.945
0.03,0.03,0.48812569849099385,2.1825436506547592e-10,0.994,0.8585,0.9715,0.947
0.04,0.04,0.4841360568101951,2.1600432006480083e-10,0.9935,0.8515,0.971,0.952
0.05,0.05,0.4801304341088269,2.1375427506412576e-10,0.9945,0.8515,0.971,0.9465
0.06,0.06,0.47610870184377246,2.115042300634509e-10,0.9955,0.857,0.9735,0.947
0.07,0.07,0.4720707299147485,2.0925418506277583e-10,0.996,0.8535,0.978,0.9505
0.08,0.08,0.4680163866390518,2.0700414006210094e-10,0.99,0.854,0.9735,0.9335
0.09,0.09,0.4639455387257911,2.0475409506142587e-10,0.992,0.852,0.966,0.9355
0.1,0.1,0.45985805124959506,2.0250405006075078e-10,0.99,0.836,0.97,0.9455
0.11,0.11,0.45575378762377566,2.0025400506007576e-10,0.992,0.8395,0.9645,0.939
0.12,0.12,0.4516326095729458,1.9800396005940085e-10,0.991,0.8405,0.9685,0.941
0.13,0.13,0.44749437710506174,1.9575391505872575e-10,0.9905,0.839,0.9645,0.926
0.14,0.14,0.44333894848289374,1.9350387005805068e-10,0.9905,0.843,0.967,0.9325
0.15,0.15,0.43916618019489273,1.9125382505737582e-10,0.993,0.833,0.959,0.9255
0.16,0.16,0.43497592692545334,1.8900378005670073e-10,0.9875,0.8405,0.967,0.9375
0.17,0.17,0.43076804152454756,1.8675373505602566e-10,0.991,0.824,0.955,0.926
0.18,0.18,0.42654237497671876,1.8450369005535077e-10,0.989,0.831,0.957,0.9285
0.19,0.19,0.4222987763694164,1.822536450546757e-10,0.9875,0.832,0.963,0.923
0.2,0.2,0.4180370928606561,1.800036000540008e-10,0.9855,0.823,0.9575,0.929
